,分词排序,词频
0,上海,1144
1,东方明珠,387
2,文化,283
3,媒体,266
4,电视,224
5,文广,174
6,软件,172
7,传媒,163
8,广播,161
9,影视,146
10,网络,145
11,购物,137
12,视频,131
13,百视通,130
14,信息,114
15,游戏,105
16,上海东方,103
17,建设,102
18,互联网,92
19,智慧,90
20,消费,87
21,数据,84
22,广播电视,75
23,希杰,71
24,节目,70
25,传播,69
26,类产品,68
27,科技,67
28,发明专利,62
29,北京,61
30,娱乐,60
31,电影,58
32,文娱,58
33,广电,57
34,房地产,57
35,终端,55
36,智能,53
37,文化传媒,50
38,电视剧,47
39,文旅,46
40,工程,46
41,面向,45
42,电视台,43
43,明珠,43
44,旅游,40
45,营业部,39
46,服务平台,38
47,体验,38
48,版权,38
49,招行,38
50,百视,37
51,传输,36
52,存续,35
53,影视剧,35
54,体育,34
55,香港,34
56,教育,33
57,有线,33
58,互娱,32
59,文化产业,31
60,数字电视,31
61,管理软件,31
62,多元,30
63,扶贫,30
64,资源,29
65,文化娱乐,28
66,频道,28
67,高新技术,28
68,集成,27
69,流量,27
70,餐饮,27
71,风行,26
72,清,26
73,结构性,26
74,线下,26
75,服务收入,26
76,商务,25
77,直播,25
78,影业,24
79,服务业,24
80,场景,24
81,管理系统,24
82,超高,23
83,精文,23
84,关键技术,23
85,尚世,22
86,信息技术,22
87,播放,22
88,广,22
89,土地,22
90,研制,22
91,网站,21
92,有线电视,21
93,牌照,21
94,落地,21
95,招金,21
96,通新,20
97,垂直,20
98,付费,20
99,影院,20
100,无线,20
101,播出,20
102,艾德思奇,19
103,创意,19
104,播控,19
105,中央,19
106,地铁,19
107,分发,18
108,电竞,18
109,物业,18
110,商品销售,18
111,在线,17
112,打通,17
113,集聚,17
114,演艺,17
115,宣传,17
116,盖娅,17
117,网络科技,17
118,兆,17
119,驰,17
120,运营商,16
121,零售,16
122,聚合,16
123,大脑,16
124,金募,16
125,环境,15
126,台,15
127,部署,15
128,多屏,15
129,艺术,15
130,第四十三,15
131,银行,15
132,成都,15
133,路,14
134,机顶盒,14
135,视听,14
136,联网,14
137,上线,14
138,事业,14
139,智媒城,14
140,新闻,14
141,调频,14
142,编辑,14
143,电视节目,14
144,多媒体,14
145,网,14
146,建造,14
147,材料,14
148,复地,14
149,无锡,14
150,张炜,13
151,登记日,13
152,高清,13
153,新兴,13
154,放映,13
155,参投,13
156,杨浦,13
157,电视塔,13
158,获授,13
159,第期,13
160,生物,13
161,物业管理,13
162,金晓明,12
163,点播,12
164,制播,12
165,基础设施,12
166,业态,12
167,群,12
168,绿舟,12
169,应用软件,12
170,科学技术委员会,12
171,国家税务局,12
172,地方税务局,12
173,独家,12
174,下一代,12
175,开曼,12
176,嘉行,12
177,炫动,12
178,湖北,12
179,张,11
180,更名,11
181,影视制作,11
182,深圳,11
183,绿地,11
184,徐汇区,11
185,多元化,11
186,群体,11
187,电商,11
188,会员,11
189,手段,11
190,索尼,11
191,风云,11
192,推荐,11
193,虚拟现实,11
194,混合,11
195,颁发,11
196,沪,11
197,广场,11
198,川沙,11
199,太原,11
200,视觉艺术,11
201,影视文化,11
202,募,11
203,建行,11
204,房产,11
205,影尊,11
206,中兴,11
207,韩元,11
208,房地产业,11
209,财经,11
210,五岸,10
211,绯,10
212,挖掘,10
213,挑战,10
214,健康,10
215,助力,10
216,人工智能,10
217,精品,10
218,许可证,10
219,网络游戏,10
220,传统,10
221,分成,10
222,联动,10
223,转码,10
224,自动,10
225,远程,10
226,外观,10
227,聚力,10
228,会展,10
229,并表,10
230,广告业务,10
231,首轮,10
232,城,10
233,陈世敏,10
234,重庆,10
235,建筑物,10
236,播映权,10
237,九城,10
238,马戏,10
239,为民,9
240,交银,9
241,立信,9
242,中产,9
243,跨,9
244,汇聚,9
245,深化,9
246,工业,9
247,头部,9
248,电子,9
249,手机,9
250,开放,9
251,大会,9
252,家庭,9
253,中波,9
254,证书编号,9
255,普陀,9
