,分词排序,词频
0,上海,307
1,申能,274
2,发电,216
3,电力,126
4,天然气,103
5,能源,57
6,油气,54
7,新能源,50
8,建设,49
9,燃气,45
10,工程,42
11,外高桥,41
12,环保,41
13,热电,39
14,新疆,38
15,石油,37
16,信息,37
17,风力,34
18,万千瓦,28
19,燃料,27
20,科技,27
21,燃煤,27
22,勘探,25
23,管网,23
24,淮北,23
25,华光,23
26,光伏,22
27,临港,20
28,风电,20
29,木垒,20
30,县,20
31,燃机,19
32,排放,19
33,节能,18
34,机组,18
35,吴泾,16
36,液化,16
37,哈密,16
38,奉贤,15
39,储能,15
40,华能,15
41,谢峰,14
42,环境,14
43,新科,14
44,建造,14
45,电厂,13
46,数据,12
47,煤电,12
48,装机容量,12
49,扶贫,12
50,房地产,12
51,漕泾,12
52,申皖,11
53,青海,10
54,内蒙古,10
55,资源,10
56,供电,10
57,抽水,10
58,蓄能,10
59,再生能源,10
60,银行,10
61,伟泉,10
62,副经理,10
63,申欣,10
64,淮北市,10
65,潘步,9
66,吴忠,9
67,崇明,9
68,煤耗,9
69,减排,9
70,煤炭,9
71,电量,9
72,立方米,9
73,排污,9
74,二氧化硫,9
75,氮氧化物,9
76,吐鲁番市,9
77,国网,9
78,华东,9
79,千瓦时,8
80,海上,8
81,应急,8
82,土地,8
83,填补,8
84,清理,8
85,同类,8
86,烟尘,8
87,总经济师,8
88,人须,8
89,恩年,8
90,风能,8
91,克拉玛依,8
92,东洲,8
93,核电,7
94,供需,7
95,本市,7
96,深化,7
97,污染物,7
98,生物,7
99,金寨,7
100,太科,7
101,新特光,7
102,特,7
103,尚义县,7
104,海润,7
105,霍尔果斯,7
106,评报,7
107,中天,6
108,合创,6
109,安徽,6
110,虹井路,6
111,楼,6
112,网站,6
113,领先水平,6
114,清洁,6
115,装机,6
116,电力行业,6
117,小时,6
118,新动力,6
119,工程项目,6
120,火电,6
121,统筹,6
122,脱硝,6
123,发电量,6
124,华电,6
125,环境保护,6
126,第三十七,6
127,长兴,6
128,弃置,6
129,即征,6
130,同受,6
131,启新,5
132,平山,5
133,星火,5
134,化学工业,5
135,网址,5
136,发电机组,5
137,电网,5
138,原油,5
139,克,5
140,电源,5
141,增效,5
142,对标,5
143,青浦,5
144,意识,5
145,厂用电,5
146,脱硫,5
147,入,5
148,六个月,5
149,交易类型,5
150,中天合,5
151,创应,5
152,启东,5
153,基础设施,5
154,浓度,5
155,姚珉芳,5
156,朱宗尧,5
157,吴建雄,5
158,室主任,5
159,材料,5
160,宝丰,5
161,交建,5
162,明轩,5
163,濉溪县,5
164,鑫风,5
165,矿区,5
166,探明,5
167,井,5
168,钻井,5
169,退,5
170,项目前期,5
171,石洞口,5
172,天荒坪,5
173,嘉禾,5
174,航运,5
175,数为,5
176,联营公司,5
177,久联,5
178,臧良,4
179,须伟泉,4
180,售电,4
181,气电,4
182,平湖,4
183,油气田,4
184,用电,4
185,稳步,4
186,两台,4
187,先锋,4
188,提质,4
189,结构调整,4
190,体制改革,4
191,供热,4
192,本质,4
193,电价,4
194,内蒙古自治区,4
195,浙江,4
196,衢江,4
197,树立,4
198,监测,4
199,石油气,4
200,金融机构,4
201,烟囱,4
202,毫克,4
203,中央,4
204,中证,4
205,开放式,4
206,指数,4
207,久事,4
208,刘运宏,4
209,杨朝军,4
210,周燕飞,4
211,博士生,4
212,导师,4
213,副处长,4
214,报字,4
215,达茂,4
216,汝州,4
217,低值易耗品,4
218,施工,4
219,折耗,4
220,公共,4
221,减半,4
222,持本,4
223,上电,4
224,质保金,4
225,财政补贴,4
226,新加坡元,4
227,上表,4
228,昌吉州,4
229,哈密市,4
230,河南省,4
231,能创,4
232,苗,3
233,年底,3
234,二期工程,3
235,宁夏,3
236,积极探索,3
237,绿色,3
238,开采,3
239,气源,3
240,高压,3
241,接收,3
242,快,3
243,产业结构,3
244,低能耗,3
245,工程设计,3
246,降本增效,3
247,一批,3
248,健全,3
249,人才队伍,3
250,高度重视,3
251,掺烧,3
252,电气,3
253,并举,3
254,防控,3
255,抓好,3
256,率为,3
257,煤,3
258,兆瓦,3
259,信息化,3
260,管理信息系统,3
261,系子,3
262,融资券,3
263,上网,3
264,河北省,3
265,国企,3
266,购入,3
267,秦山,3
268,挑战,3
269,消费,3
270,牢固,3
271,成效,3
272,把握,3
273,油气井,3
274,动力,3
275,环境污染,3
276,足额,3
277,发电厂,3
278,加成,3
279,参照,3
280,中国人民银行,3
281,道路,3
282,污染,3
283,环境影响,3
284,社保,3
285,刘浩,3
286,吴力波,3
287,奚力,3
288,邬跃舟,3
289,宋雪枫,3
290,陈尉,3
291,上海财经大学,3
292,会计学院,3
293,副教授,3
294,复旦大学,3
295,发展部,3
296,上海交通大学,3
297,投资部,3
298,科研,3
299,主持,3
300,工会,3
301,通讯,3
302,同日,3
303,会师,3
304,中央银行,3
305,业经,3
306,华港,3
307,太阳能,3
308,绿金,3
309,申亚,3
310,贵州,3
311,罗甸,3
312,申电,3
313,一组,3
314,集体,3
315,建筑物,3
316,井及,3
317,保险费,3
318,带薪,3
