,分词排序,词频
0,协和,278
1,中源,256
2,干细胞,186
3,细胞,174
4,上海,174
5,科技,144
6,基因,142
7,北京,134
8,生物科技,124
9,天津,121
10,检测,110
11,生物,97
12,和泽,90
13,试剂,86
14,傲源,72
15,嘉道,72
16,基因工程,69
17,存储,69
18,诊断,67
19,信息,66
20,高新技术,65
21,深圳,64
22,德源,60
23,临床,57
24,医疗,55
25,服务业,55
26,天津市,50
27,红,48
28,磡,48
29,房地产,46
30,李德,45
31,治疗,45
32,执诚,39
33,工程,38
34,制备,37
35,福,36
36,永泰,36
37,傲锐,34
38,网站,33
39,武汉,31
40,董高,31
41,健康,30
42,东源,29
43,抗体,29
44,浙江,27
45,医学,27
46,生命,27
47,医药,26
48,医疗器械,26
49,数据,24
50,免疫,24
51,库,24
52,医院,22
53,维康,22
54,银宏,22
55,用品,21
56,天津开发区,20
57,赛尚,20
58,广州,20
59,生化,20
60,建设,20
61,制造业,20
62,公司公告,20
63,蛋白,19
64,疾病,19
65,王鹏,18
66,转化,18
67,创业投资,18
68,遗留,18
69,王晓鸽,17
70,科研,17
71,华东,16
72,达赛,16
73,脐带血,16
74,测序,16
75,无锡,16
76,谷,16
77,信托,16
78,泛,15
79,生子,15
80,材料,15
81,重庆市,15
82,龚虹嘉,15
83,嘉兴,14
84,充质,14
85,委派代表,14
86,博文,14
87,土地,14
88,证书编号,14
89,威福,13
90,赛,13
91,造血,13
92,陕西,13
93,江苏,13
94,肿瘤,13
95,杭州,13
96,工程技术,13
97,望春花,13
98,超出,13
99,税收政策,13
100,河南,12
101,资源库,12
102,网络,12
103,教育,12
104,再生,12
105,担保责任,12
106,四川,12
107,脐带,11
108,成人,11
109,公共,11
110,获授,11
111,建筑物,11
112,英,10
113,甘肃,10
114,储存,10
115,检验,10
116,试剂盒,10
117,本部,10
118,检验所,10
119,嘉,10
120,地方税务局,10
121,合源,9
122,瑞华,9
123,技术咨询,9
124,技术转让,9
125,新生儿,9
126,云南,9
127,药物,9
128,消耗,9
129,王辉,9
130,滨海,9
131,反担保,9
132,养老,9
133,山西省,9
134,国家税务局,9
135,广东,9
136,吉林,8
137,医疗机构,8
138,注注,8
139,和解,8
140,银行,8
141,环境,8
142,富年,8
143,顾问,8
144,虹,8
145,珊,8
146,辞职,8
147,期至天,8
148,科学技术委员会,8
149,湖州市,8
150,器械,7
151,产销,7
152,免疫组化,7
153,预防,7
154,两大,7
155,黑龙江,7
156,辽宁,7
157,贵州,7
158,海南,7
159,拨款,7
160,第一批,7
161,盈泰泓康,7
162,百乐,7
163,思,7
164,资源,7
165,科普,7
166,德国,7
167,娥,7
168,物业,7
169,赛尔,7
170,保管,7
171,补助款,7
172,财政厅,7
173,稳岗,7
174,服务公司,6
175,自由贸易,6
176,试验区,6
177,用药,6
178,生命科学,6
179,江西,6
180,基因组学,6
181,试行,6
182,厅,6
183,仪,6
184,借助,6
185,维修,6
186,较长,6
187,创业,6
188,李旭,6
189,该笔,6
190,农业,6
191,鸿港,6
192,商业机会,6
193,如中源,6
194,促成,6
195,春晖,6
196,第五次,6
197,生物工程,6
198,嵌入,6
199,社保,6
200,管委会,6
201,地为,6
202,内蒙古,6
203,杨新喆,5
204,华苑,5
205,路,5
206,亚,5
207,全能,5
208,生物医药,5
209,外延,5
210,扩张,5
211,安徽,5
212,重庆,5
213,采集,5
214,产品线,5
215,免疫诊断,5
216,直销,5
217,执业,5
218,许可证,5
219,出台,5
220,指南,5
221,统计,5
222,药品,5
223,患者,5
224,总局,5
225,人力资源,5
226,输注,5
227,科学,5
228,人源,5
229,蛋白质,5
230,颐昂,5
231,利润率,5
232,协作,5
233,泽金,5
234,如本,5
235,交易系统,5
236,李,5
237,海滨,5
238,韩月,5
239,使用费,5
240,诗丹,5
241,化妆品,5
242,代,5
243,模型,5
244,油气,5
245,颁发,5
246,批件,5
247,一次性,5
248,委托人,5
249,税务局,5
250,金创,5
251,慧鼎,5
252,华瀛,5
253,首信,5
254,通信,5
255,波兰,5
256,高企,5
257,江宁区,5
258,外高桥,5
259,嵌合,4
260,抗原受体,4
261,南开区,4
262,产业园,4
263,区梅苑,4
264,津南,4
265,媒体,4
266,上海市浦东新区,4
267,项下,4
268,中间体,4
269,胎盘,4
270,易感,4
271,分子,4
272,福建,4
273,齐全,4
274,手段,4
275,互联网,4
276,现状,4
277,商业模式,4
278,自体,4
279,产品开发,4
280,高度重视,4
281,免疫治疗,4
282,国家统计局,4
283,卫生,4
284,体细胞,4
285,云南省,4
286,国产,4
287,耗材,4
288,基因组,4
289,表达,4
290,样本,4
291,人类,4
292,数据处理,4
293,生育,4
294,全长,4
295,肝硬化,4
296,代偿,4
297,人群,4
298,芯片,4
299,遗传,4
300,陆续,4
301,项中源,4
302,医学奖,4
303,人才培养,4
304,无年,4
305,投资额,4
306,特拉华州,4
307,合法经营,4
308,制品,4
309,策划,4
310,文化,4
311,层面,4
312,内涵,4
313,财务预算,4
314,流失,4
315,协助,4
316,无条件,4
317,回避,4
318,福及,4
319,起个,4
320,施行,4
321,河北省,4
322,厦门,4
323,师鸿翔,4
324,王春华,4
325,退休,4
326,第六次,4
327,传家宝,4
328,吴珊,4
329,售后,4
330,专利技术,4
331,陕西省,4
332,无锡市,4
333,张平,4
334,富荣,4
335,富信,4
336,掌景,4
337,海康,4
338,威视,4
339,富瀚,4
340,微电子,4
341,普坤,4
342,富策,4
343,创嘉,4
344,创投,4
345,功程,4
346,玖,4
347,捌,4
348,吆,4
349,优信,4
350,方直,4
351,济生,4
352,光谷,4
353,泊龙,4
354,酒店,4
355,礼,4
356,辉阳,4
357,山东,4
358,果,4
359,现代农业,4
360,神农架,4
361,药材,4
362,嘉瑞,4
363,代为,4
