,分词排序,词频
0,游戏,187
1,上海,164
2,同上,163
3,北京,78
4,游久,66
5,科技,58
6,信息,58
7,网络科技,56
8,网络,53
9,房地产,39
10,游龙腾,38
11,网络游戏,29
12,紫钥,28
13,信息技术,27
14,扶贫,27
15,盛月,25
16,网站,23
17,博胜佳益,22
18,数据,20
19,工程,20
20,天天,19
21,百度,19
22,谢鹏,16
23,信托,16
24,文化,16
25,建筑物,16
26,银行,15
27,王,14
28,新春,14
29,玩家,14
30,手游,14
31,擎天柱,14
32,福建,14
33,分成,13
34,环境,12
35,技术转让,12
36,刘亮,12
37,土地,12
38,技术咨询,11
39,日月,11
40,媒体,10
41,计算机,10
42,百瑞,10
43,年月生,10
44,生物,10
45,周耀东,9
46,大信,9
47,爱使,9
48,上海银行,9
49,游久网,9
50,代琳,9
51,刘曼菁,9
52,大连,8
53,唯澈,8
54,互联网,8
55,上线,8
56,君临天下,8
57,建设,8
58,资源,8
59,十届,8
60,聚力,8
61,传媒,8
62,盛,8
63,虚拟,8
64,外汇,8
65,聚,7
66,一堂,7
67,竞技,7
68,许鹿鹏,7
69,竞,7
70,静安区,7
71,开庭审理,7
72,脱贫,7
73,男否,7
74,失联,7
75,卓皓,6
76,一次性,6
77,申万,6
78,宏源,6
79,软件,6
80,电,6
81,策划,6
82,贫困地区,6
83,软硬件,6
84,技术推广,6
85,电脑,6
86,十五次,6
87,石景山区,6
88,国债,6
89,逆,6
90,赵,6
91,亚军,6
92,油气,6
93,投出,6
94,嵌入,6
95,游视,5
96,皮爱优,5
97,比约,5
98,客户端,5
99,下滑,5
100,代理费,5
101,版权,5
102,计算机软件,5
103,动画设计,5
104,三十五,5
105,手机游戏,5
106,日日,5
107,纪学锋,5
108,尉吉军,5
109,张华峰,5
110,刘继通,5
111,李凡,5
112,秦红兵,5
113,吴烨,5
114,稳定期,5
115,运营商,5
116,维修,5
117,肇嘉,4
118,浜,4
119,路,4
120,争议,4
121,电子竞技,4
122,体验,4
123,粉丝,4
124,新品,4
125,践行,4
126,村民,4
127,投资额,4
128,游戏软件,4
129,成都,4
130,产品设计,4
131,网络广告,4
132,最大化,4
133,七届,4
134,涉案,4
135,博瑞,4
136,教育,4
137,排污,4
138,户,4
139,材料,4
140,腾飞,4
141,李,4
142,建春,4
143,巨人,4
144,工程师,4
145,青年,4
146,由名,4
147,模型,4
148,中央银行,4
149,兑换,4
150,自用,4
151,建造,4
152,充值,4
153,教育费,4
154,香港,4
155,西安,4
156,菁心,4
157,苏州,3
158,太仓,3
159,非金融,3
160,电竞,3
161,集中管理,3
162,体现,3
163,努力实现,3
164,成本上升,3
165,玩法,3
166,延续,3
167,主管部门,3
168,消费,3
169,着力,3
170,报道,3
171,精细化,3
172,版号,3
173,养成,3
174,垂直,3
175,陷入,3
176,账号,3
177,新一届,3
178,定位,3
179,激烈,3
180,孙,3
181,党,3
182,积极参与,3
183,云南省,3
184,文山,3
185,市百企,3
186,结百村,3
187,对口,3
188,喜古乡,3
189,戈革村,3
190,渔业,3
191,养殖,3
192,就业,3
193,简单,3
194,奔小康,3
195,预缴,3
196,端游,3
197,中国人民银行,3
198,宝鼎,3
199,黑石,3
200,高科技,3
201,动漫,3
202,梦启,3
203,软件开发,3
204,计算机系统,3
205,头部,3
206,追求,3
207,网络安全,3
208,四届,3
209,三中,3
210,院,3
211,中因,3
212,或期,3
213,权利义务,3
214,独家,3
215,磋商,3
216,交通银行,3
217,创业,3
218,分歧,3
219,十一届,3
220,打赢,3
221,攻坚战,3
222,贫困人口,3
223,号召,3
224,贫困学生,3
225,方正,3
226,男是,3
227,陆佩华,3
228,工商管理,3
229,副经理,3
230,理事,3
231,职工代表,3
232,换届选举,3
233,本科,3
234,相关者,3
235,通讯,3
236,组及,3
237,利润率,3
238,保费,3
239,准备金,3
240,指为,3
241,表中,3
242,数在,3
243,下同,3
244,公平交易,3
245,近期,3
246,下述,3
247,混合,3
248,除此以外,3
249,低值易耗品,3
250,除净,3
251,中除,3
252,毁损,3
253,保险费,3
254,技术支持,3
255,装备,3
256,每一,3
257,归类,3
258,清理,3
259,四海,3
260,英才,3
261,电子科技,3
262,十已,3
263,无年,3
264,由菁心,3
265,六界,3
266,第年,3
267,独占,3
268,运营权,3
269,手机,3
270,外文,2
271,人二,2
272,电子信箱,2
273,网址,2
274,石门,2
275,二路,2
276,弄,2
277,室,2
278,郭颖涛,2
279,第四季度,2
280,因游龙腾,2
281,自然灾害,2
282,显失,2
283,协同效应,2
284,后台,2
285,防范,2
286,亿人,2
287,移动游戏,2
288,网页,2
289,呈现,2
290,态势,2
291,人口,2
292,精品,2
293,流失,2
294,意识,2
295,引擎,2
296,革新,2
297,推动力,2
298,如今,2
299,高质量,2
300,社会效益,2
301,经济效益,2
302,出发,2
303,赛事,2
304,厂商,2
305,供给,2
306,侧,2
307,创作,2
308,高品质,2
309,生存,2
310,加剧,2
311,历年,2
312,长,2
313,生命周期,2
314,晚期,2
315,轻度,2
316,较弱,2
317,打磨,2
318,不佳,2
319,获利,2
320,年底,2
321,叠加,2
322,全网,2
323,联盟,2
324,播放,2
325,形象,2
326,基,2
327,聚集,2
328,指南,2
329,梳理,2
330,立足,2
331,精简,2
332,冗余,2
333,创造力,2
334,十九,2
335,最新,2
336,素养,2
337,扎实,2
338,援助,2
339,多样性,2
340,激发,2
341,内生,2
342,动力,2
343,致富,2
344,变,2
345,输血,2
346,造血,2
347,脱贫致富,2
348,携手,2
349,意义,2
350,务实,2
351,款较,2
352,款及,2
353,二非,2
354,无不,2
355,寿康,2
356,本外币,2
357,内蒙古,2
358,荣联,2
359,能源,2
360,广播,2
361,电视节目,2
362,艺术交流,2
363,演出,2
364,电子商务,2
365,科技领域,2
366,樱桃,2
367,小旭,2
368,音乐,2
369,晴天,2
370,榴莲,2
