,分词排序,词频
0,汽车,527
1,华晨,314
2,上海,287
3,申华,197
4,发电,77
5,金杯,70
6,沈阳,64
7,大连,59
8,汽车集团,57
9,风力,57
10,房地产,55
11,银行,54
12,信息,48
13,广发,41
14,新能源,40
15,陕西,38
16,明友,37
17,工程,35
18,消费,34
19,建设,34
20,宝马,31
21,渭南,30
22,重庆,30
23,土地,30
24,阜新,30
25,辽宁,29
26,汽销,28
27,宝利丰,28
28,开业,27
29,申,25
30,第十一届,25
31,开封,23
32,晨达,23
33,专用汽车,23
34,携,23
35,华科技,23
36,华安,22
37,宝,21
38,控股公司,21
39,明友泓福,20
40,安徽,20
41,维修,19
42,光伏,19
43,东金,19
44,电力,19
45,湖南,18
46,店,18
47,云南,18
48,昆山,18
49,职,18
50,陆金,17
51,弘贤,17
52,太仆寺旗,17
53,配件,16
54,合肥,16
55,一次性,16
56,文化,15
57,服务业,15
58,泓,15
59,科技,15
60,风帆,15
61,账,15
62,池冶,14
63,废旧,14
64,数据,14
65,马鞍山,14
66,协合,14
67,制造厂,14
68,汽,13
69,售电,13
70,国际贸易,13
71,制造,13
72,丽途,13
73,装备,13
74,永立,13
75,易城,13
76,苏州,13
77,雷诺,13
78,博园,12
79,博展,12
80,能源,12
81,面积,12
82,评估价,12
83,湘水,12
84,罚息,12
85,网站,11
86,产业园,11
87,车辆,11
88,携华,11
89,房产,11
90,淮北,11
91,南通,11
92,欧亚,11
93,车业,11
94,二手车,10
95,洪江,10
96,风电,10
97,清洁,10
98,网络科技,10
99,福,10
100,南京,10
101,宿州,10
102,材料,10
103,顺风,10
104,该案,10
105,联营公司,10
106,华禧,10
107,建筑物,10
108,北京,9
109,华颂,9
110,零售,9
111,网络,9
112,竣工,9
113,徐州,9
114,杭州,9
115,宜兴,9
116,万由,9
117,武川县,9
118,义合,9
119,清欠,9
120,交运,9
121,年底,9
122,教育,9
123,薪资,9
124,开发成本,9
125,长翔,8
126,专用车,8
127,路,8
128,整车,8
129,合资,8
130,万千瓦,8
131,经开,8
132,蚌埠,8
133,物业,8
134,装潢,8
135,华,8
136,旅游,8
137,华宝,8
138,填补,8
139,黄浦,8
140,尚欠,8
141,加收,8
142,零部件,8
143,人池,8
144,冶代,8
145,安冰年,8
146,决策者,8
147,物流,8
148,皖,8
149,投融富,8
150,申元,7
151,宁波,7
152,海通,7
153,地块,7
154,住宅,7
155,基准,7
156,力,7
157,建筑面积,7
158,汽车配件,7
159,技术咨询,7
160,到位,7
161,绵阳,7
162,楚雄,7
163,东阳市,7
164,融申,7
165,商品交易,7
166,行政许可,7
167,生物,7
168,汽贸,7
169,西安,6
170,车,6
171,消纳,6
172,第四十三,6
173,子,6
174,意向,6
175,电量,6
176,制造业,6
177,温州,6
178,业态,6
179,博展园,6
180,成都,6
181,芜湖,6
182,宣城,6
183,慈溪,6
184,环保,6
185,汽车贸易,6
186,明友泓浩,6
187,丰田,6
188,申德,6
189,结构性,6
190,房车,6
191,本部,6
192,代理人,6
193,款代,6
194,正国,5
195,众华,5
196,旗下,5
197,华东,5
198,文化产业,5
199,内蒙古,5
200,辽宁省,5
201,阶段性,5
202,第四十五,5
203,拟将,5
204,汽车品牌,5
205,环境,5
206,台,5
207,渭南市,5
208,上网,5
209,用地,5
210,投资额,5
211,湖南省,5
212,洪江市,5
213,黔,5
214,城镇,5
215,开封市,5
216,汽车产业,5
217,江晖,5
218,技术转让,5
219,嘉恒,5
220,环绿,5
221,技师,5
222,四川,5
223,物业管理,5
224,酒店,5
225,装修,5
226,中止,5
227,曾于,5
228,审查,5
229,胡春华,5
230,总裁兼,5
231,油气,5
232,缺勤,5
233,残疾,5
234,开具,5
235,无年,5
236,兴,5
237,远东,5
238,乐山,5
239,东亚,5
240,瑞英行,5
241,望京,5
242,楼,4
243,张,4
244,两家,4
245,万辆,4
246,车企,4
247,亿千瓦时,4
248,发电量,4
249,来看,4
250,注册资金,4
251,之附,4
252,名册,4
253,提质,4
254,增效,4
255,结构调整,4
256,基础设施,4
257,抵消,4
258,折旧费,4
259,综合体,4
260,小时,4
261,汽车用品,4
