,分词排序,词频
0,尖峰,407
1,水泥,201
2,浙江,162
3,药业,129
4,医药,123
5,金华,93
6,金华市,88
7,北卡,65
8,信息,60
9,上海,58
10,药品,56
11,安徽,55
12,天士力,54
13,排放,52
14,南方,47
15,工程,43
16,建设,42
17,药,40
18,银行,40
19,天津,37
20,健康,37
21,环保,35
22,大冶,32
23,众望,29
24,结构性,29
25,科技,28
26,扶贫,28
27,蒋晓萌,27
28,国贸,27
29,土地,27
30,制药,26
31,盐酸,26
32,云南,25
33,资源,25
34,原料药,24
35,房地产,23
36,药物,23
37,网站,22
38,数据,22
39,制造业,22
40,新药,22
41,环境,21
42,公司债,21
43,抗肿瘤,20
44,污染物,20
45,回售,20
46,贵州,19
47,国际贸易,19
48,注射用,19
49,制剂,19
50,生物,18
51,医药行业,18
52,矿山,18
53,工业,18
54,临床,18
55,金东区,18
56,熟料,17
57,渤海,17
58,排放口,17
59,铭川,16
60,用药,16
61,万盒,16
62,环境保护,16
63,国有资产,15
64,品,15
65,医保,15
66,药房,14
67,虎鹰,14
68,化学,14
69,物流,14
70,帕罗西,14
71,仿制,14
72,排污,14
73,通济,13
74,天然,13
75,头孢,13
76,金西,13
77,副会长,13
78,终端,12
79,中间体,12
80,兰江,12
81,电器,12
82,林财威,12
83,小龙,11
84,电缆,11
85,通信,11
86,汀片,11
87,电商,11
88,整治,11
89,两票,11
90,审评,11
91,治疗,11
92,环保局,11
93,医疗机构,10
94,湖北省,10
95,肟,10
96,适应症,10
97,四类,10
98,化药类,10
99,类化,10
100,普洱,10
101,士力,10
102,贫困,10
103,注本,10
104,兰,9
105,吴德富,9
106,广西,9
107,抗抑郁,9
108,滴眼液,9
109,制造,9
110,甲,9
111,人工,9
112,补偿款,9
113,中药,9
114,十届,9
115,脱贫,9
116,教育,9
117,废气,9
118,除尘,9
119,核定,9
120,监测,9
121,信托,9
122,黄速建,9
123,水泥厂,9
124,监督管理,8
125,天津市,8
126,氨酸,8
127,氨氯地平,8
128,缓释片,8
129,干法,8
130,带量,8
131,脱硫,8
132,工作站,8
133,固体,8
134,仓库,8
135,物流园,8
136,函号,8
137,化药,8
138,活性,8
139,工厂,8
140,山亚,8
141,广发,8
142,薪,8
143,加薪,8
144,制药厂,8
145,浓度,8
146,计息,8
147,恩,7
148,路,7
149,醋,7
150,氯芬酸,7
151,玻璃,7
152,酸钠,7
153,科学,7
154,余热,7
155,发电,7
156,提取物,7
157,防治,7
158,高质量,7
159,脱硝,7
160,窑尾,7
161,亿片,7
162,药审,7
163,市场推广,7
164,学术,7
165,中长期,7
166,医疗,7
167,医疗保险,7
168,推行,7
169,万瓶,7
170,商标,7
171,达标,7
172,积极开展,7
173,被执行人,7
174,兰溪市,7
175,江苏,7
176,反担保,7
177,无年,7
178,烟气,7
179,窑头,7
180,车间,7
181,经济师,7
182,本科,7
183,还本,7
184,油气,7
185,总局,6
186,连锁,6
187,产物,6
188,婺,6
189,江东,6
190,生产成本,6
191,医药工业,6
192,招商,6
193,证,6
194,错峰,6
195,国家统计局,6
196,攻坚,6
197,深化,6
198,出台,6
199,清洁,6
200,年底,6
201,审查,6
202,营运,6
203,采矿权,6
204,医改,6
205,抗感染,6
206,解热,6
207,镇痛,6
208,口服,6
209,药类,6
210,九届,6
211,华山,6
212,进口,6
213,为此,6
214,杭州,6
215,帝,6
216,担保责任,6
217,村,6
218,废水,6
219,装置,6
220,高空,6
221,超标,6
222,停产,6
223,陶瓷,6
224,单利,6
225,按年,6
226,注该,6
227,元系,6
228,成分,6
229,池州,6
230,月数,6
231,尔婴,5
232,黄,5
233,新北卡,5
234,天健,5
235,主导,5
236,湖北,5
237,日产,5
238,异地,5
239,带,5
240,制订,5
241,队伍,5
242,技术改造,5
243,变革,5
244,污染,5
245,减排,5
246,意识,5
247,医药企业,5
248,生产工艺,5
249,降,5
250,科研,5
251,博士后,5
252,临床试验,5
253,高新技术,5
254,厅,5
255,门冬,5
256,窑,5
257,筛选,5
258,中央,5
259,国务院,5
260,网络,5
261,抑郁症,5
262,滴丸,5
263,眼科,5
264,心血管,5
265,小试,5
266,大冶市,5
267,防范,5
268,煤炭,5
269,兰瑞,5
270,标价,5
271,基准,5
272,辽宁,5
273,招商银行,5
274,就业,5
275,响应,5
276,公益,5
277,厂区,5
278,废水处理,5
279,环保部门,5
280,刘波,5
281,工程师,5
282,会长,5
283,史习民,5
284,贡献,5
285,材料,5
286,建筑物,5
287,建造,5
288,税额,5
289,弗兰德,5
290,故本,5
291,纯天然,5
292,除净,5
293,源于,5
294,外汇,5
295,杜自弘,4
296,国投,4
297,平谷,4
298,陇铭川,4
299,北京,4
300,吴,4
301,心脑血管,4
302,直销,4
303,检测,4
304,中药饮片,4
305,许可证,4
306,有机,4
307,寻求,4
308,供给,4
309,侧,4
310,攻坚战,4
311,农村,4
312,持续性,4
313,医药产业,4
314,互补,4
315,双,4
316,三名,4
317,驰名商标,4
318,进一步提高,4
319,院士,4
320,三大,4
321,大部分,4
322,生料,4
323,降价,4
324,新建,4
325,万克,4
326,数万元,4
327,两大,4
328,盒,4
329,上表,4
330,工伤保险,4
331,生育,4
332,国家级,4
333,研,4
334,预,4
335,厂家,4
336,中试,4
337,表中,4
338,提成,4
339,陕西,4
340,旅游,4
341,经济区,4
342,石灰石,4
343,思茅,4
344,水泥制品,4
345,交通,4
346,抓好,4
347,号召,4
348,仓储,4
349,绿色,4
350,自动化,4
351,不服,4
352,以浙,4
353,浙,4
354,帝益,4
355,佛山,4
356,虞建红,4
357,使用费,4
358,民生银行,4
359,吸纳,4
360,进厂,4
361,务工,4
362,周边,4
