,分词排序,词频
0,普天,435
1,上海,358
2,通信,79
3,信息产业,78
4,邮通,71
5,信息,58
6,工程,56
7,能源,55
8,科技,38
9,新能源,37
10,房地产,36
11,电子,36
12,科创,29
13,轨道交通,23
14,智能,22
15,山崎,21
16,东健,20
17,电路板,19
18,电子科技,19
19,天山,19
20,北京,18
21,天通,18
22,制造业,18
23,环境,18
24,徐汇区,18
25,节能,17
26,物业管理,17
27,上海邮通,16
28,建设,15
29,银行,15
30,南京,15
31,王治义,14
32,数据,14
33,宏美,14
34,浙江,14
35,大卫,14
36,和平,13
37,制造,13
38,商用,13
39,仙居,13
40,幻影,13
41,生物,13
42,建造,13
43,智慧,12
44,创业,12
45,买卖合同,12
46,审众,11
47,环,11
48,刘蓉晖,11
49,材料,11
50,发电,11
51,物流,11
52,罚款,11
53,杭州,11
54,谢仲华,10
55,自动化,10
56,工业,10
57,普盛,10
58,鸿雁,10
59,杨奕蓓,9
60,集成,9
61,深圳,9
62,信息技术,9
63,外资股,9
64,当事人,9
65,建平,9
66,废气,9
67,兼年,9
68,嵌入,9
69,普,8
70,二代证,8
71,减排,8
72,网络,8
73,机器,8
74,环保,8
75,警告,8
76,处以,8
77,排放,8
78,电器,8
79,混合,8
80,气,8
81,中科,7
82,李林臻,7
83,邮电,7
84,事业,7
85,党群,7
86,外汇,7
87,楼宇,7
88,韩志杰,6
89,李中耀,6
90,宜山路,6
91,沪,6
92,安防,6
93,照明,6
94,资源,6
95,武汉,6
96,工程施工,6
97,天津,6
98,奉贤区,6
99,土地,6
100,清理,6
101,污水,6
102,雾,6
103,排口,6
104,电缆,6
105,张晓成,6
106,人力资源部,6
107,起任,6
108,房产,6
109,书,6
110,油气,6
111,交通,6
112,名下,6
113,李建平,5
114,网站,5
115,终端,5
116,能源技术,5
117,印制电路,5
118,工程项目,5
119,未决,5
120,服务业,5
121,张冬莉,5
122,排污,5
123,成都,5
124,工作部,5
125,党工,5
126,团,5
127,运营部,5
128,业务经理,5
129,秘书长,5
130,财报,5
131,机器设备,5
132,换取,5
133,注本,5
134,天天,5
135,纪,5
136,错漏,4
137,撤回,4
138,国务院,4
139,国有资产,4
140,楼,4
141,运营商,4
142,板,4
143,工业园,4
144,阅读器,4
145,能量,4
146,应急,4
147,电子设备,4
148,网络系统,4
149,金融机具,4
150,运维,4
151,净流量,4
152,许可证,4
153,信息化,4
154,关闭,4
155,解读,4
156,证监局,4
157,决定书,4
158,监测,4
159,硫酸,4
160,中央,4
161,东方通信,4
162,熊嗣云,4
163,器材,4
164,工程师,4
165,本部,4
166,纪委书记,4
167,邮电部,4
168,设备厂,4
169,三部,4
170,联盟,4
171,审,4
172,仙居县,4
173,民事裁定,4
174,中央银行,4
175,股占,4
176,方对,4
177,分拆,4
178,届满时,4
179,退税率,4
180,天津市,4
181,滨海新区,4
182,两家,4
183,桂林,4
184,路,4
185,屋面,4
186,保险费,4
187,暂未,4
188,互换,4
189,带息,4
190,国际贸易,4
191,货物贸易,4
192,未被发现,3
193,表达,3
194,徐千,3
195,退市,3
196,整理,3
197,第三十九,3
198,股和股,3
199,转而,3
200,监督管理,3
201,香港,3
202,股股,3
203,一次性,3
204,身份证,3
205,机具,3
206,能源管理,3
207,机电,3
208,复旦,3
209,光华,3
210,重庆,3
211,智能化,3
212,城,3
213,干部,3
214,着力,3
215,产业结构,3
216,疑虑,3
217,个人所得税法,3
218,扣缴,3
219,号本,3
220,高级人民法院,3
221,关月廷,3
222,对江,3
223,污染物,3
224,吸收塔,3
225,排放口,3
226,排入,3
227,城镇,3
228,限值,3
229,户,3
230,直属,3
231,东信,3
232,江,3
233,部副,3
234,党组,3
235,通信产业,3
236,太力,3
237,业务主管,3
238,专员,3
239,监察室,3
240,审计部,3
241,办,3
242,技术创新,3
243,常务副,3
244,立信,3
245,工会,3
246,胜任,3
247,通讯,3
248,涉嫌,3
249,保费,3
250,准备金,3
251,或本,3
252,文,3
253,验资,3
254,仍为,3
255,付出,3
256,可变,3
257,承担义务,3
258,下同,3
259,近期,3
260,低值易耗品,3
261,包装物,3
262,中本,3
263,建筑物,3
264,存入,3
265,乘以,3
266,日以,3
267,须用,3
268,可用,3
269,成分,3
270,教育费,3
271,购房,3
272,第二十七次,3
273,铁路运输,3
274,移交,3
275,店铺,3
276,南桥,3
277,环城,3
278,北路,3
279,万寿路,3
280,维修,3
281,劳务费,3
282,运输费,3
283,财务部门,3
284,青岛,3
285,电源,3
286,工贸,3
287,控股方,3
288,水电费,3
289,案由,3
290,标的额,3
291,委托人,2
292,主管人员,2
293,外文,2
294,电子信箱,2
295,楼室,2
296,网址,2
297,平安,2
298,第三季度,2
299,非金融,2
300,自然灾害,2
301,显失,2
302,早,2
303,终端设备,2
304,第二代,2
305,识别器,2
306,指纹,2
307,读卡,2
308,一体化,2
309,分布式,2
310,经销,2
311,交换机,2
312,国外,2
313,高密度,2
314,新型产业,2
315,紧张,2
316,三期,2
317,路灯,2
318,东航,2
319,展开,2
320,紧密,2
321,维保,2
322,视频,2
323,车库,2
324,攀升,2
325,贡献,2
326,集聚,2
327,布展,2
328,施工,2
329,通信工程,2
330,货物运输,2
331,放电管,2
332,外围,2
333,主营,2
334,充电,2
335,税控,2
336,收款机,2
337,打印机,2
338,仓储,2
339,新疆,2
340,广通,2
341,网络设备,2
342,技术咨询,2
343,技术推广,2
344,大唐,2
345,替换,2
346,近几年,2
347,大会,2
348,大气污染,2
349,颗粒物,2
350,明确责任,2
351,改革方案,2
352,富余,2
353,低效,2
354,无效,2
355,两金,2
356,科学,2
357,人工成本,2
358,催讨,2
359,负担,2
360,激剧,2
361,框架,2
362,即将,2
363,社会公众,2
364,扣减,2
365,收购人,2
366,另因,2
367,根据上述,2
368,解聘,2
369,改聘,2
370,保全,2
371,责令,2
372,改正,2
373,贯彻落实,2
374,污染,2
375,废水,2
376,固废,2
377,盐酸,2
378,集尘,2
379,回,2
380,下水道,2
381,水质标准,2
382,表级,2
383,危险废物,2
384,处理量,2
385,共有,2
386,六个,2
387,装置,2
388,复审,2
389,历次,2
390,职工股,2
391,股年,2
392,何炜,2
393,傅频,2
394,青毛,2
395,瓯越,2
396,高巧珍,2
397,陈庆桃葛,2
398,国元,2
399,经纪,2
400,缪明华,2
401,裘兴祥,2
402,吕卫平,2
403,广电,2
404,金融电子,2
405,智能卡,2
406,成暐,2
407,男女,2
408,总会计师,2
409,河南省,2
410,常委,2
411,国脉,2
412,网络科技,2
413,办公厅,2
414,调研员,2
415,技术员,2
416,人年,2
417,工会主席,2
418,处长,2
419,巡视,2
420,河北,2
421,教师,2
422,研究会,2
423,中国电子商会,2
424,众华,2
425,石油部,2
426,上海市人民政府,2
427,主任科员,2
428,财务处,2
429,副科长,2
430,财务主管,2
431,元器件,2
432,分厂,2
433,邮电通信,2
434,财务经理,2
435,额外,2
436,教育,2
437,社会保险,2
438,住房,2
439,带薪,2
440,东,2
441,异议,2
442,存疑,2
443,之中,2
444,预审,2
445,换届,2
446,年报,2
447,参照,2
448,事先,2
449,告知,2
450,违法行为,2
451,规避,2
452,集体,2
453,浙民破,2
454,中是,2
455,查阅,2
456,询问,2
457,索取,2
458,该笔,2
459,正确性,2
460,检查报告,2
461,涉诉,2
462,获知,2
463,金融机构,2
464,注册号,2
465,获,2
466,增股,2
467,变为,2
468,法人股,2
469,开元,2
470,自动,2
471,检票,2
472,此基础,2
473,等于,2
474,母子公司,2
475,区别,2
476,日为,2
477,中介,2
478,设置,2
479,下以,2
480,超额,2
481,内因,2
482,表因,2
483,方仅,2
484,投出,2
485,因该,2
486,中国人民银行,2
487,当日,2
488,外汇牌价,2
489,中间价,2
490,集中管理,2
491,获利,2
492,载明,2
493,对以,2
494,出于,2
495,一组,2
496,该组,2
497,跌幅,2
498,超出,2
499,组是,2
500,两种,2
501,方以,2
502,或应,2
503,自用,2
504,指为,2
505,相一致,2
506,尚可,2
507,竣工,2
508,动用,2
509,推移,2
510,流量,2
511,指除,2
512,概率,2
513,最新,2
514,因未,2
515,不利条件,2
516,配,2
517,认股权证,2
518,该类,2
519,回售,2
520,本身,2
521,如为,2
522,复合,2
523,归类,2
524,债其,2
525,债自,2
526,其重,2
527,以重,2
528,日该,2
529,政策性,2
530,款额,2
531,余值,2
532,税额,2
533,高新技术,2
534,票,2
535,消耗性,2
536,尚无,2
537,人德润,2
538,万德,2
539,风力,2
540,出质,2
541,净化,2
542,室,2
543,装修,2
544,绿油,2
545,显影机,2
546,期等,2
547,渗漏,2
548,续期,2
549,河道,2
550,技术改造,2
551,折旧费,2
552,修理费,2
553,诉讼费,2
554,付现,2
555,日子,2
556,接管,2
557,东健影,2
558,电子科,2
559,远期,2
560,账项,2
561,约元,2
562,使本,2
563,无本,2
564,车辆,2
565,安徽,2
566,盐城,2
567,委外,2
568,浩定,2
569,温州,2
570,帝嘉豪,2
571,对外贸易,2
572,服装城,2
573,赛迪,2
574,合普,2
575,诉本,2
576,普沪普,1
577,两位,1
578,二未,1
579,成暐何,1
580,三中,1
581,带,1
582,已有,1
583,五经,1
584,否八,1
585,违反规定,1
586,否九,1
587,文义,1
588,另有所指,1
589,含义,1
590,常用,1
591,证监会,1
592,国资委,1
593,中文名称,1
594,中文,1
595,缩写,1
596,人二,1
597,联系人,1
598,联系方式,1
599,联系地址,1
600,电话传真,1
601,号楼,1
602,詹佳敏,1
603,选定,1
604,媒体,1
605,商报,1
606,登载,1
607,上普,1
608,机构名称,1
609,海淀区,1
610,西四环,1
611,中路,1
612,号院,1
613,楼层,1
614,孟红兵,1
615,张力,1
616,福田区,1
617,金田路,1
618,大中华,1
619,广场,1
620,邹文琦,1
621,赵宏,1
622,代表人,1
623,版块,1
624,第一季度,1
625,第二季度,1
626,十非,1
627,第四季度,1
