,分词排序,词频
0,刚泰,567
1,上海,295
2,黄金,161
3,甘肃,121
4,银行,89
5,徐建刚,87
6,矿业,87
7,信息,51
8,黄金饰品,48
9,文化,47
10,杭州,39
11,徐飞君,38
12,北京,37
13,泰,35
14,零售,35
15,配偶,35
16,珠宝,33
17,兰州,32
18,大冶,31
19,翡翠,31
20,钻石,30
21,房地产,30
22,工程,30
23,国鼎,30
24,瑞格,28
25,珂,27
26,传播,26
27,环境,26
28,国泰君安证券股份有限公司,24
29,优娜,23
30,珠宝首饰,22
31,系本,22
32,兰,21
33,地质,21
34,刚股,20
35,国泰君安,19
36,台州,19
37,嘉尚,18
38,信用等级,18
39,土地,17
40,甘肃省,16
41,影视,16
42,期货,15
43,房产,15
44,广州,15
45,网络科技,15
46,副会长,15
47,深圳,15
48,网站,14
49,数据,14
50,浙江,14
51,生物,14
52,资源,13
53,和解,13
54,拍卖,13
55,现货交易,13
56,信托,13
57,金诚,13
58,工商银行,13
59,黄,12
60,海涛,12
61,探矿权,12
62,常务,12
63,下调,12
64,增信,12
65,大桥,11
66,贵金属,11
67,建筑物,11
68,类件,11
69,建设,11
70,股占,11
71,恒丰,11
72,赵瑞俊,11
73,兴业银行,11
74,问询,10
75,回复,10
76,大地,10
77,上海市浦东新区,10
78,黄金珠宝,10
79,金矿,10
80,第期,10
81,扶贫,10
82,辞职,10
83,元系,10
84,银行贷款,10
85,洽谈,10
86,续贷,10
87,华能,9
88,联合大厦,9
89,旗下,9
90,传媒,9
91,金融机构,9
92,收藏品,9
93,许可证,9
94,带,9
95,方及,9
96,天津,9
97,系由刚,9
98,福建,9
99,媒体,8
100,广场,8
101,宝石,8
102,回售,8
103,决策者,8
104,材料,8
105,可回收,8
106,核查,7
107,权限,7
108,决策机构,7
109,互联网,7
110,彩宝,7
111,采矿权,7
112,名单,7
113,优先购买,7
114,定期存款,7
115,玉器,7
116,类件件,7
117,香港,7
118,商会,7
119,孙可人,7
120,教育费,7
121,实物,7
122,吾,7
123,伊,7
124,刚浩,7
125,延用,7
126,开元,7
127,陇南,7
128,陆家嘴,6
129,环路,6
130,消费,6
131,金价,6
132,金属,6
133,电视剧,6
134,负面,6
135,珠宝饰品,6
136,台州市,6
137,利用自身,6
138,谋求,6
139,江苏,6
140,成交,6
141,排污,6
142,环保,6
143,达标,6
144,常委,6
145,联合会,6
146,浙商,6
147,等级,6
148,油气,6
149,代理人,6
150,被套,6
151,垫,6
152,资后,6
153,饰品,6
154,国投,6
155,瑞银,6
156,贝腾,6
157,场地,6
158,澜,5
159,长信,5
160,乙,5
161,禾嘉,5
162,睿,5
163,淮茂,5
164,众华,5
165,楼,5
166,传统,5
167,镶嵌,5
168,产品设计,5
169,鲍,5
170,丽丽,5
171,类克,5
172,克拉,5
173,教育,5
174,制品,5
175,中央银行,5
176,自查,5
177,红塔,5
178,对待,5
179,同日,5
180,鱼洞,5
181,旅游,5
182,平等,5
183,尾矿库,5
184,青年,5
185,事业,5
186,朱,5
187,永利,5
188,存续,5
189,第年,5
190,渤海,5
191,借款人,5
192,远期,5
193,缺勤,5
194,残疾,5
195,作品,5
196,款年,5
197,农商,5
198,南京,5
199,交通银行,5
200,宁波,5
201,文化产业,5
202,富阳,5
203,正信,5
204,如金,5
205,腾讯,4
206,南通,4
207,非金融,4
208,杠杆,4
209,报道,4
210,重要性,4
211,品类,4
212,规避,4
213,米莱,4
214,电商,4
215,宗,4
216,金矿石,4
217,品位,4
218,筹划,4
219,影视娱乐,4
220,单价,4
221,克,4
222,孙,4
223,开采,4
224,尽快,4
225,较长,4
226,金能,4
227,贵州,4
228,福茂源,4
229,控制性,4
230,买方,4
231,截止日,4
232,持续性,4
233,涉案,4
234,中海,4
235,订购,4
236,论证,4
237,中介机构,4
238,洞村,4
239,协助,4
240,村,4
241,户,4
242,环境保护,4
243,车间,4
244,上海市工商联,4
245,浦东新区,4
246,李宪琛,4
247,王小明,4
248,徐景琪,4
249,张建兵,4
250,导师,4
251,期刊,4
252,复旦大学,4
253,汽车,4
254,召集,4
255,时有,4
256,监管部门,4
257,不定期,4
258,决策权,4
259,表时,4
260,低值易耗品,4
261,组时,4
262,矿山,4
263,带薪,4
264,电影,4
265,交割,4
266,建造,4
267,曼晟,4
268,组含,4
269,营业部,4
270,华龙,4
271,浙银,4
272,天虹,4
273,影视制作,4
274,外汇,4
275,益流,4
276,泰会,4
277,国际贸易,4
278,鸿,4
279,知邦,4
280,还清,4
281,为止,4
282,无否,4
283,室室,4
284,无需,4
285,第三十七,3
286,元鼎,3
287,悦隆,3
288,联系人,3
289,联系方式,3
290,兰州市,3
291,路,3
292,自然灾害,3
293,一次性,3
294,未指定,3
295,负面新闻,3
296,负面影响,3
297,顾问,3
298,迎难而上,3
299,着力,3
300,御承金,3
301,系列产品,3
302,矿产资源,3
303,十大,3
304,高度,3
305,矿区,3
306,未达,3
307,审慎,3
308,同等条件,3
309,多方面,3
310,不含税,3
311,无年,3
312,系统软件,3
313,缩短,3
314,账期,3
315,企业债券,3
316,客,3
317,水晶,3
318,珍珠,3
319,克拉克,3
320,第二十次,3
321,第十五次,3
322,瘦身,3
323,战略目标,3
324,奢侈品,3
325,设置,3
326,黄金价格,3
327,黄金市场,3
328,安全事故,3
329,危险品,3
330,无效,3
331,超出,3
332,名下,3
333,利益冲突,3
334,无条件,3
335,优于,3
336,如刚,3
337,该类,3
338,若有,3
339,市场经济,3
340,公开招标,3
341,严格控制,3
342,赫连剑茹,3
343,统计,3
344,诉讼费,3
345,调解,3
346,浙,3
347,友好,3
348,集合,3
349,纠纷案件,3
350,嫌疑,3
351,停牌,3
352,第八次,3
353,第五次,3
354,摘要,3
355,鱼,3
356,县政府,3
357,饮水,3
358,维修,3
359,健康,3
360,慰问,3
361,西和县,3
362,科技,3
363,举办,3
364,排放,3
365,运转,3
366,检测,3
367,担保人,3
368,矿产品,3
369,职工代表,3
370,陈欢,3
371,总会计师,3
372,博士生,3
373,法学院,3
374,季立,3
375,研究会,3
376,师,3
377,茗,3
378,辞去,3
379,通讯,3
380,还本,3
381,晚于,3
382,列入,3
