,分词排序,词频
0,青岛海尔,594
1,海尔,343
2,青岛,250
3,海尔集团,148
4,上海,141
5,电器,106
6,科技,96
7,排放,88
8,信息,85
9,智慧,73
10,家电,68
11,智能,66
12,洗衣机,60
13,北京,56
14,合肥,54
15,冰箱,49
16,电冰箱,49
17,空调,48
18,体验,48
19,制造,48
20,浓度,46
21,高新技术,44
22,建设,42
23,数据,41
24,物流,41
25,成套,40
26,联网,40
27,空调器,39
28,家庭,38
29,外汇,38
30,工程,35
31,远期,35
32,银行,35
33,电子,33
34,特种,33
35,附属,33
36,速率,32
37,重庆,31
38,高科园,31
39,热水器,30
40,材料,30
41,卡萨帝,29
42,环境,29
43,家用电器,27
44,定制,27
45,工业,26
46,资源,26
47,健康,25
48,房地产,25
49,武汉,25
50,废气,25
51,工厂,24
52,生态,23
53,大连,23
54,网络,22
55,电器集团,21
56,梁海,20
57,网站,20
58,制冷,20
59,互联,19
60,零售,19
61,电机,19
62,日日,19
63,扶贫,19
64,山,18
65,场景,18
66,迭代,18
67,零售额,18
68,消费,18
69,土地,18
70,贵州,18
71,河钢,18
72,青岛市,17
73,工业园,17
74,房产,17
75,四大,16
76,香港,16
77,厨电,16
78,全屋,16
79,交互,16
80,终端,16
81,滚筒,15
82,家居,15
83,线下,15
84,瑕疵,15
85,塑胶,15
86,续表,15
87,合一,14
88,新西兰,14
89,电商,14
90,欧洲,14
91,触点,14
92,结构性,14
93,创业投资,14
94,中央空调,13
95,冷冻,13
96,三菱,13
97,重工,13
98,电冰柜,13
99,电气,12
100,全球化,12
101,人单,12
102,软件,12
103,达标,12
104,厂界,12
105,风向,12
106,男生,12
107,精算,12
108,西部,12
109,天津,12
110,研制,12
111,重庆市,12
112,江北区,12
113,模具,11
114,胶州,11
115,厨房,11
116,体现,11
117,路,11
118,消费者,11
119,互联网,11
120,国际标准,11
121,落地,11
122,噪声,11
123,谭丽霞,11
124,济南,11
125,损失率,11
126,网络科技,11
127,刘海峰,10
128,山东,10
129,洗碗机,10
130,空气,10
131,电子产品,10
132,创牌,10
133,保鲜,10
134,首个,10
135,大规模,10
136,展示,10
137,自动,10
138,节能,10
139,环保,10
140,小微,10
141,模型,10
142,盛丰,10
143,能源,10
144,衍生品,10
145,塑料,10
146,开利,10
