,分词排序,词频
0,影城,368
1,耀莱,238
2,北京,197
3,游戏,197
4,文化,137
5,电影,122
6,影视,108
7,网络科技,107
8,上海,88
9,文投,71
10,网络,70
11,春天,70
12,票房,62
13,腾龙,60
14,信息,56
15,成龙,51
16,玩,47
17,科技,45
18,影院,45
19,导演,44
20,信托,43
21,镇江,42
22,文化传媒,41
23,电视剧,40
24,文资,39
25,綦建虹,39
26,霍尔果斯,37
27,广州,36
28,影片,36
29,参投,34
30,工程,31
31,主演,30
32,侠聚,28
33,江苏,27
34,传媒,27
35,南京,27
36,网络游戏,27
37,经纪,27
38,软件,27
39,建设,24
40,数据,24
41,上映,24
42,许可证,24
43,互娱,23
44,九届,22
45,创意,22
46,文化产业,22
47,银幕,22
48,文资办,21
49,放映,21
50,影视文化,20
51,自由,20
52,星河,20
53,非公,20
54,行股,20
55,赵小东,20
56,袁敬,20
57,大连,20
58,装修,20
59,天津,19
60,软件产品,19
61,星娱,18
62,证书编号,18
63,拍摄,17
64,太原,17
65,观影,16
66,著作权,16
67,万宁,16
68,周茂非,15
69,文创,15
70,常州,15
71,主控,15
72,网剧,15
73,影视作品,15
74,播出,15
75,华邦,15
76,成都,15
77,观众,14
78,视频,14
79,移动游戏,14
80,作品,14
81,欢乐,14
82,嘉,14
83,凤凰,14
84,组为,14
85,编剧,13
86,影业,13
87,汇聚,13
88,敞雍,13
89,无需,13
90,上线,12
91,演艺,12
92,环境,12
93,资源,12
94,银行,12
95,筹备,12
96,小镇,12
97,模特,12
98,还本付息,12
99,航空,12
100,武汉,12
101,枣庄,12
102,南通,12
103,合肥,12
104,娱乐,11
105,社区,11
106,万达,11
107,版权,11
108,重庆,11
109,海涛,10
110,房地产,10
111,院线,10
112,影视剧,10
113,多部,10
114,公映,10
115,审查,10
116,内限售,10
117,生物,10
118,闽侯县,10
119,福州市,10
120,泉州市,10
121,浦城县,10
122,建造,10
123,傲游,10
124,免征,10
125,催收,10
126,阎瑞杰,9
127,丰煜,9
128,分成,9
129,宣传,9
130,攻城,9
131,发起,9
132,民生,9
133,郑州,9
134,冯军,9
135,直播,9
136,改编权,9
137,持高,9
138,二四六,9
139,零,9
140,行业协会,9
141,西安,9
142,蚌埠,9
143,君联嘉睿,8
144,汽车,8
145,去年同期,8
146,新闻出版,8
147,广播电视,8
148,块,8
149,较强,8
150,精品,8
151,三国,8
152,流水,8
153,冬奥会,8
154,浙江,8
155,建平,8
156,石家庄,8
157,玄苍,8
158,智慧,8
159,悦乐,8
160,减半,8
161,苏,8
162,高新技术,8
163,遗留,8
164,璟,8
165,阁,8
166,立茂,7
167,增,7
168,青岛,7
169,微影,7
170,不及,7
171,档,7
172,人次,7
173,国产,7
174,资源优势,7
175,高品质,7
176,策划,7
177,多家,7
178,圣泉,7
179,集合,7
180,文华,7
181,后期制作,7
182,型基金,7
183,中央银行,7
184,户,7
185,材料,7
186,指禅,7
187,文娱,7
188,信息化,7
189,此案,7
190,大华,6
191,监督管理,6
192,易乐,6
193,辽宁省,6
194,网站,6
195,文化娱乐,6
196,卖品,6
197,衍生品,6
198,传播,6
199,横向,6
200,纵向,6
201,头部,6
202,口碑,6
203,腾讯,6
204,题材,6
205,游,6
206,谋求,6
207,签约,6
208,赞助商,6
209,下半年,6
210,四个,6
211,物业,6
212,补足,6
213,结构性,6
214,梅,6
215,信息技术,6
216,金榜,6
217,酒业,6
218,油气,6
219,北文,6
220,海阳,6
221,兰州,6
222,日止,6
223,土地,6
224,教育费,6
225,卓韵,6
226,沈阳,6
227,泉州,6
228,长春,6
229,济南,6
230,苏州,6
231,无锡,6
232,安赐,5
233,沈阳市,5
234,苏家屯区,5
235,白松路,5
236,松辽,5
237,英伦,5
238,逃亡,5
239,英雄本色,5
240,三部,5
241,餐饮,5
242,电视台,5
243,网页,5
244,广电总局,5
245,总局,5
246,健康,5
247,档期,5
248,下滑,5
249,表现,5
250,着力,5
251,快,5
252,加剧,5
253,剧目,5
254,部集,5
255,成熟,5
256,金融机构,5
257,新建,5
258,年底,5
259,体验,5
260,知名,5
261,页,5
262,消费,5
263,福建,5
264,创作,5
265,协助,5
266,城,5
267,皓,5
268,镧,5
269,出版,5
270,玩家,5
271,备用,5
272,充值,5
273,演员,5
274,详情,5
275,审字,5
276,郝文彦,5
277,异议,5
278,单方面,5
279,子,5
280,招商银行,5
281,教育,5
282,乐玩,5
283,四方,5
284,香港,5
285,沪,5
286,宣畅,5
287,向耀莱,5
288,冲抵,5
289,宾利,4
290,壹号,4
291,京润,4
292,华信,4
293,超越,4
294,印信,4
295,凯石,4
296,华文,4
297,四川,4
298,决绝,4
299,剧本,4
300,各大,4
301,道具,4
