,分词排序,词频
0,东软,964
1,汽车,229
2,睿,217
3,沈阳,174
4,驰,157
5,上海,145
6,医疗,125
7,科技,118
8,软件,106
9,大连,99
10,数据,98
11,信息,76
12,北京,76
13,计算机,69
14,智能,60
15,工程,60
16,信息技术,59
17,智慧,56
18,软硬件,56
19,阿尔派,56
20,互联网,55
21,银行,54
22,健康,53
23,香港,52
24,系统集成,52
25,驰达,49
26,新能源,47
27,建设,47
28,咨询服务,44
29,望海,40
30,株式会社,38
31,医院,37
32,天津,36
33,东北大学,35
34,电子,33
35,熙康,32
36,否否否,32
37,互联,30
38,邯郸,27
39,教育,26
40,八届,25
41,欧洲,24
42,集成,24
43,融盛,24
44,东芝,24
45,联网,23
46,首席,22
47,刘积仁,22
48,房地产,22
49,物业管理,22
50,注年,22
51,人工智能,21
52,扶贫,21
53,生活空间,21
54,澄迈,21
55,房租,21
56,驾驶,19
57,信息化,19
58,广州,19
59,软件系统,19
60,社会保障,18
61,河北,18
62,诺基亚,18
63,总裁兼,17
64,面向,17
65,通信,17
66,委派代表,17
67,甘肃,16
68,环境,16
69,社保,16
70,服务业,16
71,财险,16
72,交通,16
73,获授,16
74,东控,16
75,张晓鸥,15
76,制造,15
77,专业化,15
78,奖,15
79,山东,15
80,计算机软件,15
81,海南,15
82,智能化,14
83,财产保险,14
84,保险,14
85,西藏,14
86,联营公司,14
87,武汉,14
88,沈阳市,13
89,环保,13
90,资源,13
91,电动汽车,13
92,土地,13
93,立信,12
94,车载,12
95,生态,12
96,为此,12
97,充电,12
98,技术咨询,12
99,软件开发,12
100,云舍,12
101,康睿道,12
102,日元,12
103,罗马尼亚,12
104,亚信,11
105,数据服务,11
106,全球化,11
107,荣获,11
108,工业,11
109,德国,11
110,服务平台,11
111,物业,11
112,科技产业,11
113,成都,11
114,生物,11
115,金辉,10
116,软件产品,10
117,医保,10
118,生态系统,10
119,网络,10
120,政务,10
121,联盟,10
122,动力电池,10
123,车,10
124,辽宁,10
125,数港,10
126,澳门,10
127,澳门元,10
128,兰州,10
129,升值,10
130,贬值,10
131,福瑞驰,10
132,农民工,10
133,博士,10
134,始任,10
135,智医,10
136,建筑物,10
137,官,9
138,软件园,9
139,网站,9
140,自动,9
141,医疗系统,9
142,更名,9
143,助力,9
144,承接,9
145,硬件,9
146,兴业银行,9
147,中原,9
148,信托,9
149,本部,9
150,脱贫,9
151,咨询中心,9
152,产业园,9
153,计征,9
154,利博赛,9
155,列伊,9
156,王勇峰,8
157,科研项目,8
158,余家,8
159,数字化,8
160,共享,8
161,事业,8
162,挑战,8
163,一体化,8
164,南宁,8
165,宁波,8
166,车厂,8
167,西安,8
168,技术支持,8
169,民生,8
170,出资额,8
171,接,8
172,仁爱,8
173,日为,8
174,还本付息,8
175,杭州,8
176,长春,8
177,宜昌,8
178,服务收入,8
179,兰瑞科创,8
180,王巍,7
181,浑南,7
182,新秀,7
183,街号,7
184,人社,7
185,场景,7
186,存储,7
187,党建,7
188,辽宁省,7
189,签约,7
190,人工成本,7
191,分包,7
192,七届,7
193,技术转让,7
194,材料,7
195,桩,7
196,太白山,7
197,已达成,7
198,合称,7
199,留守人员,7
200,创业投资,7
201,徐州,7
202,重庆,7
203,教育费,7
204,拨款,7
205,思维,7
206,王楠,6
207,变革,6
208,电信,6
209,运营商,6
210,智能网,6
211,联,6
212,社区,6
213,出行,6
214,虚拟,6
215,实践,6
216,落地,6
217,终端,6
218,南昌,6
219,缴费,6
220,信息安全,6
221,无锡,6
222,本田,6
223,高校,6
224,售后服务,6
225,注注,6
226,投资额,6
227,弘,6
228,瑞士法郎,6
229,扣缴,6
230,持本,6
231,意向书,6
232,邓锋,6
233,卢,6
234,朝霞,6
235,职,6
236,最具,6
237,创投,6
238,汉朗,6
239,工作量,6
240,油气,6
241,芜湖,6
242,郑州,6
243,合肥,6
244,建造,6
245,天任,6
246,注睿驰,6
247,购买价,6
248,保险费,6
249,数码技术,6
250,徐洪利,5
251,执行官,5
252,第一家,5
253,软件技术,5
254,余个,5
255,医疗机构,5
256,覆盖全国,5
257,厂商,5
258,入选,5
259,再次,5
260,两级,5
261,商业模式,5
262,商业价值,5
263,卓越,5
264,信息系统,5
265,市场占有率,5
266,就业,5
267,附属,5
268,国家级,5
269,人民,5
270,多家,5
271,金融机构,5
272,安徽,5
273,深圳,5
274,青岛,5
275,管理系统,5
276,量产,5
277,车辆,5
278,东风,5
279,框架,5
280,广东,5
281,获,5
282,软件产业,5
283,不适,5
284,孵化器,5
285,数据处理,5
286,动力系统,5
287,等车,5
288,社会化,5
289,联动,5
290,超出,5
291,关爱,5
292,兜底,5
293,小学,5
294,外资,5
295,职工股,5
296,宜保,5
297,吾,5
298,张霞,5
299,其所,5
300,理事会,5
301,企业家,5
302,清华大学,5
303,学士,5
304,由股,5
305,湖南,5
306,唐山,5
307,南京,5
308,襄阳,5
309,除净,5
310,纳税人,5
311,新加坡元,5
312,陈锡民,4
313,刘淑莲,4
314,化发展,4
315,近家,4
316,基层,4
317,电力,4
318,东,4
319,家庭,4
320,商务,4
321,传播,4
322,区块,4
323,自动化,4
324,省,4
325,国际化,4
326,称号,4
327,模型,4
328,深刻,4
329,深化,4
330,网络化,4
331,国务院,4
332,无处不在,4
333,成熟,4
334,盛,4
