,分词排序,词频
0,百花,211
1,医药,201
2,村,170
3,新疆,154
4,华威,130
5,南京,83
6,房地产,75
7,信息,61
8,天津,51
9,科技,42
10,临床,40
11,国有资产,40
12,新疆生产建设兵团,40
13,临床试验,33
14,乌鲁木齐,31
15,师,31
16,国资,30
17,兵团,30
18,张孝清,29
19,银行,28
20,工程,27
21,江苏,27
22,换届,25
23,南京市,24
24,生物,21
25,土地,21
26,乌鲁木齐市,19
27,药物,19
28,国际贸易,18
29,招商银行,16
30,郑彩红,15
31,数据,15
32,药业,15
33,营业部,15
34,瑞东,15
35,栖霞区,15
36,康缘,14
37,步步,13
38,制药,13
39,蔡子,12
40,恒星,12
41,技术转让,12
42,批件,12
43,体育,12
44,生金,12
45,汉族,12
46,老师,12
47,授课,12
48,建设,12
49,药品,11
50,检测,11
51,焦炭,11
52,医药行业,11
53,全员,11
54,基准日,11
55,上海,10
56,药,10
57,汽车,10
58,协议书,10
59,西藏,10
60,财富,10
61,建筑物,10
62,教育费,10
63,生物科技,10
64,瑞华,9
65,余涛,9
66,北京,9
67,医院,9
68,农业,9
69,五家渠市,9
70,高新技术,9
71,精算,9
72,高新区,9
73,长江,8
74,软件园,8
75,新药,8
76,仿制,8
77,大楼,8
78,人工工资,8
79,映像,8
80,数码,8
81,摄影,8
82,六师,8
83,碳素,8
84,畅游,7
85,快餐,7
86,连锁,7
87,李,7
88,法人股,7
89,村海,7
90,餐饮,7
91,张孝清能,7
92,中山路,6
93,业务量,6
94,中间体,6
95,环境,6
96,中辉,6
97,査,6
98,安诺,6
99,鸿基,6
100,焦化,6
101,常务,6
102,朱玉陵,6
103,错,6
104,经营收入,6
105,服务收入,6
106,商业贸易,6
107,陕西,6
108,统众,6
109,投出,6
110,参照,6
111,自用,6
112,维修,6
113,稳岗,6
114,外汇,6
115,致使,5
116,礼华,5
117,延伸,5
118,化学,5
119,医药企业,5
120,缩减,5
121,引入,5
122,规避,5
123,车辆,5
124,检测费,5
125,文化产业,5
126,科技开发,5
127,分歧,5
128,拟向,5
129,安海维,5
130,安博新,5
131,户,5
132,大明,5
133,研究员,5
134,大黄山,5
135,退休,5
136,农六师,5
137,华阳,5
138,油气,5
139,工业,5
140,煤业,5
141,当日,5
142,交易市场,5
143,同类,5
144,建造,5
145,商品销售,5
146,工作量,5
147,青少年,5
148,俱乐部,5
149,财务局,5
150,福建,5
151,万融,5
152,款年,5
153,中碳,5
154,天津市,5
155,奥尚,5
156,庞大,5
157,网站,4
158,协同效应,4
159,制剂,4
160,专业化,4
161,能源,4
162,合成,4
163,堆存,4
164,人工成本,4
165,销售业务,4
166,折旧费,4
167,材料,4
168,大美,4
169,竣工,4
170,装修,4
171,医药产业,4
172,服务项目,4
173,下述,4
174,公式,4
175,日内,4
176,商业机会,4
177,后本,4
178,投宁泰,4
179,威德,4
180,准噶尔,4
181,创业投资,4
182,设计院,4
183,中基,4
184,雪莲,4
185,博士,4
186,宋岩,4
187,天阳,4
188,展示中心,4
189,资格证,4
190,教育,4
191,通讯,4
192,报错,4
193,模型,4
194,中央银行,4
195,礼,4
196,颐,4
197,低值易耗品,4
198,保险费,4
199,货权,4
200,补助款,4
201,归类,4
202,纳税人,4
203,免征,4
204,所得税法,4
205,佳信,4
206,拍卖,4
207,楼,4
208,社保,4
209,栖霞,4
210,党费,4
211,第二批,4
212,碳,4
213,双龙,4
214,王,3
215,西,3
216,显失,3
217,一次性,3
218,个性化,3
219,黄龙,3
220,进口,3
221,样品,3
222,靶标,3
223,协助,3
224,外包,3
225,最大化,3
226,放缓,3
227,煤炭,3
228,成本上升,3
229,资源,3
230,亚洲,3
231,手,3
232,同等条件,3
233,资深,3
234,内审,3
235,防控,3
236,房产,3
237,内部监督,3
238,健康,3
239,更换,3
240,装卸,3
241,医药公司,3
242,景观,3
243,出让金,3
244,分子,3
245,试剂,3
246,器械,3
247,文化,3
248,医疗,3
249,加剧,3
250,流失,3
251,制订,3
252,股改,3
253,从业,3
254,村以,3
255,苏梅,3
256,经济损失,3
257,确有,3
258,高投,3
259,蒋玉伟,3
260,汤,3
261,怀松桂,3
262,尚苑,3
263,礼安,3
264,权属,3
265,发,3
266,物资公司,3
267,完整性,3
268,身份,3
269,未向,3
270,签署日,3
271,信达,3
272,排污,3
273,新农,3
274,瑞丰,3
275,保税,3
276,勘测,3
277,王庆辉,3
278,田萍,3
279,吕政田,3
280,吴明,3
281,兴元,3
282,李娜,3
283,职称,3
284,青格,3
285,生态区,3
286,生产资料,3
287,扬子江,3
288,顾政一,3
289,工商管理,3
290,工会,3
291,平等,3
292,高风险,3
293,层面,3
294,纠正,3
295,样本,3
296,负面影响,3
297,选取,3
298,保费,3
299,准备金,3
300,软件,3
301,文,3
302,监督管理,3
303,拜城,3
304,物产,3
305,建设工程,3
306,建工,3
307,阿拉尔,3
308,股股,3
309,指为,3
310,表中,3
311,数在,3
312,下同,3
313,公平交易,3
314,近期,3
315,除此以外,3
316,项本,3
317,包装物,3
318,除净,3
319,中除,3
320,日以,3
321,乘以,3
322,出价,3
323,养老保险,3
324,每一,3
325,税项,3
326,销项税额,3
327,新疆维吾尔自治区,3
328,地方税务局,3
329,同信,3
330,物业管理,3
331,商业银行,3
332,减幅,3
333,款及,3
334,建筑工程,3
335,国债,3
336,天津港,3
337,管委会,3
338,财企号,3
339,纠纷案件,3
340,股占,3
341,委托人,2
342,已有,2
343,外后,2
344,经瑞华,2
345,外文,2
346,电子信箱,2
347,网址,2
348,王瑜,2
349,媒体,2
350,地产,2
351,寻,2
352,兴隆,2
353,非金融,2
354,自然灾害,2
355,业务范围,2
356,商业模式,2
357,多样化,2
358,商务,2
359,默思,2
360,药企,2
361,专注,2
362,抗肿瘤,2
363,筛选,2
364,药学,2
365,前景,2
366,申办,2
367,现状,2
368,自营,2
369,嘉能,2
370,咨字,2
371,率为,2
372,成熟,2
373,手性,2
374,催化,2
375,定向,2
376,核心技术,2
377,缓,2
378,控释,2
379,先发,2
380,较强,2
381,创新能力,2
382,卓信,2
383,大华,2
384,尚余,2
385,选聘,2
386,董监,2
387,专业性,2
388,异议,2
389,尊重,2
390,理解,2
391,努力提高,2
392,维权,2
393,清查,2
394,管理状况,2
395,小组,2
396,子,2
397,力量,2
398,夯实,2
399,契机,2
400,赌,2
401,业态,2
402,消防安全,2
403,贸易规模,2
404,人工,2
405,人均,2
406,仪器设备,2
407,水电,2
408,中医院,2
409,等委外,2
410,大幅度,2
411,二非,2
412,工程项目,2
413,抵消,2
414,对康缘,2
415,购,2
416,第条,2
417,产品开发,2
418,指南,2
419,产业结构,2
420,扩展,2
421,半数以上,2
422,交流,2
423,收购人,2
424,之中,2
425,所作,2
426,证券期货,2
427,简单,2
428,数且,2
429,不足以,2
430,入股,2
431,尽量避免,2
432,操作,2
433,规章,2
434,回避,2
435,杜绝,2
436,非法,2
437,再融资,2
438,清晰,2
439,历次,2
440,信托,2
441,华成,2
442,之附,2
443,国家有关,2
444,商标权,2
445,了结,2
446,证券市场,2
447,真实性,2
448,调,2
449,利润率,2
450,人力资源,2
451,对手,2
452,测算,2
453,争议,2
454,解聘,2
455,西安,2
456,希格玛,2
457,为元股,2
458,孙,2
459,余万元,2
460,黄金周,2
461,自保,2
462,本是,2
463,环保,2
464,外资股,2
465,宁波,2
466,梅山,2
467,港区,2
468,道康,2
469,祥云,2
470,嘉企,2
471,人王,2
472,性别,2
473,文宝,2
474,侯,2
475,铁军,2
476,赵军,2
477,王道,2
478,君,2
479,建平,2
480,张军,2
481,张孝清王,2
482,女年生,2
483,经济师,2
484,南京医科大学,2
485,医药集团,2
486,工商联,2
487,五家渠,2
488,博士生,2
489,长,2
490,副所长,2
491,八一,2
492,纪委书记,2
493,工会主席,2
494,专职,2
495,现已,2
496,马,2
497,税务师,2
498,审华,2
499,学士学位,2
500,就职,2
501,熟悉,2
502,弘盛,2
503,国资委,2
504,公司财务,2
505,纪检监察,2
506,商标,2
507,本科,2
508,在职,2
509,离退休,2
510,带薪,2
511,自主经营,2
512,谨慎,2
513,于本,2
514,取决于,2
515,报率,2
516,正确,2
517,重要性,2
518,指除,2
519,财产损失,2
520,含万,2
521,负面,2
522,缺乏,2
523,所属单位,2
524,该笔,2
525,节点,2
526,期等,2
527,怀疑,2
528,或本,2
529,石油,2
530,芳草,2
531,湖,2
532,糖厂,2
533,通久,2
534,发审,2
535,配股,2
536,北亚,2
537,大合,2
538,西安市,2
539,秦兴,2
540,国务院,2
541,函号,2
542,曾用名,2
543,置,2
544,改革方案,2
545,非流通股,2
546,豫新,2
547,股占本,2
548,编报,2
549,多方,2
550,付出,2
551,中介,2
552,各段,2
553,对比,2
554,按原,2
555,视,2
556,当本,2
557,易于,2
558,兑换,2
559,示,2
560,参与者,2
561,一组,2
562,其摊,2
563,追索权,2
564,额后,2
565,替换,2
566,研,2
567,组是,2
568,之差,2
569,赚取,2
570,现行,2
571,时自,2
572,毁损,2
573,率年,2
574,运输工具,2
575,结果表明,2
576,买方,2
577,医疗保险,2
578,生育,2
579,工伤保险,2
580,住房,2
581,教育经费,2
582,保险,2
583,裁减,2
584,换取,2
585,权在,2
586,形象,2
587,交接,2
588,中有,2
589,检验,2
590,合同规定,2
591,发票,2
592,财政资金,2
593,财政部门,2
594,条例,2
