,分词排序,词频
0,华电,270
1,发电,95
2,能源,91
3,电力,84
4,黑龙江,71
5,热电,71
6,工程,69
7,黑龙江省,67
8,供热,60
9,哈尔滨,53
10,信息,50
11,龙电,40
12,环保,39
13,哈尔滨市,36
14,煤炭,30
15,电量,29
16,机组,29
17,热力,29
18,矿业,28
19,建设,23
20,发电厂,22
21,电厂,21
22,北京,21
23,燃料,21
24,房地产,20
25,南京,19
26,供暖,19
27,万千瓦,18
28,天顺,18
29,煤业,18
30,董凤亮,17
31,排放,17
32,热电厂,17
33,电力设备,17
34,齐齐哈尔,16
35,自动化,15
36,土地,15
37,数据,14
38,电价,14
39,注册资金,14
40,金山,14
41,国电,14
42,上海,13
43,环境,13
44,燃煤,13
45,是因为,13
46,装机容量,12
47,发电量,12
48,上网,12
49,李西金,12
50,陈巴尔虎旗,12
51,富拉尔基,12
52,煤电,11
53,煤矿,11
54,新世纪,11
55,富达,11
56,扶贫,11
57,排污,11
58,物业管理,11
59,陕西,11
60,高新技术,10
61,生物质能,10
62,热网,10
63,超低,10
64,科技,10
65,龙源,10
66,贵州,10
67,生物,10
68,银行,10
69,网站,9
70,蒸汽,9
71,节能,9
72,兴边,9
73,佳木斯,9
74,沈阳,9
75,科工,9
76,电热,9
77,南京市,9
78,管线,9
79,电网,8
80,锅炉,8
81,工业,8
82,监测,8
83,工程施工,8
84,电气,8
85,联产,8
86,应急,8
87,哈热,8
88,制造,8
89,工程师,8
90,包头,8
91,年利率,8
92,李丹,7
93,小时,7
94,面积,7
95,火力发电,7
96,亿千瓦时,7
97,千瓦时,7
98,内蒙古,7
99,黑河市,7
100,三供,7
101,一业,7
102,彰武,7
103,抓好,7
104,哈三,7
105,栖霞区,7
106,烟气,7
107,竣工,7
108,辰,7
109,建筑物,7
110,榆横,7
111,姜,6
112,青松,6
113,年底,6
114,电,6
115,水电,6
116,火电,6
117,资源,6
118,三是,6
119,省内,6
120,科学,6
121,定点,6
122,齐齐哈尔市,6
123,脱硫,6
124,环境保护,6
125,扩建工程,6
126,华能,6
127,油气,6
128,桦川,6
129,协联,6
130,天职,5
131,容量,5
132,供热量,5
133,居民,5
134,健全,5
135,煤耗,5
136,台,5
137,电源,5
138,牡丹江,5
139,技术改造,5
140,发热,5
141,力,5
142,着力,5
143,检修,5
144,对标,5
145,生态,5
146,对策,5
147,上大压,5
148,国务院,5
149,国资委,5
150,和祥,5
151,该笔,5
152,许可证,5
153,外资股,5
154,重工,5
155,总会计师,5
156,富锦市,5
157,建安,5
158,低值易耗品,5
159,日有,5
160,采矿权,5
161,材料,5
162,缴费,5
163,税额,5
164,东华,5
165,稳定期,5
166,利润率,5
167,管网,5
168,石家庄,5
169,瑶池,5
170,南岗区,4
171,香坊区,4
172,大公报,4
173,志成,4
174,一次性,4
175,集中供热,4
176,水,4
177,联动,4
178,四是,4
179,元千,4
180,万吉焦,4
181,清洁,4
182,齐热,4
183,供电,4
184,趸售,4
185,会计科目,4
186,光伏,4
187,省区,4
188,全员,4
189,精益,4
190,信息化,4
191,用电,4
192,政策性,4
193,上诉,4
194,神华,4
195,北京市高级人民法院,4
196,脱贫,4
197,结对,4
198,污染,4
199,环境影响,4
200,减排,4
201,股户,4
202,技术咨询,4
203,陶云鹏,4
204,大学本科,4
205,经济师,4
206,今今,4
207,中央银行,4
208,建筑安装,4
209,龙电宏泰,4
210,三江,4
211,备品备件,4
212,将要,4
213,探矿权,4
214,养老保险,4
215,教育费,4
216,计征,4
217,复审,4
218,华伊,4
219,卓资,4
220,辽宁,4
221,朔州,4
222,英国,4
223,瑞碳,4
224,市长,4
225,禹,4
226,兰根,4
227,佳木斯市,4
228,碳,4
229,电费,4
230,建造,4
231,热费,4
232,辽宁省,4
233,大方,4
234,南,4
235,南自维,4
236,美德,4
237,华盾,4
238,信息安全,4
239,测评,4
240,望亭,4
241,张苏飞,3
242,发电机组,3
243,外文,3
244,大成,3
245,街号,3
246,文化,3
247,自然灾害,3
248,厂用电,3
249,直供,3
250,煤源,3
251,煤炭市场,3
252,用电量,3
253,风电,3
254,电煤,3
255,热源,3
256,电力行业,3
257,健康,3
258,部署,3
259,热量,3
260,时期,3
261,生物质,3
