,分词排序,词频
0,疫苗,225
1,辽宁,206
2,生物,166
3,医药,62
4,信息,60
5,人用,55
6,新疆,52
7,工程,48
8,宝明,47
9,狂犬病,44
10,干馏,42
11,医疗,40
12,建设,39
13,融资券,39
14,广发,37
15,大连,36
16,细胞,35
17,成大,33
18,辽宁省,33
19,零售,31
20,银行,31
21,能源,30
22,生物制药,30
23,方圆,29
24,矿业,29
25,乙脑,28
26,环境,28
27,保险,27
28,换届,26
29,临床,25
30,活疫苗,24
31,连锁,24
32,数据,23
33,灭,23
34,房地产,23
35,预防,22
36,生物制品,21
37,网站,20
38,页岩,20
39,成大弘晟,19
40,废水,19
41,国有资产,18
42,大连市,18
43,沈阳,18
44,中国银行,18
45,新华联,18
46,污水,18
47,华盖,18
48,尚书,17
49,能源开发,17
50,健康,17
51,土地,17
52,排放,17
53,废气,17
54,吉木萨尔县,17
55,钢铁,16
56,国际贸易,16
57,吉林,16
58,油,16
59,志,15
60,钢铁贸易,15
61,二倍体,15
62,材料,15
63,药,15
64,沈阳市,15
65,扶贫,15
66,环保,15
67,人民,14
68,路,14
69,药品,14
70,签发,14
71,污水处理,14
72,山区,13
73,大宗,13
74,药业,13
75,锅炉,13
76,网络,12
77,专业化,12
78,临床试验,12
79,香港,11
80,油页岩,11
81,动物,11
82,县级,11
83,污染物,11
84,应急,11
85,交易商,11
86,研,10
87,万人份,10
88,车间,10
89,疾病,10
90,烟气,10
91,环境影响,10
92,朱昊,10
93,普天,9
94,健,9
95,王璐,9
96,药物,9
97,批件,9
98,批,9
99,配送,9
100,高新技术,9
101,输送,9
102,脱贫,9
103,露天矿,9
104,沿海,9
105,管线,8
106,流感,8
107,东北,8
108,资源,8
109,治疗,8
110,环节,8
111,北京,8
112,人寿保险,8
113,浑南,8
114,底部,8
115,加热炉,8
116,环保局,8
117,陕西,8
118,医药集团,7
119,华,7
120,流感病毒,7
121,冻干,7
122,自治区,7
123,油品,7
124,安全性,7
125,反应器,7
126,接种,7
127,商业化,7
128,甲型肝炎,7
129,开发利用,7
130,高质量,7
131,控制中心,7
132,科技,7
133,气,7
134,集体,7
135,排污,7
136,用水,7
137,厂区,7
138,油气,7
139,炉,7
140,冷却,7
141,环境保护,7
142,监测,7
143,事故,7
144,张黎明,7
145,勘探,7
146,地质,7
147,特钢,7
148,上海,6
149,四价,6
150,裂解,6
151,群群,6
152,脑膜炎,6
153,球菌,6
154,嗜血,6
155,杆菌,6
156,省份,6
157,纺织品,6
158,全程,6
159,国外,6
160,稳定性,6
161,万支,6
162,多价,6
163,检测,6
164,人份,6
165,物流,6
166,远期,6
167,新药,6
168,疾控中心,6
169,扎实,6
170,来源于,6
171,产业政策,6
172,仓储,6
173,工伤保险,6
174,矿石,6
175,抓好,6
176,基础设施,6
177,富邦,6
178,水,6
179,燃煤,6
180,台,6
181,采区,6
182,噪声,6
183,颗粒,6
184,油罐,6
185,储罐,6
186,出水,6
187,半焦,6
188,池,6
189,油泥,6
190,污泥,6
191,发号,6
192,巨人,6
193,李宁,6
194,创业投资,6
195,讲师,6
196,为天,6
197,该期,6
198,每次,6
199,嵌入,6
200,建筑物,6
201,缺勤,6
202,免租,6
203,活期存款,6
204,债转股,6
205,天超,6
206,国资,5
207,稳步,5
208,多糖,5
209,煤炭,5
210,本溪,5
211,联合疫苗,5
212,国债,5
213,公司债,5
214,注本,5
215,二类,5
216,广阔,5
217,病毒,5
218,常规,5
219,生产工艺,5
220,狂犬,5
221,运输,5
222,医疗保险,5
223,生育,5
224,医疗机构,5
225,特华,5
226,自该,5
227,施行,5
228,群,5
229,单元,5
230,脱硫,5
231,净化,5
232,分离,5
233,排水,5
234,厅,5
235,竣工,5
236,吉环项,5
237,环境污染,5
238,管理程序,5
239,控制程序,5
240,英士,5
241,针棉,5
242,毛织品,5
243,课程,5
244,金诚,5
245,信用等级,5
246,倍数,5
247,依次,5
248,很小,5
249,中将,5
250,保险费,5
251,住房,5
252,带薪,5
253,交货,5
254,联营公司,5
255,教育费,5
256,嘉兴,5
257,济峰,5
258,缴费,5
259,外汇,5
260,保税区,5
261,主承销,5
262,占洋,4
263,卓越,4
264,直辖市,4
265,发展前景,4
266,管理者,4
267,激烈,4
268,知名度,4
269,已有,4
270,稳居,4
271,宝,4
272,规模化,4
273,核心技术,4
274,金融机构,4
275,态势,4
276,战略规划,4
277,竞争对手,4
278,执行力,4
279,监督管理,4
280,梯队,4
281,市场调研,4
282,注注,4
283,结汇,4
284,开具,4
285,近年,4
286,落地,4
287,升级换代,4
288,生物科技,4
289,值得,4
290,检验,4
291,视野,4
292,对成,4
293,社会公众,4
294,面向全国,4
295,冷链,4
296,审评,4
297,产品名称,4
298,诊断,4
299,可比,4
300,投资额,4
301,丰泰,4
302,热电,4
303,产权交易,4
304,会员,4
305,村,4
306,合作社,4
307,生产废水,4
308,烟囱,4
309,达标排放,4
310,污染源,4
311,收尘,4
312,含尘,4
313,爆破,4
314,燃烧,4
315,粉尘,4
316,混合,4
317,煤气站,4
318,经管,4
319,垃圾,4
320,登记表,4
321,新疆维吾尔自治区,4
322,环函号,4
323,文,4
324,救援,4
325,物业管理,4
326,必书,4
327,姚宏,4
328,泰华,4
329,王心,4
330,财产保险,4
331,财务会计,4
332,王滨,4
333,李晓张,4
334,人才培养,4
335,贡献,4
336,通讯,4
337,第三期,4
338,中央银行,4
339,青海,4
340,田牌,4
341,制衣,4
342,乘以,4
343,另一方,4
344,转售,4
345,工程项目,4
346,建造,4
347,采矿权,4
348,开发成本,4
349,矿山,4
350,上限,4
351,日以,4
352,接收,4
353,初,4
354,税额,4
355,款年,4
356,古海,4
357,一号,4
358,技术改造,4
359,正达,4
360,停产,4
361,基建,4
362,产业基地,4
363,产业园,4
364,一次性,4
365,日元,4
366,和平区,4
367,招商银行,4
368,联席,4
369,重点项目,3
370,联系人,3
371,联系方式,3
372,媒体,3
373,西城区,3
374,大街,3
375,中信证券,3
376,外资股,3
377,主板,3
378,第四季度,3
379,下滑,3
380,双价,3
381,肾,3
382,综合征,3
383,出血热,3
384,自营,3
385,物流配送,3
386,河北,3
387,两家,3
388,深化,3
389,保险行业,3
390,回升,3
391,开采,3
392,业内,3
393,消化吸收,3
394,制备,3
395,批量生产,3
396,一支,3
397,多元化,3
398,较强,3
399,把握,3
400,抓住,3
401,着力,3
402,效应,3
403,挑战,3
404,顺利,3
405,监管部门,3
406,防范,3
407,试生产,3
408,初步,3
409,预处理,3
410,房租,3
411,信用证,3
412,办公楼,3
413,授信额度,3
414,浙商,3
415,中国民生银行,3
416,物业,3
417,建筑面积,3
418,营口,3
419,盘锦,3
420,占据,3
421,外资,3
422,乙肝,3
423,通用,3
424,少,3
425,促使,3
426,结构性,3
427,传统,3
428,领先地位,3
429,一体化,3
430,信赖,3
431,四个,3
432,配备,3
433,占地面积,3
434,预,3
435,强大,3
436,学术,3
437,市场占有率,3
438,寻求,3
439,甄选,3
440,引进技术,3
441,共同开发,3
442,速度,3
443,得以,3
444,理解,3
445,主流,3
446,广州,3
447,取决于,3
448,创新性,3
449,持续性,3
450,市场推广,3
451,早日,3
452,公共资源,3
453,交易平台,3
454,不断加强,3
455,医保,3
456,深圳,3
457,年前,3
458,三季度,3
459,应予,3
460,兼并,3
461,合规性,3
462,经纪,3
463,集约化,3
464,进一步提高,3
465,商品价格,3
466,对冲,3
467,香港联交所,3
468,羴,3
469,绿色,3
470,养殖,3
471,乡村,3
472,基层,3
473,贫困户,3
474,环境保护部,3
475,门,3
476,氨氮,3
477,燃油锅炉,3
478,例行,3
479,后经,3
480,减振,3
481,危险废物,3
482,降尘,3
483,首,3
484,筛分,3
485,皮带,3
486,固体废物,3
487,堆放,3
488,东侧,3
489,粘土,3
490,压实,3
491,防渗,3
492,煤气,3
493,蒸汽锅炉,3
494,煤场,3
495,灰渣,3
496,车辆,3
497,炉及,3
498,交流,3
499,户,3
500,新华,3
501,建设银行,3
502,定,3
503,增号,3
504,李晓,3
505,李森,3
506,武力,3
507,崔琦,3
508,科长,3
509,服装,3
510,副总,3
511,华安,3
512,食品,3
513,教育,3
514,硕士生,3
515,导师,3
516,大连理工大学,3
517,副科长,3
518,北方,3
519,亚洲,3
520,吴,3
521,必书张,3
522,书林,3
523,思创,3
524,文化,3
525,自主经营,3
526,相关者,3
527,天风,3
528,保费,3
529,准备金,3
530,七七,3
531,后本,3
532,第十次,3
533,表时,3
534,分拆,3
535,一组,3
536,担保物,3
537,参照,3
538,参与者,3
539,相一致,3
540,据此,3
541,半成品,3
542,房产,3
543,机器设备,3
544,届满时,3
545,工会,3
546,教育经费,3
547,相匹配,3
548,精算,3
549,运,3
550,买方,3
551,政策性,3
552,余值,3
553,清理,3
554,新加坡,3
555,西部,3
556,特殊钢,3
557,退税款,3
558,积分,3
559,养老保险,3
560,管理局,3
561,其他费用,3
562,成大恒润,3
563,元尚,3
564,余元,3
565,缴付,3
566,第次,3
567,中市,3
568,协注,3
569,邮政储蓄,3
570,账,3
571,东,3
572,拟定,2
573,详细描述,2
574,查阅,2
575,原子,2
576,外文,2
577,电子信箱,2
578,网址,2
579,选定,2
580,符合国家,2
581,四大,2
582,医改,2
583,九种,2
584,主导,2
585,商为,2
586,强劲,2
587,技术转让,2
588,长期投资,2
589,前列,2
590,在内,2
591,服务业,2
592,战略意义,2
593,化解,2
594,由成,2
595,欧洲,2
596,水产,2
597,组织者,2
598,原油价格,2
599,石油,2
600,致力于,2
601,富有,2
602,战斗力,2
603,手段,2
604,激发,2
605,归属感,2
606,凝聚力,2
607,活力,2
608,积极探索,2
609,药店,2
610,省市,2
611,位居,2
612,口碑,2
613,按批,2
614,七千万,2
615,未见,2
616,独家生产,2
617,产品品质,2
618,认可度,2
619,客户资源,2
620,大规模,2
621,细胞培养,2
622,层析,2
623,纯化,2
624,批次,2
625,唯一,2
626,注射法,2
627,两种,2
628,节省,2
629,免疫,2
630,长期以来,2
631,单边主义,2
632,摩擦,2
633,加剧,2
634,全面实施,2
635,双轮,2
636,创,2
637,资源配置,2
638,努力提高,2
639,运转,2
640,近,2
641,原液,2
642,统筹,2
643,接洽,2
644,合作开发,2
645,聆讯,2
646,直营,2
647,特药,2
648,专科医院,2
649,出口贸易,2
650,全力,2
