,分词排序,词频
0,大连,245
1,大福,101
2,银行,58
3,大显,56
4,富瑞华,46
5,上海,46
6,大连市,45
7,信息,41
8,连长,38
9,辽宁省,37
10,贵金属,33
11,天津,32
12,铜业,32
13,网站,32
14,杭州,32
15,大通,30
16,房地产,30
17,福美,27
18,北京,27
19,资源,24
20,沈阳,23
21,工程,23
22,徐振东,21
23,代威,21
24,模具,20
25,模塑,19
26,有色金属,18
27,应诉,18
28,法律文书,18
29,高级人民法院,17
30,数据,16
31,长富,16
32,时任,16
33,建业,15
34,广发,15
35,土地,14
36,瑞达,14
37,深圳,13
38,送达,13
39,本部,13
40,诉至,13
41,电子,12
42,智盛,12
43,一案,12
44,二审,12
45,案号,12
46,希格玛,11
47,高木,11
48,光电,11
49,工业,11
50,再生资源,11
51,大宗,11
52,浦发银行,11
53,辉,11
54,路桥,11
55,为元注,11
56,器件,10
57,渤海,10
58,长富瑞华,10
59,借贷,10
60,调解,10
61,陈,10
62,男年生,10
63,沈阳市,10
64,生物,10
65,收储,10
66,东北军,10
67,瑞华本,10
68,保税区,9
69,环境,9
70,材料,9
71,撤诉,9
72,判决书,9
73,人梁军,9
74,建筑物,9
75,纠纷案件,9
76,海全,8
77,电子产品,8
78,清欠,8
79,小额贷款,8
80,告诉,8
81,终结,8
82,上诉,8
83,益,8
84,安保,8
85,理,8
86,矿业,8
87,建造,8
88,太平洋,8
89,裁判,8
90,科技,7
91,制造业,7
92,清理,7
93,中喜,7
94,问询,7
95,回复,7
96,名原,7
97,中国银行,7
98,庆春,7
99,和解,7
100,周成,7
101,林先生,7
102,追索,7
103,宣武门,7
104,注注,7
105,南洋,7
106,商业银行,7
107,追索权,7
108,力昊,6
109,金属,6
110,丰禧,6
111,建设,6
112,塑料,6
113,协议书,6
114,朝阳,6
115,北路,6
116,济南,6
117,改制,6
118,民间,6
119,上海银行,6
120,杭州市中级人民法院,6
121,民事裁定,6
122,制造,6
123,于量,6
124,年前,6
125,油气,6
126,二十一,6
127,投出,6
128,教育费,6
129,款年,6
130,西部,6
131,杨,6
132,向东,6
133,博仁,6
134,俞,6
135,诉长,6
136,最高人民法院,6
137,再审,6
138,罚息,6
139,主债务,6
140,梁军,5
141,恒弘,5
142,金属材料,5
143,仓储,5
144,甘井子区,5
145,品及,5
146,恒大,5
147,守盛,5
148,书,5
149,撤回,5
150,诉本,5
151,大容,5
152,精密,5
153,新纪元,5
154,湖南,5
155,通信,5
156,初字,5
157,清晰,5
158,败诉,5
159,极大,5
160,争流,5
161,日元,5
162,大控,4
163,天朗,4
164,鸿图,4
165,刘俊余,4
166,加工区,4
167,第二季度,4
168,第三季度,4
169,经济体,4
170,涉诉,4
171,股民,4
172,产业结构,4
173,健康,4
174,解读,4
175,地产,4
176,监管局,4
177,事后,4
178,俞陈于,4
179,上海浦东发展银行,4
180,担保人,4
181,分立,4
182,辽宁,4
183,金钱,4
184,电解铜,4
185,买卖合同,4
186,树文,4
187,刘,4
188,婉丽,4
189,通讯,4
190,罚款,4
191,中央银行,4
192,三十八,4
193,近似,4
194,低值易耗品,4
195,融通,4
196,瑞,4
197,远中,4
198,地块,4
199,面积,4
200,长波,4
201,物流,4
202,国有资产,4
203,张少白,4
204,高贻财,4
205,郑楚玲,4
206,结息,4
207,共起,4
208,长富瑞,3
209,青海,3
210,监督管理,3
211,证券部,3
212,沙河口区,3
213,现货交易,3
214,套保,3
215,供给,3
216,侧,3
217,票,3
218,吉林,3
219,实时,3
220,月经,3
221,诸多,3
222,态度,3
223,最大化,3
224,审慎,3
225,趋于,3
226,争夺,3
227,增多,3
228,无年,3
229,聘期,3
230,公司财务,3
231,胜任,3
232,下发,3
233,决定书,3
234,为长,3
235,付清,3
236,辽,3
237,受偿权,3
238,天津港,3
239,瑞尔,3
240,普稀,3
241,财产保险,3
242,阶,3
243,俞陈,3
244,排污,3
245,户,3
246,臧立,3
247,投资银行,3
248,本科,3
249,副所长,3
250,退休,3
251,警告,3
252,并处,3
253,相关者,3
254,日止,3
255,保费,3
256,准备金,3
257,二十六,3
258,八在,3
259,指为,3
260,公平交易,3
261,包装物,3
262,除净,3
263,额外,3
264,中除,3
265,四十九,3
266,保险费,3
267,退税,3
268,免抵,3
269,税额,3
270,机器设备,3
271,扣划,3
272,往来款项,3
273,遗留,3
274,润德富城,3
275,征集,3
276,元及,3
277,陈于,3
278,玲玲,3
279,支票,3
280,富瑞华代威,3
281,需向,3
282,不服,3
283,连带保证,3
284,复利,3
285,律师费,3
286,信用证,3
287,限额,3
288,审结,3
289,上浮,3
290,起因,3
291,原件,3
292,赊销,3
293,智胜,3
294,已有,2
295,宿鸟,2
296,邵商,2
297,财富,2
298,外文,2
299,电子信箱,2
300,网址,2
301,后革街,2
302,西安市,2
303,浐,2
304,灞,2
305,桂标,2
306,刘一锋,2
307,含有,2
308,非金融,2
309,自然灾害,2
310,显失,2
311,一次性,2
312,商品价格,2
313,保持稳定,2
314,错综复杂,2
315,新兴,2
316,动能,2
317,减弱,2
318,稳中,2
319,激烈,2
320,划,2
321,扣款,2
322,贸易量,2
323,折旧费,2
324,中介机构,2
325,持续性,2
326,贡献,2
327,盈利模式,2
328,供需,2
