,分词排序,词频
0,宁波,343
1,富邦,324
2,铝材,85
3,精业,51
4,信息,49
5,银行,44
6,工程,33
7,铝型材,32
8,上海,28
9,铝板带,25
10,仓储,24
11,铝,24
12,材,23
13,电器,22
14,房地产,21
15,土地,21
16,文盛,20
17,铝加工,20
18,浙江,17
19,北京,17
20,陈炜,16
21,信联讯,16
22,双圆,16
23,宁海县,16
24,保全,13
25,宋汉心,12
26,数据,11
27,传统,11
28,建设,11
29,剥离,11
30,销售业务,11
31,此次,11
32,工业,10
33,铝锭,10
34,电解铝,10
35,承接,10
36,环境,10
37,清欠,10
38,再审,10
39,生物,10
40,一家,9
41,材料,9
42,不动产,9
43,环保,9
44,复牌,9
45,判决书,9
46,轻工,9
47,最高人民法院,9
48,北京市第一中级人民法院,9
49,控股公司,9
50,拆迁,8
51,名下,8
52,浙,8
53,制品,8
54,科技,8
55,岳培青,7
56,通讯设备,7
57,镇海,7
58,有色金属,7
59,及富邦,7
60,职工代表,7
61,二中,6
62,江北,6
63,路,6
64,天健,6
65,八届,6
66,权第号,6
67,资源,6
68,全力,6
69,板材,6
70,宋汉平,6
71,自本,6
72,浙甬商,6
73,不锈钢,6
74,餐饮,6
75,亨润,6
76,一案,6
77,家电,6
78,日用品,6
79,油气,6
80,建筑物,6
81,宁海,6
82,华通,5
83,地块,5
84,铝业,5
85,型材,5
86,特种,5
87,加工费,5
88,放缓,5
89,至富邦,5
90,运输,5
91,夯实,5
92,制造,5
93,教育费,5
94,立足,5
95,宋汉,5
96,平等,5
97,账,5
98,民事诉讼,5
99,北京市高级人民法院,5
100,高民终,5
101,民事裁定,5
102,教育,5
103,建造,5
104,商业银行,5
105,拆,5
106,源于,5
107,带,4
108,疑虑,4
109,联讯,4
110,深加工,4
111,铝铸,4
112,棒,4
113,老化,4
114,差距,4
115,主导产品,4
116,现状,4
117,轻量化,4
118,加剧,4
119,现已,4
120,提质,4
121,增效,4
122,力争,4
123,回升,4
124,科学,4
125,竣工,4
126,纸业,4
127,海曙区,4
128,开立,4
129,零售,4
130,文化,4
131,周波,4
132,谋求,4
133,商业机会,4
134,合适,4
135,填补,4
136,互保,4
137,负担,4
138,不服,4
139,一中,4
140,书,4
141,云海,4
142,宾馆,4
143,饭店,4
144,明星,4
145,应予,4
146,宋凌杰,4
147,宋振纶,4
148,审计部,4
149,主办,4
150,中央银行,4
151,不获,4
152,裕江,4
153,胶带,4
154,提醒,3
155,魏会兵,3
156,鄞州区,3
157,兴宁,3
158,广场,3
159,座楼,3
160,压延,3
161,热轧,3
162,合金,3
163,铝板,3
164,挤压,3
165,网,3
166,现货,3
167,新兴,3
168,高速,3
169,走势,3
170,过剩,3
171,节能,3
172,减排,3
173,现阶段,3
174,跨越,3
175,第十次,3
176,登记证,3
177,优化结构,3
178,不振,3
179,三是,3
180,一批,3
181,航空,3
182,结构调整,3
183,南,3
184,狠抓,3
185,产销,3
186,经营层,3
187,统筹,3
188,屋顶,3
189,光伏,3
190,发电,3
191,雨污,3
192,分流,3
193,月底,3
194,应缴,3
195,实物,3
196,街道,3
197,高塘,3
198,四村,3
199,危旧房,3
200,未决,3
201,小计续,3
202,上表,3
203,消费,3
204,上游,3
205,两条腿走,3
206,手段,3
207,体育,3
208,寻找,3
209,不当,3
210,徐积,3
211,黄小明,3
212,王,3
213,玉龙,3
214,胡铮辉,3
215,傅才,3
216,韩树,3
217,成名,3
218,下同,3
219,约束力,3
220,法定期限,3
221,无保留,3
222,此项,3
223,经济损失,3
224,上诉,3
225,软,3
226,伪造,3
227,拍,3
228,随后,3
229,刑事案件,3
230,初字,3
231,高院,3
232,异议,3
233,申诉,3
234,获,3
235,撤回,3
236,大酒店,3
237,排污,3
238,户,3
239,红珠,3
240,韩树成,3
241,宋霞,3
242,通讯,3
243,铝制,3
244,抽样,3
245,核对,3
246,交割,3
247,保费,3
248,准备金,3
249,岳培,3
250,青年,3
251,制造业,3
252,期后,3
253,售出,3
254,政策性,3
255,余值,3
256,税额,3
257,注注,3
258,外汇,3
259,独家,3
260,宏基,3
261,兴业,3
262,计列,3
263,初定,3
264,健,2
265,厂富邦,2
266,外文,2
267,电子信箱,2
268,网址,2
269,网站,2
270,申港,2
271,第四季度,2
272,中介,2
273,非金融,2
274,自然灾害,2
275,显失,2
276,一次性,2
277,材和,2
278,龙头企业,2
279,冷轧,2
280,装备,2
281,长三角,2
282,萎靡不振,2
283,可逆,2
284,双,2
285,铝圆片,2
286,表面质量,2
287,氧化,2
288,建筑,2
289,进口,2
290,洛阳,2
291,万基,2
292,转向,2
293,长江,2
294,有色,2
295,以备,2
296,同质化,2
297,经济效益,2
298,下滑,2
299,高质量,2
300,震荡,2
301,四季度,2
302,铝价,2
303,减产,2
304,规模较,2
305,低端,2
306,局面,2
307,主攻,2
308,高附加值,2
309,迫切需要,2
310,结构性,2
311,镇海区,2
312,管理局,2
313,核发,2
314,至此,2
315,已登记,2
316,区位,2
317,工艺技术,2
318,势头,2
319,附加值,2
320,不高,2
321,供给,2
322,侧,2
323,上下游,2
324,受制于,2
325,劣势,2
326,创新能力,2
327,领军,2
328,汽车,2
329,西南,2
330,皆,2
331,山铝业,2
332,紧紧围绕,2
333,挖潜,2
334,全力以赴,2
335,存量,2
336,中美,2
337,摩擦,2
338,千方百计,2
339,几年,2
340,新品,2
341,迫在眉睫,2
342,并举,2
343,抓好,2
344,践行,2
345,生态,2
346,灰,2
347,投入使用,2
348,意识,2
349,很大,2
350,降,2
351,节能降耗,2
352,结合实际,2
353,体量,2
354,场地,2
355,西门,2
356,非住宅,2
357,新芝路,2
358,建筑面积,2
359,面积,2
360,划拨,2
361,列入,2
362,权证,2
363,进项税额,2
364,零星,2
365,加工工业,2
366,供需,2
367,推行,2
368,下行,2
369,日益,2
370,紧密,2
371,外延,2
372,销售市场,2
373,深耕,2
374,走访,2
375,力求,2
376,配合,2
377,寻求,2
378,适时,2
379,健康,2
380,不利于,2
381,隐患,2
382,收购人,2
383,关,2
384,人为,2
385,尽力,2
386,予,2
387,业务范围,2
388,任何理由,2
389,尽量避免,2
390,确实,2
391,公平合理,2
392,善意,2
393,不向,2
394,超出,2
395,促使,2
396,动用,2
397,银行贷款,2
398,结清,2
399,着手,2
400,减轻,2
401,置出,2
402,精细化,2
403,稳步,2
404,现有企业,2
405,解读,2
406,调整法,2
407,款款,2
408,解聘,2
409,起诉状,2
410,于本,2
411,高级人民法院,2
412,拍卖,2
413,中物,2
414,软件产业,2
415,网络,2
416,中软,2
417,公章,2
418,工商登记,2
419,建行,2
420,铁道,2
421,北京市公安局,2
422,仍为,2
423,开庭审理,2
424,第字,2
425,驳回上诉,2
426,维持原判,2
427,执字,2
428,民申字,2
