,分词排序,词频
0,武汉,104
1,武汉市,94
2,汉商,51
3,会展中心,51
4,信息,46
5,工程,40
6,汉阳,37
7,购物中心,36
8,房地产,33
9,大道,24
10,汉阳区,22
11,阎志,20
12,汉,20
13,湖北省,19
14,零售,19
15,商人,17
16,会展,16
17,银座,15
18,建设,14
19,湖北,14
20,土地,14
21,富达,14
22,酒店,13
23,商品销售,13
24,卓尔,13
25,信达公司,13
26,刘传致,11
27,数据,11
28,业态,11
29,餐饮,11
30,国有资产,11
31,抵押物,11
32,店,10
33,物业管理,10
34,要约,10
35,银行,10
36,联,10
37,武江税,10
38,通号,10
39,第期,10
40,张琳,9
41,创效,9
42,武展,9
43,物业,9
44,混合,9
45,监督管理,9
46,生物,9
47,人张,9
48,宪华,9
49,装修,9
50,参与者,9
51,房产,9
52,遗留,9
53,环境,8
54,扶贫,8
55,嵌入,8
56,展览馆,8
57,审众,7
58,环,7
59,网站,7
60,休闲,7
61,会展业,7
62,展览,7
63,资源,7
64,汉口,7
65,人卓尔,7
66,南美,7
67,生态,7
68,第栋,7
69,上海,6
70,零售额,6
71,三大,6
72,消费,6
73,儿童,6
74,住宿,6
75,江汉区,6
76,配股,6
77,建造,6
78,展,6
79,教育,6
80,置,6
81,工会,6
82,油气,6
83,装饰,6
84,材料,6
85,专柜,6
86,君信,6
87,知音,5
88,文化,5
89,体验,5
90,三是,5
91,望鹤,5
92,胜利,5
93,收购人,5
94,交通银行,5
95,分拆,5
96,低值易耗品,5
97,项对,5
98,第层,5
99,主楼,5
100,保险费,5
101,第层室,5
102,旅业,5
103,鄂,5
104,万亿元,4
105,提,4
106,数码,4
107,形象,4
108,商圈,4
109,特卖,4
110,着力,4
111,场,4
112,平米,4
113,广场,4
114,解放,4
115,江岸区,4
116,街号,4
117,减税,4
118,就业,4
119,购物,4
120,健康,4
121,村,4
122,贫困户,4
123,工业,4
124,换届选举,4
125,导师,4
126,汽车,4
127,文,4
128,方对,4
129,建筑物,4
130,届满时,4
131,教育经费,4
132,江汉,4
133,咸宁市,4
134,会议展览,4
135,中国东方资产管理公司,4
136,办事处,4
137,高级人民法院,4
138,张宪华,3
139,方黎,3
140,商业地产,3
141,百货商场,3
142,实物,3
143,思路,3
144,增效,3
145,主题,3
146,优良,3
147,充裕,3
148,扩张,3
149,资源整合,3
150,零售业,3
151,鞋包,3
152,化妆,3
153,客厅,3
154,抓,3
155,男装,3
156,大牌,3
157,定制,3
158,拉动,3
159,时尚,3
160,站台,3
161,扩销,3
162,流量,3
163,承接,3
164,展出,3
165,面积,3
166,华中,3
167,图书,3
168,停车场,3
169,宜昌,3
170,建筑面积,3
171,开业,3
172,降费,3
173,本土,3
174,龙头企业,3
175,方阵,3
176,扩股,3
177,自办,3
178,旅游,3
179,获利,3
180,进阶,3
181,优,3
182,配置,3
183,传统,3
184,排污,3
185,冯,3
186,三九,3
187,郭月梅,3
188,叶欣,3
189,总会计师,3
190,张霞,3
191,首义,3
192,绩效评价,3
193,员工工资,3
194,竞赛,3
195,服装,3
196,分开,3
197,推荐,3
198,通讯,3
199,保费,3
200,准备金,3
201,中央银行,3
202,金融机构,3
203,法人股,3
204,号本,3
205,等于,3
206,付出,3
207,承担义务,3
208,近期,3
209,载明,3
210,免租,3
211,清理,3
212,教育费,3
213,应纳,3
214,科技,3
215,较长,3
216,深装,3
217,清华同方,3
218,国税局,3
219,集体,3
220,房产证,3
221,商业银行,3
222,折旧费,3
223,主办,3
224,汉兴,3
225,谷,3
226,中国银行,3
227,不良,3
228,因公,2
229,出差,2
230,存入,2
231,阐述,2
232,或本,2
233,外文,2
234,电子信箱,2
235,网址,2
236,武昌区,2
237,中华全国,2
238,信息中心,2
239,统计,2
240,呈现,2
241,出线,2
242,快,2
243,线下,2
244,百家,2
245,放缓,2
246,显现,2
247,紧扣,2
248,提质,2
249,负债率,2
250,精做,2
251,优做,2
252,全力以赴,2
253,树立,2
254,激发,2
255,挑战,2
256,活力,2
257,顾客,2
258,调,2
259,清晰,2
260,女服,2
261,运动装,2
262,新品,2
263,男服,2
264,黄金,2
265,家居,2
266,一手,2
267,自营,2
268,运动,2
269,理顺,2
270,动线,2
271,举措,2
272,创销,2
273,近,2
274,盯,2
275,新款,2
276,王家,2
277,湾,2
278,年轻,2
279,即将,2
280,焕发,2
281,美容,2
282,生活馆,2
283,频率,2
284,上线,2
285,发力,2
286,一体化,2
287,客流,2
288,提档,2
289,盘活,2
290,元素,2
291,走,2
292,路,2
293,举办,2
294,天数,2
295,展馆,2
296,创,2
297,交易会,2
298,博览会,2
299,办展,2
300,搭建,2
301,以会,2
302,客房,2
303,入住率,2
304,深挖,2
305,室外,2
306,首选,2
307,开发新,2
308,场地,2
309,地下,2
310,科学,2
311,婚纱照,2
312,力争,2
313,东扩,2
314,杨泗港,2
315,招商,2
316,四是,2
317,温泉,2
318,展览业,2
319,酒店业,2
320,门面,2
321,消费者,2
322,号汉商,2
323,居民收入,2
324,牢牢,2
325,百亿,2
326,引入,2
327,高楼,2
328,商城,2
329,以此,2
330,综合体,2
331,全力,2
332,深耕,2
333,并举,2
334,开创,2
335,承办,2
336,最大化,2
337,形态,2
338,党,2
339,数股,2
340,解聘,2
341,营业部,2
342,该笔,2
343,江夏,2
344,红旗,2
345,黄陂,2
346,八里,2
347,脱贫,2
348,村湾,2
349,介绍,2
350,救助,2
351,退休,2
352,为名,2
353,建档,2
354,环保,2
355,担保人,2
356,外资股,2
357,丰顺县,2
358,物资贸易,2
359,洪山区,2
360,珞科,2
361,奉康,2
362,毛振东,2
363,刘艳玲,2
364,陈作涛,2
365,君,2
366,悦达,2
367,赵清任,2
368,君友,2
369,致远,2
370,市政建设,2
371,垫付,2
372,国资办,2
373,工商业,2
374,联合会,2
375,占汉商,2
376,张宪,2
377,魏泽清,2
378,魏明,2
379,杨汉,2
380,张军,2
381,冯振宇,2
382,张燕萍,2
383,肖萍,2
384,中南财经政法大学,2
385,博士生,2
386,武汉大学,2
387,副教授,2
388,硕士生,2
389,宜洋,2
390,通报批评,2
391,中专,2
392,提奖,2
393,监管部门,2
394,召集,2
395,平等,2
396,相关者,2
397,选取,2
398,单据,2
399,武证,2
400,办号,2
401,经本,2
402,国家股,2
403,公众股,2
404,建筑,2
405,照相,2
406,婚纱,2
407,摄影,2
408,副食品,2
409,商品房,2
410,此基础,2
411,日止,2
412,周期短,2
413,应予以,2
414,母子公司,2
415,区别,2
416,日为,2
417,中介,2
418,下以,2
419,超额,2
420,内因,2
421,表因,2
422,投出,2
423,因该,2
424,购入,2
425,集中管理,2
426,对以,2
427,出于,2
428,一组,2
429,该组,2
430,跌幅,2
431,物料,2
432,领用,2
433,包装物,2
434,超出,2
435,转售,2
