,分词排序,词频
0,鲁信,249
1,山东,151
2,高新,122
3,淄博,120
4,创业投资,103
5,账本,94
6,中国银行,89
7,信息,67
8,创投,63
9,济南,63
10,磨料,58
11,磨具,54
12,上海,43
13,银行,43
14,科技,40
15,创投公司,34
16,退出,32
17,排放,32
18,华信,31
19,深圳,30
20,烟台,30
21,泰山,29
22,环境,29
23,账,29
24,工程,28
25,制造,27
26,高新技术,25
27,蓝色,25
28,青岛,25
29,北京,24
30,生物,23
31,精密,23
32,广发,23
33,四砂,22
34,材料,22
35,信托,21
36,环保,21
37,砂轮,21
38,砂纸,20
39,威海,20
40,隆奕,20
41,砂布,19
42,高新区,19
43,研制,19
44,鲁,18
45,动能,17
46,济南市,17
47,网站,17
48,创业,17
49,经合,16
50,齐鲁,15
51,安徽,15
52,淄博市,14
53,电力,14
54,西藏,14
55,路,14
56,应急,14
57,健康,13
58,专业化,13
59,车间,13
60,磨削,13
61,理研,12
62,电子,12
63,软件,12
64,潍坊,12
65,天一,12
66,西安,12
67,成都,12
68,建设,12
69,房地产,12
70,信博,11
71,洁具,11
72,北洋,11
73,三角,11
74,金控,11
75,母,11
76,数据,11
77,双轮,10
78,润城,10
79,工业,10
80,农,10
81,商行,10
82,润丰,10
83,中国农业银行,10
84,海王,10
85,西城,10
86,业务经理,10
87,姚娟,9
88,黄,9
89,国信,9
90,济宁,9
91,装备,9
92,新旧,9
93,发起,9
94,土地,9
95,污染物,9
96,氮氧化物,9
97,葛效宏,9
98,人王,9
99,飚,9
100,华东,8
101,数控,8
102,龙力,8
103,印务,8
104,临沂,8
105,泓,8
106,晟,8
107,广场,8
108,楼,8
109,刚玉,8
110,制造业,8
111,超标,8
112,二氧化硫,8
113,浓度,8
114,开曼群岛,8
115,王飚,7
116,科创,7
117,重工,7
118,星华,7
119,氨纶,7
120,东岳,7
121,氟,7
122,硅,7
123,福瑞达,7
124,联诚,7
125,能源,7
126,鲁创,7
127,盛保,7
128,茶联,7
129,创晟,7
130,无锡,7
131,智能,7
132,新能源,7
133,风险投资,7
134,资源,7
135,工程项目,7
136,动力,7
137,香港,7
