,分词排序,词频
0,鲁抗,201
1,山东,171
2,药品,83
3,医药,81
4,环保,66
5,生物,61
6,信息,58
7,制剂,54
8,药,48
9,原料药,46
10,华鲁,45
11,科技,38
12,工程,35
13,制造,32
14,建设,32
15,医药集团,30
16,感染,30
17,抗生素,29
18,药业,28
19,赛特,26
20,药物,26
21,房地产,24
22,仿制,23
23,制药,22
24,财通,22
25,化学,21
26,环境,21
27,济宁市,21
28,临床,20
29,钠,20
30,批件,20
31,高新技术,19
32,医药公司,19
33,土地,19
34,新药,18
35,治疗,18
36,排放,18
37,银行,18
38,舍里,16
39,兽用,16
40,健康,16
41,搬迁,16
42,乐,15
43,青霉素,15
44,兽药,15
45,用药,15
46,数据,14
47,产销,14
48,药类,14
49,彭欣,13
50,终端,13
51,退城,13
52,进园,13
53,排污,13
54,污水,13
55,片剂,12
56,结构性,12
57,中试,12
58,车间,12
59,注射用,12
60,应急,12
61,污水处理,12
62,北京,12
63,东岳,11
64,济宁,11
65,合成,11
66,材料,11
67,化药类,11
68,氨氮,11
69,青海,10
70,大地,10
71,生物农药,10
72,配送,10
73,资源,10
74,盐酸,10
75,药学,10
76,注年,10
77,荣姝伟,9
78,监督管理,9
79,胶囊,9
80,检测,9
81,联动,9
82,工业,9
83,医药行业,9
84,菌素,9
85,厂区,9
86,抗菌,9
87,临床试验,9
88,杆菌,9
89,冻干粉,9
90,济南,9
91,李利,9
92,副经理,9
93,兢羽,9
94,山东省人民政府,8
95,国有资产,8
96,上海,8
97,中间体,8
98,医院,8
99,在线,8
100,意识,8
101,化药,8
102,污染,8
103,污染物,8
104,肺炎,8
105,链球菌,8
106,延续,8
107,邹城,8
108,邹环,8
109,国际贸易,7
110,心脑血管,7
111,经济运行,7
112,平均值,7
113,工业园,7
114,霉素,7
115,头孢,7
116,细菌,7
117,达标排放,7
118,生物医药,7
119,建筑物,7
120,机电工程,6
121,高新区,6
122,动力,6
123,化学药品,6
124,泰乐,6
125,升高,6
126,结构调整,6
127,国外,6
128,头孢曲松,6
129,万支,6
130,阿莫西林,6
131,售后,6
132,出台,6
133,两票,6
134,立项,6
135,监测,6
136,抗感染,6
137,敏感,6
138,预防,6
139,葡萄球菌,6
140,类否,6
141,菌,6
142,类化,6
143,配方,6
144,产业园,6
145,国家股,6
146,排入,6
147,审号,6
148,第四名,6
149,换届,6
150,免租,6
151,教育费,6
152,所得税法,6
153,人为,6
154,节能,6
155,德源路,5
156,网站,5
157,发酵,5
158,半,5
159,增量,5
160,招商,5
161,普药,5
162,华润,5
163,动能,5
164,市场推广,5
165,大观,5
166,唑,5
167,人工,5
168,南京,5
169,租回,5
170,医保,5
171,审评,5
172,种,5
173,批,5
174,浓度,5
175,呼吸道,5
176,本品,5
177,辛伐他汀,5
178,保险,5
179,非布司,5
180,奥美拉唑,5
181,竞购,5
182,扶贫,5
183,环境保护,5
184,城镇,5
185,下水道,5
186,水质标准,5
187,废水,5
188,劳力,5
189,建平,5
190,继东,5
191,任华鲁,5
192,发展部,5
193,油气,5
194,销货款,5
195,第一名,5
196,第二名,5
197,第三名,5
198,第五名,5
199,未到,5
200,期年,5
201,物业管理,5
202,外经贸,5
203,黄正明,4
204,国资委,4
205,基药,4
206,医疗机构,4
207,分散片,4
208,品规,4
209,厂家,4
210,低值易耗品,4
211,辅料,4
212,学术,4
213,奠定,4
214,口服,4
215,品牌优势,4
216,糖尿病,4
217,要素,4
218,科研,4
219,再造,4
220,生命线,4
221,十亿,4
222,林钠,4
223,西林,4
224,医药产业,4
225,初步,4
226,办,4
227,推行,4
228,主营,4
229,疗效,4
230,中药,4
231,规格,4
232,药企,4
233,等效,4
234,样品,4
235,注射剂,4
236,天气,4
237,产品名称,4
238,软组织,4
239,淋病,4
240,心内膜炎,4
241,患者,4
242,急性,4
243,医疗保险,4
244,工伤保险,4
245,生育,4
246,交接,4
247,金刚,4
248,多奈哌齐,4
249,缓释,4
250,依折,4
251,麦布,4
252,可比,4
253,第七次,4
254,生物制药,4
255,排放口,4
256,处理厂,4
257,纳网,4
258,渣,4
259,泰安市,4
260,环评,4
261,鲁抗泽润,4
262,文景,4
263,鲁资,4
264,创业投资,4
265,国惠兴鲁,4
266,运金,4
267,中国银行,4
268,富春,4
269,创益定,4
270,增号,4
271,浦发银行,4
272,郭琴,4
273,杨志勇,4
274,赵敬国,4
275,工段长,4
276,起任,4
277,教育,4
278,审计部,4
279,部副,4
280,人力资源部,4
281,中央银行,4
282,改为,4
283,额应,4
284,排名,4
285,往来款项,4
286,退税,4
287,正方,4
288,德州市,4
289,收储,4
290,王玉强,3
291,剂型,3
292,价格合理,3
293,公众,3
294,立新,3
295,路,3
296,粉针剂,3
