,分词排序,词频
0,宜宾,138
1,宜宾市,77
2,纸业,60
3,五粮液,50
4,国有资产,48
5,工程,38
6,信息,28
7,建设,26
8,造纸,21
9,搬迁,21
10,环保,20
11,四川,19
12,扶贫,19
13,生物,19
14,纸业公司,17
15,南溪,16
16,环境,14
17,成都,14
18,五五,14
19,网站,13
20,补偿款,13
21,近,13
22,王强,11
23,送,11
24,国家标准,11
25,竹,11
26,老区,11
27,用纸,11
28,建筑物,11
29,银行,11
30,国资,10
31,原纸,10
32,工业,10
33,消耗性,10
34,华信,9
35,邹敏,9
36,材料,9
37,厂区,9
38,废水,9
39,排放,9
40,换届,9
41,人易,9
42,国家股,9
43,裴石,8
44,老,8
45,翠屏区,8
46,征地,8
47,食品包装,7
48,节能,7
49,竹之琨,7
50,林业,7
51,物流,7
52,拆迁,7
53,易,6
54,轻工业,6
55,房地产,6
56,制浆,6
57,食品,6
58,慰问,6
59,排污,6
60,脱硫,6
61,监测,6
62,详情请,6
63,竹瑞,6
64,纸品,6
65,基础设施,6
66,上海,5
67,数据,5
68,资源,5
69,农户,5
70,纸,5
71,捐款,5
72,废水处理,5
73,废气,5
74,碱,5
75,烟气,5
76,除尘,5
77,环保部门,5
78,环境保护,5
79,划转,5
80,李家,5
81,远,5
82,部副,5
83,科技,5
84,制订,5
85,法人股,5
86,教育费,5
87,土地,5
88,服务中心,5
89,天畅,5
90,速达,5
91,运输,5
92,华西,5
93,李,4
94,一次性,4
95,外部环境,4
96,资源优势,4
97,西南,4
98,纸制品,4
99,一体化,4
100,困难职工,4
101,慰问金,4
102,助学,4
103,龙头,4
104,热电厂,4
105,氧化,4
106,应急,4
107,徐虹,4
108,商业银行,4
109,签收,4
110,油气,4
111,中央银行,4
112,置,4
113,股占,4
114,公平交易,4
115,投资人,4
116,退,4
117,厦门,4
118,台州市,4
119,技术改造,4
120,拨回,4
121,港,4
122,鑫,4
123,自然灾害,3
124,纸及,3
125,餐盒,3
126,诸多,3
127,供给,3
128,侧,3
129,结构性,3
130,减排,3
131,竹浆,3
132,落后,3
133,淘汰,3
134,华东,3
135,华南,3
136,中南,3
137,西北,3
138,停产,3
139,工程建设,3
140,竹料,3
141,全力,3
142,达标,3
143,元二是,3
144,元三是,3
145,爱心,3
146,子女,3
147,收集,3
148,炉,3
149,燃烧,3
150,超低,3
151,节约,3
152,炉内,3
153,防治,3
154,干法,3
155,排污口,3
156,第一批,3
157,奎,3
158,张晓玉,3
159,周静,3
160,吴奥,3
161,钟道,3
162,暂行办法,3
163,贡献,3
164,教育,3
165,住房,3
