,分词排序,词频
0,东方集团,366
1,北京,200
2,农业,191
3,房地产,182
4,国开,135
5,食品,126
6,银祥,121
7,豆制品,110
8,九牛,102
9,土地,94
10,粮仓,93
11,杭州,88
12,健康,86
13,粮油,84
14,哈尔滨,82
15,西藏,75
16,地块,75
17,厦门,74
18,青龙湖,74
19,城镇化,69
20,民生银行,68
21,世粮,61
22,城镇,60
23,工程,58
24,信息,57
25,优品,51
26,方正,51
27,滨湖,51
28,丰台区,49
29,鸿烨,48
30,现代农业,48
31,信托,47
32,粮食,46
33,银行,45
34,会展,43
35,四级,42
36,油脂,41
37,米业,40
38,资源,39
39,五常,37
40,粮油食品,34
41,黑龙江,34
42,金联金服,32
43,四川,32
44,山东,32
45,孙明涛,30
46,建设,30
47,大连,30
48,锦州港,28
49,黑龙江省,28
50,电商,28
51,民生,28
52,物流,27
53,中国民生银行,26
54,金联,25
55,牛肉,25
56,被套,24
57,乡村,24
58,深圳,24
59,香港,24
60,科技,23
61,三级,23
62,长宁县,23
63,稻谷,22
64,地产,22
65,龙江,22
66,本部,22
67,大成,21
68,饭店,21
69,肇源,21
70,王佐镇,21
71,数据,19
72,合资,19
73,振兴,19
74,生物,19
75,上海,18
76,种植,18
77,仓储,18
78,米,18
79,玉米,18
80,米糠,18
81,鑫悦,18
82,物业管理,18
83,物向,18
84,金融业务,17
85,金融机构,17
86,北大荒,17
87,魏,17
88,各庄,17
89,恒兴,17
90,丽湖,17
91,电子商务,16
92,盛通,16
93,党荣毅,15
94,港口,15
95,金融服务,15
96,农村,15
97,核心区,15
98,建造,15
99,大华,14
100,住房,14
101,牛,14
102,开国,14
103,福,14
104,面积,13
105,文化,13
106,混合,13
107,用地,13
108,合作开发,13
109,生物科技,13
110,腾实,13
111,开,13
112,昆仑,13
113,张宏伟,13
114,国,13
115,养殖,13
116,金联云通,13
117,建筑物,13
118,示范园区,12
119,延伸,12
120,西山,12
121,停牌,12
122,回售,12
123,文慧,12
124,各期,12
125,哈尔滨市,11
126,普惠,11
127,农产品,11
128,竣工,11
129,调控,11
130,燕之坊,11
131,材料,11
132,寿,11
133,东仓,11
134,该笔,11
135,绿色,10
136,大豆,10
137,营养,10
138,供给,10
139,商品房,10
140,消费,10
141,全脂,10
142,饲料,10
143,捷曜,10
144,碧锦,10
145,宁波,10
146,开发成本,10
147,金联盛源,10
148,肉牛,10
149,王艳波,9
150,能源,9
151,高科技,9
