,分词排序,词频
0,上海,457
1,益民,132
2,天宝,77
3,古今,73
4,内衣,55
5,龙凤,53
6,零售,51
7,信息,49
8,典当,44
9,金银珠宝,37
10,物业,35
11,工程,33
12,消费,31
13,星光,28
14,数据,24
15,摄影,24
16,文化,24
17,房地产,24
18,上海东方,22
19,百货,20
20,餐饮,20
21,酒店,20
22,建设,19
23,建筑物,18
24,承安,17
25,坊,17
26,电商,15
27,网点,15
28,钟表,15
29,旅游,14
30,金辰,14
31,建筑面积,14
32,鼎东,14
33,店,14
34,银行,14
35,电子商务,14
36,杨传华,13
37,国有资产,13
38,淮海中路,13
39,黄金珠宝,13
40,黄浦区,12
41,路,12
42,张海锋,11
43,黄金,11
44,销售业务,11
45,器材,11
46,连锁,11
47,商圈,11
48,消费品,11
49,网络,11
50,黄浦,11
51,国债,11
52,生物,11
53,商场,10
54,德同,10
55,科益,10
56,浙江,10
57,上海浦东发展银行,10
58,金融债,10
59,货币基金,10
60,高光庆,10
61,近,10
62,监督管理,9
63,旗下,9
64,购物,9
65,老字号,9
66,服饰,9
67,叶世兴,9
68,张德龙,9
69,闵仁美,9
70,杜爱,9
71,香港,9
72,土地,9
73,饮食,8
74,服务业,8
75,租赁业,8
76,零售总额,8
77,零售额,8
78,新品,8
79,弄,8
80,上线,8
81,新宇,8
82,龙,8
83,第条,8
84,纪律处分,8
85,培,8
86,立信,7
87,床上用品,7
88,招商,7
89,城,7
90,开业,7
91,消费者,7
92,经营权,7
93,多元,7
94,景茗,7
95,六一,7
96,儿童,7
97,用品商店,7
98,判决书,7
99,东典,7
100,斯塔,7
101,实业公司,7
102,礼品,7
103,加盟,6
104,万平方米,6
105,上海地区,6
106,顺昌,6
107,工程项目,6
108,沪,6
109,三是,6
110,四是,6
111,五是,6
112,形象,6
113,房产,6
114,后备干部,6
115,传统,6
116,面积,6
117,北京,6
118,购物中心,6
119,中金公司,6
120,李建刚,6
121,市场价,6
122,油气,6
123,淮海,6
124,建造,6
125,网站,5
126,业态,5
127,照相,5
128,自营,5
129,精品,5
130,天猫,5
131,旗舰店,5
132,稳步,5
133,积极开展,5
134,结构调整,5
135,积极探索,5
136,多重,5
137,途径,5
138,商店,5
139,体验,5
140,创建,5
141,促销,5
142,柳林,5
143,养老,5
144,商投,5
145,冲击,5
146,权属,5
147,物业管理,5
148,支付宝,5
149,网络科技,5
150,益信,5
151,下滑,5
152,诉讼费,5
153,杜爱武,5
154,排污,5
155,杨淑,5
156,娥,5
157,惠生,5
158,制造,5
159,康歌,5
160,电器,5
161,旧货,5
162,霞飞,5
163,新坊,5
164,除净,5
165,低值易耗品,5
166,教育费,5
167,保险费,5
168,款年,5
169,钱,4
170,国富,4
171,甲,4
172,零售业,4
173,大酒店,4
174,商城,4
175,开设,4
176,全市,4
177,综合体,4
178,预缴,4
179,宝贵,4
180,资源,4
181,消费市场,4
182,主题,4
183,着力,4
184,自制,4
185,金龙,4
186,星级,4
187,持平,4
188,批发市场,4
189,南京,4
190,商厦,4
191,全称,4
192,修理,4
193,品牌形象,4
194,清理,4
195,万分之二,4
196,强制执行,4
197,被执行人,4
198,理想,4
199,武未,4
200,买,4
201,入股,4
202,窗口期,4
203,联营公司,4
204,环境,4
205,开放式,4
206,指数,4
207,沈顺辉,4
208,海峰,4
209,就职,4
210,教育,4
211,赊销,4
212,环节,4
213,中央银行,4
214,乐拍,4
215,何种,4
216,材料,4
217,以换,4
218,养老保险,4
219,缴费,4
220,闵行区,4
221,四方,4
222,典当业,3
223,第一季度,3
224,再次,3
225,租赁经营,3
226,浦东,3
227,城区,3
228,入驻,3
229,京东,3
230,电视,3
231,表格,3
232,客房,3
233,新兴,3
234,达家,3
235,有家,3
236,集聚,3
237,股票投资,3
238,进项税额,3
239,知名品牌,3
240,一体,3
241,业内,3
242,紧抓,3
243,瓶颈,3
244,夯实,3
245,全力,3
246,友谊路,3
247,个性化,3
248,爱,3
249,七是,3
250,共有,3
251,联手,3
252,六是,3
253,精细化,3
254,招租,3
255,商户,3
256,防控,3
257,干部,3
258,多家,3
259,电,3
260,万件,3
261,拉动,3
262,限额,3
263,快速增长,3
264,营业额,3
265,直营,3
266,咨询服务,3
267,房地产业,3
268,振兴,3
269,吸引,3
270,营运,3
271,元经,3
272,无经,3
273,金元,3
274,每日,3
275,裁定书,3
276,武商,3
277,初字,3
278,凌惠彬,3
279,调剂,3
280,沈鸿,3
281,弘毅,3
282,信阳,3
283,中建,3
284,中汇,3
285,九洲,3
286,对外经贸大学,3
287,复旦大学,3
288,商务,3
289,科科长,3
290,党支部,3
291,职,3
292,监管部门,3
293,通讯,3
294,中是,3
295,控制点,3
296,函证,3
297,选取,3
298,样本,3
299,凭证,3
300,保费,3
301,准备金,3
302,七七,3
303,五金交电,3
304,新光,3
305,光学仪器,3
306,商务中心,3
307,时如,3
308,包装物,3
309,额外,3
310,装修费,3
311,改良,3
312,住房,3
313,工会,3
314,教育经费,3
315,票,3
316,小型,3
317,微利,3
318,祺,3
319,瑞,3
320,珠宝店,3
321,乐普,3
322,毛文剑,3
323,动产,3
324,修理费,3
325,水电费,3
326,慈善,3
327,帮困,3
328,零星,3
329,基点,3
330,上涨,3
331,判定,3
332,万分之,3
333,元该,3
334,需提交,2
335,否年,2
336,查阅,2
337,外文,2
338,电子信箱,2
339,网址,2
340,媒体,2
341,南京东路,2
342,王士玮,2
343,胡佳,2
344,裔,2
345,前身,2
346,改制,2
347,更名,2
348,证监会,2
349,闵行,2
350,莘庄,2
351,店家,2
352,线上,2
353,供给,2
354,驱动力,2
355,国家统计局,2
356,实物,2
357,统计局,2
358,店铺,2
359,网上商店,2
360,快,2
361,度,2
362,挑战,2
363,及留,2
364,抵,2
365,知名,2
366,合作伙伴,2
367,科协,2
368,一批,2
369,坚实,2
370,带领,2
371,紧密,2
372,寻找,2
373,存量,2
374,重点项目,2
375,降本增效,2
376,三十,2
377,举措,2
378,积极参与,2
379,智慧,2
380,智能化,2
381,举办,2
382,充分利用,2
383,年轻化,2
384,推行,2
385,展现,2
386,首批,2
387,一店,2
388,展示,2
389,落地,2
390,色谷,2
391,公益,2
392,鉴定,2
393,众信,2
394,携手,2
395,门户网站,2
396,二手,2
397,多渠道,2
398,鲜肉,2
399,月饼,2
400,荣誉,2
401,食品,2
402,联动,2
403,双双,2
404,粽,2
405,潮流,2
406,优质服务,2
407,留商,2
408,早,2
409,空置率,2
410,追缴,2
411,低效,2
412,路径,2
413,跟进,2
414,袜屋,2
415,淮国旧,2
416,创意,2
417,健康,2
418,梯队,2
419,能级,2
420,选拔,2
421,无事故,2
422,评选,2
423,起到,2
424,获,2
425,获评,2
426,人民,2
427,扶贫,2
428,款本,2
429,成本增加,2
430,歇业,2
431,关闭,2
432,发,2
433,年终奖,2
434,服装鞋帽,2
435,体验式,2
436,体,2
437,日益,2
438,平米,2
439,专柜,2
440,闸北区,2
441,含有,2
