,分词排序,词频
0,上海,888
1,百联,672
2,联华,234
3,超市,217
4,购物中心,163
5,百货,114
6,特莱斯,75
7,友谊,72
8,工程,66
9,建筑物,65
10,零售,64
11,世博,63
12,信息,58
13,业态,54
14,连锁,54
15,崇明,53
16,杭州,52
17,房地产,50
18,百纵,50
19,电子商务,50
20,长沙,48
21,南京,46
22,商厦,45
23,新城,39
24,华联,38
25,奥,36
26,商城,36
27,浙江,35
28,同受,35
29,联营公司,34
30,一百,33
31,影院,33
32,建设,32
33,影百联,32
34,八佰伴,31
35,物流,31
36,土地,31
37,百联奥,30
38,物业,29
39,武汉,29
40,商场,29
41,物业管理,28
42,服务业,28
43,三联,27
44,广场,26
45,南方,25
46,店,25
47,购物广场,23
48,装修,23
49,基准利率,23
50,银行,22
51,该笔,22
52,商务,21
53,杨浦,20
54,科技,20
55,安庆市,20
56,主营,20
57,吉买盛,20
58,永明,19
59,数据,19
60,商店,19
61,汤山,19
62,汤山百联,19
63,食品,18
64,房产,18
65,百联全,18
66,复星,18
67,消费,17
68,金融服务,17
69,医药,17
70,注百联,17
71,嘉定,16
72,川沙,16
73,服饰,16
74,列入,16
75,开业,15
76,济南,15
77,无锡,15
78,宝,15
79,百联云商,15
80,华商,15
81,东塘,15
82,路,14
83,超级市场,14
84,中环,14
85,融资券,14
86,安付,14
87,扶贫,14
88,换届,14
89,生物,14
90,时尚,13
91,虹桥,13
92,江苏,13
93,安庆,13
94,朗绅,13
95,时尚品牌,13
96,太平,13
97,零星,13
98,郑小芸,12
99,西郊,12
100,华东区,12
101,广西,12
102,年利率,12
103,便利店,11
104,一城,11
105,奥莱,11
106,南京东路,11
107,华联商厦,11
108,新华联,11
109,仓储,11
110,电器,11
111,汽车,11
112,上海联家超市有限公司,11
113,上海浦东,11
114,授信额度,11
115,叶,10
116,商业中心,10
117,环境,10
118,宁波,10
119,旅游,10
120,黄浦区,10
121,权属,10
122,百联盈展,10
123,装潢,10
124,山东,10
125,天津,10
126,建造,10
127,陈妍,9
128,六合,9
129,上海市浦东新区,9
130,香港,9
131,消费者,9
132,资源,9
133,面积,9
134,品类,9
135,线上,9
136,建筑面积,9
137,金山,9
138,滨江,9
139,配销,9
140,注入,9
141,好美家,9
142,建材,9
143,百府,9
144,利阳,9
145,普陀,9
146,除净,9
147,卡,9
148,补偿款,9
149,抵押物,9
150,楼,8
151,联销,8
152,自营,8
153,营运,8
154,社区,8
155,南桥,8
156,生鲜,8
157,上线,8
158,松江,8
159,大道,8
160,号百联,8
161,沈阳,8
162,地块,8
163,教育,8
164,百,8
165,后百联,8
166,产权交易,8
167,国际贸易,8
168,信息技术,8
169,商品销售,8
170,股占,8
171,户,8
172,指数,8
173,人叶,8
174,网站,7
175,三是,7
176,电商,7
177,网点,7
178,终端,7
179,青浦,7
180,珠宝,7
181,武汉市,7
182,黄陂区,7
183,快客,7
184,安徽,7
185,上海东方,7
186,吉林,7
187,直销,7
188,互联网,7
189,进修,7
190,天猫,7
191,百联盈石,7
192,营业部,7
193,国资委,7
194,七十,7
195,材料,7
196,注注,7
197,龚平,6
198,百货商店,6
199,亨,6
200,达利,6
201,招商,6
202,落地,6
203,深化,6
204,能级,6
205,线下,6
206,文化,6
207,真光路,6
208,重庆,6
209,徐汇,6
210,东郊,6
211,新路,6
212,保洁,6
213,文创,6
214,预付卡,6
215,许可证,6
216,百红,6
217,商业贸易,6
218,谷德,6
219,三明,6
220,泰格,6
221,中央,6
222,中国农业银行,6
223,养老保险,6
224,徐子瑛,6
225,钱,6
226,建强,6
227,监事长,6
228,男女,6
229,博导,6
230,法学院,6
231,周年,6
232,大会,6
233,信息系统,6
234,二十二,6
235,油气,6
236,一商,6
237,成分,6
238,改良,6
239,权证,6
240,注本,6
241,公益性,6
242,商委,6
243,还清,6
244,盘龙城,6
245,许庙,6
246,村百联奥,6
247,西,6
248,南区,6
249,友谊股份,5
250,立信,5
251,明,5
252,茂昌,5
253,吴,5
254,良材,5
255,传统,5
256,体验,5
257,经理人,5
258,集合,5
259,湖南,5
260,既存,5
261,临沂,5
262,总店,5
263,眼镜,5
264,西路,5
265,新开,5
266,定位,5
267,四是,5
268,促销,5
269,沪,5
270,文,5
271,曹,5
272,餐饮,5
273,技术创新,5
274,优先购买,5
275,金融机构,5
276,拆迁,5
277,保安,5
278,河岸,5
279,今亚,5
280,晶,5
281,通化,5
282,轻,5
283,购,5
284,优安,5
285,止观,5
286,受托人,5
287,陈信康,5
288,高旭军,5
289,上海财经大学,5
290,任百联,5
291,经济法,5
292,三十四,5
293,便利,5
294,闵燕,5
295,孙,5
296,代垫,5
297,汤山温泉,5
298,度假区,5
299,停车场,5
300,毁损,5
301,栋层,5
302,武房,5
303,黄字,5
304,委托人,4
305,张杨路,4
306,商报,4
307,永华,4
308,非金融,4
309,旗下,4
310,变革,4
311,发展部,4
312,着力,4
313,快,4
314,进口,4
315,吸引,4
316,客流,4
317,云店,4
318,五一,4
319,健康,4
320,东北区,4
321,华中,4
322,城,4
323,义乌,4
324,万平方米,4
325,配送,4
