,分词排序,词频
0,茂业,814
1,百货,345
2,成商,270
3,深圳,251
4,商厦,205
5,维多利,186
6,成都,141
7,房地产,136
8,信息,101
9,内蒙古,97
10,泰州,89
11,重庆,68
12,德茂,65
13,合正茂,65
14,物业,63
15,四川,58
16,零售,56
17,银行,56
18,呼和浩特,55
19,房产,53
20,呼和浩特市,52
21,包头,50
22,超市,44
23,包头市,43
24,土地,40
25,工程,40
26,绵阳,39
27,一百,38
28,锦江区,38
29,店,37
30,中兆,36
31,业态,35
32,广场,34
33,黄茂如,34
34,华强北,32
35,上海,32
36,时代广场,32
37,沈阳,30
38,仁和,29
39,天地,29
40,东,28
41,地产,28
42,百货商店,28
43,丰联,28
44,孙,28
45,拆迁,28
46,网站,27
47,邹招斌,26
48,面积,26
49,建筑面积,26
50,后茂业,26
51,溧阳,26
52,广东,26
53,珠海,25
54,人民商场,25
55,南充,25
56,崇德,24
57,春天,23
58,御街,23
59,消费,23
60,日用百货,23
61,注入,23
62,信托,23
63,扶贫,23
64,深南,22
65,平米,22
66,综超,22
67,商业城,22
68,购物中心,21
69,维利,19
70,详情,19
71,登录,19
72,高宏彪,18
73,光华,18
74,青羊区,18
75,信息技术,18
76,权属,18
77,第年,18
78,物业管理,18
79,卢小娟,18
80,数智,17
81,为准,17
82,无锡,17
83,无否,17
84,号栋,17
85,盐市口,16
86,副本,16
87,不动产,16
88,权证,16
89,天非,16
90,建筑物,16
91,精算,16
92,珠海市,15
93,电子商务,15
94,酒店,15
95,乙方,15
96,于本,15
97,承租,15
98,年租金,15
99,建造,15
100,成华区,15
101,东正,14
102,菏泽,14
103,新城区,14
104,秦皇岛,14
105,真实性,14
106,划转,14
107,兴华,14
108,股改,14
109,生物,14
110,粤,14
111,人东,13
112,数据,13
113,路,13
114,配偶,13
115,诉讼费,13
116,购房,13
117,住信,13
118,权第号,13
119,比利,13
120,瑞华,12
121,豪园,12
122,环境,12
123,商铺,12
124,东门,12
125,峨眉山,12
126,完整性,12
127,甲方,12
128,代垫,12
129,张静,12
130,基准日,12
131,锡林郭勒盟,12
132,夫妇,12
133,二审,12
134,单元楼,12
135,王宗磊,11
136,优依购,11
137,绵阳市,11
138,涪城区,11
139,一层,11
140,首府,11
141,与茂业,11
142,后本,11
143,施工,11
144,判决书,11
145,房,11
146,交纳,11
147,泸州,11
148,金钱豹,11
149,和平,10
150,一次性,10
151,东正茂业,10
152,通讯,10
153,力,10
154,十日,10
155,名下,10
156,行使职权,10
157,陈千敢,10
158,水电,10
159,号层,10
160,淄博,10
161,按揭,10
162,青羊,10
163,薪资,10
164,退休,10
165,赵立仁,10
166,房屋产权,10
167,给付,10
168,管理局,10
169,欧晓龙,9
170,华南区,9
171,顾客,9
172,优衣购,9
173,服务业,9
174,对茂业,9
175,新建,9
176,付清,9
177,不服,9
178,授信额度,9
179,乌兰察布,9
180,浦发银行,9
181,证,9
182,上诉,9
183,西,8
184,自营,8
185,消费者,8
186,商圈,8
187,新华,8
188,泰州市,8
189,高风险,8
190,中介机构,8
191,书面资料,8
192,复印件,8
193,原件,8
194,印章,8
195,立案侦查,8
196,清理,8
197,总和,8
198,由茂业,8
199,保定,8
200,常州,8
201,扬州,8
202,邹,8
203,该笔,8
204,大道,8
205,中信银行,8
206,以本,8
207,权限,8
208,汇报,8
209,东大街,8
210,环保,8
211,赠予,8
212,餐饮,8
213,人高宏彪,8
214,股茂业,8
215,维修,8
216,平安,8
217,泸州市,8
218,栋,8
219,军帆,8
220,槐树,8
221,互联网,7
222,健全,7
223,北区,7
224,二环路,7
225,二段,7
226,中山西路,7
227,地下,7
228,东路,7
229,东街,7
230,促销,7
231,会员,7
232,更名,7
233,建设,7
234,涉嫌,7
235,保全,7
236,友谊,7
237,住房,7
238,商标,7
239,商业机会,7
240,竣工,7
241,超出,7
242,使用费,7
243,徐献海,7
244,购物广场,7
245,水电费,7
246,赤峰,7
247,置,7
248,香港,7
249,抵押物,7
250,账,7
251,报错,7
252,内蒙古自治区,7
253,远信,7
254,开来,7
255,阶段性,7
256,开盘,6
257,场地,6
258,零售总额,6
259,相较,6
260,大部分,6
261,专职,6
262,资源,6
263,开业,6
264,北路,6
265,大街,6
266,操作,6
267,向茂业,6
268,全称,6
269,乐山市,6
270,风景区,6
271,凤凰,6
272,湖,6
273,新城,6
274,商场,6
275,致使,6
276,第七次,6
277,数股,6
278,司法机关,6
279,数以,6
280,无需,6
281,及茂业,6
282,确有,6
283,公司法人,6
284,经营场所,6
285,或本,6
286,解放碑,6
287,竞争性,6
288,常州市,6
289,王新亮,6
290,陈帮海,6
291,林志健,6
292,新汇,6
293,商业银行,6
294,一年期,6
295,户,6
296,中嘉博创,6
297,胡涛,6
298,错,6
299,为此,6
300,油气,6
301,宾馆,6
302,农业银行,6
303,裙楼,6
304,楼房,6
305,谨慎,6
306,皇郡,6
307,吴佩凤,6
308,楼,5
309,信心,5
310,出台,5
311,深化,5
312,住,5
313,提袋,5
314,招商,5
315,外延,5
316,购物,5
317,合作伙伴,5
318,关闭,5
319,住宅,5
320,外立面,5
321,一体化,5
322,街,5
323,香洲区,5
