,分词排序,词频
0,广电,318
1,陕西,186
2,建设,124
3,网络,122
4,智慧,119
5,银行,108
6,工程,97
7,信息,87
8,陕西省,84
9,数据,78
10,西安,71
11,有线电视,71
12,电视,69
13,媒体,65
14,广播电视,64
15,视频,60
16,西安市,53
17,社区,49
18,广播,46
19,财富,46
20,影视,44
21,文化,43
22,浦发银行,42
23,传媒,41
24,华通,40
25,终端,39
26,曲江,39
27,智能,38
28,广电集团,37
29,丝路,37
30,互联网,37
31,数字电视,36
32,宽带,35
33,宝鸡,34
34,秦岭,34
35,科技,32
36,万户,31
37,传输,29
38,班车,29
39,网,28
40,乡村,27
41,用户数,27
42,房地产,27
43,房产证,25
44,西咸,24
45,卫星,24
46,扶贫,24
47,版权,22
48,节目,22
49,落地,22
50,支公司,22
51,网络传媒,21
52,宣传部,21
53,接入,21
54,农村,21
55,雪亮,21
56,广通,20
57,全省,20
58,直播,20
59,希格玛,19
60,传播,19
61,频道,19
62,策划,19
63,施工,19
64,结构性,19
65,基础设施,18
66,华一,18
67,收视,18
68,电视节目,18
69,集成,18
70,机房,18
71,王立强,17
72,延安,17
73,同方,17
74,华源,17
75,电子,17
76,融,17
77,有线,17
78,无线,17
79,资源,17
80,亿户,17
81,可转债,16
82,高清,16
83,专网,16
84,电信,16
85,联网,16
86,聚财,16
87,国联,15
88,信息技术,15
89,传统,15
90,点播,15
91,咨询服务,15
92,信息网络,14
93,通信,14
94,商品销售,14
95,电视台,14
96,影视剧,14
97,办公楼,14
98,砥,13
99,电子科技,13
100,电视剧,13
101,云启,13
102,双向,13
103,黄河,13
104,金马,12
105,宝鸡市,12
106,收视费,12
107,购物,12
108,宣传,12
109,有线广播,12
110,材料,12
111,电子产品,12
112,土地,12
113,登记日,11
114,博达,11
115,健康,11
116,云旅,11
117,教育,11
118,户户,11
119,维护费,11
120,环境,11
121,小区,11
122,中央,11
123,百兆,11
124,建设银行,11
125,招商银行,11
126,步步,11
127,陈玲,11
128,广电总局,10
129,中共陕西省委,10
130,服务公司,10
131,中信,10
132,清,10
133,付费,10
134,系统集成,10
135,家庭,10
136,光网,10
137,软硬件,10
138,旅游,10
139,汉中,10
140,通讯,10
141,实缴,10
142,拍摄,10
143,生金,10
144,陕,10
145,收益权,10
146,付,9
147,北京,9
148,建投,9
149,计算机,9
150,超高,9
151,专线,9
152,多元化,9
153,网格,9
154,万个,9
155,开放,9
156,酒店,9
157,组建,9
158,县区,9
159,验资,9
160,铜川,9
161,乐家,9
162,现金管理,9
163,乾元周,9
164,周利,9
165,通付,8
166,更名,8
167,云联,8
168,交易中心,8
169,创业投资,8
170,晏兆祥,8
171,应急,8
172,安装工,8
173,客户服务,8
174,省,8
175,客服,8
176,软件,8
177,数字化,8
178,预,8
179,工程项目,8
180,本地化,8
181,业态,8
182,生态,8
183,线路,8
184,管道,8
185,电影,8
186,网改,8
187,烨,8
188,霖,8
189,中信银行,8
190,韩普,8
191,生物,8
192,谛杰,8
193,可转,7
194,债转股,7
195,上海,7
196,省委,7
197,广电局,7
198,电子商务,7
199,旅行社,7
200,缩写,7
201,首座,7
202,卫视,7
203,数据业务,7
204,营业厅,7
205,乡镇,7
206,主,7
207,高质量,7
208,转制,7
209,推行,7
210,三是,7
211,贫困户,7
212,签约,7
213,居民,7
214,号文,7
215,新一代,7
216,宽带接入,7
217,人工成本,7
218,广告代理,7
219,新建,7
220,登记注册,7
221,交通银行,7
222,新城,7
223,建筑物,7
224,税收政策,7
225,国家开发银行,7
226,农发,7
227,文化产业,7
228,张革文,6
229,转股期,6
230,影视文化,6
231,文创,6
232,管廊,6
233,华秦,6
234,永和,6
235,青年,6
236,公共,6
237,传送,6
238,料费,6
239,分支机构,6
240,网格化,6
241,智能化,6
242,终端用户,6
243,覆盖率,6
244,运营商,6
245,网络资源,6
246,事业单位,6
247,陕西省委,6
248,县级,6
249,体制,6
250,开放式,6
251,树立,6
252,脱贫,6
253,攻坚,6
254,主导,6
255,运维,6
256,套餐,6
257,体验,6
258,开通,6
259,端,6
260,热点,6
261,在线,6
262,信息化,6
263,渭南,6
264,全光,6
265,共享,6
266,列入,6
267,计算机软件,6
268,承载,6
269,城区,6
270,元月,6
271,套,6
272,天天,6
273,承办,6
274,计算机系统,6
275,技术咨询,6
276,删除,6
277,金科,6
278,油气,6
279,免征,6
280,西,6
281,教育局,6
282,国尚,6
283,对此,5
284,眼界,5
285,佳通,5
286,茁壮,5
287,商务区,5
288,可比,5
289,省市,5
290,县,5
291,三大,5
292,入网,5
293,费后,5
294,挖掘,5
295,物业,5
296,单元,5
297,订购,5
298,呼叫,5
299,阵地,5
300,承载能力,5
301,网络覆盖,5
302,宽带用户,5
303,匹配,5
304,增效,5
305,思路,5
306,本地,5
307,党,5
308,政务,5
309,定位,5
310,回归,5
311,贫困村,5
312,延安市,5
313,咸阳,5
314,商业模式,5
315,交互,5
316,存储,5
317,市场主体,5
318,公共安全,5
319,地市,5
320,希会验,5
321,预算内,5
322,制造,5
323,器材,5
324,机顶盒,5
325,扩容,5
326,服务项目,5
327,信息系统,5
328,工商登记,5
329,计算机信息,5
330,计算机网络,5
331,食品,5
332,因特网,5
333,环保,5
334,南路,5
335,出版,5
336,金融机构,5
337,快车,5
338,光大,5
339,人民,5
340,信用等级,5
341,杜,5
342,总会计师,5
343,起任,5
344,自用,5
345,沣,5
346,分局,5
347,当中,5
348,雁塔区,5
349,都市,5
350,青春,5
351,年均,4
352,加剧,4
353,流失,4
354,新闻出版,4
355,信息管理,4
356,社区服务,4
357,地下,4
358,中广投,4
359,壹线,4
360,影业,4
361,陕数,4
362,广联,4
363,纵合,4
364,院线,4
365,大程,4
366,创业,4
367,承销商,4
368,下一代,4
369,电脑,4
370,辞去,4
371,网站,4
372,大道,4
373,东,4
374,网络媒体,4
375,服务商,4
376,入户,4
377,接收,4
378,服务中心,4
379,办,4
380,本级,4
381,小时,4
382,传输服务,4
383,舆论,4
384,人口,4
385,公共服务,4
386,三网,4
387,陕北,4
388,陕南,4
389,关中,4
390,进万家,4
391,一路,4
392,提质,4
393,创新性,4
394,承包制,4
395,思维,4
396,引入,4
397,注入,4
398,厂商,4
399,媒政网,4
400,平安,4
401,主责,4
402,四新,4
403,手段,4
404,统筹,4
405,行政村,4
406,服务平台,4
407,积极探索,4
408,游戏,4
409,上线,4
410,零售,4
411,电视机,4
412,部署,4
413,万张,4
414,发起,4
415,房产,4
416,著作权,4
417,预缴,4
418,传输网,4
419,接入网,4
420,面向,4
421,对接,4
422,独资,4
423,首期,4
424,关,4
425,物业管理,4
426,思想,4
427,填补,4
428,社会公众,4
429,汇票,4
430,扣缴,4
431,楼,4
432,报刊,4
433,水电费,4
434,共赢,4
435,中国银行,4
436,播出,4
437,排污,4
438,每张,4
439,手,4
440,人寿保险,4
441,冯,4
442,忠义,4
443,郝士锋,4
444,赵汝逊,4
445,咸阳市,4
446,凯迈,4
447,文,4
448,部副,4
449,任辉,4
450,住房,4
451,岗,4
452,核对,4
453,中央银行,4
454,电信业务,4
455,网络工程,4
456,技术转让,4
457,按规定,4
458,建造,4
459,教育费,4
460,若干,4
461,确认函,4
462,减免税,4
463,深圳,4
464,长安,4
465,影片,4
466,路,4
467,未办理,4
468,通讯费,4
469,满瑞,4
470,登记在册,3
471,派送,3
472,测算,3
473,投资额,3
474,金融信息,3
475,视觉,3
476,澄城县,3
477,洪泰,3
478,多媒体,3
479,音视频,3
480,光纤,3
481,王立,3
482,杨莎,3
483,登载,3
484,投资部,3
485,解读,3
486,表时,3
487,符合国家,3
488,贯通,3
489,大众,3
490,标清,3
491,时移,3
492,带宽,3
493,微信,3
494,促,3
495,服务水平,3
496,维修,3
497,服务业,3
498,不断加强,3
499,多样化,3
500,高清化,3
501,下滑,3
502,市县,3
503,集,3
504,体制改革,3
505,骨干,3
506,三项,3
507,用人,3
508,全网,3
509,合作伙伴,3
510,生态圈,3
511,民生,3
512,纵深,3
513,精细化,3
514,效能,3
515,双效,3
516,初心,3
517,路径,3
518,开关,3
519,出台,3
520,更好,3
521,深化,3
522,负责制,3
523,捆绑,3
524,举措,3
525,满意度,3
526,便利,3
527,专题,3
528,增量,3
529,爱,3
530,高度,3
531,手机,3
532,线下,3
533,零,3
534,监测,3
535,高速,3
536,力量,3
537,主流,3
538,采集,3
539,自律,3
540,决定书,3
541,文件精神,3
542,九州,3
543,安康,3
544,商洛,3
545,榆林,3
546,节目源,3
547,加密,3
548,配置,3
549,免税,3
550,改为,3
551,宽带网,3
552,光纤网络,3
553,楼宇,3
554,县城,3
555,每月,3
556,嗨,3
557,硬件,3
558,第十次,3
559,第十二次,3
560,第二十一次,3
561,暂定名,3
562,通道,3
563,展览,3
564,展示,3
565,家电,3
566,工程设计,3
567,网络系统,3
568,商务信息,3
569,地面,3
570,布线,3
571,软件开发,3
572,动漫,3
573,家用电器,3
574,主题,3
575,人工智能,3
576,基层,3
577,资源优势,3
578,第二十五次,3
579,要约,3
580,剥离,3
581,日以,3
582,应予,3
583,经理层,3
584,太白,3
585,年租金,3
586,音像,3
587,广告业务,3
588,广发,3
589,陕发,3
590,门,3
591,搭建,3
592,社会保险,3
593,工会,3
594,管理系统,3
595,下发,3
596,集合,3
597,个险,3
598,职工股,3
599,机器,3
600,保险产品,3
601,出资人,3
602,谢林平,3
603,聂丽洁,3
604,否否否,3
605,电视局,3
606,常务,3
607,主持,3
608,西部,3
609,基本工资,3
610,月度,3
611,保费,3
612,准备金,3
613,七七年,3
614,张革文年,3
615,月经,3
616,法人股,3
617,划转,3
618,经营项目,3
619,中介,3
620,低值易耗品,3
621,家具,3
622,原先,3
623,相符,3
624,立项,3
625,政策性,3
626,鼓励类,3
627,第幢,3
628,购房款,3
629,交房,3
630,电器,3
631,电杆,3
632,社保,3
633,派诚,3
634,该剧,3
635,办公用房,3
636,管道工程,3
637,精品,3
638,财政厅,3
639,广告设计,3
640,款年,3
641,百分之三十,2
642,为此,2
643,迭代,2
644,之四,2
645,网云,2
646,融汇,2
647,审,2
648,业务管理,2
649,外文,2
650,第十四次,2
651,电子信箱,2
652,网址,2
653,浐,2
654,灞,2
655,高靖杰,2
656,春晓,2
657,股年,2
658,五级,2
659,回,2
660,工本,2
661,材料费,2
