,分词排序,词频
0,春兰,214
1,江苏,151
2,泰州,85
3,房地产,65
4,制冷,48
5,信息,44
6,空调,44
7,工程,39
8,土地,35
9,泰州市,32
10,材料,31
11,机械制造,28
12,电子商务,25
13,空调设备,22
14,星威,21
15,宝华,19
16,压缩机,19
17,沈华平,18
18,能源,18
19,制造,18
20,唐,17
21,机械,17
22,建设,15
23,西安,13
24,庆安,13
25,动力,12
26,龙源,11
27,数据,11
28,摩托车,11
29,陶波,11
30,清洁,10
31,王爱军,9
32,发电,9
33,网站,9
34,电子,9
35,银行,9
36,王荣朝,9
37,建筑物,9
38,苏,8
39,亚金,8
40,诚,8
41,环保,8
42,电器,8
43,环境,8
44,路,7
45,元器件,7
46,空调器,7
47,宾馆,7
48,生物,7
49,电厂,6
50,国电,6
51,上海,6
52,家用空调,6
53,延续,6
54,旺季,6
55,制造业,6
56,配件,6
57,塑料制品,6
58,清理,6
59,排污,6
60,污水,6
61,滕晓梅,6
62,谢竹云,6
63,商标,6
64,建造,6
65,工业园区,5
66,老,5
67,别墅,5
68,家用电器,5
69,发动机,5
70,汽车,5
71,通讯,5
72,拆除,5
73,交通,5
74,信托,5
75,吴颖琦,5
76,无年,5
77,油气,5
78,应予,5
79,低值易耗品,5
80,上半年,4
81,消化,4
82,拆迁,4
83,多层,4
84,资源,4
85,激烈,4
86,去年同期,4
87,房地产业,4
88,房产,4
89,第九次,4
90,备品,4
91,维修,4
92,定位,4
93,积极性,4
94,工程项目,4
95,排放,4
96,废气,4
97,按规定,4
98,冷冻,4
99,应急,4
100,阳光,4
101,男是,4
102,男否,4
103,孙幼军,4
104,女否,4
105,柴宁泰,4
106,农业,4
107,教育,4
108,年薪制,4
109,澄星,4
110,中央银行,4
111,内因,4
112,届满时,4
113,保险费,4
114,水电费,4
115,徐来林,3
116,广场,3
117,物业管理,3
118,自营,3
119,房间,3
120,代理商,3
121,释放,3
122,地产,3
123,走势,3
124,年底,3
125,南京,3
126,楼市,3
127,遇冷,3
128,力争,3
129,外销,3
130,来源于,3
131,领,3
132,合同书,3
133,香港,3
134,机电设备,3
135,化工,3
136,机电产品,3
137,施工,3
138,行情,3
139,促销,3
140,证监会,3
141,现汇,3
142,门,3
143,陕西省,3
144,污染物,3
145,污染,3
146,化学品,3
147,除湿,3
148,化工产品,3
149,第三产业,3
150,机电,3
151,高速公路,3
152,沈华平程,3
153,盐城,3
154,师范学院,3
155,商学院,3
156,副教授,3
157,财经学院,3
158,扬州,3
159,工会,3
160,总经办,3
161,人力资源部,3
162,罚款,3
163,造,3
164,保费,3
165,准备金,3
166,金融机构,3
167,此基础,3
168,付出,3
169,方对,3
170,承担义务,3
171,中间价,3
172,包装物,3
173,半成品,3
174,开发成本,3
175,比照,3
176,指为,3
177,续约,3
178,外文,2
179,电子信箱,2
180,网址,2
181,南京市,2
182,陈玉生,2
183,田媛,2
184,自然灾害,2
185,一次性,2
186,红外线,2
187,遥控,2
188,集成电路,2
189,动力机械,2
190,下行,2
191,放缓,2
192,月度,2
193,下半年,2
194,表现,2
195,多重,2
196,房价,2
197,势头,2
198,高层,2
199,售出,2
200,零部件,2
201,体现,2
202,爆发,2
203,出货量,2
204,呈现,2
205,天气,2
206,停产,2
207,城镇化,2
208,机遇期,2
209,高层住宅,2
210,销售价格,2
211,比年,2
212,内销,2
213,致使,2
214,万台,2
215,人工成本,2
216,二非,2
217,持续性,2
218,补偿金,2
219,第六次,2
220,临年,2
221,第十次,2
222,增,2
223,登记日,2
224,换算,2
225,三名,2
226,纺织,2
227,机械厂,2
228,泰山,2
229,总社,2
230,执创,2
231,机械设备,2
232,后本,2
233,工商行政,2
234,换发,2
235,外商投资,2
236,至此,2
237,临临临,2
238,零售,2
239,文化,2
240,水电,2
241,管道,2
242,品,2
243,日用百货,2
244,服装,2
245,橡胶制品,2
246,包装材料,2
247,机体,2
248,零件,2
249,纺织机械,2
250,小轿车,2
251,有色金属,2
252,黑色金属,2
253,危险品,2
254,日用,2
255,办公用品,2
256,咨询服务,2
257,灯具,2
258,运输,2
259,饮用,2
260,纯净水,2
261,附件,2
262,电子产品,2
263,饮水机,2
264,饮,2
265,水桶,2
266,饮水,2
267,减亏,2
268,经济效益,2
269,成交量,2
270,稳妥,2
271,服务业,2
272,星威园,2
273,卖场,2
274,全员,2
275,依赖,2
276,收购人,2
277,百分之一,2
278,工作日内,2
279,无须,2
280,号本,2
281,分拆,2
282,解聘,2
283,同类,2
284,仓库,2
285,名下,2
286,使用费,2
287,金霖,2
288,家居生活,2
289,环境保护部,2
290,环境影响,2
291,环境保护,2
292,响应,2
293,检测,2
294,陕,2
295,国投,2
296,财富,2
297,集合,2
298,肖亿辉,2
299,贾放鸣,2
300,田雅祯,2
301,徐建美,2
302,沈,2
303,国安,2
304,九名,2
305,人陶,2
306,建幸,2
307,危险,2
308,派遣,2
309,汤静,2
310,王驰宇,2
311,科技局,2
312,主任科员,2
313,财务处,2
314,副处长,2
315,代,2
316,信息中心,2
317,处长,2
318,小平唐,2
319,会计系,2
320,讲师,2
321,系主任,2
322,农华,2
323,智慧,2
324,悦达,2
325,普悦,2
326,宝利,2
327,亚星,2
328,客车,2
329,财务科,2
330,成本会计,2
331,统计,2
332,处处长,2
333,小平,2
334,小平程,2
335,年终,2
336,市内,2
337,基本一致,2
338,岗,2
339,相互之间,2
340,监管部门,2
341,异议,2
342,防范,2
343,请参阅,2
344,定,2
345,账,2
346,现实,2
347,依次,2
348,对非,2
349,日为,2
350,原已,2
351,如为,2
352,下该,2
353,超额,2
354,兑换,2
355,恶性,2
356,通货膨胀,2
357,物价指数,2
358,时如,2
359,一组,2
360,倒闭,2
361,或重,2
362,项是,2
363,项以,2
364,超出,2
365,组是,2
366,此类,2
367,以换,2
368,价中,2
369,或应,2
370,顺序,2
371,赚取,2
372,机器设备,2
373,电子设备,2
374,尚可,2
375,相一致,2
376,竣工,2
377,每一,2
378,软件,2
379,医疗保险,2
380,工伤保险,2
381,生育,2
382,住房,2
383,教育经费,2
384,带薪,2
385,缺勤,2
386,缴费,2
387,裁减,2
388,指除,2
389,免租,2
390,销项税额,2
391,票,2
392,定期存款,2
393,注年,2
394,教育费,2
395,维修费,2
396,节能,2
397,丙烷,2
398,技术改造,2
399,产品名称,2
400,第三名,2
401,第五名,2
402,性支出,2
403,其他费用,2
404,西安市,2
405,不致,2
406,无本,2
407,航空,2
408,一本,1
409,主管人员,1
410,五经,1
411,法津,1
412,有息,1
413,否八,1
414,违反规定,1
415,否九,1
416,查阅,1
417,文义,1
418,另有所指,1
419,含义,1
420,常用,1
421,中文名称,1
422,中文,1
423,缩写,1
424,联系人,1
425,联系方式,1
426,张宁,1
427,联系地址,1
428,电话传真,1
429,选定,1
430,媒体,1
431,登载,1
432,中山北路,1
433,中环,1
434,期比,1
435,第一季度,1
436,第二季度,1
437,第三季度,1
438,第四季度,1
439,十非,1
440,偶发性,1
441,符合国家,1
442,长期以来,1
443,家用,1
444,空气,1
445,调节器,1
446,家庭,1
447,场所,1
448,器,1
449,火爆,1
450,急转直下,1
451,出货,1
452,畅,1
453,既定,1
454,子公年,1
455,建材,1
456,商城,1
457,沿街,1
458,商铺,1
459,开发商,1
460,于城镇,1
461,旺盛,1
462,棚户区,1
463,利好,1
464,上涨,1
465,知名度,1
466,品牌价值,1
467,登上,1
468,最具,1
469,排行榜,1
470,综合性,1
471,可靠性,1
472,国家标准,1
473,低噪音,1
474,服务体系,1
475,调控,1
476,遭遇,1
477,阻力,1
478,中怡康,1
479,零售量,1
480,零售额,1
481,增长势头,1
482,紧紧抓住,1
483,走动,1
484,第一手,1
485,适销对路,1
486,挖掘,1
487,操作,1
488,信心,1
489,淡季,1
490,如同,1
491,态势,1
492,新生,1
493,不大而,1
494,涌出,1
495,华东地区,1
496,没,1
497,产品价格,1
498,走低,1
499,不到,1
500,拖累,1
501,抢抓,1
502,窗口期,1
503,整体规划,1
504,扎实,1
505,经营策略,1
506,售磬,1
507,贡献,1
508,可售,1
509,商品房,1
510,源,1
511,所剩,1
512,改制,1
513,套,1
514,备货,1
515,计分,1
516,产品成本,1
517,款及,1
518,预缴,1
519,预售,1
520,交房,1
521,年终奖,1
522,海陵区,1
523,迎春,1
524,所有权证,1
525,改用,1
526,刊载,1
527,体育,1
528,冷,1
529,冷水机组,1
530,制品,1
531,塑料,1
532,道路,1
533,亏损额,1
534,紧抓,1
535,贯彻落实,1
536,技术升级,1
537,产品升级,1
538,产品开发,1
539,稳步增长,1
540,呈现出,1
541,创出,1
542,新高,1
543,出台,1
544,消费,1
545,基本面,1
546,三大,1
547,主导,1
548,力使,1
549,更为,1
550,严峻,1
551,生存空间,1
552,挤压,1
553,原辅材料,1
554,竞争手段,1
555,很多,1
556,变频,1
557,能效,1
558,走高,1
559,功能化,1
560,高价,1
561,入市,1
562,高企,1
563,观望,1
564,情绪,1
565,加重,1
566,商品住宅,1
567,前高后,1
568,低价,1
569,升量,1
570,缩,1
571,低位,1
572,徘徊,1
573,排除,1
574,市场行情,1
575,趋冷,1
576,下滑,1
577,立足,1
578,求,1
579,资源整合,1
580,抓住,1
581,城建,1
582,助力,1
583,城东,1
584,集聚,1
585,建,1
586,服务质量,1
587,终端,1
588,有质态,1
589,存量,1
590,调动,1
591,面对现实,1
592,正视,1
593,妥善,1
594,稳中有升,1
595,取决于,1
596,现状,1
597,市场占有率,1
598,不强,1
599,趋高,1
600,三线,1
