,分词排序,词频
0,能源,335
1,青岛,320
2,天然气,160
3,长春,113
4,邓天洲,104
5,燃气,91
6,武汉,90
7,石油,84
8,中天否,84
9,油气,81
10,黄博,70
11,湖北,59
12,中天,52
13,信息,44
14,合能,43
15,银行,41
16,中国建设银行,40
17,江苏,35
18,工程,30
19,四方,30
20,浙江,28
21,天源,24
22,液化,23
23,开采,23
24,清洁,22
25,加拿大,21
26,年月生,21
27,国厚,20
28,被套,20
29,立信,19
30,亚太,19
31,建设,19
32,男否,19
33,中能,19
34,网站,18
35,分销,17
36,中联,16
37,资源,16
38,信托,16
39,土地,16
40,通用机械,15
41,北京,15
42,华丰,15
43,陈方,15
44,油品,14
45,进口,14
46,鄂,14
47,众能,13
48,无锡,13
49,油气田,13
50,之日个,13
51,王东,12
52,山东,12
53,汽车,12
54,杭州,12
55,孔鑫明,12
56,日照,11
57,数据,11
58,制造,11
59,江阴,11
60,接收站,11
61,嘉兴,11
62,自非,11
63,林大,11
64,湑,11
65,青岛市,11
66,崔怡彬,10
67,泓,10
68,上游,10
69,环境,10
70,信用证,10
71,渤海,10
72,中油,10
73,矿区,10
74,该笔,10
75,银贷,10
76,宣城,9
77,东之尼,9
78,广东,9
79,储量,9
80,房地产,9
81,依存度,9
82,英大,9
83,换届选举,9
84,湖北省,9
85,江汉,9
86,生物,9
87,外汇,9
88,保,9
89,长丰,8
90,兴业,8
91,大连,8
92,原油,8
93,国外,8
94,终端,8
95,进口量,8
96,盛天,8
97,兴业银行,8
98,陈宋生,8
99,亿加元,8
100,乔良,7
101,长百,7
102,百货大楼,7
103,山西,7
104,仙桃,7
105,上海,7
106,折耗,7
107,双,7
108,中游,7
109,无年,7
110,探明,7
111,加气,7
112,环保,7
113,铜陵,7
114,一案,7
115,购物,7
116,武汉经济技术开发区,7
117,伟业,6
118,沙河,6
119,博宏,6
120,朝阳区,6
121,路,6
122,油田,6
123,非金融,6
124,储运,6
125,运转,6
126,停滞,6
127,消费,6
128,勘探,6
129,人工,6
130,阿尔伯,6
131,常州,6
132,清理,6
133,深圳,6
134,恒丰,6
135,工程师,6
136,建造,6
137,权利金,6
138,信贷,6
139,黄博宁晓艳,6
140,金谷,6
141,黄博宁晓燕,6
142,中科,6
143,黄,6
144,博亚,6
145,原名,5
146,中泰博天,5
147,新天,5
148,资金紧张,5
149,风波,5
150,稳步,5
151,潮州,5
152,低效,5
153,出台,5
154,物流,5
155,绿色,5
156,管道,5
157,储配,5
158,亿吨,5
159,加元,5
160,危机,5
161,塔,5
162,嘉富,5
163,翔嘉中舟,5
164,即可,5
165,中国银行,5
166,轮候,5
167,北京经济技术开发区,5
168,合涌源,5
169,女否,5
170,贾晓钧,5
171,王建国,5
172,江西,5
173,风尚,5
174,南京,5
175,材料,5
176,换届,5
177,除净,5
178,恒,5
179,贷款额度,5
180,兴银京,5
181,保字,5
182,最保,5
183,为保,5
184,已重,5
185,香港,5
186,同日,4
187,紧张,4
188,中天泓海,4
189,燕中,4
190,宣城市,4
191,兴腾,4
192,中天众,4
193,石油化工,4
194,望京,4
195,塔座,4
196,长春市,4
197,销售业务,4
198,资金短缺,4
199,销售价格,4
200,下半年,4
201,国际原油,4
202,国内贸易,4
203,民营,4
204,发改委,4
205,调峰,4
206,储气,4
207,气,4
208,改装,4
209,环境保护,4
210,一次能源,4
211,装备,4
212,博弈,4
213,稳固,4
214,银团,4
215,商业机会,4
216,健康,4
217,改组,4
218,解聘,4
219,金石,4
220,沥青,4
221,股及,4
222,孳息,4
223,北京市第二中级人民法院,4
224,宁波,4
225,厂长,4
226,陈正钢,4
227,邓小泊,4
228,陈,4
229,爱国,4
230,苏,4
231,软件,4
232,电视,4
233,九头,4
234,风,4
235,七七,4
236,中央银行,4
237,以换,4
238,使用费,4
239,养老保险,4
240,缴费,4
241,开个,4
242,银汉,4
243,信第号,4
244,中国农业银行,4
245,高科技,4
246,工业园,4
247,授信额度,4
248,交通银行,4
249,迈皋,4
250,桥,4
251,整,4
252,加拿大元,4
253,英属维尔京群岛,4
254,卡尔加里,4
255,宁晓艳,4
256,海否,4
257,百中天,3
258,机械,3
259,通用,3
260,安平县,3
