,分词排序,词频
0,广泽,128
1,奶酪,127
2,乳业,87
3,妙,86
4,信息,79
5,蓝多,69
6,乳制品,67
7,上海,66
8,吉林省,62
9,琇,52
10,食品,51
11,乳品,49
12,吉林,48
13,科技,47
14,柴,43
15,工程,31
16,信托,28
17,芝然,25
18,农化,24
19,液态奶,24
20,土地,23
21,华联,22
22,网站,22
23,消费,21
24,零售,20
25,长春市,20
26,山东,18
27,消费者,18
28,建设,18
29,崔民东,18
30,天津,17
31,长春,17
32,材料,16
33,获授,16
34,白丽君,15
35,电商,14
36,残疾人,14
37,安达,13
38,吉林市,13
39,银行,13
40,房地产,13
41,环境,13
42,北京,12
43,蓝,12
44,数据,12
45,中间级,12
46,吉乳,11
47,大成,11
48,下同,11
49,排放,11
50,生物,11
51,建造,11
52,矿业,10
53,工业,10
54,登载,10
55,棒,10
56,层面,10
57,限售期,10
58,续借,10
59,陈运,10
60,杨磊,9
61,乳,9
62,渤海,9
63,华美,9
64,八期,9
65,沣民坤厚,9
66,房产,9
67,第一个,9
68,环境保护,9
69,高新技术,9
70,监测,9
71,养殖,8
72,黄油,8
73,餐饮,8
74,动力,8
75,厚生,8
76,人柴,8
77,农村,8
78,商业银行,8
79,外汇,8
80,前次,7
81,牧硕,7
82,路,7
83,马苏,7
84,里拉,7
85,芝士,7
86,沣民乾始,7
87,兴业,7
88,业绩考核,7
89,地产,7
90,建筑物,7
91,天津市,7
92,然,6
93,食品科技,6
94,鳕鱼,6
95,撕,6
96,京东,6
97,知名,6
98,农业,6
99,网络,6
100,为准,6
101,上报,6
102,集合,6
103,排污,6
104,应急,6
105,刘宗尚,6
106,首席,6
107,北康,6
108,酿造,6
109,油气,6
110,残疾,6
111,金山,6
112,澳元,6
113,林芝,5
114,手,5
115,儿童,5
116,去年同期,5
117,品类,5
118,牛奶,5
119,国人,5
120,来源于,5
121,商业机会,5
122,证书编号,5
123,长房,5
124,权字,5
125,当年度,5
126,成就,5
127,任松,5
128,环保,5
129,污染物,5
130,郭永来,5
131,国兴,5
132,换届,5
133,模型,5
134,归类,5
135,计征,5
136,教育费,5
137,就业,5
138,春城,5
139,浦发银行,5
140,奉贤区,4
141,奶粉,4
142,奶油,4
143,原制,4
144,传统,4
145,线下,4
146,原辅材料,4
147,新品,4
148,陆续,4
149,液奶,4
150,烘焙,4
151,最新,4
152,消费量,4
153,助力,4
154,家庭,4
155,资源,4
156,劳务费,4
157,促销,4
158,装卸,4
159,南区,4
160,进项,4
161,势力,4
162,福寿,4
163,德,4
164,办公楼,4
165,交割日,4
166,分批,4
167,十次,4
168,联鑫,4
169,投资决策,4
170,废水,4
171,沂源,4
172,深圳,4
173,稳赢,4
174,私募,4
175,崔民河,4
176,邹有伟,4
177,邹士学,4
178,胡彦超,4
179,任妙,4
180,辞去,4
181,刊载,4
182,中央银行,4
183,七七,4
184,中除,4
185,机器设备,4
186,结果表明,4
187,成分,4
188,采矿业,4
189,折旧费,4
190,国际贸易,4
191,高新,4
192,加计,4
193,所得税法,4
194,信用证,4
195,第一名,4
196,第二名,4
197,第三名,4
198,第四名,4
199,第五名,4
200,配送,4
201,抵押物,4
202,本本,4
203,光大银行,4
204,元重,4
205,至本,4
206,专款,4
207,技术改造,4
208,为元股,4
209,吉,3
210,上海市浦东新区,3
211,金桥,3
212,媒体,3
213,发酵,3
214,植物,3
215,油脂,3
216,生鲜,3
217,旗舰店,3
218,奠定,3
219,重磅,3
220,赢得,3
221,国家统计局,3
222,含有,3
223,健康,3
224,越来越,3
225,奶制品,3
226,干,3
227,人均,3
228,有望,3
229,全国性,3
230,专注,3
231,品牌形象,3
232,领先地位,3
233,路线,3
234,喜爱,3
235,度,3
236,食品安全,3
237,强大,3
238,定制,3
239,全家,3
240,把握,3
241,进口,3
242,差异化,3
243,宣传片,3
244,开启,3
245,大赛,3
246,运输费,3
247,直营,3
248,农业产业,3
249,沣,3
250,永,3
251,外资,3
252,产品线,3
253,对比,3
254,本土,3
255,扩张,3
256,配偶,3
257,更名,3
258,对广泽,3
259,经性,3
260,事由,3
261,注年,3
262,扣划,3
263,第三十六,3
264,按规定,3
265,名原,3
266,筹划,3
267,耀禾,3
268,防治法,3
269,烟气,3
270,排放口,3
271,演练,3
272,户,3
273,刘木栋,3
274,集体,3
275,王永香,3
276,沪,3
277,第二个,3
278,第三个,3
279,苏波,3
280,官,3
281,孙立荣,3
282,东秀,3
283,农牧,3
284,人力,3
285,事务所律师,3
286,吕厚军,3
287,教育,3
288,比照,3
289,和谐,3
290,通讯,3
291,保费,3
292,准备金,3
293,付出,3
294,表中,3
295,数在,3
296,低值易耗品,3
297,包装物,3
298,除净,3
299,修正,3
300,本身,3
301,代销,3
302,补助款,3
303,条例,3
304,政策性,3
305,置,3
306,计价法,3
307,清理,3
308,纳税人,3
309,即征,3
310,每月,3
311,职工工资,3
312,农产品,3
313,初加工,3
314,城镇,3
315,定期存款,3
316,中联,3
317,交通银行,3
318,奉贤,3
319,保险费,3
320,招商银行,3
321,中国光大银行,3
322,减排,3
323,中名,3
324,主管人员,2
325,理解,2
326,指妙,2
327,外文,2
328,金台,2
329,楼,2
330,幢,2
331,电子信箱,2
332,网址,2
333,王微微,2
334,代艳玲,2
335,新鲜,2
336,风味,2
337,奶,2
338,饮品,2
339,食用,2
340,乳酪,2
341,超市,2
342,日配,2
343,自营,2
344,商城,2
345,下厨房,2
346,客户资源,2
347,酸奶,2
348,干酪,2
349,营养成分,2
350,消费水平,2
351,营养,2
352,口感,2
353,茶,2
354,心智,2
355,群体,2
356,这一,2
357,近,2
358,快,2
359,倍,2
360,先发,2
361,专,2
362,深入人心,2
363,稀,2
364,走向,2
365,深受,2
366,线上,2
367,牧场,2
368,辨识,2
369,走,2
370,选用,2
371,再制,2
372,多款,2
373,萨莉亚度,2
374,美乐,2
375,海底,2
376,捞,2
377,吉野家,2
378,多乐,2
379,连锁,2
380,家乐福,2
381,欧尚永辉,2
382,高速,2
383,彰显,2
384,成效,2
385,国产,2
386,为妙,2
387,推向市场,2
388,日趋,2
389,主力,2
390,诸如,2
391,粘性,2
392,青睐,2
393,汪汪,2
394,队,2
395,试吃,2
396,上线,2
397,展会,2
398,登陆,2
399,央视,2
400,分众传媒,2
401,高水平,2
402,是因为,2
403,计息,2
404,平均额,2
405,燃,2
406,北区,2
