,分词排序,词频
0,秋林,558
1,哈尔滨,368
2,天津,248
3,黄金,179
4,金桔,165
5,莱,135
6,深圳,127
7,食品,118
8,华夏银行,95
9,珠宝,67
10,信息,62
11,珠宝首饰,61
12,嘉颐,58
13,制品,57
14,颐和,53
15,李亚,51
16,龙井,47
17,银行,46
18,涉嫌,44
19,文化,38
20,生物,37
21,天津市,35
22,隆泰,35
23,失联,34
24,哈尔滨市,34
25,黑龙江,32
26,回售,30
27,农,29
28,商行,29
29,上海,28
30,北京,28
31,建华,27
32,李,27
33,建新,27
34,材料,27
35,黄金珠宝,27
36,海丰,27
37,消费者,27
38,潘,26
39,百年,26
40,信托,25
41,航空,25
42,制造,25
43,农村,25
44,商业银行,25
45,环境,25
46,消费,25
47,土地,25
48,零售,24
49,账单,24
50,渤海,23
51,科技,23
52,工程,23
53,核查,22
54,吉林,20
55,传统,20
56,高级人民法院,19
57,媒体,19
58,电商,19
59,百货商场,19
60,滨奥,18
61,奔马,18
62,房地产,18
63,划款,18
64,延边,18
65,公安机关,17
66,报案,17
67,海口,17
68,宣传,17
69,啤酒,17
70,数据,16
71,首佳,16
72,小额贷款,16
73,购物,16
74,商场,16
75,回函,16
76,核实,16
77,民事裁定,15
78,公章,14
79,复议,14
80,南岗区,14
81,烘焙,14
82,划转,14
83,配合,14
84,洪佛松,14
85,公司公告,13
86,未曾,13
87,过往,13
88,百货业,13
89,力,13
90,建设,13
91,肉制品,13
92,三笔,13
93,房产,13
94,誉高,13
95,二审,13
96,秋林年,13
97,消耗性,13
98,疑似,12
99,东大,12
100,直街,12
101,顾客,12
102,转账,12
103,及秋林,12
104,签订合同,12
105,山西,12
106,诉讼费用,12
107,冷暖,11
108,分局,11
109,海丰县,11
110,黄金首饰,11
111,形象,11
112,面包,11
113,谢和宇,11
114,白彦壮,10
115,大信,10
116,经贸,10
117,网站,10
118,百货,10
119,严峻,10
120,促销,10
121,旅游,10
122,品牌形象,10
123,列巴,10
