,分词排序,词频
0,国美,297
1,三联,164
2,电子,149
3,德景,142
4,电器,125
5,山东,116
6,通讯,98
7,浙江,72
8,济南,68
9,信息,65
10,智能,63
11,北京,61
12,科技,61
13,商社,49
14,电子科技,48
15,国美安,46
16,手机,45
17,终端,44
18,商务,43
19,房地产,41
20,龙脊,39
21,建设,39
22,岛,38
23,迅,38
24,工程,36
25,上海,33
26,制造,33
27,房产,31
28,商品销售,31
29,家电,30
30,通讯设备,29
31,大华,26
32,嘉兴,26
33,物业,26
34,物流,24
35,银行,23
36,网络科技,22
37,数据,21
38,品牌手机,21
39,环境,20
40,通信,19
41,厂商,19
42,土地,19
43,魏东,18
44,久禄鑫,18
45,零售,17
46,济南市,17
47,智能手机,17
48,成都,17
49,沙翔,17
50,惠州,16
51,天津,16
52,正刚,15
53,宋林林,14
54,下滑,13
55,出货量,13
56,郑州,13
57,承租,13
58,建筑物,12
59,实缴,12
60,建造,12
61,战圣,11
62,促销,11
63,智盛港,11
64,联网,11
65,青岛,11
66,卢比,11
67,德恳,10
68,计算机,10
69,材料,10
70,信息技术,10
71,沙翔于,10
72,保密,10
73,兴业银行,10
74,广告位,10
75,抵偿,10
76,再审,10
77,冲抵,10
78,西门,9
79,终端产品,9
80,软件,9
81,家用电器,9
82,智慧,9
83,嘉兴市,9
84,股占,9
85,中银,9
86,历下区,8
87,趵突泉,8
88,北路,8
89,主板,8
90,资源,8
91,印度,8
92,费用率,8
93,合资,8
94,密码,8
95,智能家居,8
96,人及,8
97,扣减,8
98,鹏,8
99,盛,8
100,所属单位,8
101,三级,8
102,必迅,8
103,济联京美,7
104,配送,7
105,网站,7
106,整机,7
107,审,7
108,月经,7
109,智巡,7
110,网络,7
111,技术咨询,7
112,互联网,7
113,不足以,7
114,黄光裕,7
115,判决书,7
116,安迅,7
117,附属,7
118,清理,7
119,下称,7
120,永乐,7
121,重庆,7
122,江苏,7
123,爱,6
124,优威,6
125,经贸,6
126,态势,6
127,生物,6
128,物料,6
129,下同,6
130,完成率,6
131,终端设备,6
132,缴付,6
133,南湖,6
134,或德景,6
135,交割日,6
136,谋求,6
137,核,6
138,顺序,6
139,购入,6
140,该案,6
141,仲裁委,6
142,赔偿金,6
143,在线,6
144,项下,6
145,东外,6
146,年利率,6
147,上表,6
148,抵债,6
149,身份,6
150,四方,6
151,河北,6
152,高新技术,6
153,海尔,6
154,尾款,6
155,海信,6
156,嘉房,6
157,权证,6
158,深圳,6
159,联美,5
160,智科,5
161,曾用名,5
162,软件开发,5
163,销售业务,5
164,多元化,5
165,城,5
166,可控,5
167,专利权,5
168,富美,5
169,计算机网络,5
170,第十一次,5
171,股权结构,5
172,对德景,5
173,技术转让,5
174,激烈,5
175,商用,5
176,聘用,5
177,共管,5
