,分词排序,词频
0,江苏,476
1,银行,471
2,本行,213
3,金融机构,79
4,信息,54
5,信托,46
6,商业银行,44
7,科技,44
8,行长,38
9,股息,38
10,中央银行,38
11,信贷,37
12,获,34
13,净收入,33
14,换届,32
15,充足率,31
16,扶贫,30
17,建设,30
18,项类,30
19,操作,29
20,小微,27
21,数据,26
22,上海,26
23,副行长,26
24,止年,25
25,凤凰,24
26,外汇,24
27,限额,24
28,银监会,23
29,全行,22
30,华泰,22
31,拆出,22
32,沈彬,21
33,单翔,21
34,夏平,20
35,担保物,20
36,季明,19
37,网站,19
38,不良贷款,19
39,信用卡,19
40,非上市,19
41,银行业,18
42,智慧,18
43,沙钢,18
44,经济师,18
45,劲松,17
46,总行,17
47,工程,17
48,金融业务,16
49,零售,16
50,着力,16
51,村镇,16
52,南京,16
53,唐,15
54,奖,15
55,制造业,15
56,服务业,15
57,绿色,14
58,金融服务,14
59,保得,14
60,声誉,14
61,无锡市,14
62,五五,14
63,罗锋,13
64,智能,13
65,苏银,13
66,出版,13
67,金融债券,13
68,深化,13
69,户,13
70,营运,13
71,抵债,13
72,表外,13
73,准备金,13
74,高质量,12
75,互联网,12
76,传媒,12
77,计息,12
78,三是,12
79,监测,12
80,苏州,12
81,无锡,12
82,刊载,12
83,该类,12
84,万亿元,11
85,中国人民银行,11
86,存单,11
87,借款人,11
88,缺口,11
89,可转债,11
90,副处长,11
91,开业,10
92,场景,10
93,资源,10
94,消费,10
95,跨境,10
96,保险,10
97,资管,10
98,金融债,10
99,可疑,10
100,迁徙,10
101,同类,10
102,模型,10
103,交通,10
104,最具,9
105,城商行,9
106,贡献,9
107,涉农,9
108,人工智能,9
109,对公,9
110,覆盖率,9
111,特色化,9
112,配置,9
113,银监局,9
114,南京市,9
115,吴典军,9
116,拨备,9
117,教育,9
118,脱贫,9
119,预警,9
120,头寸,9
121,环境,9
122,次级,9
123,广播电视,9
124,新任,9
125,建筑物,9
126,发起,9
127,信贷业务,8
128,定位,8
129,调,8
130,手段,8
131,联网,8
132,战略规划,8
133,监管局,8
134,生息,8
135,建立健全,8
136,党建,8
137,智能化,8
138,年利率,8
139,对手,8
140,顾,8
141,尟,8
142,南京大学,8
143,本科毕业,8
144,学士学位,8
145,土地,8
146,下表,8
147,杜文毅,7
148,姜健,7
149,毕马威,7
150,派发,7
151,客户服务,7
152,证券化,7
153,直销,7
154,文化,7
155,投放,7
156,成效,7
157,银行行长,7
158,监督管理,7
159,中国银行,7
160,信用证,7
161,银行卡,7
162,汇款,7
163,银行业务,7
164,体制,7
165,落地,7
166,评选,7
167,商务,7
168,分支机构,7
169,深圳,7
170,刘煜辉,7
171,艳丽,7
172,住房,7
173,处处长,7
174,通讯,7
175,胡军,6
176,华振,6
177,参阅,6
178,投行,6
179,习近平,6
180,思想,6
181,致力于,6
182,体验,6
183,健康,6
184,缓释,6
185,联动,6
186,路,6
187,变革,6
188,融,6
189,客服,6
190,综合化,6
191,上线,6
192,证监会,6
193,苏银优,6
194,中华路,6
195,江苏省委,6
196,房地产业,6
197,信息技术,6
198,信用贷款,6
199,政策性,6
200,存量,6
201,排查,6
202,回拨,6
203,性支出,6
204,错配,6
205,存续,6
206,触发,6
207,赵辉,6
208,周凯,6
209,组织部,6
210,主持,6
211,科员,6
212,常务,6
213,颜延,6
214,周,6
215,抵,6
216,款额,6
217,税项,6
218,登记在册,5
219,派送,5
220,私人,5
221,杰出,5
222,金融界,5
223,社会主义,5
224,坚守,5
225,经济社会,5
226,把握,5
227,评为,5
228,我行,5
229,民营企业,5
230,苏北,5
231,手机,5
232,爱,5
233,三大,5
234,步伐,5
235,区块,5
236,实贷,5
237,国际化,5
238,存贷款,5
239,底线,5
240,防范,5
241,队伍,5
242,丹阳,5
243,收付,5
244,远期,5
245,防控,5
246,干部,5
247,建筑业,5
248,中国政府,5
249,汇票,5
250,五级,5
251,隐患,5
252,早,5
253,足额,5
254,开出,5
255,另一方,5
256,环节,5
257,职能,5
258,曲线,5
259,统筹,5
260,管理机制,5
261,南通,5
262,超额,5
263,制订,5
264,华西村,5
265,填补,5
266,慈善,5
267,消费者,5
268,养老保险,5
269,杨廷栋,5
270,陈健,5
271,葛仁余,5
272,卫兵,5
273,业务部,5
274,营业部,5
275,市委,5
276,员,5
277,经济学,5
278,总会计师,5
279,博士,5
280,洋河,5
281,基准,5
282,成分,5
283,保险费,5
284,按年,5
285,股利收入,5
286,中有,5
287,国债,5
288,无需,5
289,场外,5
290,亿股,4
291,登记日,4
292,致辞,4
293,第个,4
294,严峻,4
295,沉,4
296,下身,4
297,练内功,4
298,稳中有进,4
299,走,4
300,结构性,4
301,部署,4
302,增量,4
303,全省,4
304,基因,4
305,保监局,4
306,万户,4
307,保监会,4
308,凭证,4
309,创,4
310,新一轮,4
311,敏捷,4
312,顺应,4
313,融入,4
314,开放,4
315,财富,4
316,公共,4
317,扎实,4
318,适时,4
319,效能,4
320,业务管理,4
321,上海市浦东新区,4
322,活期存款,4
323,定期存款,4
324,扣减,4
325,杠杆,4
326,数值,4
327,监管部门,4
328,机关,4
329,代客,4
330,专业化,4
331,人才队伍,4
332,逾,4
333,不断加强,4
334,政治,4
335,上化,4
336,医疗,4
337,欺诈,4
338,不断丰富,4
339,意识,4
340,物业,4
341,交通运输,4
342,仍为,4
343,信贷政策,4
344,管理系统,4
345,表内,4
346,设置,4
347,可控,4
348,公益,4
349,镇江,4
350,镇江市,4
351,网点,4
352,杨凯,4
353,国有资产,4
354,促使,4
355,解读,4
356,薄弱,4
357,村,4
358,股可,4
359,小林,4
360,监事长,4
361,传标,4
362,袁维静,4
363,徐劲,4
364,首席,4
365,缴费,4
366,纪委书记,4
367,管理学,4
368,正科级,4
369,亚联,4
370,科长,4
371,总台,4
372,辞职,4
373,人均,4
374,五可供,4
375,可变,4
376,近似,4
377,归类,4
378,若干,4
379,下述,4
380,当本,4
381,试行,4
382,折,4
383,发起人,4
384,支用,4
385,信贷风险,4
386,牵头,4
387,静态,4
388,交割,4
389,互换,4
390,往来款项,4
391,公务,3
392,排名,3
393,主板,3
394,新浪,3
395,财经,3
396,实践,3
397,创新奖,3
398,进化,3
399,进中,3
400,趋好,3
401,坚实,3
402,牢牢,3
403,供给,3
404,从严治党,3
405,中央,3
406,根植,3
407,对接,3
408,普惠小微,3
409,两增,3
410,农业,3
411,县区,3
412,生态,3
413,车,3
414,紧扣,3
415,知名,3
416,获评,3
417,塑造,3
418,持续保持,3
419,亿美元,3
420,自贸区,3
421,快速增长,3
422,一轮,3
423,内外部,3
424,稳中求进,3
425,稳步发展,3
426,多元化,3
427,压降,3
428,化解,3
429,柜面,3
430,健全,3
431,投诉,3
432,消保,3
433,央行,3
434,收入支出,3
435,免税,3
436,每日,3
437,杂志,3
438,长三角,3
439,珠三角,3
440,省政府,3
441,公众,3
442,集合,3
443,营造,3
444,一带,3
445,一路,3
446,倍,3
447,稳步,3
448,签约,3
449,语音,3
450,新一代,3
451,最新,3
452,举办,3
453,柜台,3
454,财私,3
455,网络,3
456,反,3
457,助力,3
458,荣获,3
459,条线,3
460,年期,3
461,集中化,3
462,夯实,3
463,其他支出,3
464,均衡,3
465,零售业,3
466,水利,3
467,公共设施,3
468,仓储,3
469,邮政,3
470,电力,3
471,热力,3
472,燃气,3
473,及水,3
474,农林牧渔业,3
475,传输,3
476,软件,3
477,科学研究,3
478,居民,3
479,修理,3
480,体育,3
481,娱乐业,3
482,住宿,3
483,餐饮业,3
484,卫生,3
485,社会工作,3
486,财政性,3
487,年本,3
488,指因,3
489,恶化,3
490,责任人,3
491,清欠,3
492,严控,3
493,四是,3
494,五是,3
495,充足,3
496,带,3
497,情景,3
498,积极开展,3
499,国开,3
500,捐助,3
501,北路,3
502,非银行,3
503,东方路,3
504,农户,3
505,扬州,3
506,苏州市,3
507,淮安市,3
508,连云港,3
509,专长,3
510,群,3
511,复苏,3
512,本外币,3
513,下同,3
514,听取,3
515,关心,3
516,时任,3
517,工业,3
518,中本,3
519,按规定,3
520,下本,3
521,带动,3
522,低收入,3
523,党群,3
524,一日,3
525,人人,3
526,建档立卡,3
527,详细情况,3
528,职工股,3
529,富安,3
530,香港,3
531,天津,3
532,招商银行,3
533,杜宝起,3
534,汤小青,3
535,心丹,3
536,李敏,3
537,派出,3
538,朱其龙,3
539,时文,3
540,绮,3
541,硕士学位,3
542,法学,3
543,研究室,3
544,副处级,3
545,处长,3
546,部副,3
547,工商管理,3
548,信托投资公司,3
549,投资银行,3
550,副经理,3
551,太湖,3
552,新城,3
553,董事局,3
554,农村,3
555,工程师,3
556,副科长,3
557,酒厂,3
558,丁,3
559,新华,3
560,人民银行,3
561,局长,3
562,赵,3
563,影视文化,3
564,建设银行,3
565,王,3
566,辞任,3
567,北京,3
568,体现,3
569,学时,3
570,说明会,3
571,将重,3
572,五三年,3
573,日止,3
574,很小,3
575,按原,3
576,后以,3
577,使本,3
578,单笔,3
579,记入,3
580,电子设备,3
581,运输工具,3
582,计算机软件,3
583,至该,3
584,医疗保险,3
585,工伤保险,3
586,生育,3
587,重要性,3
588,代理人,3
589,暂行办法,3
590,存出,3
591,天及,3
592,年注,3
593,五年期,3
594,强制,3
595,顺序,3
596,注年,3
597,若本,3
598,双线,3
599,审查,3
600,承受,3
601,来源于,3
602,尚待,2
603,贡献奖,2
604,荣誉称号,2
605,卓越,2
606,创新力,2
607,金融时报,2
608,金牌,2
609,大众,2
610,十佳,2
611,年头,2
612,应变,2
613,不忘,2
614,初心,2
615,勇于,2
616,担当,2
617,贯彻落实,2
618,城乡居民,2
619,侧,2
620,大政方针,2
621,秉承,2
