,分词排序,词频
0,盐业,283
1,湖南,268
2,轻盐,128
3,盐化,124
4,湖南省,122
5,盐,97
6,湘衡,65
7,轻工,62
8,信息,54
9,食盐,54
10,九二,47
11,排放,42
12,湘,39
13,工程,39
14,澧,38
15,雪天,36
16,建设,34
17,烧碱,33
18,创投,28
19,食品,28
20,开门,27
21,环保,26
22,扶贫,26
23,重庆,23
24,宜化,23
25,轻盐晟富,23
26,工业盐,22
27,长沙,21
28,科技,20
29,江西,20
30,电子商务,20
31,高新技术,20
32,节能,20
33,环境,19
34,锅炉,19
35,芒硝,18
36,食用盐,18
37,材料,18
38,化工,17
39,数据,17
40,资源,17
41,银行,17
42,脱硫,17
43,晶鑫,16
44,房地产,16
45,制盐,16
46,冯传良,15
47,贵州,15
48,广西,15
49,盐及,15
50,非盐,15
51,省外,14
52,省内,14
53,除尘,13
54,创业投资,12
55,离子,12
56,膜,12
57,配送,12
58,职称,12
59,房产,12
60,李瑛,11
61,湘江,11
62,私募,11
63,阳光,11
64,两碱,11
65,终端,11
66,定点,11
67,烟气,11
68,土地,11
69,退休,11
70,商品销售,11
71,广东,10
72,长沙市,10
73,技术改造,10
74,发起,10
75,减排,10
76,热电厂,10
77,生物,10
78,内退,10
79,款年,10
80,基准利率,10
81,衡阳市,9
82,燃料,9
83,动力,9
84,科学,9
85,环境保护,9
86,注入,9
87,医疗,9
88,证书编号,9
89,轻,8
90,纺织,8
91,盐矿,8
92,人工,8
93,监测,8
94,科长,8
95,精算,8
96,汪俊,7
97,财信,7
98,高新,7
99,盐晟富,7
100,精细化工,7
101,大道,7
102,造纸,7
103,物流,7
104,体制改革,7
105,电商,7
106,氯碱,7
107,卤水,7
108,提质,7
109,发力,7
110,延伸,7
111,零售,7
112,互联网,7
113,小包,7
114,设计院,7
115,脱贫,7
116,排污,7
117,排放口,7
118,危险,7
119,北京,7
120,湖南大学,7
121,换届选举,7
122,会昌,7
123,年增长率,7
124,矿业,6
125,阳光城,6
126,一次性,6
127,直销,6
128,结构性,6
129,线上,6
130,上线,6
131,采矿权,6
132,宣传,6
133,烹饪,6
134,增效,6
135,污染物,6
136,浓度,6
137,烟囱,6
138,环境保护局,6
139,杨正华,6
140,部副,6
141,经济师,6
142,干部,6
143,人力资源部,6
144,工程师,6
145,油气,6
146,波特,6
147,超低,6
148,工信局,6
149,龙牌,6
150,雨花区,5
151,西号,5
152,精制,5
153,消费,5
154,现状,5
155,化工原料,5
156,步伐,5
157,储量,5
158,亿吨,5
159,天鹅,5
160,人才队伍,5
161,开采,5
162,净化,5
163,二期工程,5
164,工业,5
165,募,5
166,健康,5
167,销售价格,5
168,填补,5
169,促成,5
170,建设银行,5
171,教育,5
172,衡阳,5
173,就业,5
174,年均,5
175,核定,5
176,竣工,5
177,会昌县,5
178,化学品,5
179,陶瓷,5
180,文华,5
181,罗玉成,5
182,杨平波,5
183,正德,5
184,博士生,5
185,导师,5
186,工会主席,5
187,热电,5
188,审计部,5
189,主任科员,5
190,包装物,5
191,换取,5
192,房改,5
193,工程项目,5
194,中国银行,5
195,工行,5
196,苗圃,5
197,拆迁,5
198,物业管理,5
199,座楼,4
200,网站,4
201,化工产品,4
202,海藻,4
203,饲料,4
204,日化,4
205,消耗,4
206,物料,4
207,运输,4
208,货,4
209,专营,4
210,供给,4
211,侧,4
212,放开,4
213,多样化,4
214,周期性,4
215,纯碱,4
216,市场占有率,4
217,半径,4
218,网络,4
219,新品,4
220,区位,4
221,能源,4
222,岩盐,4
223,工艺技术,4
224,装置,4
225,配方,4
226,扩产,4
227,投产,4
228,降,4
229,煤炭,4
230,信息化,4
231,增产,4
232,塑料制品,4
233,化工行业,4
234,国企改革,4
235,依赖,4
236,消费者,4
237,统筹,4
238,超市,4
239,大师,4
240,内注,4
241,具体措施,4
242,谋取,4
243,中信,4
244,农林,4
245,坪,4
246,村,4
247,岳阳,4
248,建档立卡,4
249,旅游,4
250,生态,4
251,小包装,4
252,应急,4
253,获准,4
254,品,4
255,器材,4
256,李志勇,4
257,杨胜财,4
258,李斌,4
259,陈军,4
260,童海,4
261,刘小,4
262,左,4
263,总会计师,4
264,副科级,4
265,纪委书记,4
266,常德,4
267,苏德辉,4
268,国资委,4
269,期后,4
270,将要,4
271,中央银行,4
272,山东,4
273,圣花,4
274,实业公司,4
275,建造,4
276,江东,4
277,津市,4
278,遗属,4
279,死亡率,4
280,补偿款,4
281,增量,4
282,奖补,4
283,涉外,4
284,蒋克清,4
285,控告人,4
286,浙江,3
287,江苏,3
288,精化,3
289,王哈滨,3
290,天职,3
291,平安,3
292,旗下,3
293,畜牧,3
294,分散,3
295,配合,3
296,月度,3
297,营销中心,3
298,生产成本,3
299,借助,3
300,活力,3
301,一批,3
302,全省,3
303,下沉,3
304,可采,3
305,面积,3
306,平方公里,3
307,矿区,3
308,差异化,3
309,形象,3
310,八位,3
311,高铁,3
312,传播,3
313,装卸,3
314,连通,3
315,利用率,3
316,废气,3
317,轻工业,3
318,集群,3
319,走,3
320,提,3
321,单价,3
322,转化,3
323,评审,3
324,科研,3
325,经销,3
326,过渡期,3
327,现象,3
328,退出,3
329,带动,3
330,现代化,3
331,深化,3
332,培训中心,3
333,队伍,3
334,人力资源,3
335,餐饮,3
336,一代,3
337,动态,3
338,促使,3
339,成效,3
340,再次,3
341,额外,3
342,更好,3
343,运销,3
344,技术创新,3
345,共享,3
346,污染,3
347,三十六个,3
348,意向,3
349,新设,3
350,有偿,3
351,不当,3
352,由本,3
353,尊重,3
354,不利于,3
355,工商行政管理局,3
356,之共赢,3
357,中信银行,3
358,岳麓山,3
359,贫困地区,3
360,选取,3
361,乡,3
362,贫困人口,3
363,氨氮,3
364,外排,3
365,湿法,3
366,脱硝,3
367,综合利用,3
368,文号,3
369,绿色,3
370,社会公众,3
371,除以,3
372,户,3
373,集资,3
374,金融监管,3
375,徐宗云,3
376,孙俊,3
377,刘发云,3
378,李名辉,3
379,金扬,3
380,徐宗云石,3
381,人事,3
382,教育处,3
383,黔,3
384,博士,3
385,商学院,3
386,党群,3
387,康云彪,3
388,罗建,3
389,钢熊,3
390,常务,3
391,办,3
392,法律顾问,3
393,财科,3
394,平等,3
395,相关者,3
396,通讯,3
397,中是,3
398,对账,3
399,毁损,3
400,保费,3
401,准备金,3
402,壹仟,3
403,低值易耗品,3
404,建筑物,3
405,分离,3
406,养老金,3
407,人寿保险,3
408,政策性,3
409,资源税,3
410,教育费,3
411,所得税率,3
412,株洲,3
413,湘潭,3
414,尚采,3
415,沅陵县,3
416,友,3
417,诚实,3
418,丰,3
419,停产,3
420,粮油,3
421,预缴,3
422,仓储,3
423,办公楼,3
424,无形,3
425,中国农业银行,3
426,保险费,3
427,离休,3
428,蒸汽,3
429,管道,3
430,碱厂,3
431,车棚,3
432,湘财,3
433,折旧费,3
434,轻盐宏创,3
435,租用,3
436,租期,3
437,该案,3
438,王燕,3
439,额为,3
440,职,2
441,登记日,2
442,外文,2
443,人二,2
444,电子信箱,2
445,网址,2
446,芙蓉区,2
447,建湘路,2
448,媒体,2
449,上海,2
450,增长幅度,2
451,非金融,2
452,自然灾害,2
453,显失,2
454,加碘,2
455,档次,2
456,分类管理,2
457,采购计划,2
458,大宗,2
459,技术部,2
460,公司财务,2
461,分厂,2
462,逐步形成,2
463,开拓市场,2
464,签订合同,2
465,商超,2
466,跨区,2
467,网点,2
468,大部分,2
469,较强,2
470,体制,2
471,国民经济,2
472,稳中有升,2
473,号文,2
474,掌控,2
475,稳固,2
476,相继,2
477,华南,2
478,利用效率,2
479,注册商标,2
480,著名商标,2
481,牌,2
482,名牌产品,2
483,产品品质,2
484,低成本,2
485,协会理事,2
486,八大菜系,2
487,大使,2
488,民间,2
489,列车,2
490,仪式,2
491,辐射,2
492,视频,2
493,毗邻,2
494,矿盐,2
495,省份,2
496,西南,2
497,自动化,2
498,产学研,2
499,矿山,2
500,采卤,2
501,成本增加,2
502,科技进步,2
503,二等奖,2
504,寿命,2
505,真空,2
506,石灰,2
507,降低生产,2
508,固体,2
509,硝,2
510,联产,2
511,日趋激烈,2
512,增,2
513,创,2
514,原盐,2
515,产销,2
516,电能,2
517,增年,2
518,检测,2
519,局面,2
520,现金管理,2
521,未决,2
522,中盐,2
523,统计,2
524,减产,2
525,食品行业,2
526,实缴,2
527,专业化,2
528,第二十次,2
529,第五次,2
530,投募,2
531,添加剂,2
532,氯化钠,2
533,原辅材料,2
534,早日,2
535,打通,2
536,监管部门,2
537,呈现,2
538,兼并,2
539,批发价格,2
540,落后,2
541,拉动,2
542,高水平,2
543,过剩,2
544,同质化,2
545,迎来,2
546,新一轮,2
547,三项,2
548,专职,2
549,培训师,2
550,倡导,2
551,侧重,2
552,全员,2
553,比达,2
554,附加值,2
555,纵深,2
556,连锁,2
557,同向,2
558,不断加强,2
559,同类,2
560,京东,2
561,研年,2
562,良性,2
563,表现,2
564,客情,2
565,粘性,2
566,多家,2
567,教学,2
568,社区,2
569,全力以赴,2
570,清单,2
571,建立健全,2
572,双重,2
573,技术升级,2
574,配置,2
575,进一步提高,2
576,环节,2
577,均衡,2
578,合理配置,2
579,环境影响,2
580,力量,2
581,寻求,2
582,价值链,2
583,工程技术,2
584,配备,2
585,完备,2
586,核,2
587,积极性,2
588,精细化,2
589,透明度,2
590,人力,2
591,年轻干部,2
592,废水,2
593,废渣,2
594,收购人,2
595,创投公司,2
596,二十个,2
597,触及,2
598,两种,2
599,约束力,2
600,招股,2
601,意向书,2
602,以所持,2
603,薄,2
604,动用,2
605,协助,2
606,代偿,2
607,代垫,2
608,公告日,2
609,交割,2
610,后轻盐,2
611,正常性,2
612,可持续性,2
613,法定条件,2
614,清晰,2
615,至轻盐,2
616,切实可行,2
617,诚实信用,2
618,善意,2
619,解聘,2
620,监理,2
621,核发,2
622,中国建设银行,2
623,乾元周,2
624,周利,2
625,开放式,2
626,组合型,2
627,存续,2
628,步步高升,2
629,华兴,2
630,内个,2
631,洣,2
632,双峰县,2
633,张家界,2
634,岳阳县,2
635,个数,2
636,职业技能,2
637,人次,2
638,就业人数,2
639,搬迁,2
640,贫困学生,2
641,留守人员,2
642,贫困,2
643,残疾人,2
644,公益,2
645,超标,2
646,均值,2
647,达标,2
648,颗粒物,2
649,氮氧化物,2
650,脱硝电袋,2
651,复合,2
652,喷淋,2
653,石膏,2
654,选用,2
655,废弃物,2
656,环发,2
657,常德市,2
658,事业单位,2
659,试行,2
660,环保局,2
661,在线,2
662,股年,2
663,外资股,2
664,为元股,2
665,不含税,2
666,二者之间,2
667,陶瓷制品,2
668,服务业,2
669,旅馆,2
670,娱乐,2
671,电化学,2
672,食品工业,2
673,微生物,2
674,纸制品,2
675,日用陶瓷,2
676,艺术,2
677,建筑材料,2
678,金属材料,2
679,转让技术,2
680,技术咨询,2
681,中介,2
682,用品,2
683,湖南省人民政府,2
684,国有资产,2
685,监督管理,2
686,李智诚,2
687,陈,2
688,全胜,2
689,男康云彪,2
690,否否否,2
691,高等专科,2
692,成教,2
693,团委书记,2
694,项目经理,2
695,处长,2
696,党支部,2
697,厅,2
698,副处长,2
699,副科长,2
700,主任委员,2
701,副经理,2
702,招商,2
703,出生年月,2
704,渝,2
705,经贸,2
706,铜仁,2
707,荣,2
708,酒店,2
709,永中,2
710,会计学院,2
711,会计学,2
712,在职,2
713,政工师,2
714,广盐,2
715,华菱,2
716,三部,2
717,宣传部,2
718,技术员,2
719,岩土,2
720,工程部,2
721,副矿长,2
722,彭轶周,2
723,中专,2
724,监察,2
725,任轻盐,2
726,湖湘,2
727,研究室,2
728,深圳,2
729,王子,2
730,新材,2
731,东莞,2
732,凯金,2
733,新能源,2
734,信威,2
735,工商管理,2
736,二处,2
737,离退休,2
738,工资制,2
739,分配制度,2
740,分子,2
741,召集,2
742,透明,2
743,双环科技,2
744,续天,2
745,可回收,2
746,龄,2
747,样本,2
748,陈旧,2
749,过时,2
750,抽样,2
751,金融机构,2
752,汪俊年,2
753,柒佰柒拾,2
754,伍万,2
755,壹佰肆,2
756,拾,2
757,捌,2
758,元整,2
759,自本,2
760,日应,2
761,后者,2
762,订立,2
763,按原,2
764,原子,2
765,之中,2
766,价及,2
767,中将,2
768,或应,2
769,日有,2
770,机器设备,2
771,电子设备,2
772,运输工具,2
773,相当于,2
774,应予,2
775,软件,2
776,出让,2
777,非专利,2
778,三者,2
779,如可,2
780,退休年龄,2
781,退,2
782,比照,2
783,裁减,2
784,带薪,2
785,缺勤,2
786,残疾,2
787,日以,2
788,例外情况,2
789,法将,2
790,税项,2
791,盐元吨,2
792,应纳,2
793,票,2
794,化工集团,2
795,碱业,2
796,农业,2
797,中盐华湘,2
798,金海,2
799,中粮,2
800,优道,2
801,极致,2
802,程,2
803,序,2
804,消耗性,2
805,清理,2
806,蓝月谷,2
807,水电,2
808,钙,2
809,镁,2
810,泥,2
811,挥发性,2
812,有机物,2
813,郴州,2
814,钻井工程,2
815,扩建,2
816,扩建工程,2
817,益,2
818,盐泥,2
819,无害化,2
820,减量化,2
821,资源化,2
822,抽背,2
823,机组,2
824,光伏,2
825,电站,2
826,钱包,2
827,年份,2
828,物品,2
829,抵押物,2
830,车船,2
831,日利率,2
832,本币,2
833,芙星,2
834,储备基金,2
835,通货膨胀率,2
836,十井铺,2
837,指号,2
