,分词排序,词频
0,广西,370
1,广电,307
2,电视台,188
3,网络,159
4,建设,129
5,智慧,123
6,工程,118
7,媒体,106
8,广播电视,72
9,广播,70
10,有线电视,69
11,信息,61
12,数据,59
13,南宁,56
14,传输,54
15,全区,51
16,宽带,46
17,文化,44
18,联网,41
19,电视,38
20,数字电视,38
21,乡镇,38
22,专网,36
23,节目,36
24,扶贫,35
25,智能,34
26,终端,33
27,高清,32
28,自治区,32
29,银行,31
30,农网,29
31,互联网,27
32,广西壮族自治区,26
33,频道,25
34,机顶盒,24
35,双向,23
36,缴费,23
37,桂林,23
38,家庭,23
39,转账,23
40,财政厅,23
41,农村,22
42,收视费,22
43,有线,22
44,人民,22
45,市县,21
46,南宁市,21
47,乡村,21
48,网,21
49,广电局,21
50,脱贫,21
51,李一玲,20
52,光纤,20
53,线路,20
54,科技,19
55,文化产业,19
56,副台长,19
57,村村通,18
58,信息化,18
59,扩容,18
60,向阳,17
61,万户,17
62,光缆,17
63,影视,17
64,玉林,17
65,贵港,17
66,信息网络,16
67,收视,16
68,东盟,16
69,承载,16
70,新闻,16
71,柳州市,16
72,梧州,16
73,三网,15
74,资源,15
75,融,15
76,行政村,15
77,广播电台,15
78,村,15
79,新建,15
80,台长,15
81,代建,15
82,县级,14
83,社区,14
84,贫困村,14
85,梧州市,14
86,视频,13
87,宣传,13
88,传播,13
89,柳州,13
90,中央,13
91,生态,13
92,户户,13
93,北京,13
94,防城港市,13
95,电影,13
96,房地产,12
97,运营商,12
98,无线,12
99,广告费,12
100,付费,11
101,公共服务,11
102,用户数,11
103,政务,11
104,网格化,11
105,体验,11
106,院线,11
107,到户,11
108,播出,11
109,贺州,11
110,广西区,11
111,教育,10
112,机房,10
113,服务体系,10
114,三是,10
115,传媒,10
116,台站,10
117,新闻出版,10
118,生物,10
119,建造,10
120,建筑物,10
121,信息技术,9
122,通信,9
123,超高,9
124,清,9
125,电商,9
126,客服,9
127,一体化,9
128,手机,9
129,业态,9
130,智能化,9
131,蒙山县,9
132,广信,9
133,波分,9
134,捷成,9
135,广告公司,9
136,百色市,9
137,钦州,9
138,未到,9
139,谢,8
140,接入,8
141,落地,8
142,十九,8
143,部署,8
144,群众,8
145,人工智能,8
146,城乡,8
147,着力,8
148,小区,8
149,全力,8
150,玉林市,8
151,器材,8
152,配合,8
153,隆林,8
154,美好,8
155,消费,8
156,元月,8
157,文化传媒,8
158,来宾市,8
159,河池市,8
160,人谢,8
161,补助款,8
162,期年,8
163,电视节目,7
164,营业厅,7
165,意识形态,7
166,阵地,7
167,振兴,7
168,公共,7
169,抓好,7
170,基础设施,7
171,交通,7
172,党委政府,7
173,高清化,7
174,国家广电总局,7
175,乡,7
176,积极参与,7
177,上线,7
178,广播电视局,7
179,电影院,7
180,贫困,7
181,高山,7
182,发射,7
183,增长点,7
184,服务平台,7
185,干线,7
186,水电费,7
187,部副,7
188,归类,7
189,土地,7
190,电器,7
191,科技厅,7
192,健康,6
193,高新区,6
194,瑞华,6
195,传统媒体,6
196,综合信息,6
197,定位,6
198,普及,6
199,雪亮,6
200,医疗,6
201,步伐,6
202,数字化,6
203,契机,6
204,规范化,6
205,信息安全,6
206,凤山县,6
207,入户,6
208,高新技术,6
209,美丽,6
210,四是,6
211,视频会议,6
212,工程建设,6
213,民生,6
214,建设工程,6
215,工程师,6
216,点播,6
217,维护费,6
218,居民,6
219,县,6
220,电视剧,6
221,往事,6
222,施工,6
223,广,6
224,解聘,6
225,崇左市,6
226,北海市,6
227,油气,6
228,投出,6
229,天豪,6
230,元注,6
231,贵港市,6
232,通讯,5
233,积极开展,5
234,扩展,5
235,区内,5
236,党,5
237,更好,5
238,社会效益,5
239,上下游,5
240,商用,5
241,环保,5
242,电子,5
243,五级,5
244,贯通,5
245,网络平台,5
246,村屯,5
247,建立健全,5
248,百货,5
249,骨干,5
250,骨干网,5
251,前端,5
252,交互,5
253,技术创新,5
254,入驻,5
255,酒店,5
256,家电,5
257,套餐,5
258,耀象,5
259,职能,5
260,电信,5
261,攻坚,5
262,当地政府,5
263,宣传部,5
264,聚合,5
265,德峨,5
266,保上,5
267,金平,5
268,减幅,5
269,人工成本,5
270,城域网,5
271,四大,5
272,六大,5
273,赢,5
274,集,5
275,暗战,5
276,危城,5
277,国资委,5
278,节点,5
279,清理,5
280,天下,5
281,贫困户,5
282,户,5
283,建档立卡,5
284,放映,5
285,专题,5
286,常务,5
287,台,5
288,电视局,5
289,科科长,5
290,技术部,5
291,来宾,5
292,核对,5
293,实物,5
294,数在,5
295,保险,5
296,此类,5
297,较长,5
298,光纤网,5
299,十二五,5
300,统计,5
301,出差,4
302,一体,4
303,公众,4
304,面向,4
305,云景,4
306,路景,4
307,晖,4
308,巷,4
309,大楼,4
310,覆盖率,4
311,新兴,4
312,视频点播,4
313,干线网,4
314,信号,4
315,捆绑,4
316,下滑,4
317,分发,4
318,高质量,4
319,党建,4
320,一批,4
321,富民,4
322,引入,4
323,深化,4
324,业务流程,4
325,各市,4
326,微信,4
327,客户端,4
328,自助,4
329,坚实,4
330,新一代,4
331,统计局,4
332,对接,4
333,搭建,4
334,入网,4
335,阿里,4
336,衔接,4
337,集成,4
338,企事业,4
339,管理体制,4
340,操作,4
341,业务管理,4
342,管理机制,4
343,五是,4
344,免费,4
345,吸引,4
346,防控,4
347,进驻,4
348,视听,4
349,产业基地,4
350,影视文化,4
351,象,4
352,大会,4
353,物业,4
354,网络科技,4
355,融水,4
356,东兰,4
357,卫星,4
358,购入,4
359,速率,4
360,多元,4
361,互联,4
362,电视屏,4
363,屏,4
364,人才培养,4
365,参照,4
366,宽带接入,4
367,城建,4
368,网改,4
369,收益分配,4
370,网络覆盖,4
371,隐患,4
372,旅游,4
373,环境,4
374,三十六个,4
375,划拨,4
376,乐思购,4
377,定点,4
378,沈,4
379,鹤鸣,4
380,远程,4
381,韦业宇,4
382,干部,4
383,信息中心,4
384,桂林市,4
385,马书,4
386,事业,4
387,有线广播,4
388,第十六次,4
389,抽样检查,4
390,抽样,4
391,支持性,4
392,验收单,4
393,中央银行,4
394,鉴定,4
395,原先,4
396,公平交易,4
397,列支,4
398,保险费,4
399,计费,4
400,安装费,4
401,款额,4
402,县乡,4
403,基建,4
404,第二批,4
405,函号,4
406,函本,4
407,文体,4
408,国产片,4
