,分词排序,词频
0,汽车,317
1,北京,202
2,渤海,158
3,活塞,135
4,零部件,92
5,滨州,87
6,信息,66
7,滨州市,50
8,海纳,49
9,北汽,46
10,汽车部件,46
11,制造,45
12,轻量化,40
13,制造业,40
14,江森,39
15,新能源,37
16,自控,37
17,博海,36
18,工程,36
19,川,35
20,动力,35
21,电池,34
22,汽车集团,32
23,路,31
24,纳克,26
25,发动机,25
26,山东,25
27,二十一,22
28,泰安,21
29,科技,21
30,部件,21
31,建设,21
32,工业,21
33,排放,21
34,轮毂,20
35,福田,20
36,启程,19
37,蓄电池,19
38,环保,19
39,房地产,18
40,材料,18
41,机械,17
42,梧桐,16
43,环境,16
44,房产证,16
45,翰昂,15
46,减振器,15
47,陈宝,14
48,小额贷款,14
49,污染物,14
50,车轮,13
51,川翰昂,13
52,数据,13
53,排气,13
54,总成,13
55,英瑞,12
56,淄博,12
57,二路,12
58,生物,12
59,铝合金,11
60,杰,11
61,彼欧,11
62,车间,11
63,起任,11
64,王云刚,10
65,内燃机,10
66,资源,10
67,整车,10
68,节能,10
69,减排,10
70,精密,10
71,土地,10
72,废气,10
73,银行,10
74,款年,10
75,赵金宝,9
76,蓝谷,9
77,西路,9
78,摘要,9
79,锻钢,9
80,兴华,8
81,德国,8
82,智能,8
83,高新技术,8
84,铸造,8
85,环境保护,8
86,缸体,8
87,缸盖,8
88,五路,8
89,滨城区,8
90,顺义区,8
91,通州区,8
92,汽车产业,8
93,恒达,8
94,模板,8
95,代偿,8
96,国有资产,8
97,特迈,7
98,精工,7
99,上海,7
100,配件,7
101,专用设备,7
102,装备,7
103,消费,7
104,达标,7
105,排污,7
106,奔驰,7
107,工程师,7
108,换届,7
109,建筑物,7
110,江西,7
111,网站,6
112,主持,6
113,一汽,6
114,康明斯,6
115,自动化,6
116,铝,6
117,乘用车,6
118,供货,6
119,自动,6
120,泰山区,6
121,厂商,6
122,化学,6
123,需氧量,6
124,氨氮,6
125,排放口,6
126,二氧化硫,6
127,氮氧化物,6
128,年任,6
129,油气,6
130,投出,6
131,嵌入,6
132,东海,5
133,组件,5
134,行业标准,5
135,研制,5
136,交割,5
137,合金,5
138,能源,5
139,工厂,5
140,高青县,5
141,东部,5
142,大兴区,5
143,采育镇,5
144,传统,5
145,燃料,5
146,解聘,5
147,工会,5
148,废水,5
149,污水处理,5
150,大气,5
151,净化,5
152,除尘,5
153,季军,5
154,风华,5
155,陈,5
156,北内,5
157,补助款,5
158,维修,5
159,浙江,5
160,精机,4
161,诺德,4
162,底盘,4
163,潍柴,4
164,东安,4
165,专注,4
166,智能化,4
167,检测,4
168,数控,4
169,年均,4
170,着力,4
171,绿色,4
172,人工,4
173,黄河,4
174,城,4
175,黄河路,4
176,二十四路,4
177,泰安市,4
178,采展,4
179,南彩镇,4
180,彩园,4
181,工业区,4
182,彩祥,4
183,通州,4
184,杨镇,4
185,以东,4
186,以北,4
187,产业政策,4
188,国六,4
189,自制,4
190,保险,4
191,检测值,4
192,符合标准,4
193,配备,4
194,装置,4
195,危废,4
196,应急,4
197,旗鱼,4
198,私募,4
199,秘书长,4
200,准备金,4
201,中央银行,4
202,颁发,4
203,低值易耗品,4
204,领用,4
205,教育费,4
206,扩建,4
207,外汇,4
208,广州,4
209,泰普,4
210,越野车,4
211,株洲,4
212,志骋,4
213,欧洲,3
214,王洪波,3
215,非金融,3
216,数控机床,3
217,汽车空调,3
218,油箱,3
219,启停,3
220,热交换,3
221,产业布局,3
222,极少数,3
223,主导产品,3
224,高性能,3
225,军工,3
226,大柴,3
227,重汽,3
228,玉柴,3
229,奇瑞,3
230,江淮,3
231,东风,3
232,厂家,3
233,车,3
234,国内汽车,3
235,知名,3
236,信息化,3
237,售后服务,3
238,客户关系,3
239,第二十四,3
240,商务厅,3
241,下发,3
242,证第号,3
243,第二十五次,3
244,工信部,3
245,特种,3
246,品牌优势,3
247,荣获,3
248,荣誉称号,3
249,深化,3
250,锻造,3
251,轮,3
252,包边,3
253,意识,3
254,氛围,3
255,文化,3
256,借助,3
257,挑战,3
258,坚韧,3
259,执着,3
260,极致,3
261,工匠,3
262,时机,3
263,高质量,3
264,防范,3
265,国外,3
266,付出,3
267,是因为,3
268,华,3
269,闽南,3
270,配,3
271,系本,3
272,来看,3
273,较强,3
274,保有量,3
275,汽车行业,3
276,复合,3
277,集群,3
278,带动,3
279,委,3
280,消耗量,3
281,动力电池,3
282,秉承,3
283,精益,3
284,基础设施,3
285,配置,3
286,生产能力,3
287,全球化,3
288,加剧,3
289,透明度,3
290,无需,3
291,扶贫,3
292,常规,3
293,平等,3
294,在职,3
295,公益,3
296,清理,3
297,水质,3
298,颗粒物,3
299,甲苯,3
300,二甲苯,3
301,有机,3
302,标准表,3
303,粉尘,3
304,监测,3
305,固废,3
306,信托,3
307,期个,3
308,物业管理,3
309,监督管理,3
310,尚元贤,3
311,闫小雷,3
312,月华,3
313,魏安力,3
314,方玮,3
315,朱昱,3
316,本科,3
317,副经理,3
318,桑德,3
319,副处长,3
320,建造,3
321,电子,3
322,清华大学,3
323,薪资,3
324,通讯,3
325,保费,3
326,表中,3
327,数在,3
328,近期,3
329,下述,3
330,混合,3
331,包装物,3
332,其他费用,3
333,除净,3
334,额外,3
335,中除,3
336,通用设备,3
337,运输设备,3
338,保险费,3
339,鉴定,3
340,厅,3
341,财政厅,3
342,税务局,3
343,证书编号,3
344,继续执行,3
345,三期,3
346,万套,3
347,曲轴,3
348,模具,3
349,差,3
350,异,3
351,关键技术,3
352,会议费,3
353,授信额度,3
354,采育,3
355,赊销,3
356,昌河,3
357,亚太,3
358,汽车底盘,3
359,发动机厂,3
360,多功能,3
361,汽车厂,3
362,宝沃,3
363,常州,3
364,延锋,3
365,韩国,2
366,株式会社,2
367,合资,2
368,外文,2
369,电话传真,2
370,电子信箱,2
371,网址,2
372,万里,2
373,自然灾害,2
374,显失,2
375,交年,2
376,一次性,2
377,减震器,2
378,大批量生产,2
379,欧欧,2
380,活塞环,2
381,唯一,2
382,直径,2
383,横跨,2
384,船舶,2
385,工程机械,2
386,动力机械,2
387,上柴,2
388,长安,2
389,广汽,2
390,云内,2
391,德国大众,2
392,韩国大宇,2
393,川崎,2
394,重工,2
395,卡特彼勒,2
396,美国通用电气,2
397,著名,2
398,主机,2
399,覆盖全国,2
400,营销商,2
401,网络,2
402,车身,2
403,结构件,2
404,产品开发,2
405,兼顾,2
406,俄罗斯,2
407,机器人,2
408,机动车,2
409,价值链,2
410,顾客,2
411,专业化,2
412,致力于,2
413,交流,2
414,创建,2
415,列为,2
416,开发新,2
417,喉口,2
418,重熔,2
419,规模化,2
420,商标,2
421,卓越,2
422,质量体系,2
423,软件,2
424,完备,2
425,获,2
426,强有力,2
427,着重,2
428,成熟,2
429,高水平,2
430,协作,2
431,倡导,2
432,营造,2
433,负增长,2
