,分词排序,词频
0,宜华,262
1,家具,214
2,信息,67
3,达利,56
4,家居,56
5,工程,52
6,木业,41
7,华,39
8,银行,37
9,建设,35
10,汕头市,34
11,上海,33
12,林业,29
13,汕头,28
14,刘绍,27
15,木材,26
16,房地产,25
17,广东,23
18,体验,23
19,高新技术,23
20,扶贫,23
21,遂川县,22
22,深圳,21
23,喜,21
24,加蓬,20
25,科技,19
26,健康,19
27,制造业,18
28,消费者,18
29,地板,18
30,环境,18
31,资源,18
32,木制品,18
33,消费,17
34,材料,17
35,青岛,17
36,软垫,17
37,私人,16
38,数据,16
39,木地板,16
40,制造,16
41,环保,16
42,阆中市,16
43,新普罡,16
44,昆山,15
45,中诚信,15
46,元系,15
47,刘壮超,14
48,北京,14
49,林木,14
50,扬州,14
51,原木,14
52,土地,14
53,周天,13
54,梅州市,13
55,林地,12
56,网络,12
57,天津,12
58,华嘉,12
59,理想,12
60,正中,11
61,珠江,11
62,广州,11
63,家具行业,11
64,成都,11
65,汇胜,11
66,非洲,11
67,排污,11
68,谋,11
69,新加坡,11
70,南京,10
71,等家,10
72,多维,10
73,检测,10
74,教育,10
75,孝感市,10
76,前海,10
77,医疗,10
78,排放,10
79,证评,10
80,月经,10
81,消耗性,10
82,生物,10
83,展示,10
84,网站,9
85,大连,9
86,附加值,9
87,收藏,9
88,郑州,9
89,德国,9
90,课题,9
91,复审,9
92,尚书,9
93,远期,9
94,亲和源,9
95,医院,9
96,澄海区,8
97,镇,8
98,采伐,8
99,房产,8
100,多元化,8
101,武汉,8
102,养老,8
103,大酒店,8
104,刘壮,8
105,信用等级,8
106,有住,8
107,王少,8
108,侬,8
109,经销,8
110,莲下,7
111,人工,7
112,一体化,7
113,上线,7
114,机器设备,7
115,零售,7
116,沈阳,7
117,智慧,7
118,工程项目,7
119,创利,7
120,皮革,7
121,污染物,7
122,信托,7
123,建筑物,7
124,大埔县,7
125,沃,7
126,棣,7
127,家居设计,7
128,刘绍生,7
129,工业区,6
130,软体,6
131,智能家居,6
132,山东,6
133,江苏,6
134,中南,6
135,结售汇,6
136,孙,6
137,江西省,6
138,新疆,6
139,装饰,6
140,脱贫,6
141,污染,6
142,核对,6
143,浏阳,6
144,换取,6
145,马来西亚,6
146,乐乐,6
147,信息技术,6
148,东莞市,6
149,日日,6
150,物联,6
151,安康,6
152,反补贴,6
153,槐东,5
154,售后服务,5
155,群体,5
156,三四,5
157,物流,5
158,南沙,5
159,四川,5
160,持续性,5
161,多层,5
162,馆,5
163,地产,5
164,文化,5
165,信息化,5
166,内销,5
167,沙发,5
168,万件,5
169,宜信,5
170,建设工程,5
171,平远县,5
172,临沂市,5
173,住居,5
174,外汇,5
175,期为,5
176,慈善,5
177,级别,5
178,环境保护,5
179,应急,5
180,集合,5
181,理事会,5
182,计息,5
183,海关,5
184,流水,5
185,回单,5
186,陈义,5
187,文年,5
188,泛海,5
189,厦门,5
190,出口贸易,5
191,建造,5
192,品,5
