,分词排序,词频
0,马应龙,231
1,医院,146
2,武汉,138
3,银行,124
4,药品,89
5,医药,83
6,药业,81
7,肛肠,71
8,健康,64
9,池,62
10,医疗,55
11,武汉市,54
12,信息,50
13,宝安,44
14,湖北,43
15,连锁,39
16,诊疗,34
17,房地产,33
18,科技,33
19,北京,32
20,工程,31
21,药房,29
22,麝香,28
23,数据,27
24,药,27
25,长青,27
26,扶贫,26
27,建设,24
28,中药,23
29,西安,23
30,沈阳,23
31,零售,22
32,深圳,22
33,洪山区,22
34,环境,20
35,材料,20
36,临床,19
37,痔疮膏,19
38,大同,19
39,痔疮,18
40,资源,17
41,环保,17
42,生物,17
43,陈平,15
44,周家,15
45,药物,15
46,土地,15
47,湖北省,15
48,宁波,15
49,治疗,14
50,大佛,14
51,制造,13
52,湾,12
53,医药工业,12
54,护理,12
55,品,12
56,推行,12
57,胶囊,12
58,临床试验,12
59,南京,12
60,生物科技,12
61,招商,12
62,国有资产,12
63,投鑫龙,12
64,陈玲莉,11
65,复合,11
66,八宝,11
67,光大,11
68,高龙,11
69,医管,11
70,物流,10
71,医保,10
72,痔,10
73,复方,10
74,医疗机构,10
75,股改,10
76,参与者,10
77,基因,10
78,审众,9
79,环,9
80,茅涛,9
81,口服,9
82,两票,9
83,治,9
84,软膏,9
85,人工,9
86,信息化,9
87,混合,9
88,交通,9
89,中信,9
90,嵌入,9
91,南湖,8
92,药店,8
93,功能性,8
94,终端,8
95,网络,8
96,工业,8
97,出台,8
98,甘草,8
99,溶液,8
100,硫酸,8
101,基准日,8
102,大道,8
103,化学,7
104,仿制,7
105,精益,7
106,疼痛,7
107,普拉,7
108,睾酮,7
109,监测,7
110,脱贫,7
111,污染物,7
112,中央,7
113,香港,7
114,高新技术,7
115,建造,7
116,兴华,7
117,迈迪,7
118,拆迁,7
119,爱欣大,7
120,技术改造,7
121,关,7
122,南,7
123,武昌,6
124,上海,6
125,提供商,6
126,电商,6
127,化妆品,6
128,共建,6
129,来源于,6
130,深化,6
131,学术,6
132,职能,6
133,新版,6
134,挖掘,6
135,痔炎,6
136,消片,6
137,痔科熏,6
138,洗散,6
139,止血,6
140,症状,6
141,聚乙二醇,6
142,颗粒,6
143,缓释,6
144,诊断,6
145,分拆,6
146,排污,6
147,配置,6
148,混合型,6
149,招商银行,6
150,油气,6
151,教育费,6
152,四路,6
153,室,6
154,张晨颖,5
