,分词排序,词频
0,煤矿,404
1,大同,368
2,煤炭,155
3,塔山,145
4,同煤,135
5,煤,120
6,煤业,99
7,山西,89
8,工程,75
9,信息,58
10,山西省,49
11,材料,46
12,机电,44
13,矿,42
14,矿业,40
15,活性炭,40
16,大同市,40
17,环境,38
18,高岭土,36
19,装备,35
20,矿井,34
21,排放,34
22,煤电,33
23,大唐,32
24,朔州,31
25,忻州,29
26,建设,29
27,上海,27
28,峪口,27
29,土地,27
30,铁路,25
31,色连,24
32,内蒙古,24
33,选煤厂,23
34,晋,23
35,运销,22
36,原煤,21
37,监测,21
38,锅炉,20
39,综合利用,20
40,一号,19
41,工程建设,19
42,矿产资源,19
43,建材,18
44,鄂尔多斯,18
45,化工,18
46,工业,18
47,窑矿,18
48,污水,18
49,资源,17
50,打捞,17
51,金宇,16
52,环境保护,16
53,漳泽,15
54,募股,15
55,机械制造,14
56,元吨,14
57,矿山,14
58,财政厅,14
59,宏远,14
60,金鼎,13
61,网站,13
62,数据,13
63,环保,13
64,运输,13
65,银行,13
66,鄂尔多斯市,13
67,排污,13
68,挂账,13
69,多孔砖,12
70,电力,12
71,节能,12
72,道路,12
73,大地,12
74,配件,12
75,污染物,12
76,废气,12
77,环境影响,12
78,每季度,12
79,节约,12
80,武望国,11
81,动力,11
82,煤质,11
83,隐患,11
84,三盘,11
85,选购,11
86,废水,11
87,应急,11
88,排放口,11
89,宏宇诚,11
90,铸,11
91,建设工程,11
92,实业公司,11
93,立信,10
94,单价,10
95,开采,10
96,精煤,10
97,矸石,10
98,水井,10
99,尹济民,10
100,宝钢,10
101,交货,10
102,生物,10
103,建筑物,10
104,热电,10
105,王福厚,10
106,姚东,9
107,同塔,9
108,试运转,9
109,其他支出,9
110,井巷,9
111,中央,9
112,能源,9
113,防治,9
114,水,9
115,污染,9
116,掏,9
117,清,9
118,任同,9
119,太原,9
120,晋财建,9
121,制造,9
122,房地产,8
123,许可证,8
124,港口,8
125,折旧费,8
126,转产,8
127,燕子,8
128,山矿,8
129,疏通,8
130,选煤,8
131,处理厂,8
132,采矿权,8
133,超标,8
134,罚款,8
135,机械,8
136,辞去,8
137,人武,8
138,望国,8
139,燃料,8
140,协定,8
141,电气,8
142,维修服务,8
143,井,7
144,矿区,7
145,科学,7
146,抓,7
147,环节,7
148,南郊区,7
149,东胜区,7
150,煤矿安全,7
151,煤大友,7
152,污水处理,7
153,雁崖,7
154,洗选,7
155,年租金,7
156,烟尘,7
157,环保局,7
158,有喜,7
159,科长,7
160,云冈,7
161,副科长,7
162,矿务局,7
163,学会,7
164,兴运,7
165,国际贸易,7
166,漳电,7
167,外经贸,7
168,新平,6
169,采掘,6
170,修理,6
171,煤炭市场,6
172,炭,6
173,发电,6
174,注入,6
175,特厚,6
176,煤层,6
177,工作面,6
178,三是,6
179,调度,6
180,不含税,6
181,竣工,6
182,下发,6
183,坚定不移,6
184,走,6
185,洗煤厂,6
186,生产经营性,6
187,脊梁,6
188,独家,6
189,期为,6
190,汇永,6
191,交割日,6
192,二者,6
193,孰晚,6
194,为准,6
195,台,6
196,行政许可,6
197,锅炉房,6
198,核定,6
199,场地,6
200,试生产,6
201,次辛庄,6
202,处长,6
203,太钢,6
204,油气,6
205,机器设备,6
206,建造,6
207,教育费,6
208,大连,6
209,海隆,6
210,抵押金,6
211,二号,6
212,东周,6
213,窑,6
214,宏力,6
215,供电,6
216,旺,5
217,煤炭行业,5
218,煤炭企业,5
219,上涨,5
220,高质量,5
221,衔接,5
222,地面,5
223,到位,5
224,信息化,5
225,最大化,5
226,煤款,5
227,色连矿,5
228,初步设计,5
229,杨家,5
230,窑村,5
231,罕台,5
232,结构性,5
233,科技,5
234,增收,5
235,瓦斯,5
236,煤仓,5
237,轩岗,5
238,马,5
239,工程技术,5
240,将色,5
241,面积,5
242,二氧化硫,5
243,氮氧化物,5
244,煤矸石,5
245,脱硫,5
246,北京,5
247,办公楼,5
248,环境保护局,5
249,粉尘,5
250,检测,5
251,工段,5
252,每月,5
253,张,5
254,朱海,5
255,张斌,5
