,分词排序,词频
0,光伏,374
1,隆基,309
2,能源,256
3,新能源,232
4,科技,163
5,乐叶,113
6,组件,113
7,银行,103
8,西安,95
9,清洁,95
10,宁夏,94
11,单晶硅,85
12,单晶,81
13,银川,76
14,电站,67
15,材料,64
16,西安市,64
17,电池,58
18,信息,51
19,硅片,50
20,振国,49
21,李,47
22,陕西省,46
23,太阳能,45
24,工程,45
25,计息,43
26,扶贫,43
27,硅,42
28,棒,42
29,中晶,41
30,浙江,40
31,发电,40
32,天数,40
33,隆基乐叶,37
34,泰州,36
35,交割,31
36,半导体,30
37,电力,30
38,数据,28
39,李喜燕,28
40,丽江,27
41,乐照,26
42,建设,26
43,环境,26
44,分布式,26
45,隆,25
46,复利,24
47,刘,23
48,学文,23
49,制造,23
50,罚息,23
51,赔偿金,23
52,无锡,22
53,上海,22
54,连城,22
55,古晋,21
56,中宁县,21
57,机器,21
58,大连,20
59,数控,20
60,沈阳,20
61,现金交易,20
62,项下,20
63,银川市,20
64,林吉特,20
65,日元,20
66,泰铢,20
67,乐光,20
68,工业,20
69,保山,18
70,楚雄,17
71,陕西,17
72,环保,17
73,主,17
74,隆基绿能,16
75,哈密,16
76,隆乐,16
77,同心,16
78,铜川市,16
79,香港,15
80,平煤,15
81,配股,15
82,首期,15
83,排污,15
84,废水,15
85,环节,14
86,电磁,14
87,北京,14
88,广发,14
89,回售,14
90,股股,14
91,河北省,14
92,山东,14
93,基乐叶,13
94,滁州,13
95,天华,13
96,硅棒,13
97,功率,13
98,江苏,13
99,投产,13
100,排放,13
101,废,13
102,两期,13
103,信人,13
104,技术开发区,12
105,可转债,12
106,李春安,12
107,隆基向,12
108,龙陵县,12
109,印度卢比,12
110,济宁市,12
111,曹县,11
112,资源,11
113,自动化,11
114,隆基为,11
115,光大银行,11
116,授信额度,11
117,保山市,11
118,环评,11
119,信托,11
120,建筑物,11
121,南京,11
122,阳新,11
123,徐州,10
124,大庆市,10
125,肇州县,10
126,隆辉,10
127,网站,10
128,马来西亚,10
129,年底,10
130,印度,10
131,备品备件,10
132,技术改造,10
133,中信,10
134,民生银行,10
135,新疆,10
136,楚雄彝族自治州,10
137,大同县,10
138,西部,10
139,土地,10
140,潍坊,10
141,衢州市,10
142,先令,10
143,延安市,10
144,阳光,9
145,隆兴,9
146,广州,9
147,泰国,9
148,同心县,9
149,德国,9
150,多晶硅,9
151,新政,9
152,衢州,9
153,切片,9
154,量产,9
155,电,9
156,再生能源,9
157,釜川,9
158,第七次,9
159,危废,9
160,监测,9
161,石家庄,9
162,主合同,9
163,肇州,8
164,切割,8
165,达产,8
166,煤业,8
167,隆基宁光,8
168,仪表,8
169,国家开发银行,8
170,第十次,8
171,广灵县,8
172,广东,8
173,污水处理,8
174,文号,8
175,房地产,8
176,归类,8
177,一道,8
178,车间,8
179,浙商,8
180,乐,8
181,滁州市,8
182,南华县,8
183,石家庄市,8
184,河南省,8
185,开发新,8
186,外汇,8
187,为准,7
188,合肥,7
189,能源开发,7
190,延川,7
191,宁德,7
192,乐恒,7
193,辉庆,7
194,晶体,7
195,电池组,7
196,航天,7
197,市场占有率,7
198,装机,7
199,长单,7
200,利用率,7
201,建造,7
202,第五次,7
203,乐叶为,7
204,电力工程,7
205,四川,7
206,丽江市,7
207,应急,7
208,苏州,7
209,申钟宝,7
210,李寿双,7
211,生物,7
212,减半,7
213,宁夏回族自治区,7
214,农业,7
215,东送,7
216,正隆,7
217,扣减,6
218,原名,6
219,隆基乐,6
220,金合,6
221,黄龙,6
222,乐昌,6
223,郑州,6
224,乐牟,6
225,基隆,6
226,基,6
227,平价,6
228,上网,6
229,刘晓东,6
230,瑞华,6
231,国信,6
232,荣获,6
233,精益,6
234,上表,6
235,硅料,6
236,日为,6
237,兴业银行,6
238,融资券,6
239,脱贫,6
240,教育,6
241,海南省,6
242,污染物,6
243,氨氮,6
244,危险废物,6
245,竣工,6
246,环保局,6
247,兴全,6
248,混合型,6
249,中央,6
250,郭菊娥,6
251,西安交通大学,6
252,投出,6
253,嵌入,6
254,中盛,6
255,大庆,6
256,智能,6
257,珠海市,6
258,华坪县,6
259,弥勒,6
260,辽宁省,6
261,哈密市,6
262,西咸,6
263,邹城市,6
264,登记日,5
265,乐叶安纺,5
266,灵武,5
267,立新,5
268,维新,5
269,健康,5
270,战略规划,5
271,核心技术,5
272,片及,5
273,出货量,5
274,统计,5
275,电费,5
276,总投资额,5
277,晶,5
278,本身,5
279,再融资,5
280,第六次,5
281,叶为,5
282,永祥,5
283,安德拉邦,5
284,石油,5
285,达标排放,5
286,机加,5
287,许可证,5
288,社保,5
289,配置,5
290,债转股,5
291,注本,5
292,大鹏,5
293,张茹敏,5
294,黄河,5
295,孙卓已,5
296,王晓哲,5
297,保险费,5
298,油气,5
299,维修,5
300,免征,5
301,宝网,5
302,大同市,5
303,集中式,5
304,青岛,5
305,生态农业,5
306,森能,5
307,中森,5
308,龙陵,5
309,南华,5
310,绿隆,5
311,山西省,5
312,隆叶,5
313,云南省,5
314,县,5
315,东莞市,5
316,吉林省,5
317,河南,5
318,潍坊市,5
319,菏泽市,5
320,每笔,5
321,履行期,5
322,整,5
323,款年,5
324,基绿能,4
325,中文名称,4
326,英文名称,4
327,寿光,4
328,隆扶,4
329,灵武市,4
330,隆桥,4
331,襄城县,4
332,信阳市,4
333,鑫,4
334,吴忠市,4
335,生长,4
336,光电,4
337,长,4
338,落后,4
339,产业园,4
340,座,4
341,长安区,4
342,中路,4
343,安徽,4
344,路线,4
345,技术储备,4
346,刷新,4
347,双面,4
348,经营规模,4
349,奖,4
350,动力,4
351,装机量,4
352,亿片,4
353,自用,4
354,出台,4
355,不断扩大,4
356,中长期,4
357,共享,4
358,信息化,4
359,增,4
360,信用证,4
361,国家补贴,4
362,终端,4
363,增量,4
364,公平交易,4
365,已获,4
366,授且,4
367,第九次,4
368,本部,4
369,联营公司,4
370,中航,4
371,项为,4
372,目,4
373,中国农业银行,4
374,连带保证,4
375,理,4
376,财,4
377,中国银行,4
378,第年,4
379,户,4
380,贫困户,4
381,镇,4
382,氟化物,4
383,油渣,4
384,树脂,4
385,油泥,4
386,污染,4
387,套,4
388,环境影响,4
389,环境保护,4
390,分局,4
391,环验,4
392,灵活,4
393,融券,4
394,为元股,4
395,信用等级,4
396,钟宝申,4
397,邹宗海,4
398,汇智,4
399,奥迪,4
400,威,4
401,传感,4
402,胥,4
403,博士生,4
404,导师,4
405,电气,4
406,良田,4
407,股债,4
408,下述,4
409,结果表明,4
410,成分,4
411,公共,4
412,高新技术,4
413,高新,4
414,所得税率,4
415,阳曲县,4
416,芜湖县,4
417,汝南县,4
418,昊,4
419,枣强县,4
420,珠海,4
421,机器设备,4
422,基拉,4
423,经开区,4
424,华坪,4
425,增发,4
426,元注,4
427,补助款,4
428,蒲城,4
429,衡水,4
430,节能,4
431,贡献奖,4
432,奖补,4
433,创投,4
434,绥化市,4
435,安达市,4
436,盛隆,4
437,华新,4
438,长治市,4
439,铜川,4
440,连云港市,4
441,隆源,4
442,天津,4
443,东营市,4
444,泰州市,4
445,淳化县,4
446,枣庄市,4
447,乌鲁木齐市,4
448,朝阳市,4
449,宝鸡市,4
450,河北,4
451,宁海县,4
452,郑州市,4
453,宁德市,4
454,天津市,4
455,廊坊市,4
456,江门市,4
457,昆山,4
458,补偿金,4
459,贷款人,4
460,指隆,3
461,柳瑞,3
462,柳瑞新,3
463,柳,3
464,科技开发,3
465,葫芦岛,3
466,煤隆基,3
467,单元,3
468,网,3
469,复合,3
470,兆瓦,3
471,淘汰,3
472,联系人,3
473,联系方式,3
474,尚稷,3
475,路,3
476,孵化,3
477,较强,3
478,变革,3
479,研判,3
480,始终保持,3
481,金刚,3
482,线切割,3
483,金刚石,3
484,度电,3
485,技术创新,3
486,入选,3
487,最具,3
488,知名,3
489,财经,3
490,现已,3
491,表现,3
492,加剧,3
493,产品价格,3
494,冲击,3
495,经济性,3
496,性价比,3
497,深化,3
498,产品品质,3
499,智能化,3
500,扩建,3
501,扩产,3
502,职能,3
503,厂商,3
504,人力资源,3
505,料,3
506,万片,3
507,用量,3
508,产品成本,3
509,运杂费,3
510,质保金,3
511,装修,3
512,银行贷款,3
513,产品类别,3
514,片年,3
515,单位成本,3
516,发电量,3
517,常规,3
518,上调,3
519,水电,3
520,高度,3
521,专利权,3
522,投资规模,3
523,人大,3
524,李春安注,3
525,统称,3
526,解读,3
527,此项,3
528,调整法,3
529,清理,3
530,施行,3
531,票,3
532,第十一次,3
533,商品生产,3
534,水,3
535,被担保人,3
536,第八次,3
537,柳阳,3
538,信贷业务,3
539,上海浦东发展银行,3
540,汇丰银行,3
541,平安,3
542,交通银行,3
543,花旗银行,3
544,工商银行,3
545,西藏,3
546,筹建,3
547,交易商,3
548,贫困地区,3
549,定点,3
550,贫困学生,3
551,杰出,3
552,白沙,3
553,污水,3
554,建有,3
555,废水处理,3
556,废气,3
557,银环,3
558,新建,3
559,检测,3
560,对比,3
561,起止日期,3
562,招商银行,3
563,合宜,3
564,养老保险,3
565,价格调整,3
566,可转,3
567,三期,3
568,陕煤,3
569,朱雀,3
570,惠州,3
571,近,3
572,李香菊,3
573,晶能,3
574,通讯,3
575,倍数,3
576,签收,3
577,保费,3
578,准备金,3
579,中央银行,3
580,七七,3
581,乌干达先令,3
582,并非,3
583,可变,3
584,表中,3
585,数在,3
586,近期,3
587,混合,3
588,除此以外,3
589,除净,3
590,负有,3
591,中除,3
592,试运行,3
593,立项,3
594,买方,3
595,住房,3
596,日以,3
597,每一,3
598,教育费,3
599,基础设施,3
600,第一年,3
601,第三年,3
602,第四年,3
603,第六年,3
604,证书编号,3
605,元为,3
606,新城,3
607,吴江,3
608,溧阳,3
609,停建,3
610,公司债,3
611,三十个,3
612,应计,3
613,即以,3
614,摘要,3
615,淄博,3
616,景县,3
617,中森绿能,3
618,通许县,3
619,浚县,3
620,邓州市,3
621,乐栅,3
622,齐河,3
623,芜湖,3
624,郓城,3
625,圣煌,3
626,尉氏县,3
627,林州市,3
628,伟瑞,3
629,外经贸,3
630,装机容量,3
631,数字化,3
632,特色产业,3
633,隆光,3
634,绿盛,3
635,旭盈,3
636,濉溪县,3
637,双辽市,3
638,乐兴,3
639,新乡市,3
640,朝阳,3
641,绿能,3
642,南京市,3
643,乌干达,3
644,南阳市,3
645,江山市,3
646,吴起,3
647,延安,3
648,宝塔区,3
649,惠州市,3
650,大名县,3
651,魏县,3
652,临漳县,3
653,青州市,3
654,汕头市,3
655,滨州市,3
656,商丘市,3
657,驻马店市,3
658,武功,3
659,乐投,3
660,济宁,3
661,工业园区,3
662,保定市,3
663,利津县,3
664,金乡县,3
665,兖州,3
666,泗水县,3
667,海城市,3
