,分词排序,词频
0,西藏,500
1,矿业,415
2,华钰,385
3,工程,87
4,矿山,84
5,铅,83
6,资源,80
7,精矿,80
8,铝,75
9,金业,75
10,塔,70
11,锑,62
12,锌,61
13,金属,59
14,信息,59
15,冶炼,57
16,建设,57
17,西藏自治区,53
18,恒琨,47
19,刘建军,45
20,上海,45
21,数据,42
22,地质,42
23,白银,41
24,环保,40
25,山南,39
26,有色金属,37
27,铅锌,37
28,道衡,36
29,财胜,33
30,勘查,33
31,储量,32
32,矿区,30
33,封闭式,29
34,西康,29
35,采矿权,29
36,矿石,29
37,环境,29
38,北京,28
39,拉萨,27
40,土地,27
41,金属矿,27
42,扎,25
43,黄金,25
44,拉屋,24
45,网站,24
46,选矿,24
47,千克,24
48,隆子县,24
49,居住权,24
50,工贸,23
51,矿产资源,23
52,铜,23
53,开采,23
54,刘,23
55,塔吉克斯坦,22
56,勘探,22
57,采选,22
58,消费,22
59,环境保护,22
60,格尔木市,22
61,乡,21
62,塔吉克,20
63,铝业,20
64,安泰,20
65,尾矿库,20
66,博实,19
67,林周县,19
68,媒体,19
69,探矿权,19
70,矿产品,19
71,江夏,18
72,投产,17
73,选矿厂,17
74,绿色,17
75,自治区,17
76,被套,17
77,再生,16
78,权证,16
79,扶贫,16
80,铅锌矿,16
81,邢,15
82,建军,15
83,嘉实,15
84,山海,15
85,日喀则,15
86,创业投资,15
87,年底,15
88,品位,15
89,价,15
90,钰,14
91,自然资源,14
92,房地产,14
93,柯月,14
94,银行,14
95,中泓,13
96,框架,13
97,塔吉克斯坦共和国,13
98,期货,13
99,来看,13
100,年均,13
101,香港,13
102,去年同期,13
103,当雄县,13
104,鹏举,13
105,西部,12
106,国土,12
107,采矿,12
108,一带,12
109,一路,12
110,供需,12
111,现货,12
112,矿权,12
113,桑日,12
114,定金,12
115,厅,12
116,经贸,11
117,青海,11
118,独资企业,11
119,走势,11
120,上涨,11
121,沪,11
122,银价,11
123,盎司,11
124,环境影响,11
125,周爱英,11
126,立信,10
127,经销,10
128,矿产,10
129,铜精矿,10
130,云南,10
131,表现,10
132,进口量,10
133,下滑,10
134,贵金属,10
135,证,10
136,许可证,10
137,农牧民,10
138,藏,10
139,出让金,10
140,报刊,10
141,竣工,10
142,生物,10
143,刘志霞,9
144,铠茂,9
145,品志,9
146,技术开发区,9
147,美元兑,9
148,中间价,9
149,康桥,9
150,基本面,9
151,精铅,9
152,合资,9
153,材料,9
154,基金会,9
155,拉萨市,9
156,和解,9
157,职工代表,9
158,建造,9
159,一次性,8
160,第二十一次,8
161,国际化,8
162,增储,8
163,小幅,8
164,锭,8
165,月初,8
166,找矿,8
167,梯队,8
168,协议书,8
169,获,8
170,外汇,8
171,内向,8
172,贫困户,8
173,应急,8
174,中国建设银行,8
175,刘良坤,8
176,劲松,8
177,建华,8
178,妻子,8
179,华钰融,7
180,探矿,7
181,合资经营,7
182,开工,7
183,冶炼厂,7
184,回落,7
185,延续,7
186,三月,7
187,精锌,7
188,主力,7
189,需求量,7
190,消费量,7
191,有望,7
192,查个,7
193,勒,7
194,论坛,7
195,原矿,7
196,运输,7
197,年利率,7
198,排放,7
199,股占,7
200,邓瑞,7
201,河南省,7
202,中国银行,7
203,王聪,7
204,王瑞江,7
205,王小飞,7
206,徐,7
207,地质勘探,7
208,连带保证,7
209,可转债,6
210,格桑路,6
211,毕宬,6
212,陈锦,6
213,棣,6
214,谭桂英,6
215,进程,6
216,有色,6
217,宏观,6
218,释放,6
219,进口,6
220,短缺,6
221,供求平衡,6
222,下行,6
223,铅价,6
224,酸蓄电池,6
225,电池,6
226,供应量,6
227,成本增加,6
228,奠定,6
229,中国地质科学院,6
230,高度重视,6
231,竖井,6
232,选厂,6
233,尽调,6
234,行政许可,6
235,反馈,6
236,环评,6
237,领导,6
238,如期,6
239,机关,6
240,成本上升,6
241,工薪,6
242,社保,6
243,建筑物,6
244,掘进,6
245,月底,6
246,施工,6
247,藏青,6
248,污染物,6
249,重金属,6
250,监测,6
251,艳萍,6
252,李永军,6
253,古文,6
254,韬,6
255,油气,6
256,教育费,6
257,款年,6
258,周爱,6
259,英为,6
260,内需,6
261,中色,5
262,地科,5
263,证监会,5
264,业务量,5
265,非金融,5
266,玖,5
267,仟,5
268,当日,5
269,交割,5
270,庆典,5
271,奇,5
272,一步,5
273,中亚地区,5
274,顺利,5
275,加息,5
276,下半年,5
277,震荡,5
278,情绪,5
279,为元吨,5
280,呈,5
281,过剩,5
282,精,5
283,增量,5
284,新建,5
285,态势,5
286,出台,5
287,汽车,5
288,低速,5
289,带动,5
290,最新,5
291,振荡,5
292,锑品,5
293,至吨,5
294,指数,5
295,致力于,5
296,科技,5
297,健康,5
298,探转采,5
299,评审,5
300,再融资,5
301,换届,5
302,地表,5
303,金银,5
304,道路,5
305,排污,5
306,工业,5
307,文化,5
308,公众,5
309,慈善,5
310,公益,5
311,银克吨,5
312,核实,5
313,普查,5
314,集区,5
315,中央,5
316,可控,5
317,矿量,5
318,事故,5
319,下限,5
320,暂未,5
321,藏民,5
322,三十日,5
323,高级人民法院,5
324,国土资源,5
325,撤回,5
326,第十七次,5
327,核查,5
328,阳光,5
329,东海,5
330,环发,5
331,函藏,5
332,改扩建,5
333,中证,5
334,王,5
335,王庭良,5
336,彭苏萍,5
337,代义,5
338,何佳,5
339,博士,5
340,中国矿业大学,5
341,工程师,5
342,梁遇,5
343,顾问,5
344,召集,5
345,除净,5
346,探明,5
347,第条,5
348,第一名,5
349,第二名,5
350,第三名,5
351,第四名,5
352,第五名,5
353,融信,4
354,孙艳春,4
355,含银,4
356,详查,4
357,合作伙伴,4
358,潜力,4
359,进一步提高,4
360,抗,4
361,资源量,4
362,扩能,4
363,产销,4
364,规避,4
365,放缓,4
366,中旬,4
367,收于,4
368,统计,4
369,修正,4
370,年产量,4
371,统计数据,4
372,终端,4
373,上半年,4
374,镀锌,4
375,基建,4
376,低迷,4
377,紧张,4
378,均价,4
379,缺口,4
380,海关,4
381,呈现,4
382,最高价,4
383,最低价,4
384,供求,4
385,夯实,4
386,中国地质大学,4
387,放在,4
388,责任书,4
389,制订,4
390,力量,4
391,取水,4
392,收集,4
393,勘察,4
394,国际贸易,4
395,探,4
396,分析师,4
397,集团化,4
398,赈灾,4
399,捐助,4
400,自产,4
401,处理费,4
402,人工费,4
403,中介机构,4
404,锌矿,4
405,索莫尼,4
406,电动车,4
407,意向,4
408,科学,4
409,成矿,4
410,矿体,4
411,中所,4
412,起个,4
413,清理,4
414,于本,4
415,青海省,4
416,海西蒙古族藏族自治州,4
417,举办,4
418,用地,4
419,出让,4
420,竞得,4
421,确认书,4
422,工业园,4
423,不动产,4
424,局原,4
425,第二十八,4
426,第二十九次,4
427,第二十四,4
428,环验,4
429,采矿工程,4
430,救援,4
431,养老保险,4
432,张德位,4
433,中邦,4
434,亚科,4
435,贸,4
436,项目经理,4
437,广西,4
438,学会,4
439,煤炭,4
440,高书方,4
441,换届选举,4
442,春,4
443,平等,4
444,中央银行,4
445,以换,4
446,生产费,4
447,资源税,4
448,扩建工程,4
449,谢通门县,4
450,国家开发银行,4
451,房产,4
452,房,4
453,国开,3
454,和拉屋,3
455,同日,3
456,奠基,3
457,总统,3
458,拉赫,3
459,坚实,3
460,沿线,3
461,以塔,3
462,大宗,3
463,参照,3
464,采掘,3
465,美联储,3
466,显现,3
467,春节,3
468,加剧,3
469,走强,3
470,谨慎,3
471,元吨,3
472,价元吨,3
473,整治,3
474,不及,3
475,降幅,3
476,增大,3
477,一季度,3
478,三季度,3
479,报收,3
480,随后,3
481,缓解,3
482,测算,3
483,原生,3
484,电动,3
485,自行车,3
486,国家标准,3
487,报批,3
488,近几年,3
489,替换,3
490,通信,3
491,成熟,3
492,氧化,3
493,实物量,3
494,国外,3
495,填补,3
496,持仓,3
497,光伏,3
498,银量,3
499,元克,3
500,锑矿,3
501,大幅度,3
502,积极参与,3
503,地勘,3
504,调查局,3
505,着力,3
506,厉行,3
507,同步,3
508,预防为主,3
509,和谐,3
510,车间,3
511,稳步,3
512,基建工程,3
513,夏隆,3
514,岗,3
515,桑,3
516,四个,3
517,回复,3
518,一体化,3
519,筹建,3
520,网络,3
521,交流,3
522,监管部门,3
523,安全事故,3
524,创建,3
525,企业宣传,3
526,越来越,3
527,党支部,3
528,工会,3
529,扶贫济困,3
530,助学,3
531,兴教,3
532,救助,3
533,增长幅度,3
534,中介,3
535,律师费,3
536,诉讼费,3
537,昂仁县,3
538,奇矿,3
539,机械设备,3
540,矿,3
541,承租,3
542,化学品,3
543,南方,3
544,过度,3
545,重心,3
546,延伸,3
547,阶段性,3
548,充足,3
549,生态环境,3
550,走向,3
551,资源优势,3
552,针对性,3
553,充分利用,3
554,深耕,3
555,适度,3
556,中亚,3
557,人力,3
558,人力资源,3
559,滚动,3
560,拓宽,3
561,西藏地区,3
562,投入使用,3
563,井巷,3
564,设置,3
565,公司财务,3
566,梳理,3
567,高峰论坛,3
568,中非,3
569,金融机构,3
570,科研,3
571,污染,3
572,废水,3
573,海外经营,3
574,应诉,3
575,机器设备,3
576,初号,3
577,预交,3
578,判决书,3
579,违约责任,3
580,被执行人,3
581,青,3
582,减半,3
583,民事裁定,3
584,第十一次,3
585,第二十次,3
586,该笔,3
587,借出,3
588,审查,3
589,第十七届,3
590,第次,3
591,物质,3
592,就业,3
593,家庭,3
594,传递,3
595,村,3
596,职业技能,3
597,脱贫,3
598,建档立卡,3
599,检测,3
600,噪声,3
601,绿化,3
602,涌水,3
603,日音,3
604,矿段,3
605,巴郎,3
606,论证,3
607,水土保持,3
608,户,3
609,遇春,3
610,职员,3
611,供销中心,3
612,副处长,3
613,处长,3
614,清华大学,3
615,桦林,3
616,所长,3
617,教育部,3
618,学者,3
619,学术,3
620,博士生,3
621,导师,3
622,院长,3
623,暨南大学,3
624,金融系,3
625,退休,3
626,孟仲贤,3
627,副经理,3
628,任华钰,3
629,谢文政,3
630,教育,3
631,通讯,3
632,保费,3
633,准备金,3
634,财政厅,3
635,此类,3
636,额外,3
637,开采量,3
638,列,3
639,可采,3
640,政策性,3
641,高度,3
642,以扎,3
643,拉房,3
644,用经,3
645,第登号,3
646,书,3
647,赊销,3
648,钧,2
649,鼎,2
650,保荐人,2
651,主,2
652,国土资源部,2
653,外文,2
654,电话传真,2
655,电子信箱,2
656,网址,2
657,罗振邦,2
658,张世辉,2
659,代表人,2
660,自然灾害,2
661,显失,2
662,蒙,2
663,奠基仪式,2
664,亮点,2
665,及抗,2
666,意义,2
667,打下,2
668,迈出,2
669,紧跟,2
670,矿种,2
671,物品,2
672,环节,2
673,网,2
674,拖累,2
675,跌势,2
676,大致,2
677,盘整,2
678,期锌于,2
679,录得,2
680,之下,2
681,摩擦,2
682,对冲,2
683,瓶颈,2
684,升温,2
685,跌幅,2
686,伦,2
687,逐月,2
688,宽松,2
689,明朗,2
690,科对,2
691,预估,2
692,三是,2
693,缓慢,2
694,印度,2
695,回升,2
696,关税,2
697,举措,2
698,高位,2
699,加重,2
700,贴水,2
701,端,2
702,强于,2
703,铅厂,2
704,弹性,2
705,行情,2
706,小组,2
707,供给,2
708,缩小,2
709,平衡表,2
710,科精,2
711,估算,2
712,开工率,2
713,日趋,2
714,国统,2
715,速度,2
716,单只,2
717,耗,2
718,铅量,2
719,国标,2
720,近两年,2
721,窄幅,2
722,欧洲,2
723,现货供应,2
724,上旬,2
725,趋稳,2
726,工业协会,2
727,价格下降,2
728,矿砂,2
729,国产,2
730,比较稳定,2
731,环比,2
732,出口量,2
733,定盘价,2
734,振幅,2
735,平均价,2
736,首个,2
737,价元,2
738,开盘,2
739,盘中,2
740,手,2
741,手年,2
742,成交量,2
743,银条,2
744,银币,2
745,银矿,2
746,利润率,2
747,省份,2
748,制品,2
749,制约,2
750,金价,2
751,减产,2
752,海外投资,2
753,近,2
754,定价权,2
755,决策权,2
756,步伐,2
757,成都,2
758,院校,2
759,留住,2
760,博士后,2
761,评为,2
762,高新技术,2
763,本土,2
764,贯彻,2
765,方针,2
766,环境治理,2
767,牢固,2
768,树立,2
769,工队,2
770,有人,2
771,积极性,2
772,主动性,2
773,海拔,2
774,沉淀,2
775,建设工程,2
776,共同开发,2
777,对塔,2
778,此次,2
779,保持稳定,2
780,国土局,2
781,封券,2
782,批文,2
783,圆满完成,2
784,外部环境,2
785,值得,2
786,采,2
787,处理量,2
788,维修,2
789,内在,2
790,钻探,2
791,顺利开展,2
792,稳定性,2
793,战略目标,2
794,资本运作,2
795,全力,2
796,搭建,2
797,剪彩,2
798,证监局,2
799,转采,2
800,达标,2
801,演练,2
802,意识,2
803,贯彻落实,2
804,建立健全,2
805,健全,2
806,共有,2
807,共同努力,2
808,成绩显著,2
809,很大,2
810,途径,2
811,企业家,2
812,电影周,2
813,知名度,2
814,盘点,2
815,后备,2
816,党建,2
817,工会工作,2
818,十九,2
819,总工会,2
820,宗旨,2
821,弱势群体,2
822,一矿,2
823,造福一方,2
824,积极开展,2
825,公益活动,2
826,曲松县,2
827,捐资,2
828,价差,2
829,量差,2
830,进项,2
831,信任度,2
832,仓储,2
833,总局,2
834,消耗量,2
835,该矿,2
836,消耗,2
837,为准,2
838,产品价格,2
839,易燃易爆,2
840,危化品,2
841,建筑材料,2
842,橡胶制品,2
843,配件,2
844,化工原料,2
845,酒精,2
846,饮料,2
847,电子产品,2
848,矿物,2
849,电气设备,2
850,更长,2
851,转向,2
852,水,2
853,生产成本,2
854,主流,2
855,面,2
856,有所增加,2
857,自动,2
858,废旧,2
859,抑制,2
860,强制执行,2
861,工厂,2
862,概率,2
863,配合,2
864,稀有金属,2
865,生态,2
866,督察,2
867,国债,2
868,两种,2
869,更为,2
870,来源于,2
871,挑战,2
872,立足,2
873,周期性,2
874,战略性,2
875,营收,2
876,力争,2
877,资源管理,2
878,一贯,2
879,队伍,2
880,态度,2
881,多元化,2
882,结构合理,2
883,麦莎,2
884,备,2
885,尾矿,2
886,系统工程,2
887,职能,2
888,年度计划,2
889,权限,2
890,定位,2
891,动态,2
892,监察,2
893,层面,2
894,淘汰,2
895,领导小组,2
896,安环部,2
897,专人,2
898,规律,2
899,数字化,2
900,响应,2
901,邀请,2
902,高峰,2
903,一手,2
904,抓,2
905,防范,2
906,环境污染,2
907,废弃物,2
908,人才队伍,2
909,成熟期,2
910,收购人,2
911,侵占,2
912,招股,2
913,如该,2
914,监督管理,2
915,如道衡,2
916,元调,2
917,增长期,2
918,元重,2
919,解聘,2
920,民事诉讼,2
921,程巴,2
922,五日,2
923,五个,2
924,足额,2
925,工作日内,2
926,延迟,2
927,民事判决,2
928,第一项,2
929,第三项,2
930,送达,2
931,上诉,2
932,二审,2
933,终号,2
934,上诉人,2
935,终审判决,2
936,强制,2
937,执行程序,2
938,局经,2
939,撤诉,2
940,公共资源,2
941,交易中心,2
942,中恒琨,2
943,竞买人,2
944,为格,2
945,挂号,2
946,地块,2
947,国有土地,2
948,成交,2
949,局向,2
950,海西州,2
951,号经,2
952,准许,2
953,拖欠,2
954,第十一章,2
955,开立,2
956,第十八次,2
957,第十九次,2
958,房价,2
959,购成,2
960,第二十五次,2
961,日子,2
962,年化,2
963,第二十三,2
964,第十六次,2
965,第二十七次,2
966,低收入,2
967,所在地,2
968,公益事业,2
969,群众,2
970,慰问,2
971,申扎县,2
972,村委会,2
973,汛期,2
974,加洛村,2
975,贫困,2
976,贫困人口,2
977,协助,2
978,重要性,2
979,门,2
980,主管部门,2
981,结果显示,2
982,厂界,2
983,达标排放,2
984,防治,2
985,澄清,2
986,外排,2
987,矿坑,2
988,污水处理,2
989,污水,2
990,配备,2
991,除尘,2
992,降尘,2
993,废,2
994,石场,2
995,藏环,2
996,审号,2
997,完工后,2
998,矿井,2
999,外资股,2
1000,禁售,2
1001,年期,2
1002,中国农业银行,2
1003,开放式,2
1004,华夏,2
1005,盛世,2
1006,精选,2
1007,混合型,2
1008,朴洪英,2
1009,中信银行,2
1010,建信,2
1011,增强型,2
1012,一三零一,2
1013,三期,2
1014,维学,2
1015,男王,2
1016,文政,2
1017,否否否,2
1018,河北省,2
1019,高中,2
1020,南召县,2
1021,财经,2
1022,副科长,2
1023,科长,2
1024,行长,2
1025,副行长,2
1026,四川,2
1027,辞任,2
1028,北方,2
1029,香港中文大学,2
1030,长江,2
1031,常务理事,2
1032,研究生院,2
1033,能源,2
1034,评议组,2
1035,中国地质学会,2
1036,荣誉,2
1037,中国政法大学,2
1038,教师,2
1039,贵州省,2
1040,重点学科,2
1041,带头人,2
1042,地质矿产部,2
1043,埃森哲,2
1044,焦作,2
1045,坚固,2
1046,水泥,2
1047,方城县,2
1048,矿长,2
1049,西安,2
1050,年任,2
1051,越秀,2
1052,哈尔滨,2
1053,山东,2
1054,史维学,2
1055,第三十二,2
1056,任非,2
1057,代表大会,2
1058,充分行使,2
1059,集体,2
1060,接待日,2
1061,来访,2
1062,透明度,2
1063,利益者,2
1064,民主测评,2
1065,在内,2
1066,拆出,2
1067,有者,2
1068,公积转,2
1069,铅矿,2
1070,人为,2
1071,为个,2
1072,方可,2
1073,表因,2
1074,对非,2
1075,订立,2
1076,时如,2
1077,国土资源厅,2
1078,销售价格,2
1079,低值易耗品,2
1080,包装物,2
1081,或换,2
1082,下非,2
1083,构筑物,2
1084,电子设备,2
1085,届满时,2
1086,尚可,2
1087,时该,2
1088,工程项目,2
1089,定,2
1090,抵债,2
1091,推定,2
1092,存量,2
1093,软件,2
1094,专利技术,2
1095,开发成本,2
1096,该类,2
1097,住房,2
1098,按规定,2
1099,教育经费,2
1100,相匹配,2
1101,粉,2
1102,发货,2
1103,化验,2
1104,免租,2
1105,财企号,2
1106,无效,2
1107,西藏自治区人民政府,2
1108,政发,2
1109,招商引资,2
1110,免征,2
1111,所得税率,2
1112,票,2
1113,河南,2
1114,豫矿,2
