,分词排序,词频
0,玉龙,150
1,天津,121
2,钢管,120
3,玉汉尧,96
4,材料,94
5,科技,91
6,知合,78
7,信息,54
8,杨阳,49
9,江苏,45
10,华夏,42
11,正极,38
12,新能源,36
13,焊接,33
14,工程,31
15,石墨,30
16,烯,28
17,无锡市,28
18,工贸,27
19,改性,24
20,北京,23
21,基业,23
22,大树,22
23,宁夏,20
24,汽车,20
25,银行,20
26,永滕,19
27,钢铁,18
28,程涛,17
29,上海,17
30,惠山区,17
31,城建,17
32,装备,17
33,精密,16
34,要约,16
35,永清,16
36,无锡,15
37,数据,15
38,锂电池,15
39,电池,15
40,土地,15
41,能量,14
42,导电,14
43,唐,14
44,储能,13
45,房地产,13
46,直缝,13
47,三元,13
48,建设,13
49,交货,13
50,生物,13
51,公证,12
52,杨芳,12
53,汉尧,12
54,埋,12
55,油气,12
56,房产,12
57,判决书,12
58,涟源,12
59,自来水,12
60,太库,12
61,天业,11
62,网站,11
63,天然气,11
64,浆料,11
65,王,11
66,文学,11
67,宏盛,11
68,拉萨市,10
69,螺旋,10
70,银川,10
71,钢材,10
72,廊坊,10
73,解延静,9
74,防腐,9
75,管道,9
76,环境,9
77,金属制品,9
78,唐柯君,9
79,补,9
80,西藏,9
81,弧,8
82,埋弧,8
83,动力电池,8
84,锂,8
85,动力,8
86,制造,8
87,锂离子,8
88,能源,8
89,唐志毅,8
90,唐维君,8
91,订合同,8
92,中国人民银行,8
93,工矿企业,8
94,维信诺,8
95,五矿,8
96,孵化器,8
97,人程涛,8
98,锂电,7
99,钴,7
100,促使,7
101,拉萨,7
102,李伟敏,7
103,固安,7
104,建造,7
105,艾克凯胜,6
106,姜虹,6
107,酸,6
108,环保,6
109,人工,6
110,后本,6
111,江阴市,6
112,钢板,6
113,惠前,6
114,商初,6
115,螺旋钢管,6
116,和解,6
117,分割,6
118,西安,6
119,程晓鸣,6
120,刘浩,6
121,云联,6
122,委派代表,6
123,吕燕青,6
124,输送,5
125,石油,5
126,排污,5
127,复合,5
128,订货,5
129,端,5
130,出货量,5
131,谋求,5
132,航空,5
133,结构性,5
134,石化,5
135,焊管,5
136,资源,5
137,义务人,5
138,流量,5
139,月底,5
140,武汉,5
141,建筑物,5
142,教育,5
143,鼎基,5
144,俞波,5
145,保险费,5
146,维修,5
147,路,4
148,无年,4
149,财富,4
150,非金融,4
151,建筑工程,4
152,电子,4
153,数码,4
154,慢于,4
155,性未,4
156,充份,4
157,拟将,4
158,小试,4
159,中试,4
160,最新,4
161,万辆,4
162,差异化,4
163,退坡,4
164,弧焊,4
165,投产,4
166,高压,4
167,东丽,4
168,商务,4
169,制造业,4
170,价格优势,4
171,进口,4
172,采取措施,4
173,尽量减少,4
174,参照,4
175,通行,4
176,回避,4
177,中源,4
178,盛唐,4
179,业务范围,4
180,第一个,4
181,净现金,4
182,因永滕,4
183,经济损失,4
184,该案,4
185,工矿,4
186,订购,4
187,热轧卷,4
188,民事裁定,4
189,诉至,4
190,撤诉,4
191,深圳,4
192,交通银行,4
193,环境保护,4
194,环境影响,4
195,股年,4
196,德恒,4
197,马霄,4
198,王欣全,4
199,周,4
200,大桥,4
201,创业投资,4
202,浙江,4
203,中央银行,4
204,首批,4
205,中间价,4
206,其他费用,4
207,二至,4
208,事业,4
209,二年,4
210,零星,4
211,对比,4
212,管委会,4
213,天华,4
214,外汇,4
215,电子信箱,3
216,玉祁镇,3
217,运输,3
218,电子产品,3
219,第二十八,3
220,自营,3
221,大宗,3
222,尽可能,3
223,提货,3
224,供给,3
225,小幅,3
226,用管,3
227,景气,3
228,度,3
229,回升,3
230,下行,3
231,中长期,3
232,管网,3
233,态势,3
234,高速,3
235,激烈,3
236,客户资源,3
237,价为,3
238,此基础,3
239,贡献,3
240,送样,3
241,有家,3
242,高频,3
243,矩形管,3
244,技术开发区,3
245,估价,3
246,服务业,3
247,均价,3
248,带钢,3
249,法定程序,3
250,四个,3
251,烯能,3
252,航兴,3
253,烯煜,3
254,较长,3
255,孰高,3
256,同日,3
257,湖南,3
258,开具,3
259,高级法院,3
260,总价,3
261,家族,3
262,拆放,3
263,商品价格,3
264,公益事业,3
265,内在,3
266,公正,3
267,户,3
268,股占,3
269,郭明,3
270,王美,3
271,男女,3
272,胡,3
273,艳丽,3
274,王胜强,3
275,常务,3
276,上海财经大学,3
277,知,3
278,智慧,3
279,天下,3
280,云仓,3
281,北京东方,3
282,银联,3
283,副总,3
284,铝镁合金,3
285,研究室,3
286,河北,3
287,南京,3
288,监管部门,3
289,通讯,3
290,苏公号,3
291,选取,3
292,保费,3
293,准备金,3
294,业经,3
295,验资,3
296,年本,3
297,日为,3
298,除净,3
299,或应,3
300,机器设备,3
301,应予,3
302,燃气,3
303,清理,3
304,教育费,3
305,一至,3
306,估算,3
307,装修,3
308,高级人民法院,3
309,提议,2
310,查阅,2
311,外文,2
312,联系方式,2
313,网址,2
314,符合国家,2
315,自然灾害,2
316,显失,2
317,一次性,2
318,广泛应用,2
319,钢结构,2
320,机械,2
321,系列产品,2
322,以销定产,2
323,更具,2
324,个性化,2
325,完备,2
326,偏好,2
327,消费,2
328,产销,2
329,管道工程,2
330,煤,2
331,改气,2
332,工程项目,2
333,中美,2
334,摩擦,2
335,亿美元,2
336,稳中,2
337,地下,2
338,管廊,2
339,驱动力,2
340,有望,2
341,持续增长,2
342,密度,2
343,高工,2
344,镍,2
345,发改委,2
346,单体,2
347,理论,2
348,充足,2
349,资源配置,2
350,纳米,2
351,制备,2
352,分散,2
353,核心技术,2
354,兴建,2
355,过渡期,2
356,维系,2
357,品种齐全,2
358,区位,2
359,量产,2
360,电压,2
361,陆续,2
362,调试,2
363,施工,2
364,三以,2
365,寿命,2
366,送检,2
367,厂商,2
368,仍为,2
369,上游,2
370,价格上涨,2
371,稳步,2
372,叠加,2
373,增,2
374,国外,2
375,盘活,2
376,金宁达,2
377,估字,2
378,基准日,2
379,科学研究,2
380,主管部门,2
381,换发,2
382,更好,2
383,充满,2
384,成品油,2
385,人口,2
386,接入,2
387,低端,2
388,稳定性,2
389,中低端,2
390,民营,2
391,经济效益,2
392,大国,2
393,网络,2
394,油井,2
395,管材,2
396,依赖于,2
397,审慎,2
398,回缩,2
399,收购人,2
400,何种,2
401,人及,2
402,等价,2
403,有偿,2
404,平等互利,2
405,苏玉华,2
406,人因,2
407,内本,2
408,协助,2
409,比照,2
410,不可避免,2
411,时则,2
412,同等条件,2
413,第二个,2
414,第二十五次,2
415,第十四次,2
416,调整法,2
417,解聘,2
418,由永滕,2
419,备忘录,2
420,换货,2
421,另本,2
422,向永滕,2
423,月初,2
424,移交,2
425,澄商,2
426,初字,2
427,现该,2
428,强制执行,2
429,物资贸易,2
430,由本,2
431,轧卷,2
432,华菱,2
433,签订合同,2
434,收货,2
435,银票,2
436,基准利率,2
437,专用发票,2
438,上诉,2
439,苏民终,2
440,维持原判,2
441,执行款,2
442,余款,2
443,至此,2
444,申诉,2
445,苏民申,2
446,提审,2
447,再审,2
448,中止,2
449,济南,2
450,承建,2
451,苏,2
452,书,2
453,带款,2
454,现汇,2
455,多付,2
456,误期,2
457,赔偿费,2
458,案,2
459,沙,2
460,西线,2
461,输水管,2
462,唐昌,2
463,绕城,2
464,标段,2
465,管径,2
466,管件,2
467,以元,2
468,同档,2
469,保全,2
470,同类,2
471,房屋出租,2
472,元月,2
473,工作日内,2
474,股份有限,2
475,所有权证,2
476,匹配,2
477,交割,2
478,南粤,2
479,前洲,2
480,蕴通,2
481,宁波,2
482,上海银行,2
483,股票指数,2
484,金融市场,2
485,扶贫,2
486,健康,2
487,考察,2
488,交流,2
489,合同法,2
490,劳动合同,2
491,致力于,2
492,消耗,2
493,践行,2
494,使命,2
495,环境保护部,2
496,门,2
497,孙,2
498,天津市,2
499,节能,2
500,许程,2
501,魏强,2
502,徐玉英林,2
503,世彤,2
504,茹秀芬,2
505,杨根浩,2
506,庞晓璐,2
507,吉,2
508,宏丽,2
509,陈革平,2
510,技术咨询,2
511,张林波,2
512,薛忠静,2
513,申强陆,2
514,成都,2
515,龙湖,2
516,代表人,2
517,厂长,2
518,中银,2
519,广汇,2
520,会计学院,2
521,申能,2
522,安徽,2
523,皖通,2
524,高速公路,2
525,雪榕,2
526,合金,2
527,控,2
528,力神,2
529,顾问,2
530,香河,2
531,巴莫,2
532,九通,2
533,瑞安,2
534,嘉兴,2
535,有色金属,2
536,凯恩,2
537,特种,2
538,创业,2
539,云谷,2
540,工作调动,2
541,本科,2
542,侧重于,2
543,公众,2
544,权责,2
545,由名,2
546,人员构成,2
547,绩效评价,2
548,透明,2
549,保密,2
550,审查,2
551,工商行政管理局,2
552,核发,2
553,企业法人,2
554,股东会,2
555,注册号,2
556,章君,2
557,豪瑞,2
558,山东,2
559,杭州,2
560,年经,2
561,号文,2
562,第三期,2
563,出让方,2
564,股占本,2
565,月度,2
566,原已,2
567,以本,2
568,表因,2
569,很小,2
570,兑换,2
571,一般而言,2
572,看跌,2
573,低值易耗品,2
574,陈旧,2
575,得以,2
576,中将,2
577,价中,2
578,运输工具,2
579,电子设备,2
580,竣工,2
581,经营权,2
582,结果表明,2
583,公平交易,2
584,买方,2
585,医疗保险,2
586,工伤保险,2
587,生育,2
588,住房,2
589,工会,2
590,教育经费,2
591,带薪,2
592,缺勤,2
593,缴费,2
594,换取,2
595,裁减,2
596,单方面,2
597,以此,2
598,发货,2
599,明确规定,2
600,法将,2
601,款额,2
602,余值,2
603,数在,2
604,鉴定,2
605,原先,2
606,近期,2
607,票,2
608,西南,2
609,油气田,2
610,重庆市,2
611,隆祥,2
612,合肥,2
613,大连,2
614,重庆,2
615,祥龙,2
616,消耗性,2
617,无可,2
618,预提,2
619,互抵,2
620,经开区,2
621,资评,2
622,报字,2
623,值为,2
624,授信额度,2
625,不动产,2
626,朗森,2
627,一本,1
628,主管人员,1
629,五经,1
630,否八,1
631,违反规定,1
632,否九,1
633,详细描述,1
634,文义,1
635,另有所指,1
636,含义,1
637,常用,1
638,中文名称,1
639,中文,1
640,缩写,1
641,人二,1
642,联系人,1
643,联系地址,1
644,电话传真,1
645,殷超,1
646,玉祁,1
647,工业园,1
648,选定,1
649,媒体,1
650,登载,1
651,证券部,1
652,无六,1
653,滨湖区,1
654,太湖,1
655,新城,1
656,三街,1
657,嘉凯城,1
658,号楼,1
659,十层,1
660,柏凌菁,1
661,朱红,1
662,芬,1
663,中信,1
664,建投,1
665,朝阳区,1
666,安立路,1
667,楼,1
668,主办人,1
669,赵军,1
670,史云鹏,1
671,百,1
672,分点,1
673,第一季度,1
674,第二季度,1
675,第三季度,1
676,第四季度,1
677,十非,1
678,偶发性,1
679,两类,1
680,化工,1
681,煤矿,1
682,供水,1
683,供气,1
684,供热,1
685,住宅,1
686,桥梁,1
687,输变电,1
688,铁塔,1
689,烯新,1
690,定,1
691,车用,1
692,销售业务,1
693,于高端,1
694,终端,1
695,三期,1
696,比极,1
697,特殊性,1
698,经年,1
699,销商,1
700,周边,1
701,一标,1
702,一议,1
703,面向市场,1
704,零售,1
705,灵活性,1
706,独立自主,1
707,询价,1
708,综合利用,1
709,现货,1
710,兼顾,1
711,合理安排,1
712,攻关组,1
713,明确责任,1
714,划定,1
715,立项,1
716,产品设计,1
717,量试,1
718,在内,1
719,议价,1
720,战略重点,1
721,攻关,1
722,客户档案,1
723,管理系统,1
724,采购部,1
725,技术部,1
726,钢协,1
727,统计,1
728,表现,1
729,回落,1
730,拖累,1
731,基建投资,1
732,有所突破,1
733,鄂安沧,1
734,新粤浙,1
735,循序,1
736,笼罩,1
737,阴影,1
738,之下,1
739,遭遇,1
740,欧美,1
741,双反,1
742,总体而言,1
743,趋强,1
744,呈现,1
745,多样化,1
746,供水管,1
747,网,1
748,带动,1
749,良性,1
750,能源行业,1
751,应运,1
752,趋于,1
753,饱和,1
754,中汽协,1
755,纯,1
756,电动汽车,1
757,插,1
758,电式,1
759,混合,1
760,生产能力,1
761,发展前景,1
762,看好,1
