,分词排序,词频
0,财通,496
1,浙江,216
2,营业部,146
3,杭州,123
4,经纪,82
5,期货,69
6,证券公司,59
7,信息,57
8,路,55
9,扶贫,51
10,次级,47
11,香港,42
12,净收入,41
13,建设,41
14,天堂,41
15,硅谷,41
16,自营,40
17,街道,40
18,浙商,38
19,宁波,38
20,资管,36
21,银行,35
22,上海,31
23,融券,29
24,券商,29
25,室,28
26,备付,28
27,通财,27
28,大道,27
29,创业投资,27
30,工程,26
31,绍兴,25
32,数据,25
33,分级,22
34,苏泊尔,22
35,王跃军,21
36,幢,21
37,限额,21
38,贫困地区,21
39,操作,20
40,融出,20
41,西路,19
42,房地产,19
43,港元,19
44,信息技术,18
45,教育,18
46,信用等级,18
47,分支机构,17
48,银行业务,17
49,投行,17
50,脱贫,17
51,代销,16
52,北路,16
53,人民,16
54,绍兴市,16
55,科技,16
56,金融服务,16
57,上表,16
58,主任委员,16
59,计息,16
60,金控,15
61,东路,15
62,财富,15
63,南路,15
64,楼,15
65,资源,15
66,环境,15
67,还本付息,15
68,按年,15
69,台州市,14
70,单利,14
71,不计,14
72,复利,14
73,财政厅,13
74,融通,13
75,号室,13
76,存出,13
77,场外,13
78,凭证,13
79,结对,13
80,浙江大学,13
81,下发,12
82,浙,12
83,城区,12
84,柯桥,12
85,公募,12
86,中国证券业协会,12
87,商品价格,12
88,华联,12
89,梅山,12
90,保税,12
91,港区,12
92,导师,12
93,足额,12
94,回售,12
95,营运,12
96,对手,11
97,浙江省工商局,11
98,固收,11
99,防范,11
100,手段,11
101,担保物,11
102,经济师,11
103,议题,11
104,财通债,11
105,财开,10
106,证券交易,10
107,期货经纪,10
108,商务中心,10
109,网站,10
110,扩股,10
111,定向,10
112,广场,10
113,中路,10
114,钱,10
115,台州,10
116,次级债,10
117,折算率,10
118,土地,10
119,黄志明,10
120,水土,10
121,商业银行,10
122,证券业,10
123,系本,10
124,陆建强,9
125,互联网,9
126,天健,9
127,财务咨询,9
128,刘未,9
129,大楼,9
130,义乌,9
131,互换,9
132,风控,9
133,准备金,9
134,交通,9
135,物产,9
136,经纪人,9
137,评委,9
138,融入,9
139,私募,8
140,企业法人,8
141,丽水,8
142,镇,8
143,柯桥区,8
144,上虞,8
145,衍生品,8
146,三板,8
147,集合,8
148,基点,8
149,业务部门,8
150,设置,8
151,首席,8
152,科技实业,8
153,西藏,8
154,财,8
155,农村,8
156,信托,8
157,杨勇,8
158,大学本科,8
159,工商大学,8
160,硕士生,8
161,常务理事,8
162,表示同意,8
163,上调,8
164,人陆,8
165,建强,8
166,社会保障,7
167,西湖,7
168,咨询服务,7
