,分词排序,词频
0,银行,413
1,兴业银行,249
2,兴业,168
3,金融机构,98
4,信托,85
5,建设,79
6,绿色,76
7,信息,70
8,股息,65
9,项类,61
10,中央银行,56
11,上海,54
12,扶贫,49
13,中国烟草,48
14,科技,45
15,模型,43
16,零售,41
17,福建,41
18,数据,39
19,行长,39
20,信贷,38
21,总行,35
22,商业银行,34
23,拆出,34
24,金融服务,31
25,保险,31
26,国债,31
27,净收入,30
28,计息,30
29,人民,29
30,消费,28
31,操作,28
32,人民保险,28
33,续本,28
34,充足率,27
35,担保物,27
36,副行长,27
37,抵债,26
38,万户,25
39,保监会,25
40,贵金属,25
41,头寸,25
42,监测,25
43,烟草,25
44,期货,24
45,财产保险,24
46,办公大楼,24
47,本部,23
48,北京,23
49,金融债券,22
50,浙江,22
51,人寿保险,22
52,对手,21
53,信用卡,21
54,年期,21
55,优,20
56,基准利率,20
57,工程,19
58,金融业务,19
59,健康,19
60,厦门,19
61,年利率,19
62,财政厅,19
63,财富,18
64,投行,18
65,折,18
66,环境,18
67,三是,18
68,能源,18
69,商行,17
70,杠杆,17
71,资源,17
72,存单,17
73,九江,17
74,准备金,17
75,按年,17
76,开放,16
77,消费者,16
78,监督管理,16
79,联动,16
80,福州,16
81,跨境,16
82,国别,16
83,累计数,16
84,不良贷款,15
85,中国人民银行,15
86,中国银行,15
87,外汇,15
88,龙岩市,15
89,阳光集团,15
90,建平,14
91,金融市场,14
92,稳步,14
93,私人,14
94,金融债,14
95,人生,14
96,互联网,14
97,资管,14
98,制订,14
99,不良资产,14
100,反洗钱,14
101,声誉,14
102,被套,14
103,落地,13
104,上线,13
105,抵,13
106,预警,13
107,男否,13
108,德勤华,12
109,永,12
110,把握,12
111,覆盖率,12
112,营运,12
113,网站,12
114,深化,12
115,电力,12
116,监管部门,12
117,证券化,12
118,利差,12
119,分支机构,12
120,香港,12
121,对公,12
122,建筑物,12
123,汇金,12
124,强制,12
125,差异化,11
126,表外,11
127,搭建,11
128,限额,11
129,户,11
130,网络,11
131,天至,11
132,开出,11
133,缺口,11
134,可变,11
135,该类,11
136,教育,10
137,银行业,10
138,福州市,10
139,配置,10
140,保险业务,10
141,传统,10
142,引入,10
143,广东,10
144,江苏,10
145,生息,10
146,制造业,10
147,防控,10
148,受益权,10
149,顾问,10
150,全行,10
151,存续,10
152,专业化,10
153,网点,10
154,场景,10
155,健全,10
156,审查,10
157,贫困地区,10
158,海晟,10
159,第一个,10
160,兼职,10
161,日本银行,10
162,基点,10
163,文化,9
164,扎实,9
165,信用证,9
166,中央,9
167,防范,9
168,可控,9
169,下表,9
170,不良率,9
171,贯彻落实,9
172,客群,9
173,实时,9
174,梳理,9
175,储蓄,9
176,连续性,9
177,土地,9
178,追究,9
179,阳光,9
180,湖南,9
181,发起,9
182,品,9
183,率为,9
184,赖富荣,8
185,万亿元,8
186,回归,8
187,体制,8
188,稳中求进,8
189,共享,8
190,实践,8
191,央行,8
192,负,8
193,投资规模,8
194,国务院,8
195,公众,8
196,队伍,8
197,夯实,8
198,统筹,8
199,数字化,8
200,信息安全,8
201,东北部,8
202,西部,8
203,中部,8
204,保持稳定,8
205,日均,8
206,路,8
207,广州,8
208,四是,8
209,汽车,8
210,精细化,8
211,互换,8
212,当年度,8
213,个险,8
214,万能,8
215,出质,8
216,中烟,8
217,浙能,8
218,男是,8
219,经济师,8
220,博士,8
221,院长,8
222,嵌入,8
223,中本,8
224,缴款,8
225,截止日,8
226,本源,7
227,普惠,7
228,坚定,7
229,四个,7
230,拨备,7
231,活力,7
232,首家,7
233,机器人,7
234,湖东路,7
235,动态,7
236,有所增加,7
237,结构性,7
238,基调,7
239,稳,7
240,投放,7
241,银行业务,7
242,服务业,7
