,分词排序,词频
0,材料,203
1,科技,114
2,东材,96
3,阻燃,66
4,信息,62
5,光伏,55
6,建设,53
7,绝缘材料,49
8,四川,47
9,环保,47
10,电子,41
11,特高压,40
12,光学,39
13,银行,39
14,成都,38
15,工程,38
16,膜,36
17,制造,33
18,江苏,32
19,艾必克,30
20,排放,28
21,金张,26
22,绵阳,26
23,聚酯,25
24,能源,24
25,扶贫,23
26,特种,22
27,太阳能,22
28,少波,21
29,医药,21
30,发电,21
31,金发,21
32,绝缘,20
33,环境,20
34,蒙特,19
35,化工,19
36,技术创新,19
37,工业,19
38,基膜,19
39,艾,18
40,河南,17
41,数据,17
42,新能源,17
43,树脂,17
44,厂区,17
45,电网,16
46,汽车,16
47,第项,16
48,战略性,16
49,新兴产业,16
50,节能,15
51,广州,15
52,纳米,14
53,精益,14
54,污染物,14
55,本节,14
56,陈杰,13
57,星烁,13
58,高金,13
59,输电,13
60,面板,13
61,聚酯纤维,13
62,绵阳市,12
63,聚丙烯,12
64,电力,12
65,生产型,12
66,苏州,11
67,华佳,11
68,直流,11
69,信息化,11
70,高性能,11
71,生物,11
72,高盟,11
73,着力,10
74,健康,10
75,新兴,10
76,资源,10
77,装饰,10
78,铜板,10
79,工艺流程,10
80,连云港,9
81,通信,9
82,薄膜,9
83,一批,9
84,进口,9
85,环境保护,9
86,液晶显示,9
87,覆,9
88,交易方式,9
89,人于,9
90,正中,8
91,珠江,8
92,技术产业,8
93,上海,8
94,输变电,8
95,市场推广,8
96,结构件,8
97,石油,8
98,市场行情,8
99,工程项目,8
100,绿色,8
101,高分子,8
102,产值,8
103,清洁,8
104,交流,8
105,带动,8
106,制品,8
107,聚酯薄膜,8
108,平板,8
109,塘汛,8
110,熊玲瑶,8
111,唐安斌,8
112,房地产,8
113,所得税法,8
114,广东,7
115,消费类,7
116,化学工业,7
117,深化,7
118,装备,7
119,新一代,7
120,聚酯切片,7
121,上游,7
122,化学品,7
123,分布式,7
124,亿美元,7
125,加剧,7
126,国家电网,7
127,智能手机,7
128,出货量,7
129,海涛,7
130,教育,7
131,排污,7
132,氨氮,7
133,区内,7
134,张兴彦,6
135,太湖,6
136,终端,6
137,客户群,6
138,主导,6
139,年底,6
140,关键技术,6
141,尺寸,6
142,银行贷款,6
143,信息技术,6
144,低碳,6
145,卤,6
146,线路,6
147,生态,6
148,减排,6
149,挥发性,6
150,有机物,6
151,制造业,6
152,同质化,6
153,电脑,6
154,纺织,6
155,成本上升,6
156,拼,6
157,西部,6
158,熊,6
159,为元股,6
160,废气,6
161,颗粒物,6
162,土地,6
163,拟以,5
164,登记日,5
