,分词排序,词频
0,白银,599
1,有色,328
2,甘肃,166
3,甘肃省,135
4,矿业,129
5,中信,120
6,黄金,104
7,红鹭,100
8,资源,97
9,上海,95
10,国安,94
11,铜,93
12,工程,91
13,有色金属,81
14,锌,76
15,信息,73
16,白银市,64
17,冶炼,64
18,班罗,62
19,铅锌,60
20,金属,60
21,秘鲁,58
22,建设,56
23,内蒙,55
24,科技,55
25,厂坝,52
26,冶炼厂,51
27,环境,44
28,材料,43
29,贵金属,42
30,综合利用,41
31,数据,40
32,成县,37
33,国际贸易,35
34,环保,35
35,铅锌矿,33
36,矿山,33
37,化工,33
38,期货,32
39,工业,31
40,铝业,31
41,中信银行,31
42,未办理,31
43,铅,30
44,精矿,30
45,排放,30
46,江西,30
47,西北,29
48,房地产,29
49,金原,28
50,采矿权,27
51,尾矿,27
52,国资委,26
53,新大孚,26
54,北京,24
55,铜业,24
56,国有资产,24
57,年底,24
58,兰州,24
59,华鹭,24
60,长通,23
61,香港,23
62,阴极铜,23
63,首信,22
64,渣,22
65,银行,22
66,车间,22
67,南昌,22
68,中信集团,21
69,华融,21
70,新疆,21
71,土地,21
72,新班罗,21
73,物流,20
74,环境保护,20
75,民生银行,20
76,电线电缆,19
77,脱贫,19
78,矿,19
79,铜城,19
80,扶贫,19
81,罗利,19
82,选矿,18
83,电缆,18
84,内蒙古,18
85,白银区,18
86,物业,18
87,嘉华,18
88,园林工程,18
89,吉萨,18
90,铁山,17
91,南非,17
92,烟气,17
93,嘉合,17
94,张锦林,16
95,深部,16
96,硫酸,16
97,出让,16
98,污染物,16
99,加拿大,16
100,国开,16
101,中非,15
102,德福,15
103,采选,15
104,技术创新,15
105,废水,15
106,云南,15
107,唐,15
108,储量,14
109,炉,14
110,机械,14
111,华证,14
112,生物,14
113,远期,14
114,瑞源,13
115,成州,13
116,铁路运输,13
117,网站,13
118,采矿,13
119,中院,13
120,监督管理,12
121,均价,12
122,竣工,12
123,信托,12
124,污染,12
125,生态环境,12
126,非金属材料,12
127,债转股,12
128,阿旗,12
129,重工,12
130,常委,12
131,贰,12
132,中国银行,12
133,省,11
134,铜矿,11
135,微细,11
136,铜精矿,11
137,救助,11
138,开采,11
139,阿巴嘎旗,11
140,萤石,11
141,重金属,11
142,事故,11
143,锡林郭勒盟,11
144,书,11
145,排污,11
146,元为,11
147,流,11
148,江西省,11
149,钢,11
150,建投,10
151,瑞达,10
152,制造,10
153,铜箔,10
154,同类,10
155,文化,10
156,政治,10
157,最高价,10
158,最低价,10
159,盎司,10
160,千克,10
161,审查,10
162,工程建设,10
163,敦煌,10
164,文博,10
165,三是,10
166,应急,10
167,上诉,10
168,开庭审理,10
169,民事裁定,10
170,珠海市,10
171,电工,10
172,二氧化硫,10
173,尾气,10
174,王普公,10
175,红鹭氟业,10
176,建筑物,10
177,城镇,10
178,发号,10
179,高级人民法院,10
180,汪东锋,9
181,首钢,9
182,斯班,9
183,工场,9
184,信息安全,9
185,路,9
186,铂,9
187,网络,9
188,矿石,9
189,万盎司,9
190,元吨,9
191,含锌,9
192,电解,9
193,国有企业,9
194,矿业权,9
195,索尔,9
196,教育,9
197,监测,9
198,陇南,9
199,工贸,9
200,水电费,9
201,技术改造,9
202,信息产业,9
203,稀土,9
204,日为,9
205,认股权证,9
206,天水,9
207,高院,9
208,铝型材,8
209,进口,8
210,陕西,8
211,探矿权,8
212,品位,8
213,约合,8
214,元素,8
215,高新技术,8
216,电磁线,8
217,投产,8
218,矿产资源,8
219,作业,8
220,矿产,8
221,扩能,8
222,国资,8
223,西部,8
224,废渣,8
225,白,8
226,项目管理,8
227,拓阵,8
228,丝绸之路,8
229,着力,8
230,定向,8
231,提案,8
232,上饶,8
233,判决书,8
234,农行,8
235,省政府,8
236,尾矿库,8
237,分子,8
238,秦永忠,8
239,机器设备,8
240,建造,8
241,免征,8
242,纪要,8
243,年利率,8
244,中银,8
245,金非,8
246,永拓,7
247,勘探,7
248,有价,7
249,制酸,7
250,开发利用,7
251,青海,7
252,回落,7
253,达标,7
254,锅炉,7
255,防治,7
256,软件,7
257,传统产业,7
258,新兴产业,7
259,手段,7
260,保,7
261,下称,7
262,反担保,7
263,异议,7
264,运费,7
265,主管部门,7
266,外排,7
267,环境保护局,7
268,罚款,7
269,李建,7
270,孙洪元,7
271,纪委书记,7
272,副经理,7
273,靖远,7
274,兑现,7
275,中层,7
276,被套,7
277,按年,7
278,经纪,7
279,法案,7
280,陶慧君,7
281,最高人民法院,7
282,西区,7
