,分词排序,词频
0,汽车,1030
1,庞大,643
2,冀东,157
3,北京,151
4,斯巴鲁,106
5,唐山市,92
6,房地产,92
7,中冀,83
8,庞庆华,71
9,新能源,67
10,整车,66
11,获授,65
12,汽车贸易,64
13,汽贸,60
14,信息,59
15,唐山,59
16,之星,54
17,备件,51
18,沈阳,48
19,河北省,45
20,石家庄,45
21,物贸,44
22,银行,40
23,乐业,40
24,科技,39
25,济南,38
26,维修服务,36
27,丰田,35
28,土地,34
29,广州,33
30,利星行,32
31,上海,31
32,第三期,31
33,工程,30
34,张家口,29
35,专用车,29
36,沧州,28
37,云南,28
38,注注,26
39,秦皇岛,25
40,天津,25
41,物流,25
42,新疆,24
43,天津市,24
44,物业,23
45,回售,23
46,联营公司,23
47,返利,22
48,购车,21
49,保定,21
50,等级,21
51,巴博斯,21
52,新贵,21
53,滦县,20
54,生物,20
55,兴迪,20
56,邯郸市,19
57,网站,17
58,进口,17
59,雷克萨斯,17
60,消费信贷,17
61,华东,17
62,青岛,17
63,河北,17
64,烯润,17
65,流,17
66,数据,16
67,建筑物,16
68,维修,16
69,乘用车,16
70,商用车,16
71,售后,16
72,建设,16
73,一众,16
74,广龙,16
75,云南省,16
76,叮叮,15
77,化解,15
78,廊坊,15
79,泰同辉,15
80,经销,14
81,万辆,13
82,专卖店,13
83,赤峰市,13
84,鑫,13
85,衡水,13
86,大连,12
87,庆,12
88,立新,12
89,卡车,12
90,立信,11
91,养护,11
92,环境,11
93,资金紧张,11
94,奔驰,11
95,清欠,11
96,中国银行,11
97,运输,11
98,第二个,11
99,沈宝东,11
100,若干,11
101,呼和浩特市,11
102,锦州,11
103,保定市,11
104,承德市,11
105,厂家,10
106,一汽,10
107,华中,10
108,庆鸿,10
109,驰奥,10
110,北汽,10
111,机动车,10
112,杨晓光,10
113,重汽,10
114,改装,10
115,定金,10
116,欧,10
117,力士,10
118,廊坊市,10
119,承德,10
120,霸龙,10
121,华悦,10
122,双龙,9
123,二手车,9
124,网点,9
125,网络,9
126,金融机构,9
127,车辆,9
128,大区,9
129,国开,9
130,德州市,9
131,兴业,9
132,新辉,9
133,领航,9
134,烟台,9
135,交银,9
136,庞庆,9
137,上调,9
138,通讯,9
139,建造,9
140,萨博,9
141,解放,9
142,汽车装饰,9
143,内蒙古,9
144,乌海市,9
145,兴锐,9
146,赫峰,9
147,自治区,8
148,开具,8
149,淄博,8
150,四家,8
151,南昌,8
152,盛源,8
153,王玉生,8
154,附属,8
155,美天,8
156,公司债,8
157,无否,8
158,香港,8
159,兴星,8
160,咨询服务,8
161,西安,8
162,用品,8
163,兴沃,8
164,昆明,8
165,唐轩,8
166,龙华,8
167,文义,7
168,互联网,7
169,平行,7
170,滨州,7
171,山东,7
172,广顺,7
173,弘丰行,7
174,邯郸,7
175,中升,7
176,基础设施,7
177,贺,7
178,年期,7
179,附第,7
180,男无否,7
181,退休,7
182,还本,7
183,期后,7
184,赚取,7
185,交易市场,7
186,华盛,7
187,瑞典,7
188,鄂尔多斯市,7
189,大同,7
190,汽车集团,7
191,永兴,7
192,汽车用品,7
193,东盛,7
194,驿联,7
195,滦州,7
196,轮候,7
