,分词排序,词频
0,风电,415
1,能源,354
2,明阳,315
3,中山,313
4,发电,245
5,新能源,217
6,风力,192
7,广东,155
8,阳新,154
9,中国银行,122
10,海上,121
11,风机,117
12,明,110
13,电力,108
14,智慧,103
15,新疆,96
16,内蒙古,87
17,扶余,86
18,河南,83
19,洁源,77
20,智能,74
21,工程,74
22,制造,74
23,甘肃,73
24,风能,73
25,建设,70
26,北京,66
27,万邦,66
28,机组,64
29,主合同,64
30,天津,63
31,风电场,62
32,银行,62
33,大唐,60
34,科技,59
35,瑞德,58
36,华能,58
37,信息,58
38,中山市,56
39,火炬,55
40,恭城,53
41,陕西,53
42,大庆市,51
43,叶片,50
44,电站,45
45,青海,45
46,新源,44
47,光伏,42
48,张家,41
49,电气,40
50,中国建设银行,40
51,再生能源,39
52,保函字,38
53,广,36
54,数据,36
55,中信,36
56,发电机组,35
57,荣力,35
58,国家税务局,35
59,能源技术,32
60,核工程,32
61,项下,31
62,台风,30
63,杜蒙,30
64,退,30
65,所得税法,30
66,兴阳,29
67,清洁,29
68,即征,29
69,传卫,28
70,广州,28
71,杭州,28
72,酒钢,28
73,黄骅,28
74,基础设施,28
75,兴,27
76,哈密,27
77,公共,27
78,免征,27
79,吉林,26
80,阳江,26
81,西部,26
82,瑞能,26
83,天津市,26
84,人张,25
85,资源,24
86,扶贫,24
87,金融机构,24
88,整机,23
89,方将,23
90,运维,22
91,鼓励类,22
92,香港,21
93,物料,21
94,盛世,20
95,吊装,20
96,奶牛场,20
97,公章,20
98,邮政储蓄,20
99,小榄,20
100,吴玲,19
101,新能,19
102,风速,19
103,华润,19
104,土地,19
105,减半,19
106,首席,19
107,国电,18
108,上网,18
109,装机容量,18
110,绿色,18
111,拉萨,18
112,装备,18
113,环境,18
114,山东,18
115,电器,17
116,部件,17
117,捷耀,17
118,洛阳,17
119,能源开发,17
120,万千瓦,17
121,建造,17
122,消纳,17
123,张瑞,17
124,信阳,17
125,纳税人,17
126,中国光大银行,17
127,风,16
128,运输,16
129,定边,16
130,江苏,16
131,云南,16
132,广西,16
133,条例,16
134,本合同,16
135,阳,15
136,上海,15
137,深圳,15
138,洪大,15
139,发电机,15
140,弥渡,15
141,市成瑞,15
142,市富汇,15
143,市吉,15
144,成风,15
145,浙江,15
146,投标,15
147,高新技术,15
148,准备金,15
149,材料,15
150,创业投资,14
151,博创,14
152,叁,14
153,电子,14
154,南方,14
155,轴承,14
156,房地产,14
157,混合,14
158,风场,14
159,模型,14
160,第二款,14
161,第条,14
162,主席令,14
163,减征,14
164,包头,14
165,质权,14
166,张传卫,13
167,吴国,13
168,齿轮箱,13
169,黑龙江,13
170,桂林,13
171,三峡,13
172,重工,13
173,太阳能,13
174,零部件,13
175,永磁,13
176,米,13
177,机型,13
178,平价,13
179,何志勇,13
180,履行期,13
181,出质人,13
182,银承,13
183,票号,13
184,致同,12
185,瑞信,12
186,靖安,12
187,并网,12
188,海瑞,12
189,联合开发,12
190,山,12
191,装机,12
192,自产,12
193,施工,12
194,其他费用,12
195,柴旦明,12
196,丹瑞,12
197,经济损失,12
198,贤,12
199,郑州,12
200,揭阳,12
201,民事裁定,12
202,国信,12
203,叶县,11
204,靖边,11
205,榆林,11
206,工程项目,11
207,发电量,11
208,预警,11
209,定制,11
210,容量,11
211,人工成本,11
212,胡吉吐,11
213,莫,11
214,粤财,11
215,市吉瑞,11
216,每笔,11
217,任明阳,11
218,招商,11
219,瑞源,11
220,吐鲁番,11
221,德令哈,11
222,加盖,11
223,授权代表,11
224,专用章,11
225,余杭区,11
226,元及,11
227,兆瓦,10
228,明阳龙源,10
229,控制系统,10
230,叶轮,10
231,网,10
232,电力工程,10
233,攀枝花,10
234,锡铁山,10
235,将军,10
236,主机,10
237,塔筒,10
238,生命周期,10
239,直径,10
240,抗,10
241,检测,10
242,明物,10
243,开物,10
244,回收站,10
245,维修,10
246,生物,10
247,经营收入,10
248,大庆,10
249,乌海,10
250,抵押权人,10
251,丰源,10
252,主轴,10
253,梁才,9
254,湛江,9
255,珠海,9
256,青,9
257,电网,9
258,宁夏,9
259,流沙,9
260,坪,9
261,建设工程,9
262,电,9
263,水电,9
264,宏润,9
265,胡镇,9
266,招股,9
267,昌盛,9
268,异议,9
269,质量保证,9
270,地方税务局,9
271,证书编号,9
272,小型,9
273,微利,9
274,布尔津,9
275,电投,9
276,河北,9
277,中投,9
278,方城,9
279,书,9
280,蕙,8
281,瑞科,8
282,吉瑞,8
283,电价,8
284,德兴,8
285,尖山,8
286,骅南,8
287,长坡岭,8
288,媒体,8
289,陆上,8
290,采购部,8
291,下发,8
292,商务,8
293,大功率,8
294,半直,8
295,海南,8
296,信用证,8
