,分词排序,词频
0,电建,688
1,建设,491
2,电力,370
3,水电,281
4,工程,250
5,水利水电,156
6,勘测,130
7,房地产,113
8,工程局,112
9,发电,106
10,能源,59
11,顾问,58
12,四川,57
13,扶贫,56
14,电,53
15,基础设施,50
16,建筑施工,49
17,信息,48
18,装备,48
19,免征,44
20,工程施工,43
21,成都,43
22,常委,43
23,建造,42
24,北京,40
25,减半,40
26,地产,39
27,云南,39
28,高新技术,37
29,设计院,37
30,上海,36
31,山东电力,36
32,环境,35
33,证书编号,35
34,同属,34
35,风电,32
36,国务院,29
37,土地,28
38,水利,28
39,风力,28
40,施工,27
41,江西省,26
42,电站,25
43,资本金,25
44,能源开发,24
45,生物,24
46,新能源,24
47,海淀区,23
48,水,23
49,脱贫,23
50,国资委,22
51,建筑,22
52,南盘江,22
53,规划设计,21
54,光伏,21
55,昆明,21
56,复审,21
57,科技,20
58,贵州,20
59,华东,20
60,中南,20
61,高速公路,20
62,水电工程,20
63,重庆,20
64,一带,19
65,一路,19
66,建设工程,19
67,第十四,19
68,武汉,18
69,制造,18
70,生态,18
71,铁路,18
72,环保,18
73,郑州,18
74,晏志勇,17
75,材料,17
76,勘察,17
77,一体化,17
78,环境治理,17
79,建筑业,17
80,燃气,17
81,轨道交通,17
82,甘肃,17
83,贵阳,17
84,划转,17
85,银行,16
86,路桥,16
87,电投,16
88,定点,16
89,开发成本,16
90,数据,15
91,河北,15
92,信托,15
93,水务,15
94,工程建设,14
95,水电站,14
96,水资源,14
97,建,14
98,核电,14
99,西北,14
100,注入,14
101,云南省,14
102,孙,14
103,退,14
104,风电场,14
105,万千瓦,13
106,河南省,13
107,融资券,13
108,排放,13
109,该类,13
110,广东,13
111,陕西省,13
112,崇信,13
113,国资,13
114,资源,12
115,流域,12
116,结构调整,12
117,电网,12
118,教育,12
119,总院,12
120,纪委,12
121,湖北,12
122,工程项目,11
123,公共,11
124,装机容量,11
125,雄安,11
126,久隆,11
127,中央,11
128,海外投资,11
129,中外,11
130,权属,11
131,糯租,11
132,凤凰,11
133,谷,11
134,长沙市,11
135,天津,11
136,璀,11
137,江西,11
138,即征,11
139,河南,11
140,传统,10
141,指数,10
142,西部,10
143,建筑工程,10
144,银行贷款,10
145,辅业,10
146,江苏,10
147,华亭,10
148,股息,10
149,部副,10
150,河水,10
151,代收,10
152,西昌市,10
153,管道工程,10
154,唐定,9
155,国有资产,9
156,车公庄,9
157,网站,9
158,火电,9
159,清洁,9
160,南国,9
161,绿色,9
162,京津冀,9
163,子,9
164,十九,9
165,签合同,9
166,三是,9
167,竣工,9
168,融通,9
169,反诉,9
170,南京,9
171,中水,9
172,可回收,9
173,建筑物,9
174,吉林省,9
175,湖北省,9
176,金具,9
177,徐冬根,8
178,天运,8
179,监督管理,8
180,监理,8
181,西路,8
182,亿千瓦,8
183,太阳能,8
184,专用设备,8
185,经营权,8
186,长江,8
187,配置,8
188,建水,8
189,攻坚战,8
190,成效,8
191,落地,8
192,新加坡,8
193,油气,8
194,质保金,8
195,代,8
196,建外,8
197,解聘,8
198,国信,8
199,诚通,8
200,开放式,8
201,股占,8
202,戴德明,8
203,纪委书记,8
204,浙江,8
205,工作部,8
206,领导人员,8
207,局长,8
208,中铁,8
209,源,8
210,除以,8
211,美姑,8
212,期未到,8
213,德国,8
214,特许权,7
215,承包商,7
216,业主,7
217,容量,7
218,商业模式,7
219,统筹,7
220,新兴,7
221,金融机构,7
222,机组,7
223,公路,7
224,参与者,7
225,面积,7
226,八局,7
227,私募,7
228,东北,7
229,老挝,7
230,东凌,7
231,悦茂,7
232,攻坚,7
233,干部,7
234,工会,7
235,排污,7
236,环境保护,7
237,诺德,7
238,院长,7
239,西安,7
240,人力资源部,7
241,青海省,7
242,盐业,7
243,暂行办法,7
244,选取,7
245,生产费,7
246,精算,7
247,哈密,7
248,吴忠市,7
249,重工,7
250,西城区,6
251,水利电力,6
252,装机,6
253,住宅,6
254,建设期,6
255,竞争能力,6
256,经济带,6
257,军民,6
258,再生能源,6
259,着力,6
260,国际化,6
261,稳步,6
262,属地化,6
263,全球化,6
264,贯彻,6
265,党中央,6
266,部署,6
267,位列,6
268,荣获,6
269,健康,6
270,燃煤,6
271,重大项目,6
272,四是,6
273,深化,6
274,折旧费,6
275,拆迁,6
276,动力,6
277,商品房,6
278,南欧,6
279,江,6
280,未达,6
281,杭州,6
282,港航,6
283,清理,6
284,项目管理,6
285,无条件,6
286,本部,6
287,群众,6
288,节能,6
289,检测,6
290,市政工程,6
291,总经济师,6
292,法律顾问,6
293,党组,6
294,国电,6
295,样本,6
296,乾年,6
297,转持,6
298,价,6
299,毁损,6
300,带薪,6
301,缺勤,6
302,桥,6
303,山,6
304,长春,6
305,贵州省,6
306,吉林市,6
307,生物性,6
308,西安市,6
309,天津市,6
310,昆明市,6
311,水力发电,6
312,河北省,6
313,北京华,6
314,科软,6
315,移交,5
316,签约,5
317,承包工程,5
318,工期,5
319,共享,5
320,分包,5
321,监测,5
322,技术标准,5
323,综合性,5
324,大中型,5
325,垃圾,5
326,机械,5
327,懂水熟,5
328,三大,5
329,融入,5
330,关键技术,5
331,资源配置,5
332,发起,5
333,金融服务,5
334,证券化,5
335,财富,5
336,抽水,5
337,蓄能,5
338,第位,5
339,把握,5
340,市政,5
341,并网,5
342,市政建设,5
343,第十六,5
344,华能,5
345,太平,5
346,驿,5
347,矿业,5
348,管廊,5
349,派发,5
350,担保责任,5
351,无效,5
352,铁塔,5
353,洺,5
354,保山,5
355,槟榔,5
356,江水,5
357,资金周转,5
358,打赢,5
359,驻村,5
360,烟尘,5
361,氮氧化物,5
362,二氧化硫,5
363,电厂,5
364,博时,5
365,建信,5
366,王斌,5
367,韩方,5
368,吴太石,5
369,李燕明,5
370,总会计师,5
371,海南省,5
372,副会长,5
373,调度,5
374,监察部,5
375,外事局,5
376,年薪制,5
377,表时,5
378,低值易耗品,5
379,建筑安装,5
380,办公设备,5
381,消耗性,5
382,合同规定,5
383,当局,5
384,五一,5
385,西藏,5
386,大理,5
387,聚能,5
388,所得税法,5
389,号本,5
390,税务局,5
391,运风,5
392,号期,5
393,远期,5
394,临江,5
395,冀交,5
396,都江堰,5
397,机器设备,5
398,电器设备,5
399,付款条件,5
400,十四年,5
401,计息,5
402,透平,5
403,发电设备,5
404,投资总额,5
405,开户,5
406,栾军,4
407,供给,4
408,投标,4
409,综合治理,4
410,工程技术,4
411,座,4
412,朝阳区,4
413,一次性,4
414,规程,4
415,顺利,4
416,大湾,4
417,承建,4
418,提质,4
419,国家有关,4
420,旗下,4
421,核心技术,4
422,创新型,4
423,文明,4
424,填补,4
425,高质量,4
426,重点项目,4
427,陕西,4
428,快,4
429,荣誉,4
430,湖南,4
431,放缓,4
432,投产,4
433,发电量,4
434,巴基斯坦,4
435,沿线,4
436,老,4
437,贯彻落实,4
438,市场营销,4
439,非洲,4
440,比该,4
441,使用费,4
442,川,4
443,境,4
444,外债,4
445,亿美元,4
446,近期,4
447,出台,4
448,稳,4
449,污染,4
450,港,4
451,属性,4
452,数年,4
453,阿坝,4
454,华刚,4
455,基建,4
456,污水处理,4
457,国有企业,4
458,改制,4
459,清晰,4
460,存续,4
461,代付,4
462,高级人民法院,4
463,悦锦府,4
464,基准利率,4
465,大唐,4
466,重庆市,4
467,中储,4
468,启润,4
469,党委政府,4
470,人次,4
471,建档立卡,4
472,贫困,4
473,甘肃省,4
474,超低,4
475,应急,4
476,号文,4
477,增至,4
478,鞍钢,4
479,金控,4
480,国新,4
481,市值,4
482,证央企,4
483,华夏,4
484,中证央企,4
485,工商银行,4
486,户,4
487,月底,4
488,洪水,4
489,裴真,4
490,明,4
491,党代会,4
492,人年,4
493,安,4
494,通信,4
495,电力公司,4
496,国家电网,4
497,审计部,4
498,发展部,4
499,经营部,4
500,发,4
501,经理层,4
502,各子,4
503,索赔,4
504,中央银行,4
