,分词排序,词频
0,力帆,413
1,汽车,406
2,重庆力帆,336
3,重庆,274
4,大华,204
5,审,196
6,新能源,148
7,摩托车,127
8,实业集团,117
9,乘用车,108
10,上海,104
11,盼达,90
12,房地产,81
13,重庆市,75
14,能源,60
15,信息,58
16,万辆,54
17,发动机,45
18,银行,43
19,移峰,42
20,张家港,38
21,制造,37
22,废气,37
23,排放,32
24,整车,31
25,保税区,31
26,汽车城,31
27,土地,29
28,工程,28
29,无线,27
30,绿洲,27
31,配件,27
32,北碚区,26
33,两江,26
34,通信,25
35,建设,24
36,尹明善,23
37,产销,22
38,车辆,22
39,内燃机,22
40,数据,21
41,科技,21
42,河南,21
43,节六本,20
44,陈巧凤,19
45,环境,18
46,成都,18
47,西藏,18
48,乌拉圭,18
49,新设,18
50,电动汽车,17
51,俄罗斯,17
52,三轮,16
53,深圳,16
54,新帆,15
55,联营公司,15
56,济源,15
57,长春,14
58,零部件,14
59,机械设备,14
60,智能,14
61,软件,14
62,电动车,14
63,厂区,14
64,工业,14
65,渝,14
66,越南,14
67,限售期,14
68,陈卫,13
69,尹喜,13
70,扬帆,13
71,天津,13
72,北京,13
73,武汉,13
74,尹索微,12
75,车,12
76,动力,12
77,电喷,12
78,建筑物,12
79,废水,12
80,污水,12
81,树民车业,12
82,江门,12
83,气派,12
84,郑州,12
85,杭州,12
86,苏州,12
87,南京,12
88,昆明,12
89,生物,12
90,机械,11
91,北部,11
92,收储,11
93,环保,11
94,污染物,11
95,海博,11
96,瑞德,11
97,绵阳,11
98,广州,11
99,巴西,11
100,建造,11
101,土耳其,11
102,进口,10
103,电,10
104,剥离,10
105,埃塞俄比亚,10
106,应急,10
107,排污,10
108,车间,10
109,西安,10
110,雷亚尔,10
111,牟刚,9
112,叶,9
113,周,9
114,兴华,9
115,网站,9
116,电动,9
117,消费者,9
118,回售,9
119,排入,9
120,噪声,9
121,墨西哥,9
122,当日,9
123,里拉,9
124,卢布,9
125,出差,8
126,谭冲,8
127,汽车产业,8
128,汽油机,8
129,充换,8
130,车型,8
131,材料,8
132,开具,8
133,咨询服务,8
134,金融服务,8
135,信用证,8
136,有名,8
137,反担保,8
138,检测,8
139,信托,8
140,工程师,8
141,控制系统,8
142,汇洋,8
143,山东,8
144,恒宇,8
145,电子商务,8
146,概念,8
147,出租汽车,8
148,人牟刚,8
149,大道,7
150,开园,7
151,土地储备,7
152,驾驶,7
153,人工,7
154,西部,7
155,污水处理,7
156,男否,7
157,润港,7
158,新加坡,7
159,速,7
160,骓,7
161,外贸,7
162,汇川,7
163,轰轰,7
164,烈,7
165,顿多,7
166,金融机构,7
167,比尔,7
168,陈,6
169,雪松,6
170,售后服务,6
171,物流,6
172,金开,6
173,搬迁,6
174,自动,6
175,平行,6
176,进口车,6
177,获授,6
178,履行期,6
179,环境保护,6
180,烘干,6
181,危险废物,6
182,常务,6
183,网络科技,6
184,中科,6
185,丰顺,6
186,万光,6
187,信息技术,6
188,盼宝,6
189,层面,6
190,油气,6
191,沙坪坝区,6
192,教育费,6
193,毫升,6
194,计征,6
195,越南盾,6
196,王延辉,5
197,新厂区,5
198,通用,5
199,混合,5
200,排量,5
201,四方,5
202,权利义务,5
203,作价,5
204,顺应,5
205,国有土地,5
206,收购价格,5
207,权证,5
208,信誉,5
209,智能化,5
210,盼,5
211,用车,5
212,产业园,5
213,首个,5
214,专利权,5
215,系列产品,5
216,定期存款,5
217,长嘉,5
218,第十三次,5
219,收集,5
220,大气,5
221,涂装,5
222,大气污染,5
223,物排放,5
224,厂界,5
225,固体废物,5
226,许可证,5
227,户,5
228,汤晓东,5
229,杨波,5
230,研制,5
231,润田,5
232,工商大学,5
233,理工大学,5
234,蓝洋,5
235,灵胜,5
236,精,5
237,益精,5
238,信息产业,5
239,喜,5
240,专博,5
241,授信额度,5
242,泰国,5
243,意大利,5
244,同类,5
245,退税率,5
246,本节,5
247,第一名,5
248,第二名,5
249,第三名,5
250,第四名,5
251,第五名,5
252,河南省,5
253,泰铢,5
254,比索,5
255,第二个,5
256,之日个,5
257,业绩考核,5
258,岳川,4
259,直销,4
260,燃油,4
261,消费,4
262,大排量,4
263,房产,4
264,营运,4
265,整治,4
266,用地,4
267,商标权,4
268,数较,4
269,环境影响,4
270,工厂,4
271,辆,4
272,国际贸易,4
273,第五次,4
274,第十四次,4
275,环保局,4
276,吸附,4
277,喷粉,4
278,净化,4
279,装置,4
280,废,4
281,竣工,4
282,环,4
283,监测,4
284,中证,4
285,指数,4
286,郝廷,4
287,木叶,4
288,董旭,4
289,在内,4
290,牌,4
291,否否否,4
292,谢非,4
293,商会,4
294,摩宝,4
295,博士,4
296,女年,4
297,涪陵市,4
298,物业管理,4
299,润腾,4
300,济康,4
301,润禄,4
302,力聚,4
303,账务,4
304,七七,4
305,中央银行,4
306,订立,4
307,嵌入,4
308,或重,4
309,低值易耗品,4
310,以换,4
311,其他支出,4
312,日以,4
313,机器设备,4
314,开发费,4
315,资源,4
316,退休,4
317,内退,4
318,模型,4
319,万铢,4
320,注本,4
321,距,4
322,期个,4
323,第一个,4
324,以年,4
325,高新,4
326,土储,4
327,马可,3
328,李明,3
329,轿车,3
330,多用途,3
331,联系人,3
332,联系方式,3
333,郭,3
334,剑锋,3
335,蔡家岗镇,3
336,凤栖路,3
337,第四季度,3
338,一次性,3
339,办事处,3
340,终端,3
341,中国汽车工业协会,3
342,统计数据,3
343,免征,3
344,年底,3
345,充电,3
346,万个,3
347,运动,3
348,占地面积,3
349,约亩,3
350,网络,3
351,足额,3
352,信用等级,3
353,电池,3
354,传统,3
355,电贩柜,3
356,联网,3
357,前列,3
358,抵消,3
359,投资总额,3
360,出行,3
361,尹索,3
362,向名,3
363,代偿,3
364,环保部门,3
365,劳动合同,3
366,预处理,3
367,磷化,3
368,电泳,3
369,污染源,3
370,表面,3
371,工序,3
372,油烟,3
373,选用,3
374,固废,3
375,垃圾,3
376,交由,3
377,污染,3
378,防治,3
379,环境污染,3
380,三家,3
381,主管部门,3
382,碚,3
383,救援,3
384,华润,3
385,深国投,3
386,体育,3
387,金融业务,3
388,电器,3
389,仪器仪表,3
390,徐世伟,3
391,陈煦江,3
392,刘颖,3
393,女否,3
394,庹永贵,3
395,魏琨,3
396,总会计师,3
397,政工师,3
398,瑞,3
399,重庆市政协,3
400,工会主席,3
401,广东,3
402,会计学,3
403,渝北区,3
404,业务经理,3
405,厂长,3
406,修理,3
407,通机,3
408,人力资源部,3
409,小额贷款,3
410,盛享,3
411,巨橙,3
