,分词排序,词频
0,出版,266
1,科技,151
2,北京,110
3,图书,89
4,传媒,86
5,银行,74
6,科学,72
7,期刊,71
8,信息,49
9,出版物,46
10,科学出版社,45
11,文化,45
12,中国科学院,43
13,工程,39
14,中科,36
15,教育,30
16,种,30
17,资源,30
18,池,29
19,中科院,25
20,生物,24
21,建设,22
22,新闻出版,20
23,印刷,20
24,数据,19
25,房地产,19
26,科技期刊,19
27,编辑,18
28,国科,17
29,材料,17
30,电子,16
31,退货,16
32,上海,15
33,传播,15
34,出版业务,14
35,杂志社,14
36,健康,14
37,服务平台,14
38,版权,14
39,入选,14
40,丛书,14
41,石强,12
42,学科,12
43,医疗,12
44,评选,12
45,成都,12
46,扶贫,12
47,中宣部,11
48,社会效益,11
49,学术,11
50,英文版,11
51,零售,11
52,土地,11
53,高质量,10
54,数字化,10
55,出版业,10
56,荣获,10
57,科普,10
58,教材,10
59,书局,10
60,南京,10
61,分社,10
62,东京,9
63,出版社,9
64,通报,9
65,教学,9
66,结构性,9
67,化学,9
68,四川,9
69,光电,9
70,大信,8
71,策划,8
72,传统,8
73,数据库,8
74,广电总局,8
75,基金项目,8
76,评论,8
77,报刊,8
78,专业化,8
79,在线,8
80,面向,8
81,进口,8
82,教辅,8
83,科海,8
84,新世纪,8
85,展览,8
86,免征,8
87,广州,8
88,京东方,8
89,人林鹏,8
90,日元,8
91,建筑物,8
92,建造,8
93,东城区,7
94,高水平,7
95,学术期刊,7
96,志,7
97,集聚,7
98,状元,7
99,新闻,7
100,称号,7
101,上线,7
102,志库,7
103,人才队伍,7
104,宣传,7
105,环境,7
106,课程,7
107,万册,7
108,中国建设银行,7
109,伟业,7
110,王燕,6
111,知识库,6
112,教师,6
113,临床,6
114,医库,6
115,荣誉,6
116,文献,6
117,分子,6
118,社会主义,6
119,绿色,6
120,文化产业,6
121,一体化,6
122,龙腾,6
123,八方,6
124,新兴,6
125,图文,6
126,中信银行,6
127,残疾人,6
128,所属单位,6
129,经纪,6
130,演出,6
131,信息技术,6
132,刘,6
133,荣光,6
134,纽约,6
135,编辑室,6
136,党组,6
137,软件,6
138,长春,6
139,油气,6
140,东黄,5
141,城根,5
142,北街,5
143,两刊,5
144,智库,5
145,爱一课,5
146,共享,5
147,课堂,5
148,医学,5
149,贯彻落实,5
150,中央,5
151,放在首位,5
152,输出,5
153,政府奖,5
154,出版单位,5
155,首都,5
156,重大项目,5
157,奖,5
158,英文,5
159,外译,5
160,刊,5
161,专业知识,5
162,资源管理,5
163,码洋,5
164,旅游,5
165,承办,5
166,深化改革,5
167,转制,5
168,自本,5
169,科创,5
170,张勇,5
171,陈宋生,5
172,总编辑,5
173,上任,5
174,社长,5
175,书店,5
176,版龄,5
177,分支机构,5
178,科瀚,5
179,社会科学,5
180,择优,5
181,林鹏,4
182,人民邮电出版社,4
183,社科,4
184,网络,4
185,植物,4
186,动物,4
187,学生,4
188,经济效益,4
189,供给,4
190,院士,4
191,队伍,4
192,国家级,4
193,常务,4
194,立足,4
195,一支,4
196,思想,4
197,精品,4
198,青春期,4
199,位居,4
200,科技知识,4
201,案例库,4
202,智能,4
203,登峰,4
204,行动计划,4
205,管理系统,4
206,国际化,4
207,集群,4
208,科研,4
209,互联网,4
210,电子商务,4
211,网络化,4
212,走,4
213,读者,4
214,图书馆,4
215,无年,4
216,定期存款,4
217,纸张,4
218,文化教育,4
219,延续,4
220,事业单位,4
221,保,4
222,人工智能,4
223,业绩考核,4
224,环保,4
225,清理,4
226,北京东方,4
227,科龙,4
228,中国银行,4
229,北京市高级人民法院,4
230,助力,4
231,和谐,4
232,排污,4
233,转持,4
234,高毅,4
235,国有资产,4
236,赵铭,4
237,赵西卜,4
238,副总,4
239,科仪,4
240,现已,4
241,副社长,4
242,武汉,4
243,创业投资,4
244,暂行办法,4
245,离退休,4
246,调动,4
247,积极性,4
248,中央银行,4
249,低值易耗品,4
250,中小学,4
251,结果表明,4
252,售出,4
253,索取,4
254,率及,4
255,学士,4
256,小型,4
257,微利,4
258,社保,4
259,教育费,4
260,虚拟现实,4
261,生命科学,4
262,馆,4
263,文化传媒,4
264,基准,3
265,登记日,3
266,登记在册,3
267,社,3
268,美国公司,3
269,工业,3
270,张凡,3
271,媒体,3
272,人文,3
273,严密,3
274,选题,3
275,科爱森,3
276,蓝,3
277,自然科学,3
278,权威性,3
279,集成,3
280,文库,3
281,视频,3
282,学校,3
283,知名,3
284,康复,3
285,基调,3
286,侧,3
287,主题,3
288,素数,3
289,见证,3
290,诸多,3
291,新闻出版署,3
292,评为,3
293,获奖,3
294,图书奖,3
295,期刊奖,3
296,多样性,3
297,马克思主义,3
298,经典,3
299,资源优势,3
300,院长,3
301,因子,3
302,杂志,3
303,百强,3
304,诊断,3
305,治疗,3
306,力,3
307,三大,3
308,各学科,3
309,习近平,3
310,党,3
311,十九,3
312,抓手,3
313,五大,3
314,能源,3
315,数学,3
316,垂直,3
317,在线教育,3
318,端,3
319,医院,3
320,全民,3
321,成效,3
322,编录,3
323,储运,3
324,系年,3
325,出版发行,3
326,报纸,3
327,咨询服务,3
328,体制改革,3
329,先征,3
330,深化,3
331,领导,3
332,出版事业,3
333,著作权,3
334,素养,3
335,在内,3
336,贯彻,3
337,党的领导,3
338,聚力,3
339,活力,3
340,信息化,3
341,夯实,3
342,侵权,3
343,设置,3
344,积极参与,3
345,三十六个,3
346,示,3
347,中国光大银行,3
348,是否是,3
349,脱贫,3
350,主管部门,3
351,部署,3
352,公益事业,3
353,积极开展,3
354,青海,3
355,贫困地区,3
356,使命,3
357,追求,3
358,车间,3
359,社会保障,3
360,理事会,3
361,一户,3
362,户,3
363,香港,3
364,连锁,3
365,复制,3
366,文艺创作,3
367,表演,3
368,广播,3
369,电视节目,3
370,影视节目,3
371,艺术交流,3
372,展示,3
373,礼仪,3
374,电影,3
375,摄制,3
376,联想,3
377,继栓,3
378,李迟善,3
379,彭斌,3
380,立新,3
381,陈炎顺,3
382,徐劲科,3
383,冯玲,3
384,李锋,3
385,陈亮,3
386,闫,3
387,向东,3
388,兰州,3
389,所长,3
390,泸州,3
391,光机,3
392,实业集团,3
393,龙门,3
394,重庆,3
395,高阳,3
396,金信,3
397,工会,3
398,稽核,3
399,联泓,3
400,万方数据,3
401,召集,3
402,通讯,3
403,保费,3
404,准备金,3
405,王燕年,3
406,量化,3
407,计算方法,3
408,高教,3
409,保险费,3
410,附有,3
411,政策性,3
412,外地,3
413,税收政策,3
414,结清,3
415,消耗性,3
416,办公楼,3
417,装修,3
418,总署,3
419,科学技术委员会,3
420,科技人才,3
421,青少年,3
422,实践,3
423,科协,3
424,青年,3
425,希望,3
426,科传,2
427,一本,2
428,阐述,2
429,人邮社,2
430,中文,2
431,外文,2
432,电子信箱,2
433,网址,2
434,网站,2
435,曙光,2
436,中银国际,2
437,非金融,2
438,自然灾害,2
439,显失,2
440,一次性,2
441,综合性,2
442,医学教育,2
443,高层次,2
444,严肃,2
445,定位,2
446,编辑出版,2
447,基础理论,2
448,订阅,2
449,最新,2
450,努力实现,2
451,稳中求进,2
452,品牌优势,2
453,科研成果,2
454,呦,2
455,一大批,2
456,科学事业,2
457,一路,2
458,国家版权局,2
459,精神文明,2
460,颁发,2
461,文明单位,2
462,位列,2
463,前列,2
464,国家自然科学奖,2
465,一等奖,2
466,进步奖,2
467,共有,2
468,原创,2
469,中共,2
470,红色,2
471,名录,2
472,脊椎动物,2
473,精学,2
474,导读,2
475,强大,2
476,收录,2
477,主办,2
478,白春礼,2
479,主编,2
480,综合类,2
481,刊种,2
482,专业性,2
483,奠定,2
484,视野,2
485,开展业务,2
486,氮化物,2
487,宽禁带,2
488,半导体,2
489,电子器件,2
490,白垩纪,2
491,松辽盆地,2
492,松科,2
493,井,2
494,大陆,2
495,钻探,2
496,肿瘤,2
497,个体化,2
498,电性,2
499,源瞬变,2
500,电磁,2
501,测深,2
502,第十七届,2
503,输,2
504,商务部,2
505,文化部,2
506,变革,2
507,汇集,2
508,名家,2
509,领军,2
510,持续增长,2
511,数理逻辑,2
512,基本原理,2
513,形式演算,2
514,版土压,2
515,盾构,2
516,电液,2
517,控制技术,2
518,生药学,2
519,第三版,2
520,作物,2
521,学报,2
522,提名奖,2
523,生命,2
524,奥秘,2
525,二等奖,2
526,科技部,2
527,作品,2
528,奇遇记,2
529,携手,2
530,度过,2
531,写给,2
532,女生,2
533,家长,2
534,大自然,2
535,礼物,2
536,空气,2
537,水,2
538,旅种,2
539,科技类,2
540,刊物,2
541,排名,2
542,地球科学,2
543,材料科学,2
544,智能化,2
545,电子书,2
546,已有,2
547,权威,2
548,现实,2
549,考试,2
550,直播,2
551,商城,2
552,模块,2
553,余门,2
554,题库,2
555,几十万,2
556,教学资源,2
557,终端,2
558,卫生,2
559,教育领域,2
560,致力于,2
561,聚合,2
562,体验,2
563,一款,2
564,黄冈,2
565,线下,2
566,线上,2
567,整套,2
568,万人,2
569,多媒体,2
570,聚集,2
571,商业模式,2
572,不断创新,2
573,日渐,2
574,数码,2
575,印刷技术,2
576,纸本,2
577,流量,2
578,二非,2
579,机,2
580,概况,2
581,课本,2
582,类图书,2
583,市场占有率,2
584,本科,2
585,科研人员,2
586,大众,2
587,中介,2
588,印刷品,2
589,重要文件,2
590,充分体现,2
591,党和国家,2
592,环节,2
593,信心,2
594,划入,2
595,监督管理,2
596,战略目标,2
597,全面实施,2
598,系统化,2
599,形态,2
600,充分利用,2
601,两种,2
602,干部,2
603,人才培养,2
604,多元化,2
605,政治,2
606,核心作用,2
607,激发,2
608,动力,2
609,动能,2
610,规范化,2
611,宏观政策,2
612,顶尖,2
613,工程技术,2
614,专业技能,2
615,举措,2
616,精细,2
617,规章制度,2
618,挑战,2
619,来看,2
620,消费者,2
621,国外,2
622,盗版,2
623,打击,2
624,明确规定,2
625,应有,2
626,收购人,2
627,自持,2
628,前所持,2
629,合资经营,2
630,促使,2
631,公平合理,2
632,违背,2
633,承担责任,2
634,后果,2
635,并列,2
