,分词排序,词频
0,锚链,114
1,亚星,97
2,江苏,89
3,系泊,61
4,链,56
5,银行,54
6,镇江,50
7,正茂,48
8,靖江,45
9,信息,44
10,制造,40
11,船舶,37
12,工程,36
13,安祥,34
14,高强度,32
15,船用,28
16,海洋工程,27
17,链业,24
18,房地产,23
19,海洋,23
20,附件,23
21,靖江市,22
22,数据,22
23,陶,21
24,重工,21
25,马鞍山,17
26,装备,17
27,海工,15
28,公证,14
29,土地,14
30,天业,13
31,造船,13
32,生物,13
33,王桂琴,12
34,石油,12
35,钢材,11
36,江北,11
37,祥兴,11
38,材料,11
39,油气,11
40,超高,11
41,强度,11
42,航运,10
43,远期,10
44,外汇,10
45,人陶,10
46,计算机,9
47,后勤,9
48,财富,9
49,券商,9
50,深海,9
51,复苏,8
52,焊接,8
53,建华,8
54,列入,8
55,银河证券,8
56,扶贫,8
57,泰州市,8
58,建造,8
59,被套,8
60,东兴镇,7
61,规格,7
62,建设,7
63,去年同期,7
64,链及,7
65,润丰,7
66,村镇,7
67,环境,7
68,零星,7
69,何欣,6
70,周期性,6
71,新船,6
72,何德村,6
73,船舶工业,6
74,能源,6
75,海运,6
76,农村,6
77,陶兴,6
78,陶媛,6
79,上海浦东发展银行,6
80,中信银行,6
81,金山,6
82,凭证,6
83,润州,6
84,聚宝,6
85,陶良凤,6
86,高新技术,6
87,董秘,5
88,网站,5
89,非金融,5
90,热处理,5
91,船级社,5
92,施,5
93,江阴,5
94,公司员工,5
95,利多,5
96,中信,5
97,宝溢融,5
98,脱贫,5
99,郭连春,5
100,吴汉岐,5
101,企业家,5
102,舟山,5
103,苏公号,5
104,验资,5
105,退休,5
106,第五次,5
107,锚泊,5
108,原油价格,4
109,结售汇,4
110,肖,4
111,莉莉,4
112,钢材价格,4
113,高位,4
114,海上,4
115,车间,4
116,深水,4
117,链吨,4
118,减幅,4
119,辅料,4
120,人工工资,4
121,退税,4
122,有价证券,4
123,商业银行,4
124,企业法人,4
125,东兴,4
126,之共赢,4
127,交通银行,4
128,排污,4
129,镇江市,4
130,李,4
131,汉明,4
132,沈义成,4
133,科技,4
134,泰州,4
135,评定,4
136,额外,4
137,运单,4
138,中央银行,4
139,中国人民银行,4
140,中间价,4
141,另一方,4
142,换,4
143,投出,4
144,建筑物,4
145,非专利,4
146,保险费,4
147,归类,4
148,荣成市,4
149,神飞,4
150,五洲,4
151,修造厂,4
152,福建,4
153,福宁,4
154,预提,4
155,表彰,4
156,安徽,4
157,呈现,3
158,对冲,3
159,机械,3
160,上海,3
161,顾,3
162,工序,3
163,订购,3
164,承接,3
165,载重,3
166,国外,3
167,技术改造,3
168,很大,3
169,获批,3
170,上涨,3
171,国际贸易,3
172,船,3
173,运输设备,3
174,公众,3
175,结汇,3
176,来源于,3
177,陶兴施,3
178,法定程序,3
179,江南,3
180,蕴通,3
181,长江路,3
182,开放,3
183,公益事业,3
184,贫困户,3
185,教育,3
186,行业协会,3
187,就读于,3
188,张卫新,3
189,部副,3
190,陆皓,3
191,顾纪龙,3
192,首届,3
193,科长,3
194,模型,3
195,通讯,3
196,选取,3
197,样本,3
198,保费,3
199,准备金,3
200,何欣年,3
201,表中,3
202,下以,3
203,公平交易,3
204,辨认,3
205,包装物,3
206,低值易耗品,3
207,长期投资,3
208,除净,3
209,中除,3
210,电子,3
211,乘以,3
212,专利技术,3
213,出让,3
214,高度,3
215,之内,3
216,中本,3
217,教育费,3
218,厅,3
219,财政厅,3
220,证书编号,3
221,小型,3
222,微利,3
223,消耗性,3
224,脆性断裂,3
225,商务,3
226,财务部门,3
227,充足,3
228,赊销,3
229,决策者,3
230,负,2
231,波动性,2
232,棒材,2
233,制品,2
234,缓解,2
235,排除,2
236,公司业绩,2
237,证监会,2
238,外文,2
239,电子信箱,2
240,网址,2
241,梽,2
242,朱佑敏,2
243,国信,2
244,代表人,2
245,唐慧敏,2
246,震荡,2
247,自然灾害,2
248,显失,2
249,一次性,2
250,入库,2
251,制链,2
252,大部分,2
253,迎来,2
254,手持,2
255,开采,2
256,较长,2
257,多家,2
258,天然气,2
259,主持,2
260,国家标准,2
261,半潜式,2
262,连接件,2
263,获,2
264,均价,2
265,成本上升,2
266,随之,2
267,发明专利,2
268,水下,2
269,连接,2
270,二非,2
271,提货,2
272,中国进出口银行,2
273,干散货,2
274,表现,2
275,走势,2
276,缓慢,2
277,工程项目,2
278,油价,2
279,接,2
280,大酒店,2
281,吴江,2
282,发起,2
283,挑战,2
284,温和,2
285,抓,2
286,保,2
287,降本增效,2
288,坚定不移,2
289,缩短,2
290,收购人,2
291,此项,2
292,解聘,2
293,农,2
294,商行,2
295,南京,2
296,盛汇,2
297,港湾,2
298,固定资金,2
299,日增,2
300,多悦,2
301,之天,2
302,贫困家庭,2
303,生存,2
304,级别,2
305,尽可能,2
306,和谐,2
307,环境保护部,2
308,门,2
309,环保,2
310,环境保护局,2
311,刘斌,2
312,朱志华,2
313,分会,2
314,会长,2
