,分词排序,词频
0,汽车,633
1,常熟,526
2,汽饰,391
3,饰件,299
4,安通,233
5,林,222
6,零部件,165
7,天津,154
8,常春,152
9,常熟市,145
10,长春,118
11,一汽,98
12,富晟,91
13,沈阳,78
14,小春,72
15,派格,66
16,内饰件,63
17,北京,62
18,罗,52
19,信息,52
20,汽车塑料,49
21,万辆,49
22,科技,46
23,工程,43
24,格瑞纳,42
25,芜湖,39
26,王卫清,38
27,成都,36
28,春秋,36
29,模具,35
30,佛山,33
31,制造,32
32,数据,30
33,威特,29
34,产销,29
35,工业,26
36,房地产,24
37,招股,24
38,银行,23
39,机关,23
40,触发,23
41,材料,22
42,长春市,20
43,派阁,20
44,整车厂,20
45,自动,19
46,建筑物,19
47,人罗,18
48,慈善,18
49,基金会,18
50,江苏,18
51,换届,18
52,卸任,18
53,中信,17
54,沈阳市,17
55,扶贫,17
56,反馈,16
57,麦凯瑞,16
58,上海,16
59,新能源,16
60,股可,15
61,得利,15
62,常源,15
63,苏春,15
64,外饰,15
65,商品销售,15
66,苏州市,14
67,凯,14
68,总成,14
69,宁波,13
70,乘用车,13
71,约束力,13
72,年报,13
73,罗正芳,12
74,德国,12
75,海虞,12
76,门内,12
77,商用车,12
78,土地,12
79,社会公众,12
80,建设,11
81,建投,11
82,余姚,11
83,博文,11
84,创业,11
85,智能,11
86,官方网站,11
87,仓库,11
88,农村,10
89,护板,10
90,武清,10
91,建造,10
92,资源,10
93,联新,10
94,经济损失,10
95,生物,10
96,天津市,10
97,吴淼,9
98,内饰,9
99,行政许可,9
100,上饶,9
101,上汽,9
102,奇瑞,9
103,售后服务,9
104,消费,9
105,中国汽车工业协会,9
106,南京,9
107,仓储,9
108,司法机关,9
109,填补,9
110,苏州,9
111,农业银行,9
112,整车,8
113,上饶市,8
114,立信,8
115,奔驰,8
116,通用,8
117,轿车,8
118,自动化,8
119,环保,8
120,汽车行业,8
121,张永明,8
122,吴海江,8
123,特此,8
124,承诺书,8
125,强制性,8
126,期在,8
127,上缴,8
128,收归,8
129,应急,8
130,工程师,8
131,结对,7
132,仪表板,7
133,环节,7
134,同步,7
135,配件,7
136,制造业,7
137,合资,7
138,技术创新,7
139,陶建兵,7
140,文华,7
141,申购,7
142,如该,7
143,第一个,7
144,任职期间,7
