,分词排序,词频
0,华脉,169
1,南京,152
2,江苏,148
3,科技,123
4,框架,82
5,通信,75
6,运营商,72
7,光缆,69
8,工程,62
9,信息,60
10,道康,54
11,北京,46
12,光纤,46
13,再次,36
14,光电,35
15,电信,34
16,智慧,33
17,发电机组,33
18,爱民,29
19,材料,29
20,网络,29
21,建设,29
22,西安,27
23,南京市,26
24,中国电信,23
25,上海,22
26,供货,22
27,我发,20
28,器件,19
29,江宁区,19
30,手机,18
31,华讯,17
32,服务器,17
33,航天,17
34,才华,16
35,信息技术,16
36,制造,16
37,胥,15
38,浙江,15
39,数据,15
40,网络设备,15
41,信息系统,15
42,普天,14
43,光通信,14
44,房地产,14
45,土地,14
46,分路,13
47,连接,13
48,软件,13
49,工业,13
50,人胥,13
51,签订合同,13
52,物理,12
53,天线,12
54,王晓甫,12
55,永拓,11
56,陆玉敏,11
57,光,11
58,无线通信,11
59,销售价格,11
60,网络科技,11
61,银行,11
62,机柜,11
63,业经,11
64,审验,11
65,股东会,11
66,联网,10
67,柜,10
68,人工,10
69,公司财务,10
70,施工,10
71,生物,10
72,验资,10
73,江宁,10
74,物联,9
75,铁塔,9
76,环境,9
77,配线架,9
78,所涉,9
79,吴珩,9
80,窦云,9
81,分纤箱,9
82,众创,8
83,电子,8
84,器,8
85,无源,8
86,最新,8
87,民事诉讼,8
88,学会,8
89,宁波,8
90,按原,8
91,软件技术,7
92,东山,7
93,集中区,7
94,润,7
95,集采,7
96,贵州,7
97,江西,7
98,泰州,7
99,配件,7
100,鞠永宾,7
101,云网,7
102,交流,7
103,姜汉斌,7
104,财政拨款,7
105,梁恒丽,6
106,第五十五,6
107,数据中心,6
108,技术创新,6
109,教育,6
110,名品,6
111,陕西,6
112,笔,6
113,谭斌,6
114,吴体荣,6
115,康原,6
116,该笔,6
117,一案,6
118,一体化,6
119,皮线,6
120,自动,6
121,延续,6
122,智能,6
123,配电箱,6
124,箱,6
125,吴建斌,6
126,签收,6
127,油气,6
128,下该,6
129,建筑物,6
130,沭阳,6
131,亨通,6
132,科技局,6
133,商务局,6
134,商务,6
135,互联网,5
136,无线,5
137,延伸,5
138,广场,5
139,第二季度,5
140,制造业,5
141,信息产业,5
142,基站,5
143,云南,5
144,寸,5
145,光阴,5
146,苏州,5
147,五十五,5
148,主营,5
149,深圳,5
150,通讯,5
151,张国红,5
152,美术,5
153,教学设备,5
154,云向,5
155,下次,5
156,交接,5
157,黄海,5
158,孙小菡,5
159,卫星,5
160,工程师,5
161,社会保险,5
162,天诚,5
163,苏诚会验,5
164,无因,5
165,账,5
166,结清,5
167,电源,4
168,终端,4
169,脉,4
170,中国移动,4
171,中国联通,4
172,发路,4
173,网站,4
174,核查,4
175,高铁,4
176,销售业务,4
177,光无源,4
178,微波,4
179,三大,4
180,发货,4
181,资源,4
182,制造商,4
183,激烈,4
184,降本增效,4
185,信息化,4
186,多媒体,4
187,华泛,4
188,百世,4
189,恒博,4
190,河南,4
191,名家,4
192,讲堂,4
193,谨慎,4
194,定价权,4
195,重于,4
196,姜堰,4
197,人力资源,4
198,张凡鲁仲明,4
199,郑翊磊,4
200,鲁仲明,4
201,各年,4
202,财务预算,4
203,天健,4
204,兴业,4
205,清理,4
206,不含税,4
207,野战,4
208,列头,4
209,节能,4
210,拼装,4
211,架,4
212,托盘,4
213,拉,4
214,职工代表,4
215,恩泽,4
216,弘惠,4
217,南京大学,4
218,仲裁员,4
219,前海元启,4
220,聘用,4
221,中央银行,4
222,装修,4
223,高新技术,4
224,建造,4
225,宁商,4
226,财号,4
227,重点项目,4
