,分词排序,词频
0,禾望,158
1,能源,149
2,科技,139
3,电气,134
4,风电,110
5,孚,82
6,光伏,78
7,变流器,68
8,上海,64
9,尧,61
10,信息,61
11,深圳,59
12,新能源,55
13,发电,52
14,工程,48
15,逆变器,36
16,华创,34
17,金寨,31
18,电站,30
19,平启,30
20,银行,30
21,北京,28
22,禾,27
23,韩玉,26
24,风能,26
25,机组,25
26,电网,24
27,博禾,23
28,沃谷,22
29,电力,22
30,盛小军,22
31,苏州,21
32,风力,21
33,注注,21
34,数据,20
35,制造业,20
36,工程师,19
37,变频器,18
38,物料,18
39,装机容量,18
40,关键技术,18
41,信息技术,16
42,海上,16
43,夏泉波,16
44,肖安波,16
45,太阳能,15
46,网络,15
47,功率,14
48,智能,14
49,自动化,14
50,建设,14
51,禾润,13
52,电子,13
53,电源,13
54,沈阳,13
55,代位权,13
56,湖南,12
57,电控,12
58,土地,12
59,柳国英,12
60,换届,12
61,陈文锋,11
62,电能,11
63,发货,11
64,艾默生,11
65,寇祥河,11
66,建造,11
67,张北,11
68,金寨县,11
69,武威,10
70,盛禾,10
71,并网,10
72,整机,10
73,集散,10
74,检测,10
75,厂商,10
76,绿色,10
77,张瑛,9
78,机电,9
79,金阳,9
80,海安,9
81,阳江,9
82,南山区,9
83,房地产,9
84,电气传动,9
85,适应性,9
86,传动,9
87,装备,9
88,万千瓦,9
89,软件,9
90,控制技术,9
91,青岛,9
92,祁和生,9
93,李,9
94,东坡,9
95,东莞,8
96,压,8
97,逆变,8
98,环境,8
99,通辽,8
100,浦发银行,8
101,新安,8
102,项目经理,8
103,生物,8
104,不获,8
105,宜昌市,8
106,湘电,7
107,盐城,7
108,博润,7
109,伏望,7
110,金禾,7
111,伏阳,7
112,制造,7
113,集中式,7
114,参照,7
115,装机,7
116,亿千瓦,7
117,拆,7
118,湖北,7
119,软件产品,7
120,大容量,7
121,住房,7
122,宁夏,7
123,广发,7
124,桃园,7
125,柳国,7
126,郑,7
127,大鹏,7
128,嘉禾,6
129,天健,6
130,电,6
131,投标,6
132,再生能源,6
133,系统集成,6
134,高性能,6
135,清洁,6
136,运维,6
137,系列化,6
138,高新技术,6
139,转让方,6
140,当月,6
141,其所持,6
142,交易方式,6
143,触发,6
144,屹,6
145,广州,6
146,周党生,6
147,吕一航,6
148,珠海市,6
149,英为,6
150,研制,6
151,学会,6
152,油气,6
153,商业银行,6
154,舜,6
155,曜,6
156,竞拍,6
157,市长,5
158,昊,5
159,盐城市,5
160,发电机,5
161,可靠性,5
162,变换,5
163,电机,5
164,兆瓦,5
165,低压,5
166,控制系统,5
167,分散,5
168,冶金,5
169,轨道交通,5
170,储能,5
171,自动,5
172,评审,5
173,模块,5
174,滤波器,5
175,分布式,5
176,市场占有率,5
177,实验,5
178,产品线,5
179,从业,5
180,颐驰,5
181,十二五,5
182,电平,5
183,通讯,5
184,北方,5
185,为止,5
186,材料,5
187,翀,5
188,伦,5
189,珩,5
190,博,5
191,韬伦,5
192,华电,5
193,兴业银行,5
194,东风,5
195,蔡,5
196,海涛,5
197,网络科技,5
198,任禾,5
199,秘书长,5
200,教育,5
201,保费,5
202,咨询服务,5
203,换取,5
204,嬴伏,5
205,中孚,5
206,中伏,5
207,源于,5
208,北安,4
209,北安市,4
210,转化,4
211,交流电,4
212,装置,4
213,刘济洲,4
214,西丽,4
215,官龙村,4
216,工业区,4
217,网站,4
218,工业,4
219,较强,4
220,已有,4
221,中压,4
222,静止,4
223,无功,4
224,器件,4
225,电路板,4
226,装配,4
227,配置,4
228,市场部,4
229,亿千瓦时,4
230,成熟,4
231,逐年,4
232,高度,4
233,资源,4
234,表现,4
235,高速,4
236,延伸,4
237,产品开发,4
238,健康,4
239,售后服务,4
240,陆上,4
241,比上,4
242,机械,4
243,主流,4
244,机,4
245,人力资源,4
