,分词排序,词频
0,宁波,194
1,乐惠,157
2,啤酒,109
3,南京,82
4,装备,78
5,工程,70
6,精酿,64
7,制造,44
8,黄粤宁,41
9,信息,38
10,机械,37
11,赖云来,35
12,象山县,34
13,饮料,30
14,乳品,29
15,象山,29
16,科技,28
17,机电,27
18,墨西哥,27
19,建造,27
20,无菌,26
21,纳赫,25
22,酿造,25
23,乐惠芬,23
24,谷,22
25,西周,22
26,银行,22
27,保立隆,21
28,液体,20
29,消费,20
30,生物,20
31,德国,19
32,食品,18
33,建设,18
34,环境,18
35,乐利,17
36,灌装,17
37,镇象,17
38,西,17
39,土地,17
40,网络,17
41,环保,17
42,乐盈,15
43,数据,15
44,蒙子,14
45,上海,14
46,网站,14
47,房地产,14
48,高新技术,14
49,车间,14
50,广州,14
51,乐惠西,13
52,机械制造,13
53,印度,13
54,工业园,13
55,系统工程,13
56,江宁,13
57,大目湾,12
58,黄,12
59,东宁,12
60,日新,11
61,流体,11
62,赖夏荣,11
63,排放,11
64,酸洗,11
65,核查,11
66,机械工程,10
67,网址,10
68,高速,10
69,调试,10
70,旅游,10
71,陈小平,10
72,教育经费,10
73,蔡锋,10
74,吴勃,10
75,股东会,10
76,毕劲,9
77,众华,9
78,轻工,9
79,制造业,9
80,绝对额,9
81,非洲,9
82,欧洲,9
83,越来越,9
84,中国银行,9
85,喷漆,9
86,董,9
87,现场会议,9
88,月经,9
89,工程施工,9
90,乐鹰,8
91,工业,8
92,整厂,8
93,俞,8
94,赤军,8
95,污染物,8
96,焊,8
97,下午,8
98,二楼,8
99,会议室,8
100,投票系统,8
101,投票,8
102,单体,8
103,决策者,8
104,商用,7
105,厨房设备,7
106,百威,7
107,在手,7
108,成熟,7
109,材料,7
110,文化,7
111,光明,7
112,王兰,7
113,金水,7
114,鲁保中,7
115,孙杰,7
116,黄莲芳,7
117,张晓波,7
118,陈江,7
119,翁玉梅,7
120,谭好,7
121,张江杰,7
122,环评,7
123,应急,7
124,排污,7
125,工序,7
126,激光,7
127,封头,7
128,噪声,7
129,限售个,7
130,退税,7
131,验资,7
132,自动化,6
133,红,6
134,文旅,6
135,综合体,6
136,工厂,6
137,亚洲,6
138,售后服务,6
139,著名,6
140,饮料包装,6
141,扩建,6
142,乳制品,6
143,目湾,6
144,施工,6
145,红光,6
146,王桦,6
147,向阳,6
148,软件,6
149,油气,6
150,仍为,6
151,达信,6
152,北京,6
153,代理人,6
154,灌装机,5
155,健康,5
156,体验,5
157,酸奶,5
158,奶,5
159,国际化,5
160,拉丁美洲,5
161,食品行业,5
162,结构性,5
163,奶业,5
164,万亿元,5
165,物流,5
166,英博,5
167,喜力,5
168,萧绍瑾,5
169,第十九次,5
170,环保局,5
171,排放口,5
172,李玮晴,5
173,张汉,5
174,于春娟,5
