,分词排序,词频
0,科技,361
1,康尼,263
2,龙昕,206
3,南京,122
4,轨道交通,95
5,廖良茂,93
6,门,91
7,机电,86
8,新能源,82
9,汽车,64
10,银行,52
11,信息,51
12,制造,48
13,智能,47
14,车辆,47
15,装备,42
16,南京市,41
17,零部件,40
18,工程,39
19,电子,37
20,工程学院,36
21,东莞市,35
22,轨道,33
23,以龙昕,32
24,建设,32
25,精机,25
26,城轨,25
27,铁路,23
28,私自,22
29,廖良茂田小琴,22
30,三届,21
31,泰国,21
32,材料,21
33,陈颖奇,20
34,表面,20
35,广东,18
36,长春,18
37,众旺昕,18
38,曾祥洋,18
39,信托,18
40,科技实业,17
41,站台,17
42,塞拉,17
43,数据,17
44,对龙昕,16
45,锦裕源,16
46,顾美华,15
47,北京,15
48,交通,15
49,海潮,15
50,电动,15
51,还本付息,15
52,建造,15
53,江苏,14
54,昕,14
55,厦门,14
56,消费,14
57,公里,14
58,自动门,14
59,苏,13
60,亚金,13
61,诚,13
62,冻结资金,13
63,法国,13
64,安全门,13
65,上海,13
66,线路,13
67,自动化,13
68,土地,13
69,金元,13
70,日为,13
71,中融,13
72,债券市场,13
73,国投,13
74,高新技术,13
75,精密机械,12
76,安徽,12
77,康尼环网,12
78,连接器,12
79,充电,12
80,万公里,12
81,技术创新,12
82,期可,12
83,涉嫌,11
84,装置,11
85,房地产,11
86,配件,11
87,环境,11
88,传统,11
89,事业,11
90,文明,11
91,便利,10
92,重庆,10
93,瑞,10
94,检修,10
95,生物,10
96,康尼指,9
97,电气,9
98,鼓楼区,9
99,高速,9
100,主机厂,9
101,金龙,9
102,客车,9
103,结构件,9
104,万辆,9
105,首创,9
106,锁闭,9
107,减幅,9
108,森昕,9
109,存单,8
110,系龙昕,8
111,青岛,8
112,成都,8
113,康尼智控,8
114,伊,8
115,美特,8
116,闸机,8
117,装饰,8
118,精密,8
119,电子产品,8
120,条,8
121,智能化,8
122,因龙昕,8
123,北信瑞丰,8
124,胡继红罗国莲,8
125,孔庆涛,8
126,朱,8
127,厂区,8
128,第三个,8
129,并表,7
130,手机,7
131,分散,7
132,唐山,7
133,庐山,7
134,网站,7
135,维保,7
136,核心技术,7
137,终端,7
138,链断裂,7
139,运输设备,7
140,费凯成,7
141,资源,7
142,一体化,7
143,仪器,7
144,无力,7
145,刘文平,7
146,卫东,7
147,解聘,7
148,二届,7
149,张慧凌,7
150,廖良茂龙昕,7
151,供货,6
152,电子科技,6
153,干线,6
154,车,6
155,徐庆,6
156,汽车行业,6
157,态势,6
158,新兴产业,6
159,推广应用,6
160,宜发,6
161,厂商,6
162,铁路网,6
163,高速铁路,6
164,秒,6
165,吉利,6
166,难以为继,6
167,机械,6
168,工业,6
169,数字化,6
170,软件,6
171,售后服务,6
172,广发,6
173,创,6
174,大业,6
175,徐官,6
176,南,6
177,史翔,6
178,王亚东,6
179,美华,6
180,李宏,6
181,授信额度,6
182,国信,6
183,陕,6
184,油气,6
185,自营,6
186,建筑物,6
187,厅,6
188,财政厅,6
189,核发,6
190,擅自,5
191,暂未,5
192,去年同期,5
193,引发,5
194,强制措施,5
195,萎缩,5
196,下滑,5
197,剥离,5
198,设计院,5
199,柯,5
200,地铁,5
201,表个,5
202,既有,5
203,扇门,5
204,模块,5
205,市场占有率,5
206,稳步,5
207,动车组,5
208,公交车,5
209,上汽,5
210,发改委,5
211,快速增长,5
212,小时,5
213,最小,5
214,共有,5
215,动力,5
216,著作权,5
217,发明专利,5
218,直流电机,5
219,拉门,5
220,信息化,5
221,制造业,5
222,工厂,5
223,定期存单,5
224,船舶,5
225,修理,5
226,康,5
227,组件,5
228,公众,5
229,危机,5
230,现状,5
231,苏丽萍,5
232,吴讯英,5
233,保全,5
234,中所,5
235,原名,5
236,第一个,5
237,获授,5
238,第二个,5
239,第三期,5
240,东莞,5
241,真空,5
242,环保,5
243,汪,5
244,木兰,5
245,孙昌宇,5
246,软件产品,5
247,限定,5
248,应予,5
249,国家税务局,5
250,地方税务局,5
251,注注,5
252,柯智强,5
253,仪器仪表,5
254,田小琴,5
255,诉请,5
256,公安机关,4
257,立案侦查,4
258,所示,4
259,后康尼,4
260,对康尼,4
261,违反规定,4
262,巨额,4
263,担保责任,4
264,指康尼,4
265,大酒店,4
266,列车,4
267,通道,4
268,技术开发区,4
269,市占率,4
270,批量,4
271,通用,4
272,定点,4
273,北汽,4
274,苏州,4
275,银隆,4
276,比亚迪,4
277,电动工具,4
278,里程,4
279,长度,4
280,线网,4
281,高峰,4
282,发车,4
283,间隔,4
284,获批,4
285,开工,4
286,生产能力,4
287,纲要,4
288,工信部,4
289,纯,4
290,法兰,4
291,花键轴,4
292,叉,4
293,高田,4
294,发明,4
295,交流,4
296,安全性,4
297,承载,4
298,创新能力,4
299,评为,4
300,出于,4
301,谨慎,4
302,基础设施,4
303,股权结构,4
304,战略规划,4
305,曼谷,4
306,一家,4
307,动能,4
308,健康,4
309,科学,4
310,唐卫华顾,4
311,期不以,4
312,证券市场,4
313,反担保,4
314,可回收,4
315,关闭,4
316,测算,4
317,摘要,4
318,定向,4
319,十次,4
320,龙冠,4
321,北京华,4
322,宇瑞泰,4
323,山西,4
324,光大,4
325,金控,4
326,钓鱼台,4
327,张军,4
328,否否否,4
329,处处长,4
330,公司总裁,4
331,通讯,4
332,中央银行,4
333,验资,4
334,控制系统,4
335,内因,4
336,保险费,4
337,清理,4
338,退,4
339,票,4
340,联科,4
341,机器人,4
342,劳务费,4
343,售后,4
344,质量保证,4
345,技术咨询,4
346,服务部,4
347,带,3
348,日该,3
349,问询,3
350,回复,3
351,合同诈骗,3
352,受此,3
353,康尼智,3
354,康尼环,3
355,交通运输,3
356,证监会,3
357,模范,3
358,中路,3
359,被划,3
360,稳固,3
361,充分利用,3
362,顺利,3
363,高压,3
364,量产,3
365,大功率,3
366,抓手,3
367,精锻,3
368,高强度,3
369,机床,3
370,模具,3
371,对接,3
372,呈现,3
373,中长期,3
374,最新,3
375,内地,3
376,为个,3
377,国务院,3
378,节能,3
379,汽车产业,3
380,动,3
381,插,3
382,电式,3
383,混合,3
384,不乏,3
385,来看,3
386,联网,3
387,产业政策,3
388,大众,3
389,电动车,3
390,蓝色,3
391,伴随,3
392,技术水平,3
393,扣划,3
394,微动,3
395,运动,3
396,无刷,3
397,无源,3
398,全程,3
399,侧,3
400,直线轴承,3
401,液压,3
402,压紧,3
403,文化,3
404,搭建,3
405,虚拟,3
406,保持稳定,3
407,诊断,3
408,互联互通,3
409,此基础,3
410,车间,3
411,深化,3
412,增,3
413,主营,3
414,领,3
415,系对,3
416,丰华,3
417,尼康,3
418,二十七,3
419,作价,3
420,来源于,3
421,高质量,3
422,妥善处理,3
423,将龙昕,3
424,修正,3
425,战略目标,3
426,修编,3
427,筹划,3
428,国民经济,3
429,廖良茂因,3
430,听取,3
431,刘晓辉,3
432,盛创,3
433,相符,3
434,吴讯,3
435,英苏,3
436,丽萍,3
437,划转,3
438,律师费,3
439,期后,3
440,十一次,3
441,二十二,3
442,根据上述,3
443,德誉隆,3
444,排污,3
445,环境保护局,3
446,大岭,3
447,山,3
448,水,3
449,罚款,3
450,变为,3
451,肖姝雯,3
452,拓思,3
453,湖州,3
454,摩山,3
455,诺德,3
456,等位,3
457,名下,3
458,金元宝,3
459,集合,3
460,泓,3
461,锦文,3
462,朱松青,3
463,卢光霖,3
464,仇向洋,3
465,张洪发,3
466,免去,3
467,校长,3
468,院长,3
469,处长,3
470,教育,3
471,博士,3
472,接近,3
473,待遇,3
474,保费,3
475,准备金,3
476,苏亚验,3
477,付出,3
478,已知,3
479,中间价,3
480,包装物,3
481,低值易耗品,3
482,工程项目,3
483,续约,3
484,未决,3
485,权日,3
486,教育费,3
487,所在国,3
488,税负,3
489,即征,3
490,开具,3
491,鑫,3
492,款年,3
493,拉罗,3
494,所在地,3
495,科技局,3
496,关年,3
497,部件,3
498,特种设备,3
499,软件开发,3
500,专用设备,3
501,由本,3
502,满个,3
503,首个,3
504,基准,3
505,复权,3
506,肖奋,3
507,实缴,3
508,取得联系,2
509,已有,2
510,提醒,2
511,第项,2
512,方与,2
513,主管人员,2
514,三十,2
515,三次,2
516,提示性,2
517,因涉嫌,2
518,刑事,2
519,开关设备,2
520,黄石,2
521,骨干,2
522,轻轨,2
523,城际,2
524,公交,2
525,机场,2
526,机系统,2
527,闸,2
528,外文,2
529,电子信箱,2
530,网址,2
531,恒达路,2
532,媒体,2
533,黄根,2
534,国泰君安证券股份有限公司,2
535,增加收入,2
536,非金融,2
537,自然灾害,2
538,显失,2
539,一次性,2
540,在手,2
541,维保及,2
542,十多年,2
543,稳步增长,2
544,车门,2
545,乐哈弗,2
546,筹备,2
547,核心部件,2
548,投产,2
549,鉴定,2
550,经信委,2
551,首批,2
552,产品目录,2
553,武汉,2
554,接口,2
555,日趋激烈,2
556,顶住,2
557,合资,2
558,研制,2
559,百度,2
560,大金龙,2
561,无人驾驶,2
562,阿波龙,2
