,分词排序,词频
0,物流,260
1,木材,216
2,万林,146
3,上海,82
4,进口,74
5,信息,57
6,仓储,57
7,港口,52
8,装卸,48
9,香港,40
10,建设,40
11,靖江,37
12,江苏,36
13,运输,33
14,裕林,31
15,工程,30
16,配送,29
17,砍伐,29
18,沪瑞,27
19,黄保忠,26
20,银行,25
21,港务,23
22,货运,23
23,加蓬,22
24,建筑,22
25,环节,18
26,集成,16
27,原木,16
28,迈林,15
29,木业,15
30,板材,15
31,孙玉峰,14
32,数据,14
33,环境,14
34,文化,12
35,因本,12
36,非洲,12
37,码头,12
38,延伸,12
39,库场,12
40,代,11
41,船舶,10
42,太仓,10
43,林业,10
44,网点,10
45,作业,10
46,土地,10
47,沈简文,9
48,产业园,9
49,连云港,9
50,新港,9
51,船务,9
52,合创,9
53,物流配送,9
54,林地,9
55,业务量,9
56,制造,9
57,外汇,9
58,服务商,9
59,生物,9
60,该些,9
61,吴江,8
62,房地产,8
63,资源,8
64,物流业,8
65,一体化,8
66,以保理,8
67,木里,7
68,渝,7
69,采伐,7
70,服务业,7
71,业务流程,7
72,森工,7
73,许杰,7
74,邹勤,7
75,黄智华,7
76,副教授,7
77,可回收,7
78,极低,7
79,德勤华,6
80,永,6
81,靖江市,6
82,网站,6
83,贯彻,6
84,货场,6
85,群体,6
86,经济效益,6
87,低值易耗品,6
88,万亿元,6
89,专业化,6
90,互联网,6
91,链,6
92,教育,6
93,环保,6
94,队伍,6
95,中建,6
96,银港,6
97,经营风险,6
98,社会公众,6
99,油气,6
100,补贴款,6
101,增大,5
102,服务提供商,5
103,代理服务,5
104,堆场,5
105,东莞,5
106,林,5
107,初加工,5
108,堆存,5
109,大宗,5
110,依赖,5
111,已有,5
112,激烈,5
113,协作,5
114,传统,5
115,材种,5
116,管理系统,5
117,材,5
118,人工,5
119,节能,5
120,理论,5
121,信息流,5
122,资金流,5
123,自万林,5
124,若本,5
125,沈,5
126,赵一飞,5
127,张家港,5
128,日止,5
129,中介,5
130,苏州,5
131,元及,5
132,林木业,5
133,配载,4
134,链条,4
135,上游,4
136,实践,4
137,天津,4
138,集散地,4
139,裕,4
140,网络,4
141,成熟,4
142,重要性,4
143,维修,4
144,集聚,4
145,快速增长,4
146,来看,4
147,降本增效,4
148,越来越,4
149,智慧,4
150,保险,4
151,港,4
152,货源,4
153,资源优势,4
154,科学,4
155,梳理,4
156,抓好,4
157,克服,4
158,青岛,4
159,骨干,4
160,来源于,4
161,信用证,4
162,供给,4
163,商流,4
164,所示,4
165,督促,4
166,意向,4
167,交易系统,4
168,单次,4
169,触发,4
170,清理,4
171,摘要,4
172,股年,4
173,防治法,4
174,简文,4
175,祁祥,4
176,红土,4
177,赵显峰,4
178,严寒,4
179,黄勋,4
180,龚炜,4
181,博士,4
182,孙爱丽,4
183,投资部,4
184,年薪,4
185,中央银行,4
186,签订协议,4
187,保险费,4
188,减排,4
189,销项税额,4
190,税额,4
191,差,4
192,异,4
193,养老保险,4
194,山东,4
195,国际贸易,3
196,路,3
197,口岸,3
198,服务公司,3
199,万公顷,3
200,并未,3
201,重构,3
202,更好,3
203,寻找,3
204,内有,3
205,惯例,3
206,致力于,3
207,资源配置,3
208,源头,3
209,手段,3
210,合作伙伴,3
211,装载机,3
212,燃料,3
213,外包,3
214,下行,3
215,消费,3
216,车队,3
217,工业,3
218,前列,3
219,林木,3
220,木制品,3
221,万立方米,3
222,泰州,3
223,交通,3
224,森林,3
225,流,3
226,针对性,3
227,规范化,3
228,内贸,3
229,集装箱,3
230,机械,3
231,货种,3
232,配合,3
233,澳洲,3
234,力争,3
235,部署,3
236,增发,3
237,承办,3
238,油电,3
239,新南威尔士,3
240,经济社会,3
241,层面,3
242,国务院,3
243,促使,3
244,零部件,3
245,整条,3
246,链上,3
247,软件,3
248,借助于,3
249,操作,3
250,内本,3
251,时起,3
252,无锡,3
253,从万林,3
254,下未,3
255,具体措施,3
256,报刊,3
257,道歉,3
258,第八次,3
259,环境保护,3
260,健康,3
261,住房,3
262,排污,3
263,中层,3
264,北京,3
265,安泰,3
266,顾问,3
267,商学院,3
268,倪,3
269,会计学,3
270,城,3
271,财务经理,3
272,通讯,3
273,保费,3
274,准备金,3
275,七七年,3
276,元于,3
277,可变,3
278,该组,3
279,建筑物,3
280,机器设备,3
281,权及,3
282,按规定,3
283,交通运输,3
284,三江,3
285,工业园,3
286,由本,3
287,进项税额,3
288,每平方米,3
289,计征,3
290,票,3
291,仍由本,3
292,建造,3
293,莆田,3
294,重庆,3
295,临沂,3
296,第年,3
297,常用,2
298,外文,2
299,电子信箱,2
300,斜桥,2
301,镇,2
302,阜康,2
303,六助,2
304,港路,2
305,网址,2
306,东,2
307,非金融,2
308,自然灾害,2
309,显失,2
310,一次性,2
311,专注,2
312,逐步形成,2
313,个性化,2
314,扩张,2
315,新建,2
316,管理权,2
317,此基础,2
318,腹地,2
319,货物运输,2
320,货主,2
321,过往,2
322,信誉,2
323,重合,2
324,交叉,2
325,既定,2
326,初步,2
327,体现,2
328,联动,2
329,相互之间,2
330,高度重视,2
331,长期性,2
332,稳定性,2
333,满意度,2
334,一批,2
335,关键环节,2
336,次要,2
337,长江,2
338,泊位,2
339,港区,2
340,备件,2
341,石化,2
342,外派,2
343,比价,2
344,回落,2
345,消费品,2
346,带动,2
347,冷链,2
348,电商,2
349,放缓,2
350,保管,2
351,上涨,2
352,步伐,2
353,兼并,2
354,龙头,2
355,规模化,2
356,动能,2
357,连接,2
358,车辆,2
359,走,2
360,列入,2
361,成本增加,2
362,亿立方米,2
363,亿美元,2
364,统计数据,2
365,海关,2
366,协助,2
367,报关,2
368,中转,2
369,水路,2
370,陆路,2
371,全方位,2
372,节约,2
373,一条,2
374,上下游,2
375,区位,2
376,分销,2
377,大规模,2
378,拉动,2
379,这家,2
380,凝聚,2
381,优秀人才,2
382,积极性,2
383,外部环境,2
384,严峻,2
385,局面,2
386,经营策略,2
387,吞吐量,2
388,接卸量,2
389,中美,2
390,诸多,2
391,不利因素,2
392,煤炭,2
393,外协,2
394,进口商,2
395,接卸,2
396,支线,2
397,推行,2
398,调配,2
399,利用率,2
400,整治,2
401,停租,2
402,充实,2
403,加工厂,2
404,生产能力,2
405,扩能,2
406,疏运,2
407,搞好,2
408,前景,2
409,着力,2
410,搭建,2
411,高度,2
412,南林大,2
413,多方位,2
414,同期相比,2
415,装修,2
416,开具,2
417,道路,2
418,港元,2
419,侧,2
420,结构性,2
421,造福,2
422,贯彻落实,2
423,出台,2
424,政策措施,2
425,手中,2
426,看作,2
427,逐步完善,2
428,多方,2
429,要素,2
430,这一,2
431,必将,2
432,物流园区,2
433,日趋,2
434,联网,2
435,外资,2
436,消费者,2
437,管理者,2
438,常态,2
439,随之,2
440,信息技术,2
441,近期,2
442,更大,2
443,风控,2
444,两端,2
445,有机,2
446,服务平台,2
447,组建,2
448,工作效率,2
449,还要,2
450,兼顾,2
451,商业机会,2
452,三是,2
453,早日,2
454,管理信息系统,2
455,工程技术,2
456,生态,2
457,规章制度,2
458,门槛,2
