,分词排序,词频
0,圣龙,159
1,汽车,157
2,宁波,119
3,油泵,85
4,零部件,65
5,信息,64
6,凸轮轴,45
7,发动机,39
8,工程,37
9,整车,35
10,变速器,34
11,变速箱,31
12,银行,31
13,玉龙,30
14,湖州,28
15,制造,28
16,对比,23
17,工业,23
18,华纳,23
19,环境,23
20,建设,21
21,陈雅卿,21
22,万辆,20
23,泵,20
24,福特,19
25,整车厂,18
26,新能源,18
27,德国,18
28,浙江,18
29,西湖,16
30,零件,16
31,鄞州区,16
32,人罗,16
33,罗力,16
34,动力系统,15
35,数据,15
36,自动,15
37,土地,15
38,分动箱,14
39,技术改造,14
40,动力,13
41,网站,13
42,房地产,13
43,鄞州,13
44,钱毅,12
45,总成,12
46,主机厂,12
47,工厂,12
48,材料,12
49,美国公司,12
50,罗,11
51,圣龙浦洛,11
52,真空泵,11
53,浦洛西,11
54,精密,11
55,上海,11
56,长安,11
57,制造业,11
58,车间,11
59,禹舜,11
60,沃弗圣龙,11
61,埃美圣龙,11
62,圣龙浦洛西,10
63,电机,10
64,机械,10
65,下滑,10
66,产销,10
67,排量,10
68,同步,10
69,智能,10
70,涨幅,10
71,三十六个,10
72,六个月,10
73,职,10
74,许萍,9
75,天健,9
76,汽车行业,9
77,节能,9
78,博格,9
79,资源,9
80,科技,9
81,上汽,9
82,电子,9
83,文昌,9
84,注注,9
85,轮毂,8
86,制造商,8
87,第四季度,8
88,变,8
89,智能化,8
90,通用,8
91,模具,8
92,招股,8
93,意向书,8
94,发货,8
95,生物,8
96,万套,8
97,技术支持,8
98,润滑,7
99,混合,7
100,减排,7
101,评为,7
102,高新技术,7
103,吉利,7
104,样件,7
105,车型,7
106,人工,7
107,物流,7
108,圣,7
109,达尔,7
110,张,7
111,菱化,7
112,教育,7
113,州,6
114,部件,6
115,保有量,6
116,新兴,6
117,轻量化,6
118,技术创新,6
119,国际化,6
120,模块化,6
121,仿真,6
122,神龙,6
123,填补,6
124,精益,6
125,台架,6
126,搭载,6
127,样机,6
128,去年同期,6
129,批产,6
130,投产,6
131,来看,6
132,社会公众,6
133,以年,6
134,黄红亮,6
135,由该,6
136,派生,6
137,如送,6
138,卓越,6
139,理事长,6
140,商业银行,6
141,出库,6
142,签收,6
143,抽样,6
144,油气,6
145,州浦洛,5
146,混动,5
147,张勇,5
148,供货,5
149,检测,5
150,概况,5
151,装配式,5
152,进口,5
153,核心技术,5
154,双联,5
155,稳定性,5
156,软件,5
157,知名,5
158,国外,5
159,江铃,5
160,配置,5
161,全球化,5
162,印度,5
163,量产,5
164,万件,5
165,信贷,5
166,促使,5
167,生产成本,5
168,投票,5
169,王凤鸣,5
170,州浦洛西,5
171,工程技术,5
172,核对,5
173,建筑物,5
174,竣工,5
175,换取,5
176,教育费,5
177,第二批,5
178,源于,5
179,液压,4
180,行星,4
181,齿轮,4
182,简化,4
183,纯,4
184,金达路,4
185,媒体,4
186,产品升级,4
187,成熟,4
188,表现,4
189,汽车产业,4
190,乘用车,4
191,北美,4
192,离合器,4
193,合资,4
194,产品开发,4
195,此基础,4
196,机油泵,4
197,产品设计,4
198,数字化,4
199,捷豹,4
200,路,4
201,虎,4
202,奇瑞,4
203,尽可能,4
204,产线,4
205,可变,4
206,扩展,4
207,第二代,4
208,降幅,4
209,开具,4
210,巴西,4
211,环保,4
212,大规模,4
213,召回,4
214,股票价格,4
215,中所,4
216,制订,4
217,真实性,4
218,二十四个,4
219,百分之二十五,4
220,若因,4
221,经济损失,4
222,单次,4
223,清理,4
224,下应,4
225,罗力成,4
226,未满,4
227,沃美,4
228,沃富,4
229,名誉,4
230,月度,4
231,调薪,4
232,下线,4
233,仓库,4
234,发票,4
235,单据,4
236,五一,4
237,中央银行,4
238,业经,4
239,不获,4
240,差,4
241,异,4
242,潘火,4
243,街道,4
244,外汇,4
245,基准,4
246,首个,4
247,当日,4
248,装置,3
249,插,3
250,电式,3
251,国信,3
252,控制措施,3
253,大过年,3
254,一次性,3
255,技术升级,3
256,所示,3
257,拉动,3
258,装配,3
259,定点,3
260,已有,3
