,分词排序,词频
0,迎驾,175
1,安徽,173
2,白酒,80
3,信托,79
4,生态,65
5,贡酒,53
6,信息,51
7,饮料,41
8,工程,40
9,建设,38
10,野岭,37
11,年化,37
12,霍山县,35
13,材料,31
14,合肥,30
15,倪永培,28
16,美佳,25
17,酒业,24
18,霍山,24
19,鳌,23
20,牌,23
21,驾,22
22,大别山,22
23,食品,22
24,私募,22
25,扶贫,21
26,舒启军,20
27,曲酒,19
28,洞藏,18
29,六安市,18
30,一次性,18
31,酒,18
32,酒类,18
33,包装材料,18
34,还本付息,18
35,环境,17
36,产权证,17
37,数据,16
38,制造,15
39,环保,15
40,银行,14
41,监测,14
42,生物,14
43,溢彩,13
44,房地产,13
45,酿酒,13
46,千升,12
47,民生,12
48,中融,12
49,任迎,12
50,衡山,11
51,消费者,11
52,消费,11
53,产业园,11
54,旅行社,11
55,物流,10
56,北京,10
57,健康,10
58,运输,10
59,车间,10
60,系本,10
61,土地,10
62,金属制品,10
63,物宝,10
64,光电,10
65,亚力,10
66,玻璃,9
67,武汉,9
68,佛子,9
69,岭,9
70,镇,9
71,基金会,9
72,排放,9
73,财政厅,9
74,印务,8
75,中高档,8
76,直销,8
77,酿造,8
78,招商,8
79,慈善,8
80,中科,8
81,处长,8
82,彩印,8
83,废品,8
84,普天,7
85,健,7
86,电商,7
87,网站,7
88,印刷,7
89,力,7
90,促销,7
91,就业,7
92,污染物,7
93,新建,7
94,券商,7
95,应急,7
96,洞藏酒,6
97,龙博,6
98,华,6
99,幢,6
100,分子,6
101,包装物,6
102,国家级,6
103,工业,6
104,智能,6
105,智能化,6
106,污水处理,6
107,脱贫,6
108,华宝,6
109,教育,6
110,保险费,6
111,秘书长,6
112,油气,6
113,每次,6
114,建造,6
115,缺勤,6
116,免租,6
117,门面房,6
118,办事处,6
119,玻璃器皿,5
120,上海,5
121,终端,5
122,产区,5
123,文化,5
124,适合,5
125,传统,5
126,四川,5
127,市场占有率,5
128,高质量,5
129,资源,5
130,系列产品,5
131,环境保护,5
132,尊享,5
133,仓库,5
134,中航,5
135,中央,5
136,依次,5
137,带薪,5
138,租赁经营,5
139,龙庭,5
140,六安,5
141,电费,5
142,网址,4
143,采购计划,4
144,大宗,4
145,灌装,4
146,经销,4
147,宣传,4
148,微生物,4
149,迎宾,4
150,江苏,4
151,成品,4
152,玻璃制品,4
153,贯彻落实,4
154,方针,4
155,山区,4
156,库区,4
157,居民,4
158,捐款,4
159,方正,4
160,富邦金,4
161,小宝,4
162,半成品,4
163,档次,4
164,线上,4
165,广告费用,4
166,相匹配,4
167,财富,4
168,百分之五十,4
169,公众,4
170,交易系统,4
171,中国银行,4
172,理,4
173,每半年,4
174,平安,4
175,排污,4
176,环评,4
177,达标排放,4
178,竣工,4
179,中证,4
180,指数,4
181,杨照,4
182,丹丹,4
183,潘剑,4
184,宋书,4
185,立新,4
186,於,4
187,香型,4
188,副教授,4
189,监盘,4
190,中央银行,4
191,相一致,4
192,国债,4
193,乘以,4
194,集体,4
195,日以,4
196,座,4
197,零星,4
198,窑炉,4
199,教育费,4
200,补助款,4
201,特支,4
202,北方,3
203,电子商务,3
204,汪胜,3
205,媒体,3
206,百年,3
207,一体,3
208,入库,3
209,基酒,3
210,酒店,3
211,团购,3
212,水,3
213,转化,3
214,自然环境,3
215,水质,3
216,佛子岭,3
217,酒厂,3
218,品类,3
219,传承,3
220,湖北,3
221,知名度,3
222,美誉度,3
223,发酵,3
224,大师,3
225,三大,3
226,美丽,3
227,快乐,3
228,大区,3
229,职能,3
230,单品,3
231,产品价格,3
232,粮食,3
233,成效,3
234,吸纳,3
235,景观,3
236,购房款,3
237,工厂,3
238,能源,3
239,省内,3
240,省外,3
241,意向,3
242,广告宣传,3
243,运输费,3
244,华泰,3
245,定向,3
246,紫金,3
247,零售,3
248,自营,3
249,制品,3
250,纸制品,3
251,装潢,3
252,装订,3
253,货物运输,3
254,精细化,3
255,分级,3
256,人力资源,3
257,酒精,3
258,此项,3
259,三十六个,3
260,德成,3
261,大业,3
262,日日,3
263,贫困村,3
264,大别山区,3
265,救助,3
266,废水,3
267,水污染,3
268,污水,3
269,烟气,3
270,开工,3
271,联网,3
272,全称,3
273,汇通,3
274,深圳,3
275,养老保险,3
276,安广,3
277,创业投资,3
278,兵,3
279,恒强,3
280,培华,3
281,郝万祥,3
282,吴安琳,3
283,年薪,3
284,主持,3
285,公司财务,3
286,安徽大学,3
287,财务处,3
288,所长,3
289,容器,3
290,副总,3
291,年任,3
292,张,3
293,重要性,3
294,召集,3
295,通讯,3
296,盘点,3
297,签收,3
298,保费,3
299,准备金,3
300,模具,3
301,表时,3
302,近似,3
303,一组,3
304,参照,3
305,参与者,3
306,项指,3
307,中将,3
308,建筑物,3
309,机器设备,3
310,届满时,3
311,工程项目,3
312,医疗保险,3
313,工伤保险,3
314,生育,3
315,住房,3
316,工会,3
317,教育经费,3
318,精算,3
319,上限,3
320,政策性,3
321,清理,3
322,高新技术,3
323,款年,3
324,合肥市,3
325,工业化,3
326,燃煤,3
327,财建号,3
328,投入使用,3
329,强省,3
