,分词排序,词频
0,智能,66
1,信息,60
2,快克,56
3,常州,53
4,装备,52
5,常州市,43
6,电子,43
7,自动化,42
8,工业,33
9,焊接,29
10,江南,29
11,机器人,28
12,自动,23
13,获授,23
14,江苏,23
15,富韵,22
16,上海,21
17,制造,20
18,科技,19
19,网站,19
20,苗小鸣,17
21,国强,17
22,银行,17
23,系本,17
24,巨蟹,16
25,视觉,16
26,媒体,16
27,制造业,16
28,建设,16
29,螺丝,15
30,数据,15
31,农村,15
32,软件,14
33,锁付,14
34,组装,14
35,精密,14
36,商业银行,14
37,之瑞富,14
38,工程,14
39,电子科技,13
40,软件技术,13
41,人戚,13
42,添盈,13
43,东风,13
44,桥,13
45,永中,12
46,戚国强,12
47,武进,12
48,智能化,12
49,金春,11
50,点胶,10
51,检测,10
52,中银国际,10
53,汽车,10
54,材料,10
55,环境,10
56,东莞,9
57,易普斯,9
58,高新技术,9
59,锡,9
60,信托,9
61,殷文贤,8
62,交易方式,8
63,装联,8
64,模组,8
65,运动,8
66,专用设备,8
67,激光,8
68,焊台,8
69,经营规模,8
70,土地,8
71,外汇,8
72,登记日,7
73,表面,7
74,中银,7
75,消费,7
76,定期存款,7
77,涂覆,7
78,锡焊,7
79,资源,7
80,窦小明,7
81,注注,7
82,第十七次,7
83,成就,7
84,期富,7
85,百合,7
86,速骏,7
87,生物,7
88,三位一体,7
89,通信,6
90,信息化,6
91,凤翔路,6
92,夫妇,6
93,第十一次,6
94,富,6
95,锦鲤,6
96,宝号,6
97,创业投资,6
98,学士学位,6
99,前身,6
100,深圳,5
101,贴装,5
102,装置,5
103,机器,5
104,集成,5
105,健康,5
106,电子信息,5
107,定制,5
108,工艺技术,5
109,小型,5
110,搬运,5
111,通讯,5
112,内销,5
113,差异化,5
114,人工,5
115,机器设备,5
116,摘要,5
117,名单,5
118,黄冠,5
119,失效,5
120,第二十一次,5
121,符合条件,5
122,投向,5
123,政策性,5
124,混合,5
125,扶贫,5
126,由股,5
127,戚国,5
128,张文明,5
129,公证,5
130,之五,5
131,房地产,5
132,油气,5
133,第一名,5
134,第二名,5
135,第三名,5
136,第四名,5
137,第五名,5
138,高新区,5
139,中若,4
140,克,4
141,连接,4
142,集成电路,4
143,智能手机,4
144,面向,4
145,楼,4
146,群体,4
147,选择性,4
148,波峰焊,4
149,环节,4
150,焊,4
151,战略性,4
152,新兴产业,4
153,配件,4
154,出库,4
155,吸引,4
156,技术升级,4
157,刘志宏,4
158,配股,4
159,无是,4
160,快克锡焊,4
161,近似,4
162,填补,4
163,第十二次,4
