,分词排序,词频
0,汽车,141
1,零部件,87
2,日盈,67
3,电子,63
4,信息,57
5,江苏,38
6,摩托车,33
7,整车厂,31
8,工程,30
9,常州,27
10,整车,25
11,银行,25
12,常州市,24
13,线束,20
14,长春,18
15,上海,18
16,提案,18
17,供货,17
18,蓉,16
19,珠,16
20,传感器,16
21,职权,16
22,是蓉珠,15
23,上汽,14
24,大众,14
25,数据,14
26,总成,14
27,精密,13
28,意向,13
29,中国籍,13
30,江门,12
31,容宇,12
32,北京,12
33,提议,12
34,一汽大众,11
35,陆鹏,11
36,环境,11
37,如该,11
38,电子产品,10
39,材料,10
40,科技,10
41,生物,10
42,日桓,9
43,一汽,9
44,电器,9
45,江门市,9
46,洗涤,9
47,制造,9
48,汽车行业,9
49,过半数,9
50,纠正,9
51,召集人,9
52,制订,9
53,工作细则,9
54,天健,8
55,下滑,8
56,房地产,8
57,同步,8
58,模具,8
59,环节,8
60,厂商,8
61,发货,8
62,建设,8
63,清洗,8
64,机关,8
65,赔偿损失,8
66,韩亚,8
67,男年生,8
68,费祝海,8
69,鼎峰,7
70,金石,7
71,灏,7
72,汭,7
73,重庆,7
74,武进区,7
75,广东,7
76,注塑,7
77,车用,7
78,阳光,7
79,豪爵,7
80,恒耐,7
81,教育,7
82,弃权,7
83,丰田,6
84,长安,6
85,接插件,6
86,总厂,6
87,注塑件,6
88,生产能力,6
89,更换,6
90,核对,6
91,万辆,6
92,智能,6
93,前挡,6
94,解聘,6
95,南京,6
96,限月,6
97,日售,6
98,建立健全,6
99,大会,6
100,油气,6
101,土地,6
102,任琦凤,5
103,奔驰,5
104,横山,5
105,内销,5
106,高新技术,5
107,新能源,5
108,人工,5
109,资源,5
110,环保,5
111,监管部门,5
112,伟,5
113,国泰君安,5
114,创立,5
115,主要职责,5
116,审查,5
117,抽样,5
118,建造,5
119,商业银行,5
120,富维,5
121,东阳,5
122,汽车塑料,5
123,源于,5
124,外汇,5
125,通用,4
126,广汽,4
127,中信证券,4
128,塑料,4
129,初步,4
130,这一,4
131,样件,4
132,物流,4
133,降价,4
134,装至,4
135,据此,4
136,发货单,4
137,签收,4
138,共享,4
139,批量,4
140,知名,4
141,产品开发,4
142,雨量,4
143,天窗,4
144,战略决策,4
145,散件,4
146,索赔,4
147,召回,4
148,内拟,4
149,公众,4
150,重新制定,4
151,代理人,4
152,上交,4
153,内本,4
154,促使,4
155,自本,4
156,君柜宝,4
157,一号,4
158,第期,4
159,凭证,4
160,排污,4
161,吴涛,4
162,朱小平,4
163,企业法人,4
164,苏州,4
165,长江,4
166,女年生,4
167,惠诚,4
168,事务所律师,4
169,职工代表,4
170,三分之一,4
171,召集,4
172,主持,4
173,十日,4
174,中央银行,4
175,任琦凤年,4
176,不获,4
177,工业,4
178,嘉兴,3
179,青岛,3
180,天津,3
181,桥镇芳茂村,3
182,非金融,3
183,一次性,3
184,吉林长春,3
185,新车型,3
186,技术创新,3
187,参观,3
188,车间,3
189,精益,3
190,批量生产,3
191,量产,3
192,考察,3
193,产品设计,3
194,半年,3
195,零配件,3
196,上游,3
197,模块,3
198,系统集成,3
199,予,3
200,外销,3
201,少量,3
202,零星,3
203,中国汽车工业协会,3
204,产销,3
205,人工成本,3
206,智能化,3
207,速度,3
208,信息技术,3
209,吉利,3
210,沃尔沃,3
211,广州,3
212,一汽集团,3
213,车型,3
214,连接器,3
215,诸如,3
216,自动化,3
217,产品成本,3
218,加剧,3
219,文化,3
220,上涨,3
221,工厂,3
222,比比,3
223,增,3
224,喷嘴,3
225,经营项目,3
226,引发,3
227,越来越,3
228,便利,3
229,营运,3
230,产品价格,3
231,稳定性,3
232,中所,3
233,配股,3
234,下同,3
235,第一个,3
236,自动,3
237,不因,3
238,宝兴,3
239,兼并,3
240,清理,3
241,国联,3
242,结构性,3
243,彭树国,3
244,莫英娟,3
245,创业,3
246,女性,3
247,连洲,3
248,无线电厂,3
249,淡水河,3
250,税务师,3
251,电机,3
252,秘书长,3
253,部门规章,3
254,本招股,3
255,设置,3
256,送达,3
257,尽快,3
258,票,3
259,候选人,3
260,会议记录,3
261,筹备,3
262,督促,3
263,通讯,3
264,支持性,3
265,发票,3
266,运输,3
267,提单,3
268,期后,3
269,保费,3
270,准备金,3
271,专用设备,3
272,软件,3
273,政策性,3
274,余值,3
275,应缴,3
276,税额,3
277,教育费,3
278,税负,3
279,嘉利,3
280,福特,2
281,本田,2
282,保荐人,2
283,前身,2
284,外文,2
285,电子信箱,2
286,网址,2
287,选定,2
288,媒体,2
289,深圳,2
290,网站,2
291,薪资,2
292,市场行情,2
293,第四季度,2
294,自然灾害,2
295,显失,2
296,新工艺,2
297,缩短,2
298,国外,2
299,创新能力,2
300,大幅提高,2
301,铜丝,2
302,铜带,2
303,橡胶,2
304,水管,2
305,粒子,2
306,每种,2
307,营销部,2
308,科学,2
309,设计方案,2
310,样品,2
311,月度,2
312,周,2
313,业务流程,2
314,合资,2
315,价格优势,2
316,推行,2
317,交流,2
318,户,2
319,样,2
320,工装,2
321,响应,2
322,接到,2
323,为个,2
324,灵活,2
325,消化,2
326,合格率,2
327,反向,2
328,下线,2
329,发往,2
330,转库,2
331,仓库,2
332,领用,2
333,开票,2
334,通知单,2
335,货到,2
336,发运,2
337,检验,2
338,入库,2
339,乘用车,2
340,放缓,2
341,来看,2
342,汽车产业,2
343,电动,2
344,网联,2
345,变革,2
346,互联,2
347,爆发式,2
348,把握,2
349,首批,2
350,本土,2
351,宝马,2
352,特斯拉,2
353,一支,2
354,致力于,2
355,检测,2
356,控制器,2
357,积极开展,2
358,驾驶,2
359,架构设计,2
360,标定,2
361,工时,2
362,小批量,2
363,作业,2
364,发展势头,2
365,趋缓,2
366,居高不下,2
367,化解,2
368,进一步提高,2
369,扩展,2
370,稳定增长,2
371,价格上涨,2
372,健全,2
373,增量,2
374,清洗器,2
375,能源,2
376,耗用,2
377,摩托,2
378,展开,2
379,利用率,2
380,塑料制品,2
381,电线,2
382,机械,2
383,机械设备,2
384,消费者,2
385,消费,2
386,车厂,2
387,剧烈,2
388,适时,2
389,博弈,2
390,顺利,2
391,力争,2
392,有助于,2
393,人力资源,2
394,和谐,2
395,透明度,2
396,高水平,2
397,因新,2
398,大规模,2
399,价格下降,2
400,惯例,2
401,度,2
402,正数,2
403,前款,2
404,扣减,2
405,成熟期,2
406,论证,2
407,应经,2
408,征集,2
409,网络,2
410,过往,2
411,收购人,2
412,特,2
413,一自,2
414,人为,2
415,违背,2
416,下除,2
417,强制性,2
418,称,2
419,如未,2
420,扣留,2
421,股是,2
422,孟庆友,2
423,振林,2
424,未以,2
425,劣于,2
426,将相,2
427,公平交易,2
428,隐瞒,2
429,对此,2
430,如本,2
431,解读,2
432,此项,2
433,调整法,2
434,方与,2
435,接受方,2
436,法定程序,2
437,股份有限,2
438,环保部门,2
439,公示,2
440,历次,2
441,孟庆有,2
442,李冬梅,2
443,黄志刚,2
444,中是,2
445,母子,2
446,配偶,2
447,百分之十,2
448,姚鑫,2
449,忠良,2
450,冯玉红,2
451,伟杨辉,2
452,称号,2
453,人民代表大会,2
454,炉料,2
455,恒耐耐材,2
456,渑池,2
457,耐材,2
458,亚文化,2
459,传媒,2
460,小马,2
461,网络科技,2
462,河北,2
463,联冠,2
464,电极,2
465,国瑞,2
466,项目经理,2
467,炉窑,2
468,重要性,2
469,年薪制,2
470,计件,2
471,计时,2
472,财务预算,2
473,分立,2
474,解散,2
475,聘用,2
476,第条,2
477,三分之二,2
478,列明,2
479,电子邮件,2
480,传真,2
481,赋予,2
482,连选连任,2
483,二分之一,2
484,五日,2
485,情况紧急,2
486,口头,2
487,一票,2
488,反对,2
489,与会,2
490,主持人,2
491,拒,2
492,中途,2
493,离开,2
494,会场,2
495,不回,2
496,即可,2
497,战略规划,2
498,每届,2
499,协助,2
500,专人,2
501,现场会议,2
502,异议,2
503,连任,2
504,有名,2
505,保密工作,2
506,名册,2
507,同日,2
508,所示,2
509,出库,2
510,货运,2
511,函证,2
512,损失率,2
513,当前情况,2
514,疑虑,2
515,持续性,2
516,金融机构,2
517,专,2
518,工商行政管理局,2
519,登记注册,2
520,市场经济,2
521,其于,2
522,持续时间,2
523,含个,2
524,回升,2
525,将要,2
526,低值易耗品,2
527,包装物,2
528,组在,2
529,组时,2
530,建筑物,2
531,通用设备,2
532,运输工具,2
533,竣工,2
534,应予,2
535,专利权,2
536,非专利,2
537,售出,2
538,报关,2
539,日有,2
540,法将,2
541,款额,2
542,计征,2
543,软件产品,2
544,承兑人,2
545,故本,2
546,票据法,2
547,持票人,2
548,浙江,2
549,丽水,2
550,麦格纳,2
551,镜像,2
552,同注,2
553,定期存款,2
554,蒋自昌,2
555,李华清,2
556,叶松,2
557,消耗性,2
558,大灯,2
559,装修,2
560,保险费,2
561,科技成果,2
562,转化,2
563,仓储,2
564,宣传费,2
565,中介费,2
566,先进个人,2
567,稳岗,2
568,汇票,2
569,制造业,2
570,担保物,2
571,小计续,2
572,上表,2
573,见本,2
574,计息,2
575,一本,1
576,三天,1
577,健,1
578,费祝海及,1
579,主管人员,1
580,五经,1
581,拟以,1
582,登记日,1
583,留待,1
584,否八,1
585,违反规定,1
586,否九,1
587,无十,1
588,文义,1
589,另有所指,1
590,含义,1
591,常用,1
592,人日盈,1
593,主,1
594,承销商,1
595,系本,1
596,曾用名,1
597,大众汽车,1
598,通用汽车,1
599,长安汽车,1
600,中文名称,1
601,中文,1
602,缩写,1
603,人二,1
604,联系人,1
605,联系方式,1
606,联系地址,1
607,电话传真,1
608,振华,1
609,登载,1
610,无六,1
611,机构名称,1
612,钱江路,1
613,华润,1
614,座,1
615,倪,1
616,国君,1
617,张雪生,1
618,福田区,1
619,三路,1
620,卓越,1
621,时代广场,1
622,北座,1
623,代表人,1
624,宋建,1
625,洪向晓娟,1
626,换代,1
627,第一季度,1
628,第二季度,1
629,第三季度,1
630,十非,1
631,偶发性,1
632,符合国家,1
633,建有,1
634,本部,1
635,设有,1
636,进口,1
637,预研,1
638,该种,1
639,科研,1
640,积极性,1
641,创造性,1
642,内部人员,1
643,奠定,1
644,坚实,1
645,攻克,1
646,核心技术,1
647,难题,1
648,经济效益,1
649,初次,1
650,采购部,1
651,评鉴,1
652,评定,1
653,方可,1
654,每月,1
655,大多,1
656,大宗,1
657,流水线,1
658,贯彻,1
659,质量体系,1
660,试制,1
661,试产,1
662,试生产,1
663,调度,1
664,负荷,1
665,分解,1
666,直销,1
667,门槛,1
668,长时间,1
669,第一阶段,1
670,洽谈,1
671,满意,1
672,合作意向,1
673,当新,1
674,或原,1
675,长,1
676,数年,1
677,接洽,1
678,紧密,1
679,第二阶段,1
680,导入,1
681,侧重于,1
682,控制能力,1
683,一段时间,1
684,快慢,1
685,取决于,1
686,来讲,1
687,多轮,1
688,最快,1
689,慢者,1
690,第三阶段,1
691,发包,1
692,初步设计,1
693,此基础,1
694,大体,1
695,尺寸,1
696,称为,1
697,样非,1
698,随后,1
699,客年,1
700,带,1
701,开模,1
702,组装,1
703,拿到,1
704,送交,1
705,德国,1
706,样即,1
707,全面完成,1
708,接触,1
709,外贸,1
710,寻找,1
711,成本核算,1
712,定货,1
713,谈判,1
714,框架,1
715,交货,1
716,以销定产,1
717,加成,1
718,核价,1
719,占领,1
720,协议价,1
721,推向市场,1
722,销售价格,1
723,呈现,1
724,逐年,1
725,跟随,1
726,普遍现象,1
727,均会,1
728,挖掘,1
729,其后,1
730,正好,1
731,流转,1
732,于次,1
733,款到,1
734,交付给,1
735,货代,1
736,统计分析,1
737,商年,1
738,用车,1
739,趋于,1
740,平缓,1
741,大势所趋,1
742,伴随,1
743,传递,1
744,持续上升,1
745,拉动,1
746,跨界,1
747,兴起,1
748,崛起,1
749,客户资源,1
750,持续增长,1
751,知名度,1
752,历来,1
753,加深,1
754,理解,1
755,紧密联系,1
756,贴近,1
757,消化吸收,1
758,早,1
759,市场占有率,1
760,数模,1
761,搭建,1
762,紧密度,1
763,全自动,1
764,冲压,1
765,注塑模,1
766,具,1
767,端子,1
768,结构件,1
769,内饰件,1
770,杜邦,1
771,马斯特,1
772,知名企业,1
773,模具设计,1
774,开发人员,1
775,热流,1
776,专业化,1
777,新品,1
778,生产成本,1
779,五个,1
780,场地,1
781,面积,1
782,良品率,1
783,人均,1
784,良率,1
785,大都,1
786,自制,1
787,条,1
788,连贯性,1
789,管理模式,1
790,柔性,1
791,批次,1
792,联动,1
793,质检,1
794,介入,1
795,售后服务,1
796,快速反应,1
797,节省,1
798,变化趋势,1
799,上行,1
800,严格控制,1
801,着力,1
802,性价比,1
803,认可度,1
804,不断扩大,1
805,去年同期,1
806,有所增加,1
807,细化,1
808,选料,1
809,年降,1
810,尽力,1
811,职能作用,1
812,科学决策,1
813,来源于,1
814,产品升级,1
815,下半年,1
816,加量,1
817,回落,1
818,料,1
819,工费,1
820,大致,1
821,比较稳定,1
822,类产品,1
823,募,1
824,账,1
825,二非,1
826,拔款,1
827,代表性,1
828,节拍,1
829,机器,1
830,保有量,1
831,工人,1
832,测算,1
833,元器件,1
834,公车,1
835,司日盈,1
836,电器配件,1
837,电子元件,1
838,低压,1
839,电脑操作,1
840,台,1
841,塑料模具,1
842,超薄,1
843,购物袋,1
844,国务院,1
845,许可证,1
846,技术转让,1
847,技术咨询,1
848,会务,1
849,企业形象,1
850,策划,1
851,挑战,1
852,宏观,1
853,供给,1
854,侧,1
855,改革方案,1
856,在短期内,1
857,消费市场,1
858,消费结构,1
859,意愿,1
860,低迷,1
861,负增长,1
862,不利因素,1
863,传导,1
864,前低,1
865,态势,1
866,第三国,1
867,战略性,1
868,变得,1
869,渗透,1
870,步伐,1
871,日益,1
872,对外开放,1
873,大潮,1
874,部件,1
875,有望,1
876,大幅度,1
877,这此,1
878,存量,1
879,减量,1
880,狭缝,1
881,求生,1
882,突围,1
883,弹性,1
884,课题,1
885,结构调整,1
886,释放,1
887,交通安全,1
888,日渐,1
889,舒适,1
890,娱乐,1
891,高以,1
892,化为,1
893,四化,1
894,重塑,1
895,全球化,1
896,相符,1
897,如能,1
898,抓住,1
899,技术升级,1
900,历史性,1
901,一辆车,1
902,盈智造,1
903,利用自身,1
904,多元化,1
905,逐步形成,1
906,模块化,1
907,系统化,1
908,集成,1
909,集团化,1
910,抓手,1
911,全面推行,1
912,集,1
913,一体,1
914,商,1
915,麦格,1
916,纳安波,1
917,福原,1
918,德尔福,1
919,派克,1
920,科士达,1
921,稳固,1
922,综上,1
923,认同度,1
924,领先地位,1
925,协同效应,1
926,经济指标,1
927,加紧,1
928,带动,1
929,立足,1
930,攻关,1
931,经营风险,1
932,防范,1
933,经营层,1
934,继续加强,1
935,三大,1
936,梳理,1
937,新台阶,1
938,充足,1
939,人力,1
940,切实增强,1
941,业务素质,1
942,依规,1
943,展示,1
944,思路,1
945,积极主动,1
946,创建,1
947,氛围,1
948,营造,1
949,有利条件,1
950,努力提高,1
951,及时性,1
952,转向,1
953,巨额,1
954,声誉,1
955,受损,1
956,销售业务,1
957,二新,1
958,生命周期,1
959,开发新,1
960,周期长,1
961,产品认证,1
962,失败,1
963,无人驾驶,1
964,技术含量,1
965,已有,1
966,开发进度,1
967,不及,1
968,三因,1
969,强制,1
970,因本,1
971,引致,1
972,普遍存在,1
973,降幅,1
974,公司业绩,1
975,高速,1
976,带来不利,1
977,景气,1
978,终端,1
979,快,1
980,秘密,1
981,商业秘密,1
982,角度,1
983,出发,1
984,制度性,1
985,连续性,1
986,当年度,1
987,快速增长,1
988,股票价格,1
989,匹配,1
990,整体利益,1
991,差异化,1
992,成长期,1
993,不易,1
994,前项,1
995,百分之二十,1
996,六对,1
997,充分考虑,1
998,正确处理,1
999,长远,1
1000,经上述,1
1001,证,1
1002,劵,1
1003,必要性,1
1004,转强,1
1005,时须,1
1006,送红,1
1007,数元,1
1008,数股,1
1009,三以,1
1010,要约,1
1011,一步,1
1012,保年,1
1013,持对,1
1014,限陆鹏,1
1015,售票,1
1016,如有分,1
1017,红,1
1018,任职期间,1
1019,限王,1
1020,小售琴陆,1
1021,陆鹏票,1
1022,人及,1
1023,地以,1
1024,签章,1
1025,清欠,1
1026,企业会计,1
1027,准年,1
1028,前任,1
1029,改聘,1
1030,诚实,1
1031,守信,1
1032,失信,1
1033,受托人,1
1034,投向,1
1035,年化,1
1036,国泰君安证券股份有限公司,1
1037,汇鑫,1
1038,暂未,1
1039,扶贫,1
1040,环境保护部,1
1041,门,1
1042,污染物,1
1043,仅为,1
1044,废气,1
1045,噪声,1
1046,国家有关,1
1047,环境保护,1
1048,污染源,1
1049,采取相应,1
1050,污染,1
1051,事故,1
1052,未因,1
1053,信息内容,1
1054,一转债,1
1055,担保人,1
1056,四转股,1
1057,还债,1
1058,六转债,1
1059,二限售,1
1060,职工股,1
1061,户年,1
1062,流通股东,1
1063,全称,1
1064,无无无无无,1
1065,王小琴,1
1066,无无无,1
1067,周珂晶,1
1068,游国娥,1
1069,姚纪伟,1
1070,郭晖,1
1071,及限售,1
1072,股限售,1
1073,王小琴陆,1
1074,王小琴系,1
1075,陆,1
1076,系是,1
1077,振林系,1
1078,公否司,1
1079,信托,1
1080,介绍,1
1081,性别,1
1082,男女,1
1083,杨辉,1
1084,男莫英娟,1
1085,女殷,1
1086,男任琦凤,1
1087,女何,1
1088,无无无无无无无无无无无无无,1
1089,否年,1
1090,女年,1
1091,全国三八红旗手,1
1092,杰出,1
1093,第十一届,1
1094,第十五届,1
1095,常务委员,1
1096,武进,1
1097,电子业,1
1098,商会会长,1
1099,曾多次,1
1100,获,1
1101,三八红旗手,1
1102,首届,1
1103,十佳,1
1104,五一劳动奖章,1
1105,劳动模范,1
1106,联创,1
1107,生产规划,1
1108,佰斯顿,1
1109,电子科技,1
1110,工程师,1
1111,旭电,1
1112,财务经理,1
1113,奥尔特,1
1114,中国区,1
1115,德莱赛,1
1116,西哲,1
1117,罗伯特,1
1118,制品,1
1119,华科技,1
1120,水泥,1
1121,耐高温,1
1122,人恒耐,1
1123,投资银行,1
1124,清华紫光,1
1125,兴,1
1126,明都,1
1127,出纳,1
1128,安,1
1129,普特,1
1130,防爆,1
1131,财务主管,1
1132,人民检察院,1
1133,检察官,1
1134,科员,1
1135,律邦,1
1136,实习,1
1137,晟,1
1138,长沙,1
1139,电器厂,1
1140,企管,1
1141,办全质,1
1142,办年,1
1143,长华,1
1144,汽车电器,1
1145,常务副,1
1146,董年,1
1147,殷,1
1148,任琦凤何,1
1149,事,1
1150,小川,1
1151,机械制造,1
1152,煜,1
1153,明,1
1154,工场,1
1155,长于,1
1156,于小松,1
1157,工程机械,1
1158,艾欧,1
1159,史密斯,1
1160,培训中心,1
1161,职员,1
1162,起任,1
1163,一在,1
1164,代,1
1165,表人,1
1166,加油,1
1167,附件,1
1168,桥恒耐,1
1169,快捷酒店,1
1170,新北区,1
1171,三井,1
1172,卿,1
1173,食家,1
1174,餐饮店,1
1175,温州市,1
1176,蓝博,1
1177,偏光,1
1178,参照,1
1179,一董,1
1180,监高,1
1181,承担费用,1
1182,离退休,1
1183,本科,1
1184,高中,1
1185,要素,1
1186,劳动强度,1
1187,安全系数,1
1188,等级制,1
1189,这部分,1
1190,入司,1
1191,年底,1
1192,补足,1
1193,年薪,1
1194,等级,1
1195,工资制,1
1196,基本工资,1
1197,产线,1
1198,出勤,1
1199,列入,1
1200,年度计划,1
1201,几类,1
1202,指新进,1
1203,试用,1
1204,入职,1
1205,人力资源部,1
1206,行政部,1
1207,用人,1
1208,岗前,1
1209,知识面,1
1210,晋升,1
1211,增进,1
1212,工作效率,1
1213,基层,1
1214,班组长,1
1215,外派,1
1216,专业培训,1
1217,院校所,1
1218,取证,1
1219,外出,1
1220,训练,1
1221,开阔,1
1222,视野,1
1223,见识,1
1224,改良,1
1225,旨在,1
1226,行为规范,1
1227,外包,1
1228,小时,1
1229,方针,1
1230,由非,1
1231,出任,1
1232,受赠,1
1233,单纯,1
1234,绝对值,1
1235,本法,1
1236,所定,1
1237,临年,1
1238,中未,1
1239,第十三条,1
1240,邮递,1
1241,信函,1
1242,当日,1
1243,签署日,1
1244,过次,1
1245,常设机构,1
1246,由名,1
1247,拟订,1
1248,管理机构,1
1249,奖惩,1
1250,听取,1
1251,工作汇报,1
1252,督促检查,1
1253,每次,1
1254,十分之一,1
1255,联名,1
1256,一名,1
1257,填写,1
1258,投票,1
1259,举手表决,1
1260,权限,1
1261,时除,1
1262,回避,1
1263,须经,1
1264,出席会议,1
1265,三人,1
1266,四个,1
1267,资本运作,1
1268,审阅,1
1269,股权结构,1
1270,搜寻,1
1271,人选,1
1272,对须,1
1273,绩效评价,1
1274,惩罚,1
1275,制年,1
1276,一人,1
1277,民主选举,1
1278,公司财务,1
1279,罢免,1
1280,情况异常,1
1281,六个月,1
1282,规章,1
1283,不当,1
1284,恶劣影响,1
1285,谴责,1
1286,盖,1
1287,印章,1
1288,邮寄,1
1289,记名,1
1290,举手,1
1291,每一,1
1292,敦促,1
1293,承担责任,1
1294,致使,1
1295,负,1
1296,但经,1
1297,免除,1
1298,连选,1
1299,六年,1
1300,全体成员,1
1301,实施细则,1
1302,占有,1
1303,会计专业,1
1304,人士,1
1305,净资产值,1
1306,应由,1
1307,中介机构,1
1308,咨询机构,1
1309,投票权,1
1310,积极参与,1
1311,特长,1
1312,谨慎,1
1313,风险投资,1
1314,常务,1
1315,行使职权,1
1316,义务人,1
1317,信息沟通,1
1318,保管,1
1319,未公开,1
1320,泄露,1
1321,公共,1
1322,媒体报道,1
1323,求证,1
1324,真实情况,1
1325,回复,1
1326,问询,1
1327,法年,1
1328,规,1
1329,其所,1
1330,知悉,1
1331,提醒,1
1332,如实,1
1333,地向,1
1334,届次,1
1335,是蓉,1
1336,珠否,1
1337,陆鹏否,1
1338,姚鑫否,1
1339,彭树国否,1
1340,伟否,1
1341,杨辉否,1
1342,缺席,1
1343,亲自参加,1
1344,否否否,1
1345,自主经营,1
1346,工作进度,1
1347,审号,1
1348,阐述,1
1349,守则,1
1350,二十二,1
1351,五二年,1
1352,固有,1
1353,分析程序,1
1354,异常,1
1355,查明,1
1356,口岸,1
1357,报关单,1
1358,三十一,1
1359,五一,1
1360,涉诉,1
1361,物价,1
1362,现实情况,1
1363,完整性,1
1364,这方面,1
1365,别无其他,1
1366,现实,1
1367,总能,1
1368,怀疑,1
1369,串通,1
1370,伪造,1
1371,故意,1
1372,凌驾于,1
1373,之上,1
1374,选用,1
1375,四对,1
1376,重年,1
1377,值得,1
1378,防范措施,1
1379,极少数,1
1380,负面,1
1381,后果,1
1382,益处,1
1383,不应,1
1384,杭州,1
1385,二一,1
1386,四月,1
1387,二十六日,1
1388,备付,1
1389,拆出,1
1390,赚,1
1391,退保,1
1392,保险业务,1
1393,保户,1
1394,储金,1
1395,款净,1
1396,减其,1
1397,一未,1
1398,股项,1
1399,般,1
1400,公司概况,1
1401,或本,1
1402,扩股,1
1403,改制,1
1404,注册号,1
1405,基准日,1
1406,业经,1
1407,等家,1
1408,起个,1
1409,公历,1
1410,日止,1
1411,以个,1
1412,方时,1
1413,指从,1
1414,易于,1
1415,已知,1
1416,很小,1
1417,四类,1
1418,项可供,1
1419,两类,1
1420,结清,1
1421,之中,1
1422,额后,1
1423,值分,1
1424,依次,1
1425,值外,1
1426,间隔,1
1427,曲线,1
1428,弃置,1
1429,开来,1
1430,结果表明,1
1431,出于,1
1432,让步,1
1433,倒闭,1
1434,时原,1
1435,含且,1
1436,添加,1
1437,行年,1
1438,项年,1
1439,以备,1
1440,物料,1
1441,日同,1
1442,此类,1
1443,当前状况,1
1444,极,1
1445,转售,1
1446,无法控制,1
1447,买方,1
1448,意外,1
1449,采取行动,1
1450,罕见,1
1451,最初,1
1452,必要措施,1
1453,组外,1
1454,组以,1
1455,其他费用,1
1456,后非,1
1457,组中除,1
1458,组因,1
1459,移除,1
1460,下本应,1
1461,共有,1
1462,一致同意,1
1463,方以,1
1464,后应,1
1465,长年,1
1466,以非,1
1467,原子,1
1468,按原,1
1469,指为,1
1470,有形资产,1
1471,率年,1
1472,暂估,1
1473,原已,1
1474,非正常,1
1475,当所,1
1476,借入,1
1477,动用,1
1478,存入,1
1479,乘以,1
1480,以使,1
1481,在技术上,1
1482,有用,1
1483,性有,1
1484,不含,1
1485,待摊,1
1486,步骤,1
1487,无偏,1
1488,精算,1
1489,人口统计,1
1490,赤字,1
1491,上限,1
1492,早日,1
1493,单方面,1
1494,撤回,1
1495,裁减,1
1496,简化,1
1497,商品销售,1
1498,管理权,1
1499,占应,1
