,分词排序,词频
0,汽车,119
1,厦门,94
2,安全气囊,72
3,华懋,71
4,信息,53
5,材料,44
6,科技,37
7,杏林,37
8,被动,36
9,工程,31
10,陈少琳,29
11,金威,25
12,第三期,24
13,兴业银行,23
14,工业,22
15,越南,20
16,数据,17
17,产销,17
18,零部件,17
19,万辆,17
20,房地产,16
21,安全带,14
22,厂商,14
23,静静,14
24,上海,13
25,部件,13
26,布,13
27,袋,13
28,懋盛,13
29,海防,12
30,建设,12
31,华懋新材,12
32,张初,11
33,立信,11
34,集美区,11
35,乘用车,11
36,银行,11
37,土地,11
38,十年,10
39,整车,10
40,装置,10
41,气袋,10
42,上线,10
43,赖方,10
44,初全,10
45,生物,10
46,业绩考核,10
47,网站,9
48,环境,9
49,乘员,9
50,新能源,9
51,自动,9
52,特种,8
53,车型,8
54,恒州,8
55,博智,8
56,制订,8
57,同上,8
58,人张,8
59,建筑物,8
60,建造,8
61,成型,7
62,万米,7
63,深圳,7
64,下滑,7
65,以年,7
66,染整,7
67,常熟,7
68,信息系统,7
69,华懋特材,6
70,制造,6
71,碰撞,6
72,汽车行业,6
73,千套,6
74,中所,6
75,中国银行,6
76,中国建设银行,6
77,环境保护,6
78,信托,6
79,油气,6
80,会师,6
81,报字,6
82,验资,6
83,成长型,6
84,市经,6
85,信局,6
86,日为,6
87,增产,6
88,达标,6
89,后溪镇,5
90,苏,5
91,山路,5
92,顾客,5
93,必维,5
94,健康,5
95,成熟期,5
96,车辆,5
97,经济效益,5
98,事业,5
99,工厂,5
100,解禁,5
101,赖敏,5
102,中信银行,5
103,曹耀峰,5
104,纺织,5
105,除净,5
106,接收,4
107,匹配,4
108,正面,4
109,气帘,4
110,商用车,4
111,稳定性,4
112,作业,4
113,检测,4
114,发明专利,4
115,夹紧,4
116,缝纫机,4
117,首选,4
118,消费,4
119,负增长,4
120,量产,4
121,比亚迪,4
122,整理,4
123,人工,4
124,折旧费,4
125,产品价格,4
126,套,4
127,厂区,4
128,来源于,4
129,稳定增长,4
130,论证,4
131,人华懋,4
132,利益冲突,4
133,摘要,4
134,排污,4
135,环保,4
136,外资,4
137,股年,4
138,西安,4
139,崔广三,4
140,赖敏聪,4
141,谢源荣,4
142,张伙星,4
143,卓清良,4
144,税务师,4
145,会计报表,4
146,补选,4
147,签收,4
148,中央银行,4
149,额外,4
150,带息,4
151,养老保险,4
152,缴费,4
153,最新,4
154,保险费,4
155,奖励金,4
156,互换,4
157,外汇,4
158,升值,4
159,贬值,4
160,信用证,4
161,第一季度,3
162,第三季度,3
163,图年,3
164,出货,3
165,英国,3
166,制造业,3
167,取决于,3
168,配置,3
169,追求,3
170,保险,3
171,消费者,3
172,回落,3
173,安全性,3
174,气囊,3
175,切割,3
176,人力,3
177,智能,3
178,建立健全,3
179,资源,3
180,总成,3
181,帘式,3
182,检验,3
183,二十年,3
184,高度,3
185,凝聚力,3
186,致力于,3
187,骨干,3
188,夯实,3
189,按计划,3
190,万个,3
191,安阳县,3
192,降幅,3
193,上游,3
194,能源,3
195,消费量,3
196,驾驶座,3
197,侧部,3
198,百万美元,3
199,后溪,3
200,变革,3
201,高新技术,3
202,推行,3
203,派出,3
204,教育,3
205,顺利,3
206,放缓,3
207,生产商,3
208,竞争对手,3
209,股票价格,3
210,公正,3
211,尽可能,3
212,提案,3
213,差异化,3
214,听取,3
215,半数,3
216,代理人,3
217,网络,3
218,投票,3
219,聪赖方,3
220,报刊,3
221,社会公众,3
222,道歉,3
223,纺织品,3
224,王雅筠,3
225,公民,3
226,安鹏,3
227,航天,3
228,远,3
229,致富,3
230,七号,3
231,户,3
232,宏胤,3
233,金懋,3
234,张,3
235,永华,3
236,甘华,3
237,无年,3
238,住房,3
239,余人,3
240,软件,3
241,通讯,3
242,二十,3
243,单证,3
244,成本核算,3
245,保费,3
246,准备金,3
247,第十二次,3
248,修正案,3
249,机器设备,3
250,政策性,3
251,清理,3
252,稳,3
253,促,3
254,技术改造,3
255,购地,3
256,自建,3
257,补助款,3
258,越南盾,3
259,赊销,3
260,限额,3
261,财务部门,3
262,拟以,2
263,外文,2
264,电话传真,2
265,电子信箱,2
266,网址,2
267,刘桢,2
268,张斌,2
269,卿,2
270,代表人,2
271,国金,2
272,一家,2
273,提供商,2
274,两种,2
275,供货,2
276,覆盖范围,2
277,夹,2
278,网布,2
279,伤害,2
280,二次,2
281,四个,2
282,政策法规,2
283,侧面,2
284,严苛,2
285,新车,2
286,侧,2
287,中国汽车工业协会,2
288,蝉联,2
289,快,2
290,给出,2
291,持平,2
292,生命安全,2
293,标配,2
294,挑战,2
295,按规定,2
296,机械制造,2
297,工序,2
298,智能化,2
299,复审,2
300,向上,2
301,充气,2
302,织物,2
303,缝制,2
304,防错,2
305,内腔,2
306,织物组织,2
307,工装,2
308,带,2
309,折叠,2
310,配合,2
311,吸片,2
312,尺寸,2
313,群体,2
314,价值观,2
315,伙伴,2
316,满意度,2
317,知名,2
318,商,2
319,龙头企业,2
320,经过努力,2
321,中山,2
322,富拉,2
323,司特,2
324,协力,2
325,奖,2
326,四季度,2
327,天合,2
328,踏出,2
329,第一步,2
330,文化,2
331,使命,2
332,面料,2
333,秉承,2
334,智慧,2
335,积极进取,2
336,奉献,2
337,购置税,2
338,叠加,2
339,投产,2
340,宋,2
341,下半年,2
342,投向,2
343,新建,2
344,长丝,2
345,单位成本,2
346,单价,2
347,降,2
348,是非,2
349,现状及,2
350,五大,2
351,奥托,2
352,立夫,2
353,占据,2
354,端,2
355,开发新,2
356,重要性,2
357,规格,2
358,产值,2
359,年均,2
360,估算,2
361,扩展,2
362,思路,2
363,意识,2
364,浪费,2
365,成长性,2
366,费用率,2
367,高校,2
368,降价,2
369,调低,2
370,加剧,2
371,华,2
372,达产,2
373,公众,2
374,原则上,2
375,提议,2
376,时机,2
377,征集,2
378,成长期,2
379,时未,2
380,对此,2
381,营收,2
382,接听,2
383,电话公司,2
384,公共,2
385,邮箱,2
386,网络平台,2
387,见面会,2
388,交流,2
389,诉求,2
390,答复,2
391,关心,2
392,需经,2
393,过半数,2
394,三分之二,2
395,二分之一,2
396,确有,2
397,持续性,2
398,至股,2
399,收购人,2
400,因派,2
401,增发,2
402,大宗,2
403,因未,2
404,经济实体,2
405,如华懋,2
406,谋求,2
407,回避,2
408,相冲突,2
409,采取相应,2
410,为止,2
411,修订本,2
412,解聘,2
413,第十八次,2
414,浮,2
415,开放式,2
416,应尽,2
417,相关者,2
418,透明度,2
419,和谐,2
420,尊重,2
421,满意,2
422,污染,2
423,影印,2
424,提倡,2
425,历次,2
426,外资股,2
427,向名,2
428,平安,2
429,基石,2
430,蔡学彦,2
431,中欧,2
432,否张,2
433,初,2
434,王秀,2
435,钳,2
436,聪张,2
437,诚圣,2
438,部门经理,2
439,福建,2
440,远东,2
441,大成,2
442,党支部,2
443,夏纺,2
444,有名,2
445,薪资,2
446,年薪,2
447,劳动力,2
448,辞职,2
449,本科,2
450,高中,2
451,工伤保险,2
452,医疗保险,2
453,保险金,2
454,生育,2
455,工种,2
456,危化品,2
457,实务,2
458,新版,2
459,理解,2
460,履行义务,2
461,报纸,2
462,季报,2
463,领导层,2
464,预审,2
465,经对,2
466,审查,2
467,发货,2
468,访谈,2
469,核对,2
470,逻辑,2
471,抽样检查,2
472,疑虑,2
473,二十七,2
474,四十,2
475,由华懋,2
476,为华懋,2
477,基准日,2
478,止本,2
479,安阳,2
480,工业区,2
481,表因,2
482,对非,2
483,时如,2
484,超出,2
485,低值易耗品,2
486,包装物,2
487,以换,2
488,工程项目,2
489,竣工,2
490,绿化,2
491,工会,2
492,教育经费,2
493,相匹配,2
494,免租,2
495,税务局,2
496,票,2
497,代,2
498,消耗性,2
499,进项,2
500,互抵,2
501,教育费,2
502,市货梯,2
503,对名,2
504,符合条件,2
505,各期,2
506,总和,2
507,第二十次,2
508,邮电通讯,2
509,修理费,2
510,水电费,2
511,杂费,2
512,保护费,2
513,材料费,2
514,就业,2
515,稳岗,2
516,协作,2
517,用电,2
518,农民工,2
519,本市,2
520,户籍,2
521,明厨,2
522,亮,2
523,灶,2
524,灾后,2
525,重建,2
526,罚款,2
527,再融资,2
528,市级,2
529,增销,2
530,大户,2
531,两化,2
532,受限制,2
533,损,2
534,失,2
535,职能部门,2
536,月度,2
537,远期,2
538,充足,2
539,无本,2
540,层面,2
541,试行,2
542,为元股,2
543,在职,2
544,经本,2
545,吉兴,2
546,开具,2
547,廖秋旺,2
548,原件,2
549,一本,1
550,三立信,1
551,主管人员,1
552,五经,1
553,登记日,1
554,实施方案,1
555,尚需,1
556,否八,1
557,违反规定,1
558,否九,1
559,详细描述,1
560,查阅,1
561,文义,1
562,另有所指,1
563,含义,1
564,常用,1
565,指华懋,1
566,所聘,1
567,审,1
568,中文名称,1
569,中文,1
570,缩写,1
571,人二,1
572,联系人,1
573,联系方式,1
574,联系地址,1
575,郑冰华,1
576,选定,1
577,媒体,1
578,登载,1
579,证券部,1
580,汉口路,1
581,号久事,1
582,楼,1
583,主办人,1
584,东城,1
585,根,1
586,上街,1
587,号常厚,1
588,顺罗,1
589,洪峰,1
590,第二季度,1
591,第四季度,1
592,十非,1
593,符合国家,1
594,专注,1
595,产品线,1
596,工艺流程,1
597,业务部,1
598,部下,1
599,原丝,1
600,化工原料,1
601,一至,1
602,以销定产,1
603,业务部门,1
604,出月,1
605,及周,1
606,指令,1
607,开口,1
608,先行,1
609,供货量,1
610,交货,1
611,预估,1
612,评审,1
613,签订合同,1
614,核发,1
615,北京,1
616,袋及,1
617,国民经济,1
618,配件,1
619,证监会,1
620,头颈,1
621,儿童,1
622,座椅,1
623,车身,1
624,安全玻璃,1
625,内饰,1
626,减轻,1
627,人体,1
628,容量,1
629,强制,1
630,三是,1
631,四是,1
632,每辆车,1
633,起着,1
634,主导作用,1
635,强制性,1
636,十大,1
637,加分,1
638,起到,1
639,中保,1
640,研,1
641,主导,1
642,保险业,1
643,重庆,1
644,中汽研,1
645,视角,1
646,出发,1
647,撞击,1
648,修复,1
649,保险公司,1
650,相对来说,1
651,理性,1
652,地选车,1
653,购车,1
654,意义,1
655,保持高速,1
656,前十,1
657,汽车出口,1
658,中汽,1
659,市场预测,1
660,健全,1
661,促使,1
662,成熟,1
663,前景,1
664,可靠性,1
665,质量标准,1
666,抢占,1
667,新一轮,1
668,商务局,1
669,计划局,1
670,证书及,1
671,经济区,1
672,汇出,1
673,注册资金,1
674,筹备,1
675,越来越,1
676,激烈,1
677,开拓市场,1
678,必经之路,1
679,技术装备,1
680,德国,1
681,瑞士,1
682,法国,1
683,缝纫,1
684,花样,1
685,机,1
686,硬件,1
687,权威机构,1
688,双重,1
689,各个单位,1
690,配备,1
691,仪器,1
692,人为,1
693,层层,1
694,追责,1
695,奖惩制度,1
696,安全可靠,1
697,国家知识产权局,1
698,有项,1
699,专利申请,1
700,专利号,1
701,有效期限,1
702,缓冲,1
703,密封,1
704,展开,1
705,环保型,1
706,防风,1
707,耐,1
708,水压,1
709,涂层,1
710,制备,1
711,一批,1
712,大多,1
713,更为,1
714,长足,1
715,勇于,1
716,真情,1
717,回馈,1
718,用布,1
719,应用领域,1
720,每辆,1
721,装上,1
722,人身安全,1
