,分词排序,词频
0,应流,214
1,安徽,59
2,航空,58
3,霍山,57
4,机电,53
5,信息,53
6,制造,50
7,零部件,49
8,铸造,47
9,铸业,43
10,杜应流,38
11,材料,37
12,排放,34
13,发动机,32
14,航宇,31
15,装备,31
16,天津,30
17,科技,29
18,环境,29
19,工程,27
20,银行,23
21,建设,19
22,浓度,19
23,专用设备,18
24,制造业,17
25,高温,16
26,合金,16
27,房地产,16
28,核能,15
29,土地,15
30,燃气轮机,14
31,招股,14
32,建国,13
33,零件,13
34,油气,13
35,精密,13
36,废水,13
37,应流久源,12
38,欧洲,12
39,动力,12
40,铸件,12
41,涂,11
42,北京,11
43,数据,11
44,工业,11
45,屏蔽,11
46,环境保护,11
47,污染物,11
48,废气,11
49,生物,11
50,阀门,10
51,延伸,10
52,检测,10
53,直升机,10
54,叶片,10
55,所载,10
56,噪声,10
57,钟为义,9
58,衡邦,9
59,涡轴,9
60,监督管理,9
61,德国,9
62,航源,8
63,嘉远,8
64,荷兰,8
65,衡玉,8
66,专有,8
67,熔炼,8
68,贮存,8
69,危险废物,8
70,衡宇,7
71,核电,7
72,资源,7
73,复合,7
74,小型,7
75,制备,7
76,涡轮,7
77,排气口,7
78,信托,7
79,智能,6
80,英国,6
81,杜应,6
82,合肥市,6
83,网站,6
84,机械装备,6
85,构件,6
86,价值链,6
87,军民,6
88,新能源,6
89,天然气,6
90,泵,6
91,流,6
92,教育,6
93,污染,6
94,环保,6
95,防治,6
96,除尘,6
97,固体废弃物,6
98,监测,6
99,应急,6
100,中央银行,6
101,期个,6
102,霍山县,6
103,天健,5
104,上海,5
105,徽商,5
106,部件,5
107,短板,5
108,面向,5
109,六安市,5
110,等轴晶,5
111,单晶,5
112,定向,5
113,柱晶,5
114,控形,5
115,控性,5
116,厂区,5
117,地块,5
118,储款,5
119,六安,5
120,生产费,5
121,粉尘,5
122,烟尘,5
123,二氧化硫,5
124,氮氧化物,5
125,车间,5
126,符合标准,5
127,超标,5
128,现象,5
129,污水处理,5
130,厂界,5
131,抽样,5
132,商业银行,5
133,合肥,5
134,源于,5
135,证监会,4
136,衡胜,4
137,天津市,4
138,嘉瑞,4
139,美国公司,4
140,技术开发区,4
141,繁华,4
142,大道,4
143,符合国家,4
144,航空航天,4
145,前沿,4
146,技术创新,4
147,发达国家,4
148,工艺技术,4
149,关键技术,4
150,材质,4
151,新兴产业,4
152,国产化,4
153,机械,4
154,消失模,4
155,增材,4
156,轻型,4
157,汽车,4
158,引入,4
159,机车,4
160,内燃机,4
161,盘,4
162,细晶,4
163,老,4
164,别云波,4
165,别晓鸣,4
166,成玉芳,4
167,规章制度,4
168,废渣,4
169,排污,4
170,硅溶胶,4
171,瀚,4
172,茗,4
173,检出,4
174,固体废物,4
175,环境影响,4
176,中国建设银行,4
177,融通,4
178,灵活,4
179,配置,4
180,混合型,4
181,中信,4
182,卫东,4
183,李锐,4
184,凭证,4
185,提单,4
186,建筑物,4
187,开具,4
188,不获,4
189,数为,4
190,开发进度,4
191,开发量,4
192,外汇,4
193,登记日,3
194,衡顺,3
195,衡义,3
196,贯彻,3
197,瞄,3
198,补短,3
199,板重,3
200,迫切,3
201,尖端,3
202,数字化,3
203,核岛,3
204,核工程,3
205,一批,3
206,先进设备,3
207,浇注,3
208,产品开发,3
209,中子,3
210,柔性,3
211,展,3
212,金安,3
213,薄壁,3
214,铝基,3
215,核,3
216,金属材料,3
217,薄壁机,3
218,匣,3
219,产投,3
220,扩股,3
221,海洋工程,3
222,船舶,3
223,基,3
224,健康,3
225,产品价格,3
226,英镑,3
227,致使,3
228,促使,3
229,司法机关,3
230,原限售,3
231,意向,3
232,住房,3
233,填补,3
234,人力资源,3
235,工伤保险,3
236,喷砂,3
237,工序,3
238,设置,3
239,速率,3
240,污水,3
241,垃圾,3
242,交由,3
243,噪声污染,3
244,行政许可,3
245,社保,3
246,流林,3
247,徐,3
248,程晓章,3
249,杨浩程,3
250,玉江,3
251,交通,3
252,通讯,3
253,内销,3
254,支持性,3
255,将要,3
256,期后,3
257,保费,3
258,准备金,3
259,工商行政管理局,3
260,登记注册,3
261,航空公司,3
262,款额,3
263,建造,3
264,中试,3
265,政策性,3
266,余值,3
267,应缴,3
268,税额,3
269,教育费,3
270,高新技术,3
271,信用证,3
272,保险费,3
273,出让,3
274,储,3
275,韩安云,3
276,一本,2
277,主管人员,2
278,查阅,2
279,外文,2
280,电子信箱,2
281,网址,2
282,媒体,2
283,马章,2
284,松,2
285,许念来,2
286,国防,2
287,军工,2
288,专注,2
289,领先水平,2
290,欧美,2
291,近百家,2
292,通用电气,2
293,西门子,2
294,卡特彼勒,2
295,十余家,2
296,艾默生,2
297,步伐,2
298,定制,2
299,评审,2
300,加成,2
301,雄厚,2
302,跨国公司,2
303,门类,2
304,齐全,2
305,创新能力,2
306,档次,2
307,技术水平,2
308,接近,2
309,差距,2
310,高质量,2
311,强国,2
312,贯彻落实,2
313,高技术,2
314,产业政策,2
315,奠定,2
316,核电站,2
317,核动力,2
318,牵头,2
319,两机,2
320,中国工程物理研究院,2
321,设计院,2
322,位列,2
323,进口,2
324,后处理,2
325,钻采,2
326,激光,2
327,多家,2
328,核辐射,2
329,铝合金,2
330,孙,2
331,石油,2
332,重量,2
333,机械加工,2
334,源头,2
335,运输,2
336,中介,2
337,中空,2
338,核燃料,2
339,组件,2
340,密集,2
341,格架,2
342,深井,2
343,开采,2
344,碳化硼,2
345,主泵,2
346,难,2
347,新工艺,2
348,高形位,2
349,精度,2
350,泵体,2
351,二非,2
352,框架,2
353,最初,2
354,高性能,2
355,钛合金,2
356,金属,2
357,制品,2
358,不锈钢,2
359,镍,2
360,核心技术,2
361,绿色,2
362,传统,2
363,转化,2
364,动态,2
365,尽快,2
366,用人,2
367,手段,2
368,收购人,2
369,采取有效,2
370,开支,2
371,工作日内,2
372,真实性,2
373,完整性,2
374,历次,2
375,交易系统,2
376,第点,2
377,极力,2
378,证券交易,2
379,损失赔偿,2
380,是否是,2
381,于本,2
382,自应流,2
383,补缴,2
384,追偿,2
385,解读,2
386,此项,2
387,调整法,2
388,关,2
389,注将,2
390,表中,2
391,方与,2
392,接受方,2
393,解聘,2
394,建立健全,2
395,清晰,2
396,劳动合同,2
397,养老保险,2
398,医疗保险,2
399,保险,2
400,生育,2
401,操作规程,2
402,防护用品,2
403,责任状,2
404,责任人,2
405,清洁,2
406,降,2
407,再生,2
408,达标排放,2
409,环境保护部,2
410,市级,2
411,阀体,2
412,环评,2
413,气筒,2
414,排放口,2
415,焙烧炉,2
416,二级标准,2
417,炉窑,2
418,脱蜡,2
419,市政,2
420,管网,2
421,氨氮,2
422,化学,2
423,需氧量,2
424,含蜡,2
425,污泥,2
426,恒辉,2
427,环卫,2
428,无害化,2
429,减震,2
430,基座,2
431,消声器,2
432,密闭,2
433,罩,2
434,吸声,2
435,墙面,2
436,昼间,2
437,夜间,2
438,噪声控制,2
439,环境噪声,2
440,达标,2
441,主管部门,2
442,限值,2
443,暂存,2
444,库房,2
445,霍环函,2
446,救援,2
447,公众,2
448,拟向,2
449,含股,2
450,锐进,2
451,期泓澄,2
452,集合,2
453,一零八,2
454,铁路,2
455,挪威,2
456,主题,2
457,精选,2
458,欣丁邦,2
459,姜典,2
460,海孙艺茹,2
461,曹,2
462,寿丰,2
463,陈景奇,2
464,沈厚,2
465,平钟,2
466,为义,2
467,否否否,2
468,承义,2
469,中锐,2
470,税务师,2
471,职工代表,2
472,孙艺茹,2
473,衡新,2
474,一线,2
475,带动,2
476,保障体系,2
477,特种,2
478,公司公告,2
479,交付给,2
480,方且,2
481,外销,2
482,报关,2
483,离港,2
484,发票,2
