,分词排序,词频
0,汽车,187
1,华达,134
2,零部件,111
3,科技,92
4,制造,85
5,江苏,77
6,汽配,72
7,恒义,51
8,信息,43
9,模具,42
10,靖江市,39
11,工程,39
12,新能源,35
13,万辆,35
14,乘用车,32
15,整车,28
16,武汉,23
17,陈,21
18,产销,21
19,刘丹群,20
20,广州,19
21,靖江,19
22,长春,18
23,冲压,18
24,海宁,17
25,汽车产业,17
26,银行,16
27,华德,16
28,长沙,15
29,上海,15
30,竞宏,15
31,车身,15
32,自动化,15
33,青岛,14
34,惠州,13
35,天津,13
36,数据,13
37,总成,13
38,靖华,12
39,盐城,12
40,发动机,12
41,土地,12
42,朱,12
43,世民,12
44,补贴款,12
45,宏华,11
46,北汽,11
47,整车厂,11
48,成都,11
49,房地产,11
50,东风,11
51,本田,11
52,上汽,11
53,广汽,11
54,制造业,11
55,工业,11
56,许霞,11
57,宏程,10
58,焊接,10
59,环境,10
60,厂商,10
61,集群,10
62,生物,10
63,陈竞宏,9
64,杨,9
65,建国,9
66,路,9
67,建设,9
68,保息,9
69,年年月月,9
70,江平,8
71,环节,8
72,国内汽车,8
73,补助款,8
74,竞江,7
75,材料,7
76,一汽大众,7
77,汽车行业,7
78,宜昌,7
79,技术改造,7
80,建筑物,7
81,配件厂,7
82,车间,7
83,网站,6
84,动力,6
85,机器人,6
86,开发新,6
87,资源,6
88,竞宏葛江宏,6
89,分会,6
90,会长,6
91,股否,6
92,职,6
93,油气,6
94,北京,5
95,较强,5
96,电池,5
97,开发部,5
98,供货,5
99,激烈,5
100,纯,5
101,混合,5
102,智能化,5
103,传统,5
104,山东,5
105,住所,5
106,靖城,5
107,致同,4
108,金属,4
109,零件,4
110,同步,4
111,托盘,4
112,大众,4
113,主要用途,4
114,隔热,4
115,成形,4
116,新车型,4
117,产品开发,4
118,带动,4
119,插,4
120,电式,4
121,冲压件,4
122,核心技术,4
123,板,4
124,自动,4
125,日益,4
126,检测,4
127,生产成本,4
128,机电,4
129,公司法人,4
130,人工费,4
131,机器设备,4
132,开立,4
133,电动,4
134,汉南区,4
135,充分利用,4
136,建设银行,4
137,建行,4
138,葛江宏,4
139,副会长,4
140,及靖城,4
141,月月年年,4
