,分词排序,词频
0,大连,145
1,百傲,91
2,杀菌剂,78
3,化学,75
4,中间体,61
5,工业,60
6,噻唑,57
7,啉,57
8,异,52
9,沈阳,48
10,信息,44
11,酮类,38
12,袁义祥,36
13,化工,35
14,王文锋,35
15,环保,34
16,腈,33
17,系列产品,31
18,刘宪武,26
19,工程,26
20,酮,22
21,大气,22
22,银行,20
23,药剂,19
24,水,19
25,三鑫,18
26,投产,18
27,环境,17
28,装置,16
29,废水,16
30,废气,16
31,排气口,16
32,科技,16
33,新任,16
34,岛,15
35,升,15
36,大连市,15
37,建设,15
38,排放,15
39,碱,15
40,松木,14
41,房地产,14
42,污水,14
43,精细化工,13
44,通运,12
45,外委,12
46,车间,12
47,王希梁,11
48,北京,11
49,复配,11
50,造纸,11
51,辽宁省,10
52,扩产,10
53,材料,10
54,招商银行,10
55,昼间,10
56,夜间,10
57,气体,10
58,数据,9
59,日化,9
60,涂料,9
61,生物,9
62,污水处理,9
63,刘永泽,9
64,刘,8
65,天津,8
66,染料,8
67,化工企业,8
68,污染物,8
69,检测,8
70,高性能,8
71,厂区,8
72,试运行,8
73,环境影响,8
74,辽宁,8
75,保险,8
76,建筑物,8
77,土地,8
78,外汇,8
79,东光,7
80,百化,7
81,旅顺,7
82,氧化,7
83,化学品,7
84,同方向,7
85,刘海,7
86,技术开发区,7
87,处理厂,7
88,去向,7
89,氨,7
90,氯化氢,7
91,填料,7
92,塔水,7
93,监测,7
94,环评,7
95,大环建,7
96,刘晓辉,7
97,王爱群,7
98,洁世,6
99,宁波,6
100,邻,6
101,氯苯,6
102,上海,6
103,防腐,6
104,陶氏,6
105,国外,6
106,生产工艺,6
107,新建,6
108,现金管理,6
109,氨氮,6
110,外厂,6
111,界,6
112,排入,6
113,投运,6
114,贮存,6
115,应急,6
116,有机颜料,6
117,油气,6
118,投出,6
119,嵌入,6
120,常用,5
121,香港,5
122,瑞华,5
123,成分,5
124,甲基,5
125,李喆,5
126,无年,5
127,应用领域,5
128,皮革,5
129,制品,5
130,环保型,5
131,油漆,5
132,高新技术,5
133,环境保护,5
134,核心技术,5
135,利用率,5
136,产品价格,5
137,关税,5
138,厂界,5
139,尾气,5
140,固废,5
141,酸性,5
142,吴庆银,5
143,黄越,5
144,南京,5
145,红土,4
146,鑫洲,4
147,特材,4
148,氯,4
149,谋求,4
150,英国,4
151,索尔,4
152,专注,4
153,制造商,4
154,此类,4
155,生产成本,4
156,进一步提高,4
157,生产能力,4
158,化学原料,4
159,制造业,4
160,助剂,4
161,硫化氢,4
162,事故,4
163,杨杰,4
